,PGI,PFK,FBA,TPI,GAPD,PGK,PGM,ENO,GLCptspp,PYK,FBA_reverse,PGK_reverse,ENO_reverse,GAPD_reverse,TPI_reverse,PGI_reverse,PGM_reverse,G6PDH2r,PGL,GND,RPE,RPI,TKT1,TKT2,TALA,G6PDH2r_reverse,RPE_reverse,RPI_reverse,TKT1_reverse,TKT2_reverse,TALA_reverse,EDA,EDD,PDH,CS,ACONTa,ACONTb,ICDHyr,AKGDH,SUCOAS,SUCDi,FUM,MDH,ACONTa_reverse,ACONTb_reverse,ICDHyr_reverse,SUCOAS_reverse,FUM_reverse,MDH_reverse,FBP,PPCK,ME1,ME2,PPC,CHORS,DHQS,DHQTi,DHAD1,IPMD,IPPS,PSERT,PSP_L,SERAT,SERAT_reverse,DAPDC,DAPE,DHDPS,DHDPRy,ACCOAC,ACACT1r,ACACT2r,ACACT3r,ACACT4r,ACACT5r,ACACT6r,ACACT7r,ACACT8r,ACACT1r_reverse,ACACT2r_reverse,ACACT3r_reverse,ACACT4r_reverse,ACACT5r_reverse,ACACT6r_reverse,ACACT7r_reverse,ACACT8r_reverse,ECOAH1,ECOAH2,ECOAH3,ECOAH4,ECOAH5,ECOAH6,ECOAH7,ECOAH8,ECOAH1_reverse,ECOAH2_reverse,ECOAH3_reverse,ECOAH4_reverse,ECOAH5_reverse,ECOAH6_reverse,ECOAH7_reverse,ECOAH8_reverse,HACD1,HACD2,HACD3,HACD4,HACD5,HACD6,HACD7,HACD8,HACD1_reverse,HACD2_reverse,HACD3_reverse,HACD4_reverse,HACD5_reverse,HACD6_reverse,HACD7_reverse,HACD8_reverse,ACKr,ACKr_reverse,ALATA_L,ALATA_L_reverse,ANS,ASPTA,ASPTA_reverse,CYSTL,GHMT2r,GHMT2r_reverse,GLNS,GLUPRT,ICL,MALS,METS,MTHFC,MTHFC_reverse,MTHFD,MTHFD_reverse,MTHFR2,PPS,PRAIS,PTAr,PTAr_reverse,THRS
wildtype,0.7041368703969799,0.4467928986518406,0.44679289865184013,0.32033261222012,0.15000782695199777,0.0,0.0,0.27241682031027864,0.0,18.865342294684524,0.0,0.15000782695199777,0.0,0.0,0.0,0.0,0.27241682031027864,-1.8636016410800738,-1.8636016410800738,-1.5323756580011518,-2.7535783167215158,0.0,-1.9530561188709146,-16.00394219060195,-16.434951390730042,0.0,0.0,-0.8741513012974882,0.0,0.0,0.0,-16.246795484321982,-16.246795484321982,0.30929880139790916,1.278308649386641,1.2783086493866405,1.278308649386641,4.164454454959387e-15,0.0,0.0,2.3082623013470585,1.2936319398723837,1.2035349450821542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.4807137130674,0.0,-14.4394869426967,-4.42898961628457,3.2034265038149143e-15,2.5627412030519317e-15,2.5627412030519317e-15,-4.004283129768652e-15,0.0,0.0,-0.9222419152854132,-0.9222419152854129,-1.3454391316022717e-14,0.0,0.0,0.0,6.406853007629834e-16,0.0,0.0,-8.008566259537297e-16,0.0,6.406853007629834e-16,6.406853007629834e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.008566259537297e-16,0.0,6.406853007629834e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.008566259537297e-16,6.406853007629834e-16,6.406853007629834e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.203426503814917e-16,0.0,-15.879202232858573,4.164454454959387e-15,0.0,-3.203426503814921e-15,1.6017132519074577e-15,-1.265160404204412,0.0,-8.008566259537315e-15,-1.6017132519074678e-14,3.716587013533227,3.712402753601457,0.0,-1.4291501649519198,0.0,-1.4291501649519196,0.0,0.0,0.0,-1.6017132519074678e-14,6.406853007629834e-16,0.0,-3.203426503814918e-16
AlsR,-0.2700330839838833,0.3774048878918825,0.37740488789188126,0.025038562240219553,0.011684937705852627,0.0,0.0,0.01255764125192576,0.0,0.0,0.0,0.011684937705852627,0.0,0.0,0.0,0.0,0.01255764125192576,0.5439208449443053,0.5439208449443059,1.068966965672099,1.5176257200174768,0.0,1.2556960122566179,1.9387536056920964,1.2556960122566176,0.0,0.0,0.693359064893847,0.0,0.0,0.0,-16.03579713510097,-16.03579713510097,0.0,-0.4390319852149549,-0.43903198521495534,-0.43903198521495534,-1.709073822653501,-2.985227787548254,0.0,-0.5275119677643489,-0.44197460316645026,1.0784950323707911,0.0,0.0,0.0,-17.581194594861067,0.0,0.0,0.0,-15.270502444528079,0.0,-16.03579713510097,-3.086591435328534,6.406853007629834e-16,1.2813706015259665e-15,1.2813706015259665e-15,0.0,0.0,0.0,-1.5056104567930193e-14,-1.5056104567930193e-14,-1.1211992763352217e-15,0.0,0.0,0.0,0.0,0.0,0.40045925250151015,0.0,-8.008566259537297e-16,-8.008566259537297e-16,-8.008566259537297e-16,0.3559943786802768,0.0,-0.8862208270782802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.008566259537297e-16,-8.008566259537297e-16,0.0,0.3559943786802768,0.0,-0.8862208270782802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.008566259537297e-16,-8.008566259537297e-16,0.0,0.3559943786802768,0.0,-0.8862208270782802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.788990267127628,4.484797105340878e-15,0.0,0.00033159920978572636,0.0,-2.226381420151385e-14,0.0,-1.4255247941976454e-14,-2.915118118471605e-14,0.0,0.0,-1.6017132519074597e-15,-2.658843998166406e-14,0.0,-2.6107926006091817e-14,0.0,-1.6017132519074597e-15,0.0,-2.9311352509906796e-14,0.0,0.0,0.0
AppY,0.036498178872820315,0.17803993293988832,0.1780399329398869,0.18018668451822165,0.08658384860293682,0.0,0.0,0.09314429459749467,0.21577746918990434,0.5101176968614491,0.0,0.08658384860293682,0.0,0.0,0.0,0.0,0.09314429459749467,4.281024129290183,4.281024129290181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.381355933053339,0.8367310122824382,-13.406049289785651,-14.958037817649036,-13.406049289785651,-16.778720980721413,-16.778720980721413,-19.858392955813198,-0.32065824854682295,-0.3206582485468232,-0.32065824854682334,-1.770982049522158,-3.062728451793347,0.0,-0.5166078588670862,-0.32279962033881593,0.44485953833141717,0.0,0.0,0.0,-17.696031340227066,0.0,0.0,0.0,-13.575683971995725,0.0,-13.456908364394927,-4.178800828638901,-1.6017132519074597e-15,-8.008566259537297e-16,-8.008566259537297e-16,7.688223609155783e-15,0.0,0.0,-2.2423985526704594e-14,-2.194347155113235e-14,2.883083853433397e-14,0.0,0.0,0.0,6.406853007629834e-16,0.0,6.727195658011312e-15,0.0,-8.008566259537297e-16,0.0,0.0,-8.008566259537297e-16,-8.008566259537297e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.008566259537297e-16,-8.008566259537297e-16,-8.008566259537297e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.008566259537297e-16,-8.008566259537297e-16,-8.008566259537297e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1211992763352217e-15,0.0,6.406853007629834e-16,0.0,0.0,-1.9060387697698886e-14,0.0,-4.1003859248831526e-14,0.0,-3.651906214349052e-14,-7.351863826255424e-14,0.0,11.978529950097155,1.6017132519074577e-15,-6.486938670225353e-14,0.0,-6.486938670225353e-14,0.0,0.0,0.0,-7.351863826255424e-14,-1.1211992763352217e-15,0.0,0.0
ArcA,2.0033138613304597,0.3387101673539039,0.3387101673539039,0.34412972781526924,0.14867444416690717,0.0,0.0,0.16227344936762927,6.406853007629834e-16,2.964420372476348,0.0,0.14867444416690717,0.0,0.0,0.0,0.0,0.16227344936762927,-0.8793293120416752,-0.8793293120416752,-0.8018699336104024,-0.938692964686874,0.0,-0.8659099881776618,-1.0253868405983444,-0.8659099881776613,0.0,0.0,-0.6294835341154013,0.0,0.0,0.0,-15.01612850319463,-15.016128503476237,-0.8089073113233256,0.632833318677295,0.6328333186772952,0.6328333186772948,-1.3648108055605706,-16.53351421440445,0.0,0.8096540248418744,0.6388757708059503,1.5325479431756024,0.0,0.0,0.0,-15.998501609272722,0.0,0.0,0.0,0.5260413600807728,0.0,-13.016259111854415,-17.489854774116434,0.0,-8.008566259537297e-16,-8.008566259537297e-16,3.2034265038149143e-15,0.0,0.0,3.6839404793871085e-14,3.6839404793871085e-14,1.2493363364878124e-14,0.0,0.0,0.0,0.0,0.0,1.4002396580775787,0.0,0.0,0.0,0.0,0.0,0.0,-0.8862237379753334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.610279511444756e-16,-0.8862237379753334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.610279511444756e-16,-0.8862237379753334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.406853007629836e-16,0.0,0.0,4.484797105340878e-15,0.0,2.498672672975614e-14,0.0,5.381756526408962e-14,0.0,2.516954679669686,7.656189344117451e-14,0.0,12.194149061614521,1.6017132519074577e-15,6.983469778316352e-14,0.0,7.015504043354499e-14,0.0,1.6017132519074577e-15,0.0,7.720257874193744e-14,-6.406853007629836e-16,0.0,0.0
ArcB,-0.7826516625912642,-0.18149905510266306,-0.18149905510266381,-0.18386240385573574,-0.08831899882481348,0.0,0.0,-0.09558665887979574,3.203426503814917e-16,-0.04751350791655563,0.0,-0.08831899882481348,0.0,0.0,0.0,0.0,-0.09558665887979609,3.3857249127396982,3.3857249127396982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.407350538003032,1.8632191531727025,-13.432042124956759,-14.98403221677188,-13.432042124956759,-14.930176358641535,-14.930176358641535,-1.3456919568787287,-0.8360058326433686,-0.8360058326433684,-0.8360058326433684,-1.4647156209471155,0.0,-14.843192848142657,-1.2564352631347848,-0.8443876663826962,-0.2751311561405739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.958315582978589,0.0,-14.345236963142137,-1.0992618115699677,-6.7271956580113425e-15,-6.7271956580113425e-15,-6.7271956580113425e-15,-3.203426503814918e-16,0.0,0.0,1.512017309800562e-13,1.5056104567929327e-13,-2.082227227479698e-15,0.0,0.0,0.0,0.0,0.0,-3.203426503814921e-15,-6.406853007629836e-16,-6.406853007629836e-16,0.0,-6.406853007629836e-16,-8.008566259537297e-16,-9.610279511444756e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.406853007629836e-16,-6.406853007629836e-16,-6.406853007629836e-16,-8.008566259537297e-16,-8.008566259537297e-16,-9.610279511444756e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.406853007629836e-16,-6.406853007629836e-16,-6.406853007629836e-16,0.0,-8.008566259537297e-16,-9.610279511444756e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.406853007629834e-16,0.0,-4.805139755722377e-16,4.484797105340878e-15,0.0,1.2269123509610615e-13,0.0,2.3288910682732574e-13,0.0,-2.516954679669522,3.9370111731879964e-13,0.0,10.314423289074167,-4.8371740207606066e-14,3.53978628671505e-13,0.0,3.53978628671505e-13,0.0,-4.677002695569855e-14,0.0,3.9370111731879964e-13,6.406853007629834e-16,0.0,6.406853007629834e-16
ArgR,0.19096856972536363,0.2470020427029878,0.2470020427029889,0.25018913830243156,0.11195779992058189,0.0,0.0,0.1267587132082413,6.406853007629834e-16,1.404400280223646,0.0,0.11195779992058158,0.0,0.0,0.0,0.0,0.1267587132082413,-0.25108666167770477,-0.25108666167770477,0.32058515872905485,0.41172598466804766,0.0,0.3612244874062414,0.47878523737720147,0.3612244874062419,0.0,0.0,0.2259185438182235,0.0,0.0,0.0,-16.688117208234814,-16.68811720774645,-18.983710547079248,0.17992130606987253,0.17992130606987253,0.17992130606987283,0.5735149148337135,0.0,0.0,0.0,1.4566507390291696,1.1684585264219096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.316114222322037,0.0,-14.81368452491284,-1.2727772146360443,1.6017132519074577e-15,1.6017132519074577e-15,1.6017132519074577e-15,-2.7229125282426824e-15,0.0,0.0,-0.07250189950527604,-0.07250189950527604,-1.1372164088543004e-14,0.0,0.0,0.0,0.0,0.0,-2.1927021311050727,-9.610279511444756e-16,-9.610279511444756e-16,0.0,0.0,-8.008566259537297e-16,-9.610279511444756e-16,13.642906403524744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.610279511444756e-16,-9.610279511444756e-16,-9.610279511444756e-16,0.0,-8.008566259537297e-16,9.61027951144475e-16,13.642906403523542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5034273959014387e-12,-9.610279511444756e-16,-9.610279511444756e-16,0.0,0.0,-8.008566259537297e-16,0.0,13.642906403523542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.203426503814917e-16,0.0,-0.7889869004930943,5.44582505648535e-15,0.0,0.000331598845134776,1.9220559022889496e-15,-0.10839649254500815,0.0,-2.5373165973321203,2.6011823210974787e-13,-0.19377896792802587,-0.19377896792802185,1.9220559022889496e-15,-0.37546258051207904,0.0,-0.3754625805120786,0.0,1.9220559022889496e-15,0.0,2.597978894593664e-13,3.203426503814917e-16,0.0,-6.406853007629836e-16
AscG,-0.23209821199092895,0.13358668309596716,0.13358668309596686,0.13542385421907877,0.06153980931687455,0.0,0.0,0.0703380802813457,0.0,0.773871797823861,0.0,0.06153980931687424,0.0,0.0,0.0,0.0,0.0703617030641958,0.3863523542412415,0.38635235424124176,1.3207782171173081,1.991307504567305,0.0,1.5869885905957255,2.760525330020651,1.5869885905957308,0.0,0.0,0.8247582933918771,0.0,0.0,0.0,-16.788325282176043,-16.788325282176043,-0.755078119787582,-0.5082037338229242,-0.5082037338229242,-0.5082037338229242,-1.230679414982268,0.0,-14.763761158910432,-0.5004502211482038,-0.5135072702885509,-0.02902198733154277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.461306445446658,0.0,0.0,-0.9896725041901169,6.406853007629834e-16,0.0,6.406853007629834e-16,-2.082227227479698e-15,0.0,0.0,-0.047623002008303314,-0.04762300200830315,-6.406853007629849e-15,0.0,0.0,0.0,0.0,0.0,0.0,9.61027951144475e-16,0.0,9.61027951144475e-16,9.61027951144475e-16,9.61027951144475e-16,1.9220559022889496e-15,9.61027951144475e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.61027951144475e-16,9.61027951144475e-16,0.0,9.61027951144475e-16,9.61027951144475e-16,9.61027951144475e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.61027951144475e-16,9.61027951144475e-16,9.61027951144475e-16,9.61027951144475e-16,9.61027951144475e-16,9.61027951144475e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7945858788240976,4.8051397557223685e-15,0.0,1.4415419267167058e-14,0.0,-0.07399338301551876,0.0,1.922055902288938e-14,3.8120775395397014e-14,0.0,0.0,0.0,-0.1724242042680966,0.0,-0.17242420426809427,0.0,0.0,0.0,3.8120775395397014e-14,0.0,0.0,0.0
BasR,-0.6203225763452138,-0.8421545599427445,-0.8421545599427437,-0.007494412340401896,-0.0034845442806574296,0.0,0.0,3.994763069362517e-06,-2.082227227479698e-15,-17.160765911515085,0.0,-0.0034845442806572687,0.0,0.0,0.0,0.0,3.994763069362517e-06,1.6251477409440191,1.6251477409440191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.300437887705906,1.9095795106389877,-13.325136962159096,-14.877120437279373,-13.325136962159096,-16.647392155251797,-16.647392155251797,-1.6709319726103784,-0.4331363940211084,-0.4331363940211084,-0.4331363940211088,-1.3544299720032262,-16.409593192974352,0.0,-0.7996719973961381,-0.4395210416535778,0.7770751992385522,0.0,0.0,0.0,-15.866880054199243,0.0,0.0,0.0,-14.467317213064474,0.0,-15.647406209513468,-1.133002871128733,1.2813706015259665e-15,1.2813706015259665e-15,1.2813706015259665e-15,3.203426503814917e-16,0.0,0.0,-0.04610107345543801,-0.04610107345543801,2.2423985526704407e-15,0.0,0.0,0.0,0.0,0.0,-1.4002238464572725,9.61027951144475e-16,9.61027951144475e-16,9.61027951144475e-16,9.61027951144475e-16,9.61027951144475e-16,0.0,0.886217692288123,-1.4328926751571244e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.61027951144475e-16,9.61027951144475e-16,9.61027951144475e-16,9.61027951144475e-16,9.61027951144475e-16,0.0,0.886217692288123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.61027951144475e-16,9.61027951144475e-16,9.61027951144475e-16,9.61027951144475e-16,9.61027951144475e-16,0.0,0.886217692288123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000331599129134904,0.0,-0.07038279267708289,0.0,-3.6839404793871596e-15,-9.930622161826278e-15,0.0,0.0,-1.922055902288952e-15,-7.207709633583583e-15,0.0,-6.5670243328205966e-15,0.0,-1.922055902288952e-15,0.0,-9.930622161826278e-15,0.0,0.0,0.0
BolA,-0.4724809228100566,0.0220369528978614,0.022036952897862346,-0.030018244416381793,-0.014047784478380919,0.0,0.0,0.30825041603509007,0.0,-1.005528658980592,0.0,-0.014047784478380919,0.0,0.0,0.0,0.0,0.30825041603509007,0.0,0.0,1.746935642853817,3.027069005002327,0.0,2.1940112985273,0.0,0.0,0.0,0.0,1.0264872963121192,0.0,0.0,0.0,-15.886952999556144,-15.886952999556144,-2.8848330414693697,1.8710954441905032,1.8710954441905034,1.8710954441905034,0.5735161785469156,0.0,0.0,3.101371434958595,1.9032514183049567,2.112193396608981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.886952999556144,-2.7120734360872056,1.2813706015259665e-15,1.2813706015259665e-15,1.2813706015259665e-15,5.44582505648535e-15,0.0,0.0,-1.7888082280131241,-1.7888082280131241,1.6337475169455987e-14,0.0,0.0,0.0,0.0,0.0,-1.400228023074306,9.61027951144475e-16,9.61027951144475e-16,9.61027951144475e-16,9.61027951144475e-16,9.61027951144475e-16,1.9220559022889496e-15,0.8862192892538362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.61027951144475e-16,9.61027951144475e-16,9.61027951144475e-16,9.61027951144475e-16,9.61027951144475e-16,1.9220559022889496e-15,0.8862192892538362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.61027951144475e-16,9.61027951144475e-16,9.61027951144475e-16,9.61027951144475e-16,9.61027951144475e-16,1.9220559022889496e-15,0.8862192892538362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.203426503814918e-16,0.0,-0.7889899018781183,4.8051397557223685e-15,0.0,9.065697005795932e-14,-1.7618845770982058e-15,-2.257132666682642,0.0,1.3550494111136466e-13,2.726115954746237e-13,0.0,0.0,1.60171325190745e-14,-2.992453648752838,0.0,-2.992453648752838,0.0,1.60171325190745e-14,0.0,2.732522807753866e-13,-3.203426503814918e-16,0.0,-4.805139755722377e-16
ChpB,-0.14453306143535521,-0.4802495114572391,-0.48024951145723954,-0.48865523825282614,-0.19587967763946332,0.0,0.0,-0.20935097601511926,3.203426503814917e-16,-17.111324614477333,0.0,-0.19587967763946387,0.0,0.0,0.0,0.0,-0.20935097601511887,0.13977443915874577,0.13977443915874607,-1.2387431503472,-1.9034390394929983,0.0,-1.5000229792192146,-2.6941061336932512,-1.5000229792192148,0.0,0.0,-0.7614870605971743,0.0,0.0,0.0,2.16470070892062,2.16470070892062,-0.38424660507271297,0.8718044288970122,0.8718044288970122,0.8718044288970119,1.1776114965442392,0.0,0.0,1.2137112334552844,0.8880352068823016,0.8117892385780181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.34709628385418,0.0,-13.181602723640262,-0.15554514404877376,0.0,0.0,0.0,-2.5627412030519365e-15,0.0,0.0,-0.04762298117272229,-0.04762298117272213,-9.129765535872545e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.61027951144475e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2813706015259665e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2813706015259665e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7889891284097108,0.0,0.0,-3.0913065761814287e-14,0.0,-0.07399333271019688,0.0,-4.869208285798757e-14,-9.77045083663583e-14,-13.660472379220812,-8.530089053392464,0.0,-0.1724240675529614,0.0,-0.1724240675529614,0.0,0.0,0.0,-9.77045083663583e-14,0.0,0.0,0.0
