,ACACT1r,ACACT1r_reverse,ACACT2r,ACACT2r_reverse,ACACT3r,ACACT3r_reverse,ACACT4r,ACACT4r_reverse,ACACT5r,ACACT5r_reverse,ACACT6r,ACACT6r_reverse,ACACT7r,ACACT7r_reverse,ACACT8r,ACACT8r_reverse,ACCOAC,ACKr,ACKr_reverse,ACONTa,ACONTa_reverse,ACONTb,ACONTb_reverse,AKGDH,ALATA_L,ALATA_L_reverse,ANS,ASPTA,ASPTA_reverse,CHORS,CS,CYSTL,DAPDC,DAPE,DHAD1,DHDPRy,DHDPS,DHQS,DHQTi,ECOAH1,ECOAH1_reverse,ECOAH2,ECOAH2_reverse,ECOAH3,ECOAH3_reverse,ECOAH4,ECOAH4_reverse,ECOAH5,ECOAH5_reverse,ECOAH6,ECOAH6_reverse,ECOAH7,ECOAH7_reverse,ECOAH8,ECOAH8_reverse,EDA,EDD,ENO,ENO_reverse,FBA,FBA_reverse,FBP,FUM,FUM_reverse,G6PDH2r,G6PDH2r_reverse,GAPD,GAPD_reverse,GHMT2r,GHMT2r_reverse,GLCptspp,GLNS,GLUPRT,GND,HACD1,HACD1_reverse,HACD2,HACD2_reverse,HACD3,HACD3_reverse,HACD4,HACD4_reverse,HACD5,HACD5_reverse,HACD6,HACD6_reverse,HACD7,HACD7_reverse,HACD8,HACD8_reverse,ICDHyr,ICDHyr_reverse,ICL,IPMD,IPPS,MALS,MDH,MDH_reverse,ME1,ME2,METS,MTHFC,MTHFC_reverse,MTHFD,MTHFD_reverse,MTHFR2,PDH,PFK,PGI,PGI_reverse,PGK,PGK_reverse,PGL,PGM,PGM_reverse,PPC,PPCK,PPS,PRAIS,PSERT,PSP_L,PTAr,PTAr_reverse,PYK,RPE,RPE_reverse,RPI,RPI_reverse,SERAT,SERAT_reverse,SUCDi,SUCOAS,SUCOAS_reverse,TALA,TALA_reverse,THRS,TKT1,TKT1_reverse,TKT2,TKT2_reverse,TPI,TPI_reverse
wildtype,0.08700187014886647,0.1084652289093281,-0.09238772546042084,,-0.10085669573070008,,-0.14220882090909348,,-0.16258373885552288,,-0.16802880465190287,,-0.16923730918352847,,0.10846522891083628,0.10846522890932808,0.44137258155287834,,-0.13124817440712652,1.1576738994858535,,1.157673899485854,,0.60993244294742,,-8.86135198969325,0.7704601572314113,,0.07202870987364864,1.3389126051164488,1.1410897430449038,1.097684609127891,,0.10846522890932817,0.10846522890926016,-0.15430334996209186,1.8165902124584952,1.1229393384448916,1.1154995452596,-0.09238772546042136,,-0.09238772546042097,,-0.10085669573070001,,-0.16243969334435934,,-0.1625837388555276,,-0.1680288046519028,,-0.13906313273888005,,0.12168798528079872,0.10846522891065025,-0.6505396870748138,-0.6505396871850981,1.3143413561132435,,0.23853130370786885,,,1.1203639766330493,,-0.09316962119816827,,0.8475446579117858,,-1.5599346384065211,,0.24140001147408932,-0.03126647301765248,-0.14342539966944173,0.018910587633028848,-0.09238772546042137,,-0.0923877254604205,,-0.10085669573070008,,-0.16243969334435984,,-0.16258373885552768,,-0.16802880465190284,,-0.13906313273888005,,0.10846522890932808,0.10846522890932808,0.09508640698744548,,1.0205990940580179,0.10846522890932794,0.10846522890932807,0.49701735754175963,0.4487822422540229,0.10846522890932812,,-0.28406916154371303,0.295647276564071,-0.6114711029479378,,-0.6114711029479376,,0.2875517238386245,0.6173852891278051,0.238531303707869,1.0317149006579396,,,0.8475446579117863,-0.09316962119816827,,1.3143432877393475,0.05310476733716051,-0.18256395308798934,,-0.14371579147806507,-1.761246683364278,-1.7612466833642773,-0.13124817440712586,,3.2710366758867004,-0.025184026259889886,0.42149349755030996,,-0.8056106796403664,-1.169292581936346,,0.7827832700768157,0.4548173514967882,0.5736703218823822,-2.609739935248716,0.3620344554078322,0.08950212102425828,0.001277621477403595,0.36203445540783225,-1.575655318988314,0.44066031727750893,0.7476231573464112,
AlsR,0.08700187014886959,0.1084652289093281,-0.09238772546042136,,-0.10085669573070102,,-0.1422088209090944,,0.06473005615997537,,-0.16802880465190287,,-0.38270697068841364,,0.10846522891083628,0.10846522890932808,0.6710063724876681,,-0.13124817440712724,-0.8460444461479835,,-0.8460444461479835,,0.14825862796046543,,-0.03846384679147908,0.9062379718254713,,0.07594277925153864,0.41543203136194684,-0.8433332596087061,-0.15931773954053235,,0.10846522890932817,0.10846522890932563,-0.15430334996209186,-0.5504818825631804,0.6544237139148225,0.650651763831009,-0.09238772546042084,,-0.09238772546042148,,-0.10085669573070095,,-0.16243969334435934,,0.06473005615999237,,-0.1680288046519028,,-0.36607093244660766,,0.12168798528079872,0.10846522891065025,-0.6238840089245575,-0.6238840090334794,0.010756017967280753,,0.2060771090086178,,,-0.8776744724799432,,0.3875540640297447,,0.019145978124792608,,-0.017140266029592607,,0.24140001147408932,-0.031266473017658176,-0.2107019673473315,0.5441924064239706,-0.09238772546042086,,-0.09238772546042143,,-0.10085669573070102,,-0.16243969334435984,,0.0647300561599923,,-0.16802880465190284,,-0.36607093244660766,,0.10846522890932808,0.10846522890932808,-1.3347467547299101,,0.4470517654619093,0.10846522890932794,0.10846522890932807,0.03282711000186721,0.3247902562719669,0.10846522890932812,,-0.6571178317077915,0.20848352687428862,0.11525163732191963,,0.11525163732191988,,0.20004482981837984,0.5766288860191398,0.20607710900861834,-0.5842177820614178,,,0.019145978124792854,0.3875540640297448,,0.01075242895209383,0.24043708024203456,-0.3909003626776917,,-0.21181931133273715,-0.0014494177440261926,-0.001449417744026301,-0.1312481744071273,,0.2794101668787904,0.7030161918702629,0.42149349755030996,,0.8067459213075292,-0.034113652515072146,,-0.2573161431191898,0.4548173514967882,-1.8954302656307234,0.6462082041442485,0.3620344554078322,0.0895021210242594,0.6506101729506613,0.36203445540783225,0.9252609897567454,0.44066031727750893,0.08346590009076128,
AppY,0.08700187014886959,0.1084652289093281,-0.09238772546042136,,-0.1008566957307005,,-0.1422088209090939,,-0.16258373885552338,,-0.1680288046519034,,-0.16923730918352847,,0.10846522891083628,0.10846522890932808,0.4413725815528822,,-0.13124817440712983,-0.7079311196335902,,-0.7079311196335905,,0.13627293377816613,,0.42284000291677576,-0.9946514324913709,,0.07202870987346147,-0.3926134706732438,-0.7065499323983782,-0.15931773954053235,,0.10846522890932817,0.1084652289094513,-0.15430334996209186,1.8165902124584952,-0.10691417594654125,-0.10472588099045214,-0.09238772546042084,,-0.09238772546042097,,-0.10085669573070043,,-0.16243969334436167,,-0.1625837388555281,,-0.16802880465190334,,-0.13906313273888005,,0.12168798528079872,0.10846522891065025,-0.7177384821567925,-0.7177384822705117,0.41501951226526346,,0.11283003370907403,,,-0.7404796694198661,,1.1337626969113965,,0.467706294083905,,-0.01714026602961546,,0.2886264048524647,-0.031266473017678494,-0.43796549474703683,0.3283389056795011,-0.09238772546042086,,-0.09238772546042091,,-0.1008566957307005,,-0.16243969334436215,,-0.16258373885552818,,-0.16802880465190337,,-0.13906313273888005,,0.10846522890932808,0.10846522890932808,-1.386539974301019,,0.4470517654619093,0.10846522890932794,0.10846522890932807,1.5305947693177826,-0.3035349047989707,0.10846522890932812,,-0.05444610099361343,0.3828110262538533,0.11525163732190016,,0.11525163732190018,,0.2875517238386245,-2.0401179773357403,0.11283003370907467,-0.07575015411019796,,,0.4677062940839054,1.1337626969113959,,0.4150176352927589,0.08801873319127872,0.05617159645328489,,-0.4382840279579164,-0.0014494177440402519,-0.0014494177440394433,-0.13124817440712988,,0.36030356392437485,0.4442752441536998,-2.4584573759450046,,0.9542197184502094,2.7227494617936956,,-0.25331675664156933,0.4548173514967882,-1.91155792259518,0.4150984543642685,-2.844860223730084,0.0895021210242594,0.3965038218854976,-2.8448602237300844,0.6550306650518527,-2.3401177780801663,0.4324155364533489,
ArcA,0.08700187014886959,0.1084652289093281,-0.09238772546042084,,-0.1008566957307005,,-0.1422088209090939,,-0.16258373885552288,,-0.16802880465190287,,-0.38270767185474786,,0.10846522891083628,0.10846522890932808,1.2443065602112326,,-0.13124817440712871,0.404561362731358,,0.4045613627313575,,-1.9470217078693741,,0.42284000291677537,0.9062379718254713,,0.07202870987398138,0.18456188792332107,0.39522950536280543,-0.15931773954053235,,0.10846522890932817,0.10846522890937799,-0.15430334996209186,-0.5504818825631804,-0.10691417594654125,-0.10472588099045214,-0.09238772546042084,,-0.09238772546042097,,-0.10085669573070043,,-0.16243969334435934,,-0.1625837388555276,,-0.16802880465190342,,-0.3660716780805569,,0.12168798528079872,0.10846522891065025,-0.49506803016285766,-0.4950680303007707,0.7618063870769265,,0.18797879518727242,,,0.3666055825801469,,0.10336562365620047,,0.8395591932873867,,-0.01714026602949983,,0.24140001147408946,2.265041394255092,0.3307923578649346,0.16641955936675987,-0.09238772546042086,,-0.09238772546042091,,-0.1008566957307005,,-0.16243969334435984,,-0.16258373885552768,,-0.16802880465190348,,-0.3660716780805569,,0.10846522890932808,0.10846522890932808,-1.046731882775408,,0.4470517654619093,0.10846522890932794,0.10846522890932807,1.5575552839474198,0.7750378686609803,0.10846522890932812,,0.04853113892580838,0.3828110262538533,0.11525163732196866,,0.11525163732196884,,0.37505861785886896,0.47003890794991676,0.1879787951872724,3.1867624371226313,,,0.8395591932873874,0.10336562365620047,,0.7618059787354997,-1.7695452580173192,3.7760307279851473,,0.33382937184022043,-0.0014494177439271668,-0.0014494177439272752,-0.13124817440712877,,0.7495017470693128,0.2842368999859724,0.42149349755030996,,-0.5539430046037167,1.2190059448980113,,0.23312683021775044,0.4548173514967882,-1.673157077111935,0.2557284804642259,0.3620344554078322,0.0895021210242594,0.22127572105615612,0.36203445540783225,0.5121086258254711,0.44066031727750893,0.801146169494288,
ArcB,0.08700187014886708,0.1084652289093281,-0.09238772546042125,,-0.1008566957307005,,-0.14220882090909429,,-0.16258373885552338,,-0.1680288046519035,,-0.16923730918352847,,0.10846522891083628,0.10846522890932808,0.4413725815528765,,-0.1312481744071258,-1.3092162623868093,,-1.3092162623868093,,0.60993244294742,,0.42284000291677515,0.9062379718254713,,0.07202870987513464,-2.2395746181822553,-1.3020448386726937,-0.15931773954053235,,0.10846522890932817,0.1084652289093204,-0.15430334996209186,-0.5504818825631804,-2.2737989393981204,-2.2546468700976936,-0.09238772546042125,,-0.09238772546042137,,-0.10085669573070084,,-0.16243969334436167,,-0.1625837388555281,,-0.16802880465190342,,-0.13906313273888005,,0.12168798528079872,0.10846522891065025,-0.4842095911751112,-0.48420959127689334,-0.5317505987572793,,-0.055333719540328834,,,-1.3409342913347553,,0.9549932186364366,,-0.5797652320660746,,-0.017140266029281464,,0.24140001147408935,-2.327574340290233,1.9552753335014943,0.3283389056795011,-0.09238772546042127,,-0.09238772546042132,,-0.10085669573070091,,-0.16243969334435984,,-0.16258373885552818,,-0.16802880465190348,,-0.13906313273888005,,0.10846522890932808,0.10846522890932808,-1.1303135374479651,,0.4470517654619093,0.10846522890932794,0.10846522890932807,1.32251872418403,-1.0174915460056557,0.10846522890932812,,-0.26204347399055294,-2.3366979640674,0.11525163732211315,,0.11525163732211316,,-2.2676495815525577,0.3993066215720817,-0.05533371954032848,-1.4345387257691036,,,-0.5797652320660744,0.9549932186364366,,-0.5317564852702543,0.517769886710772,-0.5723368836424612,,1.9551854589824853,-0.0014494177437089438,-0.0014494177437102747,-0.13124817440712586,,0.2718755742062167,0.4442752441536998,-2.4633245141581033,,2.0100755299690527,-0.1225691535089373,,-0.5246691197075757,-2.188122356376097,0.5736703218823822,0.4150984543642685,-2.851078035033332,0.08950212102426165,0.3965038218854976,-2.851078035033333,0.6550306650518527,-2.344950273930491,-0.3863813341822926,
ArgR,0.08700187014886585,0.1084652289093281,-0.09238772546042147,,-0.1008566957307005,,-0.1422088209090939,,-0.16258373885552338,,-0.1680288046519035,,3.1170165486780275,,0.10846522891083628,0.10846522890932808,-0.8159800694625987,,-0.13124817440712652,-0.1238766712466643,,-0.12387667124666393,,0.60993244294742,,-0.03846187840031424,1.3135714156076508,,0.07594277494733924,0.7617372465198852,-0.1281197928996301,1.3490850788615758,,0.10846522890932817,0.10846522890928112,-0.15430334996209186,-0.5504818825631804,0.7715526200473396,0.7668637091881567,-0.09238772546042147,,-0.0923877254604216,,-0.10085669573070105,,-0.16243969334435934,,-0.1625837388555281,,-0.1680288046519022,,3.355603286344028,,0.12168798528079872,0.10846522890814418,-0.7062923973531995,-0.7062923974046382,0.5836464717209856,,0.14508502578350255,,,1.3080319881128832,,0.22881040095464222,,0.619667750984303,,-0.14932389913101626,,0.24140001147408946,-2.3461512467792764,1.271023413460684,0.39307376748589906,-0.09238772546042148,,-0.09238772546042154,,-0.1008566957307005,,-0.16243969334435984,,-0.16258373885552818,,-0.16802880465190284,,3.355603286344028,,0.10846522890932808,0.10846522890932808,0.5748963678559377,,0.41714760635342335,0.10846522890932794,0.10846522890932807,0.008597436375192082,0.4139997898633109,0.10846522890932812,,-0.37151702167050726,0.40024377619180984,-0.07567105370802919,,-0.07567105370802896,,0.3925599966629179,-1.9248607934045379,0.145085025783502,0.1804820895229993,,,0.6196677509843016,0.22881040095464222,,0.5836453088781417,0.49355572861511654,-0.1391446618824022,,1.2692271144223397,-0.1397955961023898,-0.1397955961023899,-0.13124817440712658,,0.50211702488046,0.514470661948358,0.42149349755030996,,0.32593199754505703,-0.9776389964496369,,-0.06383639612314485,0.4548173514967882,0.5736703218823822,0.48158150446875303,0.3620344554078322,0.08950212102425714,0.46960227526453546,0.36203445540783225,0.7217654423750203,0.44066031727750893,0.5898607599844388,
AscG,0.08700187014887333,0.1084652289093281,-0.09238772546042084,,-0.10085669573069987,,-0.14220882090909326,,-0.16258373885552227,,-0.1680288046519016,,-0.16923730918352825,,0.10846522891083628,0.10846522890932808,0.44137258155287834,,-0.13124817440712724,-0.9267510333519325,,-0.9267510333519325,,0.60993244294742,,-0.041735467905959084,1.042015786419531,,0.07202870987385661,0.41543203136194684,-0.923262661094784,-0.15931773954053235,,0.10846522890932817,0.10846522890929158,-0.15430334996209186,-0.5504818825631804,0.1859080893847526,0.4182278731167134,-0.0923877254604202,,-0.09238772546042033,,-0.10085669573070043,,-0.1624396933443566,,-0.162583738855527,,-0.1680288046519022,,-0.13906313273888005,,0.12168798528079872,0.10846522891065025,-0.718951805243811,-0.7189518053575923,0.300611983122449,,0.0920383377136391,,,-0.9600232166989607,,0.356091468782437,,0.31772063954635893,,-0.10737117629999997,,0.24140001147408932,-0.03126647301762764,0.13388533051502421,0.5950399460550195,-0.09238772546042023,,-0.09238772546042029,,-0.10085669573069987,,-0.16243969334435707,,-0.16258373885552707,,-0.16802880465190223,,-0.13906313273888005,,0.10846522890932808,0.10846522890932808,-0.9345158346831413,,0.4470517654619093,0.10846522890932794,0.10846522890932807,0.03282711000186721,-0.7734449536230645,0.10846522890932812,,3.090357329908767,0.295647276564071,0.02757394376145367,,0.027573943761454868,,0.2875517238386245,0.47713199793063715,0.09203833771363922,-0.521292212254505,,,0.3177206395463575,0.356091468782437,,0.30072812599040266,0.5330631273545351,-0.44123207659466357,,0.1336214339542076,-0.09232235176034496,-0.09232235176034474,-0.1312481744071273,,0.4021291374005064,0.7837744923088479,0.42149349755030996,,0.9419044618810332,-0.5206189079813311,,-0.24739049174344357,-2.1739789596229153,0.5736703218823822,0.707182312635938,0.3620344554078322,0.0895021210242594,0.7176515168707027,0.36203445540783225,1.0398024349649575,0.44066031727750893,0.3317377253003561,
BasR,0.08700187014887333,0.1084652289093281,-0.0923877254604202,,-0.10085669573069987,,-0.14220882090909326,,-0.16258373885552227,,-0.16802880465190287,,0.044231597224462876,,0.1084652289098113,0.10846522890932808,-0.36155233030956846,,-0.13124817440712724,-0.839165726809808,,-0.8391657268098085,,-1.9278569757978896,,0.42284000291677537,-0.9946514324913709,,0.0681146414478055,0.6463021748005725,-0.8365207807424937,-0.15931773954053235,,0.10846522890932817,0.10846522890933086,-0.15430334996209186,-0.5504818825631804,0.6544237139148225,0.650651763831009,-0.0923877254604202,,-0.09238772546042033,,-0.1008566957306998,,-0.1624396933443566,,-0.162583738855527,,-0.1680288046519028,,0.0879438639840898,,0.12168798528079872,0.10846522891065025,-0.7011475518651887,-0.70114755197806,-0.05221943497781588,,-0.36433583890335774,,,-0.8748499208788646,,0.6034487777986846,,-0.07170217375494202,,-0.1029682575581663,,0.24140001147408888,-0.03126647301764854,-0.11224845367237107,0.3283389056795011,-0.09238772546042023,,-0.09238772546042029,,-0.10085669573069987,,-0.16243969334435707,,-0.16258373885552707,,-0.16802880465190284,,0.0879438639840898,,0.10846522890932808,0.10846522890932808,-1.0380471437841372,,0.4470517654619093,0.10846522890932794,0.10846522890932807,0.03282711000186721,0.02589654374420792,0.10846522890932812,,-0.5663530674510461,0.19105077693633213,0.11525163732192949,,0.11525163732192982,,0.18254345101433092,0.3564496394941764,-0.364335838903358,-1.16527064308873,,,-0.07170217375494085,0.6034487777986846,,-0.052223290691987265,0.5130613055932803,-0.1790301235959981,,-0.11253586672532383,-0.08941824855118545,-0.08941824855118555,-0.1312481744071273,,-2.4419081857827947,0.4442752441536998,-2.4433065663288587,,2.057762250258304,0.27548060096345545,,-0.3571384351114692,0.4548173514967882,-1.6546721637456778,0.4150984543642685,-2.8255049828732592,0.0895021210242594,0.3965038218854976,-2.8255049828732597,0.6550306650518527,-2.325074810439037,0.010294729966256494,
BolA,0.08700187014887333,0.1084652289093281,-0.0923877254604202,,-0.10085669573069987,,-0.14220882090909326,,-0.16258373885552227,,-0.1680288046519016,,0.04423198189577709,,0.10846522891083628,0.10846522890932808,-0.3615547252908224,,-0.13124817440712797,1.8493117445738971,,1.8493117445738971,,0.60993244294742,,-0.03846363323877518,1.042015786419531,,0.07202870987475653,0.6463021748005725,1.82606727608452,-1.5420203230757998,,0.10846522890932817,0.10846522890941465,-0.15430334996209186,-0.5504818825631804,0.6544237139148225,0.650651763831009,-0.0923877254604202,,-0.09238772546042033,,-0.1008566957306998,,-0.1624396933443566,,-0.162583738855527,,-0.16802880465190154,,0.08794427305106464,,0.12168798528079872,0.10846522891065025,-0.6050803482026426,-0.6050803483106032,1.4941008326465874,,0.039864242753313225,,,1.8221607992607431,,0.2789463004172478,,-0.1349641131328523,,-2.7695909152071194,,0.24140001147408932,-0.03126647301752155,1.3350181973493953,0.6810927195901126,-0.09238772546042023,,-0.09238772546042029,,-0.10085669573069987,,-0.16243969334435707,,-0.16258373885552707,,-0.16802880465190156,,0.08794427305106464,,0.10846522890932808,0.10846522890932808,0.5748974250946709,,0.4470517654619093,0.10846522890932794,0.10846522890932807,0.03282711000186721,1.3498254655027897,0.10846522890932812,,-0.6223337984472573,1.1672847734618896,-1.406410794718858,,-1.406410794718858,,1.162620664041065,0.1964935029916985,0.039864242753312774,-0.9200340098499565,,,-0.13496411313285214,0.2789463004172478,,1.494103525548198,0.29270124747475346,3.637267582995444,,1.3381511586125967,-3.4148052587679203,-3.4148052587679207,-0.13124817440712805,,0.11995553601205597,0.9603621111769577,0.42149349755030996,,1.1494049010975145,1.572827948873468,,1.073678195478702,0.4548173514967882,0.5736703218823822,0.4150984543642685,0.3620344554078322,0.08950212102425771,0.8404904235970101,0.36203445540783225,0.6550306650518527,0.44066031727750893,-0.04036449102206977,
ChpB,0.08700187014886959,0.1084652289093281,-0.09238772546042084,,-0.1008566957307005,,-0.14220882090909326,,-0.16258373885552288,,-0.16802880465190287,,-0.16923730918352847,,0.10846522891083628,0.10846522890932808,0.44137258155287834,,-0.13124817440712724,0.683382458544313,,0.6833824585443128,,0.60993244294742,,-0.03846318101018771,-0.9946514324913709,,0.07202870987332156,0.18456188792332107,0.671365618685304,-0.15931773954053235,,0.10846522890932817,0.10846522890928373,-0.15430334996209186,-0.5504818825631804,0.1859080893847526,0.18580398240241766,-0.09238772546042084,,-0.09238772546042097,,-0.10085669573070043,,-0.16243969334435934,,-0.1625837388555276,,-0.16802880465190198,,-0.13906313273888005,,0.12168798528079872,0.10846522891065025,1.6754070257958258,1.675407025804436,-1.1024500689826249,,-0.19506543069375648,,,0.6534391020990475,,0.30685585635415397,,-1.2239328373890808,,-0.1073711149553932,,0.24140001147408935,-0.031266473017689596,-0.5618528327880343,0.0782029762145903,-0.09238772546042086,,-0.09238772546042091,,-0.1008566957307005,,-0.16243969334435984,,-0.16258373885552768,,-0.168028804651902,,-0.13906313273888005,,0.10846522890932808,0.10846522890932808,1.0802913449252953,,-1.6610456400161981,0.10846522890932794,0.10846522890932807,-1.0337554813913545,0.060319653820231245,0.10846522890932812,,0.009891271317160777,0.295647276564071,0.027574013281088567,,0.02757401328108858,,0.2875517238386245,0.5259965865769815,-0.19506543069375626,-0.3760409775868097,,,-1.223932837389084,0.3068558563541541,,-1.1024583723891956,0.6494660023355109,-0.1473173430111342,,-0.5621832026332891,-0.09232231200244857,-0.09232231200244838,-0.1312481744071273,,-2.4340678883449076,0.11975674495914786,0.42149349755030996,,-0.6897231320349809,-0.7712428274639502,,0.38132609634202924,0.4548173514967882,0.5736703218823822,0.13902054059549693,0.3620344554078322,0.0895021210242594,0.09295474468623495,0.36203445540783225,0.27951663729716125,0.44066031727750893,-1.0719026744806348,
