,PGI,PFK,FBA,TPI,GAPD,PGK,PGM,ENO,GLCptspp,PYK,FBA_reverse,PGK_reverse,ENO_reverse,GAPD_reverse,TPI_reverse,PGI_reverse,PGM_reverse,G6PDH2r,PGL,GND,RPE,RPI,TKT1,TKT2,TALA,G6PDH2r_reverse,RPE_reverse,RPI_reverse,TKT1_reverse,TKT2_reverse,TALA_reverse,EDA,EDD,PDH,CS,ACONTa,ACONTb,ICDHyr,AKGDH,SUCOAS,SUCDi,FUM,MDH,ACONTa_reverse,ACONTb_reverse,ICDHyr_reverse,SUCOAS_reverse,FUM_reverse,MDH_reverse,FBP,PPCK,ME1,ME2,PPC,CHORS,DHQS,DHQTi,DHAD1,IPMD,IPPS,PSERT,PSP_L,SERAT,SERAT_reverse,DAPDC,DAPE,DHDPS,DHDPRy,ACCOAC,ACACT1r,ACACT2r,ACACT3r,ACACT4r,ACACT5r,ACACT6r,ACACT7r,ACACT8r,ACACT1r_reverse,ACACT2r_reverse,ACACT3r_reverse,ACACT4r_reverse,ACACT5r_reverse,ACACT6r_reverse,ACACT7r_reverse,ACACT8r_reverse,ECOAH1,ECOAH2,ECOAH3,ECOAH4,ECOAH5,ECOAH6,ECOAH7,ECOAH8,ECOAH1_reverse,ECOAH2_reverse,ECOAH3_reverse,ECOAH4_reverse,ECOAH5_reverse,ECOAH6_reverse,ECOAH7_reverse,ECOAH8_reverse,HACD1,HACD2,HACD3,HACD4,HACD5,HACD6,HACD7,HACD8,HACD1_reverse,HACD2_reverse,HACD3_reverse,HACD4_reverse,HACD5_reverse,HACD6_reverse,HACD7_reverse,HACD8_reverse,ACKr,ACKr_reverse,ALATA_L,ALATA_L_reverse,ANS,ASPTA,ASPTA_reverse,CYSTL,GHMT2r,GHMT2r_reverse,GLNS,GLUPRT,ICL,MALS,METS,MTHFC,MTHFC_reverse,MTHFD,MTHFD_reverse,MTHFR2,PPS,PRAIS,PTAr,PTAr_reverse,THRS
wildtype,0.9011592052150128,0.5599188289325387,0.5599188289325381,0.38822667004897626,0.1840804400578117,0.0,0.0,0.3089713831848438,-3.203426503814918e-16,18.394012368296213,0.0,0.1840804400578117,0.0,0.0,0.0,0.0,0.3089713831848438,-18.532101364143312,-18.532101364143312,-18.20087538106439,-17.235473588580643,0.0,-16.434951390730042,-16.00394219060195,-16.434951390730042,0.0,15.506883998413775,-1.710883620208205,13.531569096148699,15.083564922482271,13.531569096148699,-16.246795484321982,-16.246795484321982,-0.7256369733268041,1.4566819919026508,1.4566819919026508,1.4566819919026506,1.6367769921313426,2.8936260877728235,0.0,2.521171281513169,1.4732482618262415,0.668402118987252,0.0,0.0,0.0,17.62785602113971,0.0,0.0,0.0,-14.4807137130674,0.0,-14.4394869426967,-0.2412201116359679,4.484797105340878e-15,2.5627412030519317e-15,2.5627412030519317e-15,9.61027951144475e-16,-6.406853007629836e-16,-3.203426503814918e-16,-0.9222419152853428,-0.9222419152853428,5.76616770686684e-15,0.0,-8.008566259537297e-16,-6.406853007629836e-16,0.0,0.0,4.954263265040693,-14.382205205991577,-14.382205205991577,-14.382205205991577,-14.382205205991577,-14.382205205991577,-14.026208726391229,-14.026208726391229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.382205205991577,-14.382205205991577,-14.382205205991577,-14.382205205991577,-14.382205205991577,-14.026208726391229,-14.026208726391229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.382205205991577,-14.382205205991577,-14.382205205991577,-14.382205205991577,-14.382205205991577,-14.026208726391229,-14.026208726391229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.203426503814918e-16,0.0,-15.879202232858573,4.164454454959387e-15,0.0,7.175675368545236e-14,0.0,-1.2651604042043063,0.0,1.166047247388583e-13,2.3288910682732574e-13,-13.639969496019916,-8.28202889641686,-1.2493363364878233e-14,-1.4291501649517948,0.0,-1.4291501649517946,0.0,-1.2493363364878233e-14,0.0,2.335297921280886e-13,0.0,0.0,0.0
AlsR,-19.17226259165401,-0.034907542347608754,-0.03490754234760974,-0.3928932688696722,-0.1693241530753677,0.0,0.0,-0.4288566736195442,-19.629344167787067,0.0,0.0,-0.16932415307536786,0.0,0.0,0.0,0.0,-0.4288566736195442,-17.74859604072903,-17.748596040442166,2.4057942477858303,3.052396727431217,0.0,2.685812889539664,3.596500969514797,2.6858128895396636,0.0,0.0,1.7724004454585716,0.0,0.0,0.0,-16.035797134883648,-16.03579713510097,0.0,-1.6752107018932128,-1.6752107018932128,-1.6752107018932128,-1.6752107018932123,-2.985227787548253,0.0,-2.3239271410166875,-1.6950371157530575,-17.273571529100515,0.0,0.0,0.0,-17.581194594861067,0.0,0.0,0.0,-15.270502444528079,0.0,0.3647873585268049,-0.38490166692815087,2.2423985526704407e-15,2.2423985526704407e-15,2.2423985526704407e-15,0.849570685391191,1.354003846546469,1.354003846546469,1.5064257997783548,1.506425799778355,-1.7298503120600658e-14,0.0,0.0,0.0,-8.008566259537297e-16,-8.008566259537297e-16,1.1929759669675521,0.0,-8.008566259537297e-16,-8.008566259537297e-16,-8.008566259537297e-16,0.3559943786802768,0.0,-13.87421524068152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.008566259537297e-16,-8.008566259537297e-16,0.0,0.3559943786802768,0.0,-13.87421524068152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.008566259537297e-16,-8.008566259537297e-16,0.0,0.3559943786802768,0.0,-13.87421524068152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.406853007629834e-16,0.0,-15.727201799008169,4.484797105340878e-15,0.0,4.8692082857985924e-14,0.0,-0.07038283648991145,0.0,7.239743898621532e-14,1.441541926716641e-13,0.0,0.0,8.649251560300252e-15,1.300591160548798e-13,0.0,1.3102014400602418e-13,0.0,1.02509648122077e-14,0.0,1.44794877972427e-13,6.406853007629834e-16,0.0,0.0
AppY,-1.0814819751994007,-0.19161202964490276,-0.19161202964490404,-0.1942428305549405,-0.15010645121466043,0.0,0.0,-0.16253755008818568,-2.217060897198683,1.1747435425243977,0.0,-0.15010645121466043,0.0,0.0,0.0,0.0,-0.16253755008818568,6.37956214223143,6.379562142231427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.381355933053339,2.126399409751202,-13.406049289785651,-14.958037817649036,-13.406049289785651,-16.77872098040234,-16.778720980721413,-19.858392955813198,-2.3444985300481243,-2.3444985300481243,-2.3444985300481247,-2.3444985300481243,-17.879926983815132,0.0,-3.818124666920061,-2.379997283737503,-2.3285277867575895,0.0,0.0,0.0,-17.696031340227066,0.0,0.0,0.0,-13.575683971995725,0.0,-13.456908364394927,-0.1941899563700656,6.406853007629834e-16,6.406853007629834e-16,6.406853007629834e-16,3.523769154196405e-15,-4.805139755722377e-16,0.0,-8.969594210681797e-15,-8.008566259537315e-15,1.1852678064115145e-14,0.0,0.0,-8.008566259537297e-16,-8.008566259537297e-16,-8.008566259537297e-16,4.954236091486126,-14.25668046585039,-14.25668046585039,-14.25668046585039,-14.25668046585039,-14.25668046585039,-13.9006857051865,-13.9006857051865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.25668046585039,-14.25668046585039,-14.25668046585039,-14.25668046585039,-14.25668046585039,-13.9006857051865,-13.9006857051865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.25668046585039,-14.25668046585039,-14.25668046585039,-14.25668046585039,-14.25668046585039,-13.9006857051865,-13.9006857051865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.406853007629836e-16,0.0,-14.964682907711396,0.0,0.0,-8.80942288549105e-15,1.9220559022889496e-15,-1.5056104567930193e-14,0.0,-1.44154192671672e-14,-2.9311352509906796e-14,0.0,3.8184843925468766e-13,-1.922055902288952e-15,-2.4025698778612082e-14,0.0,-2.3865527453421336e-14,0.0,-3.5237691541964136e-15,0.0,-2.979186648547904e-14,-6.406853007629836e-16,0.0,0.0
ArcA,2.789840990729414,0.5583349863804701,0.5583349863804703,0.5666382608460281,0.255621174034955,0.0,0.0,0.27812410063605425,-0.134946027578308,2.8717584629114006,0.0,0.255621174034955,0.0,0.0,0.0,0.0,0.278124100636054,-19.27382401073404,-19.27382401073404,-3.20406265931398,-18.445692136314733,0.0,-4.147074109592071,-17.35671597506603,-4.1470741095920705,0.0,0.0,-1.939398322407388,0.0,0.0,0.0,-15.016128501087787,-15.016128503476237,-19.326690105185666,1.1052126720413864,1.105212672041386,1.105212672041386,1.105212672041386,-16.53351421440445,0.0,1.3646799073200602,1.114309741139164,-0.6613384900033479,0.0,0.0,0.0,-15.998501609272722,0.0,0.0,0.0,-13.295908896232286,0.0,-13.016259111854415,-0.15109652847252142,6.406853007629834e-16,-8.008566259537297e-16,-8.008566259537297e-16,-3.203426503814918e-16,0.0,0.0,7.047538308392801e-15,7.047538308392801e-15,-2.082227227479698e-15,0.0,0.0,0.0,0.0,-6.406853007629836e-16,-6.7271956580113425e-15,-3.6839404793871596e-15,-3.6839404793871596e-15,-3.043255178624175e-15,-3.043255178624175e-15,-3.043255178624175e-15,-1.7618845770982058e-15,-8.008566259537297e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6839404793871596e-15,-3.6839404793871596e-15,-3.043255178624175e-15,-3.043255178624175e-15,-3.043255178624175e-15,-2.8830838534334283e-15,-8.008566259537297e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6839404793871596e-15,-3.6839404793871596e-15,-3.043255178624175e-15,-3.043255178624175e-15,-3.043255178624175e-15,-1.7618845770982058e-15,-8.008566259537297e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.990677310553915,4.484797105340878e-15,0.0,-5.125482406103878e-15,0.0,1.1532335413733657e-14,0.0,8.969594210681742e-15,1.7939188421363428e-14,0.0,-5.265436896045722,5.125482406103859e-15,1.5696789868693013e-14,0.0,1.60171325190745e-14,0.0,5.125482406103859e-15,0.0,1.8579873722126402e-14,0.0,0.0,6.406853007629834e-16
ArcB,-0.3401063183742163,-0.2504745278328499,-0.25047452783285007,-0.2538180583001285,-0.1203897114883787,0.0,0.0,-0.13039362634700036,-19.489348200901247,1.8911179372539515,0.0,-0.1203897114883787,0.0,0.0,0.0,0.0,-0.1304180795611844,2.5213247443906495,2.5213247443906495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.407350538003032,2.1020586174618865,-13.432042124956759,-1.601600562360845,-13.432042124956759,-14.930176358641535,-14.930176358641535,-1.1341996262812228,-0.1325508435355403,-0.13255084353553978,-0.13255084353554014,-0.13255084353554014,0.0,-4.805139755722377e-16,-0.024474945401299446,-0.13357559432644045,-0.006014366734556008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.958315582978589,0.0,-14.345236963142137,-0.593999502731986,6.406853007629834e-16,6.406853007629834e-16,6.406853007629834e-16,1.2813706015259665e-15,0.0,0.0,1.1532335413733243e-13,1.146826688365695e-13,3.2034265038149143e-15,0.0,0.0,0.0,0.0,-6.406853007629836e-16,1.400239658077599,-4.164454454959399e-15,-4.164454454959399e-15,-3.6839404793871596e-15,-4.164454454959399e-15,-3.6839404793871596e-15,-9.610279511444756e-16,-0.8862237379753334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.164454454959399e-15,-4.164454454959399e-15,-4.164454454959399e-15,-3.6839404793871596e-15,-3.6839404793871596e-15,-9.610279511444756e-16,-0.8862237379753334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.164454454959399e-15,-4.164454454959399e-15,-4.164454454959399e-15,-3.6839404793871596e-15,-3.6839404793871596e-15,-9.610279511444756e-16,-0.8862237379753334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.203426503814918e-16,0.0,-14.990677310553915,4.484797105340878e-15,0.0,9.354005391139256e-14,0.0,1.7682914301057263e-13,0.0,-2.5169546796695714,2.9407455305017946e-13,0.0,-5.265436896047973,-6.7271956580113425e-15,2.646030292150879e-13,0.0,2.646030292150879e-13,0.0,-5.125482406103878e-15,0.0,2.9407455305017946e-13,-6.406853007629836e-16,0.0,6.406853007629834e-16
ArgR,0.7387907889863552,0.3213140793260624,0.32131407932606365,0.3253568333327563,0.14769827618741377,0.0,0.0,0.17175571343519416,-19.38995267347144,3.1217024054024805,0.0,0.14769827618741346,0.0,0.0,0.0,0.0,0.17173599498335312,-2.0280295228669662,-2.0280295228669662,-1.4563577024602046,-16.734913335208837,0.0,-15.950078917390853,-15.481967593596123,-15.950078917390853,0.0,0.0,-0.16385334618905756,0.0,0.0,0.0,-16.688117208234814,-16.688117208234814,-3.7328519286358306,1.1361021361346921,1.1361021361346921,1.136102136134692,2.383723121218355,0.0,0.0,0.0,2.4203781128160653,1.5556755058165144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.316114222322037,0.0,-14.81368452491284,-0.44521120977597733,3.2034265038149143e-15,3.2034265038149143e-15,3.2034265038149143e-15,0.0,-8.008566259537297e-16,0.0,-0.16622582792694893,-0.16622582792694873,-5.125482406103878e-15,0.0,0.0,0.0,-9.610279511444756e-16,-9.610279511444756e-16,-1.7618845770982058e-15,-2.7229125282426824e-15,-2.7229125282426824e-15,-1.7618845770982058e-15,-8.008566259537297e-16,-8.008566259537297e-16,0.0,-2.8657853503156714e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7229125282426824e-15,-2.7229125282426824e-15,-2.7229125282426824e-15,-8.008566259537297e-16,-8.008566259537297e-16,0.0,-4.0693126878018285e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5034273959014387e-12,-2.7229125282426824e-15,-2.7229125282426824e-15,-1.7618845770982058e-15,-8.008566259537297e-16,-8.008566259537297e-16,0.0,-4.0693126878018285e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.203426503814917e-16,0.0,-15.495880878272027,5.44582505648535e-15,0.0,2.4666384079374653e-14,1.9220559022889496e-15,-0.2527723187340011,0.0,-2.5373165973322123,7.27177816365968e-14,-16.05289306000386,-16.052893060003864,1.9220559022889496e-15,-0.5478862542669818,0.0,-0.5478862542669816,0.0,1.9220559022889496e-15,0.0,7.27177816365968e-14,3.203426503814917e-16,0.0,0.0
AscG,-0.9161335803674022,-0.9381591111361347,-0.9381591111361347,-0.9573283774493981,-0.36758167388728574,0.0,0.0,-0.39807441945558264,-19.47358090658338,2.012103002998055,0.0,-0.36758167388728596,0.0,0.0,0.0,0.0,-0.3980507966727325,0.9419608458825826,0.9419608458825826,-0.4330524215639389,-1.0443725730961821,0.0,-0.614695333402534,-13.390488829755121,-0.6146953334025291,0.0,0.0,-0.2067321203663363,0.0,0.0,0.0,1.68558191986447,1.6855819198644695,-18.221546685607706,-0.07574934991053194,-0.07574934991053194,-0.07574934991053228,-0.07574934991053228,0.0,-14.763761158910432,0.07307780007912391,-0.07642531807195432,-0.07633419699192912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.461306445446658,0.0,0.0,-0.36464307615000563,1.2813706015259665e-15,1.2813706015259665e-15,1.2813706015259665e-15,-7.84839493434657e-15,0.0,0.0,-0.04762300200819372,-0.04762300200819339,-2.5307069380138072e-14,0.0,0.0,0.0,-6.406853007629836e-16,0.0,2.9331638988315007,-0.3559939822830583,-0.35599398228306034,-0.3559939822830595,-0.3559939822830595,-0.3559939822830595,0.0,-0.8862192892538353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3559939822830583,-0.3559939822830583,-0.35599398228305906,-0.3559939822830583,-0.3559939822830583,0.0,-0.886219289253838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3559939822830583,-0.3559939822830595,-0.3559939822830595,-0.3559939822830595,-0.3559939822830595,-1.1211992763352217e-15,-0.886219289253838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.61027951144475e-16,0.0,-15.70583123016364,4.8051397557223685e-15,0.0,1.3902871026556073e-13,1.6017132519074577e-15,-0.07399338301534275,0.0,2.25841568518934e-13,4.548865635416466e-13,0.0,0.0,-1.3934905291594958e-14,-0.17242420426787586,0.0,-0.1724242042678735,0.0,-1.3934905291594958e-14,0.0,4.548865635416466e-13,9.61027951144475e-16,0.0,6.406853007629834e-16
BasR,-1.4314888865008448,-0.1855318016925801,-0.18553180169257882,-0.18813324928225017,-0.08455365007192014,0.0,0.0,-0.08376948659850839,-19.44758573408173,2.5367427682862584,0.0,-0.08455365007192032,0.0,0.0,0.0,0.0,-0.08376948659850839,2.2490530435006373,2.2490530435006373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.300437887705906,2.4512041964358637,-13.325136962159096,-14.877120437279373,-13.325136962159096,-16.647392155251797,-16.647392155251797,-1.5338729021998696,-1.3544299720032695,-1.3544299720032695,-1.3544299720032702,-1.35442997200327,-16.409593192974352,0.0,-2.336361396615244,1.472174441210254,2.12325422524009,0.0,0.0,0.0,-15.866880054199243,0.0,0.0,0.0,-14.467317213064474,0.0,-15.647406209513468,-0.5661851453166659,1.2813706015259665e-15,1.2813706015259665e-15,1.2813706015259665e-15,0.0,0.0,0.0,-0.09372406524635032,-0.09372406524634999,0.0,0.0,0.0,-8.008566259537297e-16,-8.008566259537297e-16,-8.008566259537297e-16,0.7925146007861161,-1.4415419267167136e-15,-1.4415419267167136e-15,-1.4415419267167136e-15,-1.4415419267167136e-15,-1.4415419267167136e-15,-1.922055902288952e-15,-12.933553459632599,2.8033185334857104e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4415419267167136e-15,-1.4415419267167136e-15,-1.4415419267167136e-15,-1.4415419267167136e-15,-1.4415419267167136e-15,-1.922055902288952e-15,-12.933553459632599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4415419267167136e-15,-1.4415419267167136e-15,-1.4415419267167136e-15,-1.4415419267167136e-15,-1.4415419267167136e-15,-1.922055902288952e-15,-12.933553459632599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04030679243384318,0.0,0.0,0.0,0.0,1.6863224171224203,0.0,-0.1443761510237296,0.0,-5.926339032057719e-14,-1.2012849389306443e-13,0.0,0.0,0.0,-0.17242413722524885,0.0,-0.17242413722524796,0.0,0.0,0.0,-1.2012849389306443e-13,-0.04030679243384318,0.0,9.61027951144475e-16
BolA,-3.2630352078416367,-0.30754344360353475,-0.30754344360353353,-0.3645998083343114,-0.16017695394089573,0.0,0.0,0.14935192237439704,0.0,0.2824040313665063,0.0,-0.16017695394089573,0.0,0.0,0.0,0.0,0.14935192237439704,0.0,0.0,2.828807893857186,4.287434681242438,0.0,3.3594853888942575,0.0,0.0,0.0,0.0,1.8823355803453568,0.0,0.0,0.0,-15.886952999556144,-15.886952999556144,-1.324905201266047,0.7142769349576343,0.7142769349576348,0.714276934957634,1.2813706015259665e-15,0.0,0.0,1.6150413121777225,0.731646426176277,0.7470944536245492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.886952999556144,-0.853776411634569,2.2423985526704407e-15,2.2423985526704407e-15,2.2423985526704407e-15,1.2813706015259665e-15,0.0,0.0,-1.7888082280130848,-1.7888082280130848,0.0,0.0,0.0,0.0,-6.406853007629836e-16,0.0,0.18442721004797294,0.0,0.0,0.0,-0.3559939822830583,-0.3559939822830583,9.61027951144475e-16,0.8862192892538362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3559939822830583,-0.3559939822830583,9.61027951144475e-16,0.8862192892538362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3559939822830583,-0.3559939822830583,9.61027951144475e-16,0.8862192892538362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.203426503814917e-16,0.0,-15.70023525321766,4.8051397557223685e-15,0.0,1.2333192039686905e-13,-1.7618845770982058e-15,-2.257132666682578,0.0,1.8900216372506775e-13,3.831298098562133e-13,0.0,0.0,1.4095076616785568e-14,-2.9924536487527402,0.0,-2.99245364875274,0.0,1.4095076616785568e-14,0.0,3.831298098562133e-13,3.203426503814917e-16,0.0,0.0
ChpB,0.03324680563360763,0.1114424684236036,0.111442468423603,0.11301900218373383,0.05103669868694519,0.0,0.0,0.05922588236994094,-19.39623892718848,2.6204703329269616,0.0,0.05103669868694364,0.0,0.0,0.0,0.0,0.05922588236994032,-0.036346637939741785,-0.03634663793974162,0.22724876428751628,0.28322626542866713,0.0,0.25263518796668266,0.32227690933764475,0.2526351879666824,0.0,0.0,0.16531780520656575,0.0,0.0,0.0,-15.766435818198602,-15.766435818198602,-0.6434421913367079,-0.30580706764722815,-0.30580706764722776,-0.3058070676472283,-6.406853007629836e-16,0.0,-6.406853007629836e-16,-0.8203663272629033,0.1557122359267135,0.07743928119210246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.34709628385418,0.0,-13.181602723640262,-0.15521904375547077,2.2423985526704407e-15,2.2423985526704407e-15,2.2423985526704407e-15,3.203426503814917e-16,0.0,0.0,-0.04762298117263902,-0.04762298117263886,-1.2813706015259676e-15,0.0,0.0,0.0,-6.406853007629836e-16,-6.406853007629836e-16,1.4002195060797882,-2.40256987786119e-15,-2.40256987786119e-15,-2.40256987786119e-15,-6.406853007629836e-16,-1.6017132519074597e-15,-1.1211992763352217e-15,-0.8862160327025929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.40256987786119e-15,-2.40256987786119e-15,-2.40256987786119e-15,-2.40256987786119e-15,-2.40256987786119e-15,-1.1211992763352217e-15,-0.8862160327025929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.40256987786119e-15,-2.40256987786119e-15,-2.40256987786119e-15,-1.6017132519074597e-15,-1.6017132519074597e-15,-1.1211992763352217e-15,-0.8862160327025929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.203426503814917e-16,0.0,-15.644741203281344,0.0,0.0,0.1854765925107574,0.0,-0.07399333271006842,0.0,1.0250964812207372e-13,2.0630066684566594e-13,-13.660472379220812,-13.66426891354858,7.36788095877429e-15,-0.1724240675528105,0.0,-0.17242406755281015,0.0,7.36788095877429e-15,0.0,2.0565998154490306e-13,3.203426503814917e-16,0.0,0.0
