,ACACT1r,ACACT1r_reverse,ACACT2r,ACACT2r_reverse,ACACT3r,ACACT3r_reverse,ACACT4r,ACACT4r_reverse,ACACT5r,ACACT5r_reverse,ACACT6r,ACACT6r_reverse,ACACT7r,ACACT7r_reverse,ACACT8r,ACACT8r_reverse,ACCOAC,ACKr,ACKr_reverse,ACONTa,ACONTa_reverse,ACONTb,ACONTb_reverse,AKGDH,ALATA_L,ALATA_L_reverse,ANS,ASPTA,ASPTA_reverse,CHORS,CS,CYSTL,DAPDC,DAPE,DHAD1,DHDPRy,DHDPS,DHQS,DHQTi,ECOAH1,ECOAH1_reverse,ECOAH2,ECOAH2_reverse,ECOAH3,ECOAH3_reverse,ECOAH4,ECOAH4_reverse,ECOAH5,ECOAH5_reverse,ECOAH6,ECOAH6_reverse,ECOAH7,ECOAH7_reverse,ECOAH8,ECOAH8_reverse,EDA,EDD,ENO,ENO_reverse,FBA,FBA_reverse,FBP,FUM,FUM_reverse,G6PDH2r,G6PDH2r_reverse,GAPD,GAPD_reverse,GHMT2r,GHMT2r_reverse,GLCptspp,GLNS,GLUPRT,GND,HACD1,HACD1_reverse,HACD2,HACD2_reverse,HACD3,HACD3_reverse,HACD4,HACD4_reverse,HACD5,HACD5_reverse,HACD6,HACD6_reverse,HACD7,HACD7_reverse,HACD8,HACD8_reverse,ICDHyr,ICDHyr_reverse,ICL,IPMD,IPPS,MALS,MDH,MDH_reverse,ME1,ME2,METS,MTHFC,MTHFC_reverse,MTHFD,MTHFD_reverse,MTHFR2,PDH,PFK,PGI,PGI_reverse,PGK,PGK_reverse,PGL,PGM,PGM_reverse,PPC,PPCK,PPS,PRAIS,PSERT,PSP_L,PTAr,PTAr_reverse,PYK,RPE,RPE_reverse,RPI,RPI_reverse,SERAT,SERAT_reverse,SUCDi,SUCOAS,SUCOAS_reverse,TALA,TALA_reverse,THRS,TKT1,TKT1_reverse,TKT2,TKT2_reverse,TPI,TPI_reverse
wildtype,-2.0232381008385425,0.1084652289093281,-2.023238100838567,,-2.023557152471545,,-1.848230587089409,,-1.8465634302207306,,-1.7555461531628513,,-1.6180902985400523,,0.10846522890809171,0.10846522890932808,1.403504208255927,,-0.13012285517176814,1.1402944329890288,,1.1402944329890292,,1.137138311509456,,-0.32308708608086145,0.8883439671407234,,-0.2103430166634635,1.5822500329024902,1.1400692454073038,-0.10846522890933259,-2.493325648078662,-0.7768329752164815,-0.029404542393656353,2.0764678883876733,1.8002938354302285,0.8210828082294755,0.8325715315674593,-2.023238100838567,,-2.023238100838567,,-2.0235571524715446,,-1.8482305870893836,,-1.8465634302207308,,-1.7555461531628513,,-1.6600408076995021,,0.12168798528079872,0.10846522891063749,-0.5995982285387293,-0.5995982285241357,1.4038240810169365,,0.3856824489171455,,,0.9166584039808291,,-1.8510449764083896,,1.0145426830151132,,-1.9304352095045256,,1.3171082957536582,0.3180490162524593,-0.10846515468292996,-2.583426230921349,-2.023238100838567,,-2.023238100838567,,-2.0235571524715446,,-1.8482305870893836,,-1.8465634302207308,,-1.7555461531628513,,-1.660040807699502,,0.15430334996209194,0.10846522890932808,1.1244572637457138,,-1.089069579480859,-0.025817822217434245,-0.0258178222174335,-0.25964527976089236,0.45184371126254386,0.10846522890932812,,-0.5367287223313547,-0.10846522890949693,-1.9870742217054431,,-1.9870742217054431,,-0.10846522890950135,0.7191155205675578,0.38568244891714576,0.5210294791023967,,,1.014542683015114,-1.8510449764101813,,1.4038324570279592,0.1229195086753511,-0.01238256114470185,,-0.10846515445288207,-2.029385395669385,-2.0293853956693853,-0.13012285517176747,,5.331336781674153,-1.8222129798016762,3.002826899237542,,-1.6114094954448048,-0.10846522890914266,,1.098303036446357,0.3827222858893528,2.8114907865135796,-2.107596072843685,3.1539761202949212,0.20326898585064673,-2.088081858607836,3.1539761202949217,-1.3840490414459385,3.1213075485505475,0.36626857158387416,
AlsR,0.546582573510772,0.1084652289093281,0.5465825735110735,,0.5433757485068547,,0.6022230260658683,,0.6546642831730726,,0.6099442808734431,,-1.5947631198301284,,0.10846522890809171,0.10846522890932808,-0.04761469624168097,,-0.13012285517176594,-1.7513848266585312,,-1.7513848266585312,,0.4030907953539436,,-0.270263832146888,1.0135859034917105,,-0.2103430166635213,0.6122759801455675,-1.7417320224322954,-0.10846522890933259,0.42007116896977453,0.6446060858179316,7.672263761636694,-0.511593537718702,-0.6417451211470532,0.6725799238809271,0.6864467321494974,0.5465825735110738,,0.5465825735110735,,0.5433757485068547,,0.6022230260655664,,0.6546642831730766,,0.6099442808734431,,-1.6357407705929117,,0.12168798528079872,0.10846522891063749,-0.5731176573997315,-0.5731176574125625,-1.3030653868903863,,0.22906189674915117,,,-1.8509767739119245,,-1.7518775295745028,,-0.1746952464805844,,0.00447800350384827,,-0.7854464303266223,0.3180490162523964,-0.10846518822148443,0.7360787150405452,0.5465825735110738,,0.5465825735110735,,0.5433757485068547,,0.6022230260655664,,0.6546642831730766,,0.6099442808734433,,-1.6357407705929117,,0.15430334996209194,0.10846522890932808,-1.332417413481574,,0.7298550323621156,7.549346038239478,7.549346038239478,0.8817726361762547,-2.737373184555285,0.10846522890932812,,1.6382267814292797,-0.1084652289091978,0.2789409980322352,,0.2789409980322365,,-0.10846522890917955,0.7991818693781727,0.22906189674915145,-3.9690028155104264,,,-0.1746952464805844,-1.751877529539913,,-1.3030635095821415,0.06936825464103885,-0.3526758610953527,,-0.10846518799143653,3.6451019073279003,3.6451019073279007,-0.13012285517176603,,-0.30967004945057935,0.947386872220308,0.4067677239726617,,1.3574682280104982,-0.10846522890962675,,-1.3660590536118769,0.3827222858893528,-1.643971862407045,0.898197738846913,0.3454579867217294,0.20326898585064673,0.894643440930371,0.34545798672172945,1.1268308846081347,0.3781646445079071,0.14608656400776368,
AppY,-2.00080926828213,0.1084652289093281,-2.000809268282152,,-2.0011535237692546,,-1.8268435641250025,,-1.8252605596120148,,-1.7343769611378932,,-1.5988256706240598,,0.10846522890809171,0.10846522890932808,1.4034937245955181,,-0.1301228551717689,-2.3693388629650713,,-2.3693388629650722,,-1.4566963639766795,,-0.005272950186228708,-0.7398012054221101,,-0.2103430166636654,-0.08056262896652115,-2.357575124447639,-0.10846522890930546,0.42007116896977453,-1.132192740475085,-0.02940454239363312,-0.511593537718702,-0.6417451211470532,-0.0699344978618158,-0.04417726494031339,-2.000809268282152,,-2.000809268282152,,-2.0011535237692546,,-1.82684356412498,,-1.8252605596120148,,-1.7343769611378932,,-1.639972749790548,,0.12168798528079872,0.10846522891063749,-0.6663555798502344,-0.6663555798753061,-0.3260133163692096,,0.18780087586521743,,,-2.449319293744368,,1.3019981395550309,,-0.11002596822397584,,0.11846129543477164,,1.0796326150805022,0.31804901625227294,-0.1084652537851207,0.3485320591116836,-2.000809268282152,,-2.000809268282152,,-2.0011535237692546,,-1.82684356412498,,-1.8252605596120148,,-1.7343769611378932,,-1.6399727497905479,,0.15430334996209194,0.10846522890932808,-1.828903653372193,,0.7298550323621156,-0.02581782221743335,-0.02581782221743171,0.8817726361763073,-0.08086577089645186,0.10846522890932812,,-0.39237414991046127,-0.10846522890934737,0.2789409980319909,,0.2789409980319909,,-0.10846522890937445,-1.3919813095442408,0.1878008758652178,0.077551380611061,,,-0.11002596822397526,1.3019981395555713,,-0.3260090933534359,0.14044802015892985,0.3775641991403897,,-0.10846525397884517,0.12539683580655442,0.12539683580655644,-0.13012285517176894,,0.05059590098563924,0.5306887470388898,-2.168276379156157,,1.659189138335812,-0.10846522890901492,,-2.1260526423432293,0.3827222858893528,-1.658503660929022,0.47598659475224336,-2.4370081310217864,0.20326898585064673,0.47567263317232616,-2.437008131021787,0.6661075216403085,-2.3421495192032573,0.20208212900967978,
ArcA,0.5465825735107713,0.1084652289093281,0.546582573511073,,0.5433757485068542,,0.6022230260658679,,0.5942482872671961,,0.6099442808734428,,0.534580100822501,,0.10846522890809171,0.10846522890932808,-0.5078693487285528,,-0.13012285517176742,0.8157825029798781,,0.8157825029798788,,-1.2885801001493191,,-0.0143065358637787,1.0135859034917105,,-0.21034301666365612,-0.08056262896652115,0.8166658498856908,-0.10846522890933259,0.42007116896977453,0.6446060858179316,-0.02940454239366797,0.0060187475025733584,1.8002938354302285,-0.7381974774302852,-0.7017388623211438,0.5465825735110731,,0.546582573511073,,0.5433757485068543,,0.602223026065566,,0.5942482872672,,0.6099442808734427,,0.5824065638085871,,0.12168798528079872,0.10846522891063749,-0.44514789902336427,-0.4451478993094005,1.2906538329153285,,0.3852654158012159,,,0.6031099832532277,,-1.9449240336696039,,1.25528362414238,,0.1184612954348147,,1.3026538440091036,0.3180490162523062,-0.10846523592614313,-0.16760674625227767,0.5465825735110731,,0.546582573511073,,0.5433757485068543,,0.602223026065566,,0.5942482872672,,0.6099442808734431,,0.5824065638085872,,0.15430334996209194,0.10846522890932808,0.7301360771957759,,0.7298550323621156,-0.02581782221743066,-0.02581782221743171,0.1560973115002848,0.21548001457971588,0.10846522890932812,,-0.32763659523263494,-0.10846522890924766,0.2789409980320539,,0.27894099803205413,,-0.10846522890925207,-1.3333135356203651,0.385265415801216,0.9434906965780037,,,1.2552836241423806,-1.944924033671465,,1.2906619372271124,0.15650928216196064,0.4981098336664807,,-0.10846523569609524,0.12539683580659186,0.1253968358065916,-0.13012285517176747,,0.5710300817804403,-1.98742603856582,0.4067677239726617,,-1.8061774776281099,-0.10846522890930739,,0.510076905313871,0.3827222858893528,-1.443692975057753,-0.17593555190048002,0.3454579867217294,0.20326898585064954,-0.1712462182097837,0.34545798672172945,-1.5573437221914543,0.3781646445079071,0.4165592123412004,
ArcB,0.5465825735107713,0.1084652289093281,0.546582573511073,,0.5433757485068541,,0.6022230260658678,,0.5942482872671961,,0.609944280873443,,0.3985670380507783,,0.10846522890809171,0.10846522890932808,0.032348421848186724,,-0.13012285517176814,-0.3270456320429173,,-0.32704563204291737,,0.7758333552272373,,-0.0143065358637787,1.0135859034917105,,-0.21034301666340893,-0.08056262896652115,-0.32225837811906427,-0.10846522890933259,0.42007116896977453,0.6446060858179316,-0.029404542393653445,0.0060187475025733584,1.8002938354302285,-0.0699344978618158,-0.04417726494031339,0.5465825735110731,,0.546582573511073,,0.5433757485068541,,0.6022230260655659,,0.5942482872671999,,0.609944280873443,,0.44072108553307826,,0.12168798528079872,0.10846522891063749,-0.43436079178458276,-0.4343607917709265,-0.20808604614709242,,0.172302106117765,,,-0.48697217186181113,,0.8136650796651725,,-0.010026492523534214,,0.11846129543508241,,-0.770451065260325,-3.261853868603336,-0.10846513155706748,0.3485320591116836,0.5465825735110731,,0.546582573511073,,0.5433757485068541,,0.6022230260655659,,0.5942482872671999,,0.6099442808734432,,0.4407210855330783,,0.15430334996209194,0.10846522890932808,-0.18805267190596736,,0.7298550323621156,-0.02581782221743066,-0.02581782221743171,0.15609731149997463,0.3319650126718061,0.10846522890932812,,-0.5228820786127509,-0.10846522890941535,0.27894099803244854,,0.27894099803244826,,-0.10846522890939711,0.6740349622651541,0.17230210611776509,0.2433826312702827,,,-0.01002649252353361,0.8136650796653524,,-0.20817125238577766,-0.008564165427671867,-0.6490313208647748,,-0.10846513156917523,0.12539683580684485,0.1253968358068431,-0.13012285517176894,,0.27029091767908364,0.5306887470388898,-2.1726282226789393,,1.6384429589726974,-0.10846522890919645,,-0.19648883550743484,0.3827222858893527,0.5808071211310817,0.47598659475224336,-2.442403022656476,0.20326898585064954,0.47567263317232616,-2.4424030226564764,0.6661075216403085,0.08689270446391927,0.18528906997587932,
ArgR,0.5465825735107716,0.1084652289093281,0.5465825735110732,,0.5433757485068544,,0.6022230260658683,,0.5942482872671966,,0.6099442808734431,,0.5345801008220613,,0.10846522890809171,0.10846522890932808,-0.5078693487285509,,-0.1301228551717667,0.8443027721567835,,0.844302772156784,,0.7758333552272373,,-0.1898750896495369,1.3893117125446715,,-0.21034301666358152,1.0279791456128202,0.845088693670637,-0.10846522890930546,0.42007116896977453,0.6446060858179316,-0.029404542393665065,-1.029205822939977,-1.1301529124625096,1.1180885769265725,1.1248211304033835,0.5465825735110733,,0.5465825735110732,,0.5433757485068544,,0.6022230260655663,,0.5942482872672004,,0.6099442808734431,,0.5824065638079368,,0.12168798528079872,0.10846522890813143,-0.6549846869464256,-0.6549846869315178,0.9004172942299595,,0.3228567077637299,,,1.7440175529330448,,0.23785808264207872,,0.892113461458561,,-0.29089732713862154,,-0.7598045284141406,-3.290814933484826,-0.10846521522183694,0.11392905515814801,0.5465825735110733,,0.5465825735110732,,0.5433757485068546,,0.6022230260655663,,0.5942482872672004,,0.6099442808734433,,0.5824065638079369,,0.15430334996209194,0.10846522890932808,1.6785514208942396,,-1.4108390715832373,-0.02581782221743514,-0.02581782221743171,-1.3306151700578914,0.6095580927451506,0.10846522890932812,,-0.5917035947482794,-0.10846522890929298,-0.5897700872693616,,-0.5897700872693618,,-0.1084652289092974,0.38730122442386866,0.3228567077637296,0.48471083647787305,,,0.8921134614585607,0.2378580826418325,,0.90035211987771,0.046890410194202564,0.05853780229520756,,-0.10846521523394469,-0.26298332182109924,-0.262983321821099,-0.13012285517176675,,0.647681954072349,-1.753878966321095,0.4067677239726617,,-0.29284241005631806,-0.10846522890937124,,-0.18404014564744348,0.3827222858893528,0.5808071211310817,-2.031373874899122,0.3454579867217294,0.20326898585064673,-2.0124446418062663,0.34545798672172945,-1.3171824136444323,0.3781646445079071,0.34854682851414404,
AscG,0.4829733645951721,0.1084652289093281,0.4829733645954653,,0.4798380188899796,,0.54156843745079,,0.5338323586341039,,0.6099442808734431,,0.3985677208176807,,0.10846522890809171,0.10846522890932808,0.6237564076354435,,-0.13012285517176522,-0.2746007633672397,,-0.27460076336723976,,0.7758333552272373,,-0.2628371231817079,1.1388278398426974,,-0.21034301666329497,0.19657281467831433,-0.2699926613951179,-0.10846522890930999,0.42007116896977453,0.6446060858179316,-0.029404542393736213,2.0764678883876733,-0.15333732983159654,0.22707127083528145,0.24807233389561098,0.48297336459546575,,0.4829733645954657,,0.4798380188899798,,0.5415684374504963,,0.5338323586341079,,0.6099442808734431,,0.4407217967747273,,0.12168798528079872,0.10846522891063749,1.6509387865941592,1.6509387865959861,-1.1901337101583305,,-0.008768445482999555,,,-0.43704891807049573,,0.61376664789173,,-0.8418494604849972,,-0.001369188782832232,,-0.7687621856471214,0.31804901625261467,-0.10846507077600485,0.2787721376331696,0.48297336459546575,,0.48297336459546547,,0.47983801888997973,,0.5415684374504961,,0.5338323586341077,,0.6099442808734431,,0.44072179677472734,,0.15430334996209194,0.10846522890932808,-0.14591660009394017,,0.7298550323621156,-0.02581782221743066,-0.02581782221743171,0.8817726361762547,0.3194655410324774,0.10846522890932812,,1.5846344028373343,-0.10846522890951733,0.00555064290772456,,0.005550642907727993,,-0.10846522890952175,-1.211372672943521,-0.008768445482999557,0.11453658623125401,,,-0.8418494604849975,0.6137666478917619,,-1.1900448959821446,0.07691879193116974,-0.434886863265878,,-0.1084650707881126,0.014127550778416688,0.014127550778417224,-0.13012285517176528,,0.3073941645760399,0.3881161616049149,0.4067677239726617,,-0.32938890901078244,-0.10846522890979483,,-0.1468705890286506,-2.658777879974336,0.5808071211310817,0.3793561775715369,0.3454579867217294,0.20326898585064954,0.3797838237307639,0.34545798672172945,-1.0492572447593491,0.3781646445079071,-0.01301634600829625,
BasR,0.5465825735107718,0.1084652289093281,0.5465825735110734,,0.5433757485068546,,0.6022230260658682,,0.5942482872671965,,0.6099442808734428,,-1.4503951861014917,,0.10846522891009697,0.10846522890932808,-0.20211421008751768,,-0.22220555364435662,-1.4552076985740097,,-1.4552076985740101,,-1.2731070300731815,,5.195259872328022,-0.7398012054221101,,4.0147957839710156,0.19657281467831433,-1.4465666370004777,-0.10846522890933259,0.42007116896977453,-1.132192740475085,-0.029404542393665065,-0.511593537718702,-0.6417451211470532,0.22707127083528145,0.24807233389561098,0.5465825735110735,,0.5465825735110734,,0.5433757485068547,,0.6022230260655662,,0.5942482872672004,,0.6099442808734428,,-1.4853519820372185,,0.12168798528079872,0.10846522891063749,-0.6498736390850232,-0.6498736390701444,-0.03703482131017657,,0.18940182818538948,,,0.9157203749343976,,0.7792039361151554,,0.11056504564057083,,-0.11535236980961645,,-0.7659777689935937,0.31804901625220916,-0.10846528811068097,0.3485320591116836,0.5465825735110735,,0.5465825735110734,,0.5433757485068547,,0.6022230260655662,,0.5942482872672004,,0.6099442808734431,,-1.4853519820372183,,0.15430334996209194,0.10846522890932808,-1.0944581802298932,,0.7298550323621156,-0.02581782221743066,-0.02581782221743171,0.8817726361762547,0.7104461933073336,0.10846522890932812,,-0.714189001978059,-0.10846522890932017,0.005550749208389732,,0.005550749208390834,,-0.1084652289093246,0.6299352524980616,0.18940182818538914,-0.0007383275903724778,,,0.11056504564057086,0.7792039361153096,,-0.03702990451456039,0.0018024659518396627,-0.006610461579095825,,-0.10846528812278872,-0.09358578372882506,-0.09358578372882453,-0.22220555364435668,,0.46828872312115644,0.5306887470388898,-2.1547296192725987,,1.9360272248888115,-0.10846522890926368,,-1.372383488214214,0.3827222858893528,-1.427037174570016,0.47598659475224336,-2.420214532455788,0.20326898585065092,0.47567263317232616,-2.4202145324557884,0.6661075216403085,-2.3274336387787358,0.2038042971467941,
BolA,0.546582573510772,0.1084652289093281,0.5465825735110736,,0.5433757485068548,,0.5415684374507902,,0.5338323586341042,,0.6099442808734432,,0.6705924808273217,,0.10846522890809171,0.10846522890932808,-0.4367166316411143,,-0.1301228551717667,0.4548311954783453,,0.454831195478345,,0.7758333552272373,,-0.260892406948088,1.1388278398426974,,-0.2103430166633343,0.6122759801455675,0.4569475539799893,-0.10846522890935746,0.42007116896977453,0.6446060858179316,-0.029404542393653445,2.0764678883876733,-0.15333732983159654,0.6725799238809271,0.6864467321494974,0.5465825735110738,,0.5465825735110736,,0.5433757485068549,,0.5415684374504963,,0.5338323586341079,,0.6099442808734432,,0.7240913308424471,,0.12168798528079872,0.10846522891063749,-0.5544375221064718,-0.5544375220921344,0.8182239085157782,,0.15727559496897878,,,0.26883692209687576,,0.49454365180970833,,-0.1439141067593334,,-3.5369101630632755,,1.3171082957536582,0.31804901625256227,-0.10846509789743518,0.8042215016059834,0.5465825735110738,,0.5465825735110736,,0.5433757485068549,,0.5415684374504963,,0.5338323586341079,,0.6099442808734435,,0.7240913308424471,,0.15430334996209194,0.10846522890932808,-0.08972476703025148,,0.7298550323621156,-0.02581782221743066,-0.02581782221743171,0.8817726361762547,0.46583141005862183,0.10846522890932812,,-0.7493817847386737,-0.10846522890912075,-4.465798693238526,,-4.465798693238526,,-0.10846522890912516,0.6529926233985718,0.15727559496897844,-0.41041945794863427,,,-0.1439141067593328,0.494543651809652,,0.8182308786173567,-0.1053850775663329,6.2268680875025755,,-0.10846509790954292,-4.054083755300595,-4.054083755300595,-0.13012285517176675,,-0.223063438659049,1.1159881537169405,0.4067677239726617,,1.451168301515113,-0.10846522890926368,,0.6374182101005731,0.3827222858893528,0.5808071211310817,0.47598659475224336,0.3454579867217294,0.20326898585064673,0.9997323368539256,0.34545798672172945,0.6661075216403085,0.3781646445079071,0.15406192173653369,
ChpB,0.5465825735107717,0.1084652289093281,0.5465825735110733,,0.5433757485068544,,0.6022230260658683,,0.5942482872671964,,0.6099442808734429,,0.39856822061642183,,0.10846522890809171,0.10846522890932808,0.03234064713100365,,-0.1301228551717667,-0.48701325509113946,,-0.4870132550911398,,0.7758333552272373,,-0.24160709165421437,-0.7398012054221101,,0.2543749635218825,0.6122759801455675,-0.4816795509118724,-0.10846522890933259,0.42007116896977453,0.6446060858179316,-0.029404542393662157,0.0060187475025733584,-0.15333732983159654,0.6725799238809271,0.6864467321494974,0.5465825735110733,,0.5465825735110733,,0.5433757485068544,,0.6022230260655661,,0.5942482872672001,,0.6099442808734429,,0.4407223174175412,,0.12168798528079872,0.10846522891063749,-0.5393124568966959,-0.5393124568824443,0.48757610212999464,,0.2675965357690205,,,-0.23426666079556338,,0.4899432959757837,,0.5668386446563772,,-0.001369107314663909,,-0.7604778668786927,0.31804901625243925,-0.10846516473238851,0.3851393037855154,0.5465825735110733,,0.5465825735110733,,0.5433757485068544,,0.6022230260655662,,0.5942482872672002,,0.6099442808734431,,0.44072231741754125,,0.15430334996209194,0.10846522890932808,-0.08972476703025291,,-1.0918036910841677,-0.02581782221743066,-0.02581782221743171,-1.0014182511261434,0.3467990431528228,0.10846522890932812,,-0.35192789051318574,-0.10846522890921592,0.005550859678800443,,0.0055508596788007075,,-0.10846522890922035,0.7281848435584463,0.26759653576902065,0.3268944311544056,,,0.5668386446563728,0.48994329597572406,,0.4875822784120064,0.15497278805366246,0.04518867798123032,,-0.10846516498665189,0.014127599459876837,0.014127599459876967,-0.13012285517176675,,0.493965979101788,0.5693533979165566,0.4067677239726617,,-0.012282777204344961,-0.10846522890929057,,-0.6013030164007254,0.38272228588935264,0.5808071211310817,0.5157009740246828,0.3454579867217294,0.20326898585064673,0.5150822172065469,0.34545798672172945,0.7073922321785483,0.3781646445079071,0.2886930626360487,
