,PGI,PFK,FBA,TPI,GAPD,PGK,PGM,ENO,GLCptspp,PYK,FBA_reverse,PGK_reverse,ENO_reverse,GAPD_reverse,TPI_reverse,PGI_reverse,PGM_reverse,G6PDH2r,PGL,GND,RPE,RPI,TKT1,TKT2,TALA,G6PDH2r_reverse,RPE_reverse,RPI_reverse,TKT1_reverse,TKT2_reverse,TALA_reverse,EDA,EDD,PDH,CS,ACONTa,ACONTb,ICDHyr,AKGDH,SUCOAS,SUCDi,FUM,MDH,ACONTa_reverse,ACONTb_reverse,ICDHyr_reverse,SUCOAS_reverse,FUM_reverse,MDH_reverse,FBP,PPCK,ME1,ME2,PPC,CHORS,DHQS,DHQTi,DHAD1,IPMD,IPPS,PSERT,PSP_L,SERAT,SERAT_reverse,DAPDC,DAPE,DHDPS,DHDPRy,ACCOAC,ACACT1r,ACACT2r,ACACT3r,ACACT4r,ACACT5r,ACACT6r,ACACT7r,ACACT8r,ACACT1r_reverse,ACACT2r_reverse,ACACT3r_reverse,ACACT4r_reverse,ACACT5r_reverse,ACACT6r_reverse,ACACT7r_reverse,ACACT8r_reverse,ECOAH1,ECOAH2,ECOAH3,ECOAH4,ECOAH5,ECOAH6,ECOAH7,ECOAH8,ECOAH1_reverse,ECOAH2_reverse,ECOAH3_reverse,ECOAH4_reverse,ECOAH5_reverse,ECOAH6_reverse,ECOAH7_reverse,ECOAH8_reverse,HACD1,HACD2,HACD3,HACD4,HACD5,HACD6,HACD7,HACD8,HACD1_reverse,HACD2_reverse,HACD3_reverse,HACD4_reverse,HACD5_reverse,HACD6_reverse,HACD7_reverse,HACD8_reverse,ACKr,ACKr_reverse,ALATA_L,ALATA_L_reverse,ANS,ASPTA,ASPTA_reverse,CYSTL,GHMT2r,GHMT2r_reverse,GLNS,GLUPRT,ICL,MALS,METS,MTHFC,MTHFC_reverse,MTHFD,MTHFD_reverse,MTHFR2,PPS,PRAIS,PTAr,PTAr_reverse,THRS
wildtype,0.5021208491450219,0.4571887001142871,0.457188700114287,0.43458147597977004,0.40770092646814776,0.38346250000634446,0.38346250000634446,0.4241456934394736,0.3834625000063444,2.80545755817998,0.38346250000634446,0.40770092646814776,0.38346250000634446,0.38346250000634446,0.38346250000634446,0.38346250000634446,0.4241456934394736,-2.0567151525264364,-2.0567151525264364,-2.013101628837686,-1.8859842645709475,0.38346250000634446,-1.780577093567069,-1.72382481288812,-1.780577093567069,0.38346250000634446,2.425300662329427,0.15818529619209498,2.1652049944658582,2.369560963485694,2.1652049944658582,-1.7558020381652382,-1.7558020381652382,0.2879156922606462,0.5752682091184963,0.5752682091184963,0.5752682091184963,0.5989818607036983,0.7644749699592094,0.38346250000634446,0.7154327228359703,0.5774495398191576,0.47147302194391677,0.38346250000634446,0.38346250000634446,0.38346250000634446,2.7045754423345127,0.38346250000634446,0.38346250000634446,0.38346250000634446,-1.5232567274052158,0.38346250000634446,-1.5178282742704121,0.3517003207375413,0.383462500006345,0.3834625000063448,0.3834625000063448,0.3834625000063446,0.3834625000063444,0.3834625000063444,0.26202812687785737,0.26202812687785737,0.3834625000063452,0.38346250000634446,0.38346250000634435,0.3834625000063444,0.38346250000634446,0.38346250000634446,1.0358052789805217,-1.5102858153198824,-1.5102858153198824,-1.5102858153198824,-1.5102858153198824,-1.5102858153198824,-1.4634106856822957,-1.4634106856822957,0.38346250000634446,0.38346250000634446,0.38346250000634446,0.38346250000634446,0.38346250000634446,0.38346250000634446,0.38346250000634446,0.38346250000634446,0.38346250000634446,-1.5102858153198824,-1.5102858153198824,-1.5102858153198824,-1.5102858153198824,-1.5102858153198824,-1.4634106856822957,-1.4634106856822957,0.38346250000634446,0.38346250000634446,0.38346250000634446,0.38346250000634446,0.38346250000634446,0.38346250000634446,0.38346250000634446,0.38346250000634446,0.38346250000634446,-1.5102858153198824,-1.5102858153198824,-1.5102858153198824,-1.5102858153198824,-1.5102858153198824,-1.4634106856822957,-1.4634106856822957,0.38346250000634446,0.38346250000634446,0.38346250000634446,0.38346250000634446,0.38346250000634446,0.38346250000634446,0.38346250000634446,0.38346250000634446,0.38346250000634446,0.38346250000634446,0.3834625000063444,0.38346250000634446,-1.7073999266174127,0.38346250000634496,0.38346250000634446,0.3834625000063539,0.38346250000634446,0.2168750156975243,0.38346250000634446,0.38346250000635984,0.3834625000063751,-1.4125534018824613,-0.7070572113616052,0.3834625000063428,0.19528198954483592,0.38346250000634446,0.19528198954483594,0.38346250000634446,0.3834625000063428,0.38346250000634446,0.3834625000063752,0.38346250000634446,0.38346250000634446,0.38346250000634446
AlsR,-3.6486553902521743,0.2887886005535821,0.28878860055358185,0.2151342870887954,0.26113285215936116,0.29597070552557353,0.29597070552557353,0.2077349421136688,-3.7426983288200284,0.29597070552557353,0.29597070552557353,0.26113285215936116,0.29597070552557353,0.29597070552557353,0.29597070552557353,0.29597070552557353,0.2077349421136688,-3.3557409675742145,-3.3557409675151932,0.7909544731179866,0.9239906759454042,0.29597070552557353,0.8485673310832875,1.0359382242269812,0.8485673310832873,0.29597070552557353,0.29597070552557353,0.660635909535844,0.29597070552557353,0.29597070552557353,0.29597070552557353,-3.0033385722638974,-3.003338572308611,0.29597070552557353,-0.048698048046095496,-0.048698048046095496,-0.048698048046095496,-0.048698048046095406,-0.3182294900074158,0.29597070552557353,-0.18216919065606707,-0.052777263481590224,-3.258006332668911,0.29597070552557353,0.29597070552557353,0.29597070552557353,-3.321298704503546,0.29597070552557353,0.29597070552557353,0.29597070552557353,-2.845881861450284,0.29597070552557353,0.3710244310300983,0.21677853128871138,0.29597070552557403,0.29597070552557403,0.29597070552557403,0.4707669081010967,0.5745522699777363,0.5745522699777363,0.6059125547335713,0.6059125547335713,0.29597070552557,0.29597070552557353,0.29597070552557353,0.29597070552557353,0.29597070552557336,0.29597070552557336,0.5414213459202252,0.29597070552557353,0.29597070552557336,0.29597070552557336,0.29597070552557336,0.36921530612392467,0.29597070552557353,-2.5586006438494295,0.29597070552557353,0.29597070552557353,0.29597070552557353,0.29597070552557353,0.29597070552557353,0.29597070552557353,0.29597070552557353,0.29597070552557353,0.29597070552557353,0.29597070552557353,0.29597070552557336,0.29597070552557336,0.29597070552557353,0.36921530612392467,0.29597070552557353,-2.5586006438494295,0.29597070552557353,0.29597070552557353,0.29597070552557353,0.29597070552557353,0.29597070552557353,0.29597070552557353,0.29597070552557353,0.29597070552557353,0.29597070552557353,0.29597070552557353,0.29597070552557336,0.29597070552557336,0.29597070552557353,0.36921530612392467,0.29597070552557353,-2.5586006438494295,0.29597070552557353,0.29597070552557353,0.29597070552557353,0.29597070552557353,0.29597070552557353,0.29597070552557353,0.29597070552557353,0.29597070552557353,0.29597070552557353,0.29597070552557353,0.2959707055255737,0.29597070552557353,-2.939846159247417,0.2959707055255745,0.29597070552557353,0.2959707055255836,0.29597070552557353,0.2814896826319156,0.29597070552557353,0.29597070552558846,0.2959707055256032,0.29597070552557353,0.29597070552557353,0.2959707055255753,0.29597070552560034,0.29597070552557353,0.2959707055256005,0.29597070552557353,0.29597070552557564,0.29597070552557353,0.29597070552560334,0.2959707055255737,0.29597070552557353,0.29597070552557353
AppY,0.37048649081288354,0.510899888318099,0.5108998883180987,0.5104847718218248,0.5174490917291412,0.5411345267837747,0.5411345267837747,0.5154875771996588,0.1913024478302071,0.7264983912756575,0.5411345267837747,0.5174490917291412,0.5411345267837747,0.5411345267837747,0.5411345267837747,0.5411345267837747,0.5154875771996588,1.5477715072339762,1.5477715072339757,0.5411345267837747,0.5411345267837747,0.5411345267837747,0.5411345267837747,0.5411345267837747,0.5411345267837747,0.5411345267837747,-1.8859037787421336,0.8766610462126357,-1.5742183259617168,-1.8191080238047252,-1.5742183259617168,-2.1063952953210503,-2.106395295371397,-2.592339570020182,0.17119394648368486,0.17119394648368486,0.1711939464836848,0.17119394648368486,-2.2801556038524056,0.5411345267837747,-0.06133087758118407,0.16559256547556403,0.17371398476266084,0.5411345267837747,0.5411345267837747,0.5411345267837747,-2.2511385410427174,0.5411345267837747,0.5411345267837747,0.5411345267837747,-1.6009851385536307,0.5411345267837747,-1.5822434261412828,0.5104931148881074,0.5411345267837748,0.5411345267837748,0.5411345267837748,0.5411345267837753,0.5411345267837747,0.5411345267837747,0.5411345267837734,0.5411345267837735,0.5411345267837766,0.5411345267837747,0.5411345267837747,0.5411345267837746,0.5411345267837746,0.5411345267837746,1.3228679982013942,-1.708440201924368,-1.708440201924368,-1.708440201924368,-1.708440201924368,-1.708440201924368,-1.6522674610776986,-1.6522674610776986,0.5411345267837747,0.5411345267837747,0.5411345267837747,0.5411345267837747,0.5411345267837747,0.5411345267837747,0.5411345267837747,0.5411345267837747,0.5411345267837747,-1.708440201924368,-1.708440201924368,-1.708440201924368,-1.708440201924368,-1.708440201924368,-1.6522674610776986,-1.6522674610776986,0.5411345267837747,0.5411345267837747,0.5411345267837747,0.5411345267837747,0.5411345267837747,0.5411345267837747,0.5411345267837747,0.5411345267837747,0.5411345267837747,-1.708440201924368,-1.708440201924368,-1.708440201924368,-1.708440201924368,-1.708440201924368,-1.6522674610776986,-1.6522674610776986,0.5411345267837747,0.5411345267837747,0.5411345267837747,0.5411345267837747,0.5411345267837747,0.5411345267837747,0.5411345267837747,0.5411345267837747,0.5411345267837747,0.5411345267837747,0.5411345267837747,0.5411345267837747,-1.8201565586800128,0.5411345267837747,0.5411345267837747,0.5411345267837734,0.541134526783775,0.5411345267837724,0.5411345267837747,0.5411345267837725,0.54113452678377,0.5411345267837747,0.541134526783835,0.5411345267837745,0.5411345267837709,0.5411345267837747,0.5411345267837709,0.5411345267837747,0.5411345267837742,0.5411345267837747,0.54113452678377,0.5411345267837747,0.5411345267837747,0.5411345267837747
ArcA,0.8978983348462645,0.42214294216175546,0.4221429421617555,0.4239131939989587,0.3576045862788712,0.30310634527281277,0.30310634527281277,0.36240219321373585,0.27433595423796375,0.9153630779702848,0.30310634527281277,0.3576045862788712,0.30310634527281277,0.30310634527281277,0.30310634527281277,0.30310634527281277,0.3624021932137358,-3.80605835914132,-3.80605835914132,-0.379997390812555,-3.629501269740226,0.30310634527281277,-0.5810467189159477,-3.397332375634964,-0.5810467189159475,0.30310634527281277,0.30310634527281277,-0.11037191051068551,0.30310634527281277,0.30310634527281277,0.30310634527281277,-2.8983208961118123,-2.898320896621028,-3.817329370501591,0.5387368512011863,0.5387368512011863,0.5387368512011863,0.5387368512011863,-3.221826382758913,0.30310634527281277,0.5940550695560523,0.5406763394537193,0.1621094793016993,0.30310634527281277,0.30310634527281277,0.30310634527281277,-3.1077620999160493,0.30310634527281277,0.30310634527281277,0.30310634527281277,-2.5315713771696062,0.30310634527281277,-2.4719502546086347,0.2708926796601659,0.3031063452728129,0.30310634527281255,0.30310634527281255,0.3031063452728127,0.30310634527281277,0.30310634527281277,0.30310634527281427,0.30310634527281427,0.3031063452728123,0.30310634527281277,0.30310634527281277,0.30310634527281277,0.30310634527281277,0.3031063452728126,0.30310634527281133,0.30310634527281194,0.30310634527281194,0.3031063452728121,0.3031063452728121,0.3031063452728121,0.3031063452728124,0.30310634527281255,0.30310634527281277,0.30310634527281277,0.30310634527281277,0.30310634527281277,0.30310634527281277,0.30310634527281277,0.30310634527281277,0.30310634527281277,0.30310634527281277,0.30310634527281194,0.30310634527281194,0.3031063452728121,0.3031063452728121,0.3031063452728121,0.30310634527281216,0.30310634527281255,0.30310634527281277,0.30310634527281277,0.30310634527281277,0.30310634527281277,0.30310634527281277,0.30310634527281277,0.30310634527281277,0.30310634527281277,0.30310634527281277,0.30310634527281194,0.30310634527281194,0.3031063452728121,0.3031063452728121,0.3031063452728121,0.3031063452728124,0.30310634527281255,0.30310634527281277,0.30310634527281277,0.30310634527281277,0.30310634527281277,0.30310634527281277,0.30310634527281277,0.30310634527281277,0.30310634527281277,0.30310634527281277,0.30310634527281277,0.30310634527281277,0.30310634527281277,-2.8928947215359284,0.3031063452728137,0.30310634527281277,0.30310634527281166,0.30310634527281277,0.3031063452728152,0.30310634527281277,0.30310634527281466,0.3031063452728166,0.30310634527281277,-0.8194808192930302,0.3031063452728138,0.3031063452728161,0.30310634527281277,0.30310634527281616,0.30310634527281277,0.3031063452728138,0.30310634527281277,0.3031063452728167,0.30310634527281277,0.30310634527281277,0.3031063452728129
ArcB,0.1755496185410199,0.19925725782790055,0.19925725782790052,0.19837289287452664,0.23366473629026072,0.2655078561987142,0.2655078561987142,0.2310186973849528,-4.889431415823773,0.7657091980950914,0.2655078561987142,0.23366473629026072,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.23101222950142863,0.9323991143568696,0.9323991143568696,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.2655078561987142,-3.8097416363674768,0.8215030802332708,-3.287271884798373,-0.15811604091167913,-3.287271884798373,-3.6835289025485016,-3.6835289025485016,-0.03448833328698307,0.23044811269998255,0.23044811269998267,0.23044811269998258,0.23044811269998258,0.2655078561987142,0.26550785619871403,0.2590342247601866,0.23017706576492888,0.2639170541381879,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.2655078561987142,-3.9554720794063467,0.2655078561987142,-3.5288122321637263,0.10839478434886415,0.26550785619871436,0.26550785619871436,0.26550785619871436,0.26550785619871453,0.2655078561987142,0.2655078561987142,0.2655078561987447,0.2655078561987445,0.265507856198715,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.265507856198714,0.6358717251829917,0.26550785619871303,0.26550785619871303,0.2655078561987132,0.26550785619871303,0.2655078561987132,0.2655078561987139,0.03110137407344978,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.26550785619871303,0.26550785619871303,0.26550785619871303,0.2655078561987132,0.2655078561987132,0.2655078561987139,0.03110137407344978,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.26550785619871303,0.26550785619871303,0.26550785619871303,0.2655078561987132,0.2655078561987132,0.2655078561987139,0.03110137407344978,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.2655078561987142,0.26550785619871414,0.2655078561987142,-3.699531425044017,0.26550785619871536,0.2655078561987142,0.2655078561987389,0.2655078561987142,0.26550785619876094,0.2655078561987142,-0.40022751834446624,0.2655078561987919,0.2655078561987142,-1.1272020056189684,0.2655078561987124,0.2655078561987842,0.2655078561987142,0.2655078561987842,0.2655078561987142,0.2655078561987128,0.2655078561987142,0.2655078561987919,0.265507856198714,0.2655078561987142,0.26550785619871436
ArgR,0.4601570231968416,0.36842016978376735,0.3684201697837677,0.3693085295966992,0.33026961643749,0.29781421282229464,0.29781421282229464,0.3355560277347566,-3.962958196589744,0.9837809969254758,0.29781421282229464,0.3302696164374899,0.29781421282229464,0.29781421282229464,0.29781421282229464,0.29781421282229464,0.33555169477752994,-0.14782752658880066,-0.14782752658880066,-0.022207647023029544,-3.3795365375028585,0.29781421282229464,-3.2070760426419835,-3.104212675900158,-3.2070760426419835,0.29781421282229464,0.29781421282229464,0.26180887395484376,0.29781421282229464,0.29781421282229464,0.29781421282229464,-3.3692534981352043,-3.3692534981352043,-0.5224473305548802,0.5474627146744725,0.5474627146744725,0.5474627146744724,0.8216165076293591,0.29781421282229464,0.29781421282229464,0.29781421282229464,0.8296711212479077,0.6396602907784211,0.29781421282229464,0.29781421282229464,0.29781421282229464,0.29781421282229464,0.29781421282229464,0.29781421282229464,0.29781421282229464,-2.8480266004931316,0.29781421282229464,-2.9573633200160336,0.1999829457264362,0.29781421282229537,0.29781421282229537,0.29781421282229537,0.29781421282229464,0.2978142128222945,0.29781421282229464,0.2612875418556441,0.2612875418556442,0.29781421282229353,0.29781421282229464,0.29781421282229464,0.29781421282229464,0.2978142128222945,0.2978142128222945,0.29781421282229426,0.2978142128222941,0.2978142128222941,0.29781421282229426,0.2978142128222945,0.2978142128222945,0.29781421282229464,0.2978142128216649,0.29781421282229464,0.29781421282229464,0.29781421282229464,0.29781421282229464,0.29781421282229464,0.29781421282229464,0.29781421282229464,0.29781421282229464,0.29781421282229464,0.2978142128222941,0.2978142128222941,0.2978142128222941,0.2978142128222945,0.2978142128222945,0.29781421282229464,0.2978142128214004,0.29781421282229464,0.29781421282229464,0.29781421282229464,0.29781421282229464,0.29781421282229464,0.29781421282229464,0.29781421282229464,0.29781421282229464,0.2978142128215248,0.2978142128222941,0.2978142128222941,0.29781421282229426,0.2978142128222945,0.2978142128222945,0.29781421282229464,0.2978142128214004,0.29781421282229464,0.29781421282229464,0.29781421282229464,0.29781421282229464,0.29781421282229464,0.29781421282229464,0.29781421282229464,0.29781421282229464,0.29781421282229464,0.29781421282229464,0.2978142128222947,0.29781421282229464,-3.107269998445999,0.29781421282229587,0.29781421282229464,0.2978142128223001,0.2978142128222951,0.24226970790978636,0.29781421282229464,-0.2597389041921376,0.29781421282231063,-3.229668550706338,-3.229668550706339,0.2978142128222951,0.1774210032570788,0.29781421282229464,0.17742100325707885,0.29781421282229464,0.2978142128222951,0.29781421282229464,0.29781421282231063,0.2978142128222947,0.29781421282229464,0.29781421282229464
AscG,-0.055063617479668564,-0.06173352284101143,-0.06173352284101143,-0.06753847680549667,0.11105221148371833,0.22236553251717484,0.22236553251717484,0.1018182125720203,-5.674742830371974,0.83168281745283,0.22236553251717484,0.11105221148371827,0.22236553251717484,0.22236553251717484,0.22236553251717484,0.22236553251717484,0.10182536616698408,0.5076158523435815,0.5076158523435815,0.09122596095996012,-0.0938977302243723,0.22236553251717484,0.03621974820425739,-3.8326238420578487,0.03621974820425887,0.22236553251717484,0.22236553251717484,0.15976165284356109,0.22236553251717484,0.22236553251717484,0.22236553251717484,0.73280371456756,0.73280371456756,-5.295594202774522,0.1994266530689785,0.1994266530689785,0.1994266530689784,0.1994266530689784,0.22236553251717484,-4.248486531905932,0.24449539697587097,0.19922195227373735,0.19924954611411164,0.22236553251717484,0.22236553251717484,0.22236553251717484,0.22236553251717484,0.22236553251717484,0.22236553251717484,0.22236553251717484,-4.459721443577265,0.22236553251717484,0.22236553251717484,0.11194209554637798,0.22236553251717525,0.22236553251717525,0.22236553251717525,0.22236553251717245,0.22236553251717484,0.22236553251717484,0.2079440450282732,0.20794404502827332,0.22236553251716717,0.22236553251717484,0.22236553251717484,0.22236553251717484,0.22236553251717464,0.22236553251717484,1.1106040871261105,0.11456126682354896,0.11456126682354834,0.11456126682354859,0.11456126682354859,0.11456126682354859,0.22236553251717484,-0.046004789668699385,0.22236553251717484,0.22236553251717484,0.22236553251717484,0.22236553251717484,0.22236553251717484,0.22236553251717484,0.22236553251717484,0.22236553251717484,0.22236553251717484,0.11456126682354896,0.11456126682354896,0.11456126682354872,0.11456126682354896,0.11456126682354896,0.22236553251717484,-0.04600478966870019,0.22236553251717484,0.22236553251717484,0.22236553251717484,0.22236553251717484,0.22236553251717484,0.22236553251717484,0.22236553251717484,0.22236553251717484,0.22236553251717484,0.11456126682354896,0.11456126682354859,0.11456126682354859,0.11456126682354859,0.11456126682354859,0.2223655325171745,-0.04600478966870019,0.22236553251717484,0.22236553251717484,0.22236553251717484,0.22236553251717484,0.22236553251717484,0.22236553251717484,0.22236553251717484,0.22236553251717484,0.22236553251717484,0.22236553251717484,0.22236553251717514,0.22236553251717484,-4.533769928024246,0.22236553251717628,0.22236553251717484,0.22236553251721694,0.2223655325171753,0.19995840565789633,0.22236553251717484,0.22236553251724323,0.2223655325173126,0.22236553251717484,0.22236553251717484,0.22236553251717062,0.1701509849293273,0.22236553251717484,0.17015098492932798,0.22236553251717484,0.22236553251717062,0.22236553251717484,0.2223655325173126,0.22236553251717514,0.22236553251717484,0.22236553251717506
BasR,0.007503432874876209,0.2801530285853088,0.2801530285853091,0.2795837604762916,0.30224981871608325,0.3207524772659145,0.3207524772659145,0.30242141519930366,-3.9349128683485555,0.8758613960462479,0.3207524772659145,0.3022498187160832,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.30242141519930366,0.8129069908671034,0.8129069908671034,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.3207524772659145,-3.0274031335010174,0.857143209587806,-2.595153094295487,-2.9347696607087133,-2.595153094295487,-3.322153683872777,-3.322153683872777,-0.014900998889196479,0.024366037646598226,0.024366037646598226,0.02436603764659808,0.02436603764659813,-3.270116746392476,0.3207524772659145,-0.19050749949214105,0.6429046373244416,0.7853787578663123,0.3207524772659145,0.3207524772659145,0.3207524772659145,-3.151356221107976,0.3207524772659145,0.3207524772659145,0.3207524772659145,-2.845093471403832,0.3207524772659145,-3.1033293221463647,0.19685563294434869,0.32075247726591477,0.32075247726591477,0.32075247726591477,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.3002430802655451,0.30024308026554514,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.32075247726591427,0.32075247726591427,0.32075247726591427,0.49417641628721787,0.32075247726591416,0.32075247726591416,0.32075247726591416,0.32075247726591416,0.32075247726591416,0.32075247726591405,-2.5094638799938926,0.3207524772665279,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.32075247726591416,0.32075247726591416,0.32075247726591416,0.32075247726591416,0.32075247726591416,0.32075247726591405,-2.5094638799938926,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.32075247726591416,0.32075247726591416,0.32075247726591416,0.32075247726591416,0.32075247726591416,0.32075247726591405,-2.5094638799938926,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.31193224517649,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.6897660900715435,0.3207524772659145,0.289159014146833,0.3207524772659145,0.3207524772659015,0.3207524772658882,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.28302134520816896,0.3207524772659145,0.2830213452081692,0.3207524772659145,0.3207524772659145,0.3207524772659145,0.3207524772658882,0.31193224517649,0.3207524772659145,0.32075247726591466
BolA,-1.0277834754170396,0.04972767712211453,0.049727677122114976,0.02892610695208154,0.10345445046095815,0.16185165404631757,0.16185165404631757,0.2163022750762363,0.16185165404631757,0.2648103213657211,0.16185165404631757,0.10345445046095815,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.2163022750762363,0.16185165404631757,0.16185165404631757,1.1931764883443006,1.724961638219395,0.16185165404631757,1.3866505241115408,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.8481122639337701,0.16185165404631757,0.16185165404631757,0.16185165404631757,-5.63020273230724,-5.63020273230724,-0.3211813720292331,0.42226224721091793,0.4222622472109181,0.42226224721091776,0.16185165404631804,0.16185165404631757,0.16185165404631757,0.7506623036782849,0.4285948043604531,0.43422683557152136,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,-5.63020273230724,-0.14941756227926511,0.1618516540463184,0.1618516540463184,0.1618516540463184,0.16185165404631804,0.16185165404631757,0.16185165404631757,-0.49031081812175575,-0.49031081812175575,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631735,0.16185165404631757,0.22908999930680615,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.03206361308870502,0.03206361308870502,0.16185165404631793,0.4849488723572941,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.03206361308870502,0.03206361308870502,0.16185165404631793,0.4849488723572941,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.03206361308870502,0.03206361308870502,0.16185165404631793,0.4849488723572941,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.16185165404631757,0.1618516540463177,0.16185165404631757,-5.562129304903,0.16185165404631935,0.16185165404631757,0.16185165404636256,0.16185165404631693,-0.6610522195288091,0.16185165404631757,0.1618516540463865,0.16185165404645727,0.16185165404631757,0.16185165404631757,0.16185165404632273,-0.9291350369007922,0.16185165404631757,-0.9291350369007921,0.16185165404631757,0.16185165404632273,0.16185165404631757,0.16185165404645727,0.1618516540463177,0.16185165404631757,0.16185165404631757
ChpB,0.24930751199167578,0.2713832978518556,0.27138329785185544,0.2718283765230787,0.25432986048913264,0.23992144970234328,0.23992144970234328,0.2566417875053536,-5.235922117215766,0.9797187716843847,0.23992144970234328,0.2543298604891322,0.23992144970234328,0.23992144970234328,0.23992144970234328,0.23992144970234328,0.2566417875053534,0.22966025915459998,0.22966025915460003,0.30407711867946596,0.319880390678052,0.23992144970234328,0.3112440795172066,0.33090496188671265,0.31124407951720656,0.23992144970234328,0.23992144970234328,0.28659309792938503,0.23992144970234328,0.23992144970234328,0.23992144970234328,-4.211175305312956,-4.211175305312956,0.05826825408327255,0.15358761609778399,0.1535876160977841,0.15358761609778396,0.23992144970234308,0.23992144970234328,0.23992144970234308,0.008319967965494104,0.2838813044242052,0.2617836979110996,0.23992144970234328,0.23992144970234328,0.23992144970234328,0.23992144970234328,0.23992144970234328,0.23992144970234328,0.23992144970234328,-3.8104748763489673,0.23992144970234328,-3.4814388999444965,0.19610083038525702,0.2399214497023439,0.2399214497023439,0.2399214497023439,0.23992144970234336,0.23992144970234328,0.23992144970234328,0.22647678158546844,0.22647678158546847,0.2399214497023429,0.23992144970234328,0.23992144970234328,0.23992144970234328,0.23992144970234308,0.23992144970234308,0.6352240134324995,0.23992144970234258,0.23992144970234258,0.23992144970234258,0.23992144970234308,0.23992144970234283,0.23992144970234294,-0.010270372526235642,0.23992144970234328,0.23992144970234328,0.23992144970234328,0.23992144970234328,0.23992144970234328,0.23992144970234328,0.23992144970234328,0.23992144970234328,0.23992144970234328,0.23992144970234258,0.23992144970234258,0.23992144970234258,0.23992144970234258,0.23992144970234258,0.23992144970234294,-0.010270372526235642,0.23992144970234328,0.23992144970234328,0.23992144970234328,0.23992144970234328,0.23992144970234328,0.23992144970234328,0.23992144970234328,0.23992144970234328,0.23992144970234328,0.23992144970234258,0.23992144970234258,0.23992144970234258,0.23992144970234283,0.23992144970234283,0.23992144970234294,-0.010270372526235642,0.23992144970234328,0.23992144970234328,0.23992144970234328,0.23992144970234328,0.23992144970234328,0.23992144970234328,0.23992144970234328,0.23992144970234328,0.23992144970234328,0.23992144970234328,0.23992144970234336,0.23992144970234328,-4.176819125399687,0.23992144970234328,0.23992144970234328,0.29228422012018224,0.23992144970234328,0.2190320434398071,0.23992144970234328,0.2399214497023722,0.2399214497024015,-3.6166308478652542,-3.617702665352827,0.23992144970234533,0.19124359908216793,0.23992144970234328,0.191243599082168,0.23992144970234328,0.23992144970234533,0.23992144970234328,0.2399214497024013,0.23992144970234336,0.23992144970234328,0.23992144970234328
