,ACACT1r,ACACT1r_reverse,ACACT2r,ACACT2r_reverse,ACACT3r,ACACT3r_reverse,ACACT4r,ACACT4r_reverse,ACACT5r,ACACT5r_reverse,ACACT6r,ACACT6r_reverse,ACACT7r,ACACT7r_reverse,ACACT8r,ACACT8r_reverse,ACCOAC,ACKr,ACKr_reverse,ACONTa,ACONTa_reverse,ACONTb,ACONTb_reverse,AKGDH,ALATA_L,ALATA_L_reverse,ANS,ASPTA,ASPTA_reverse,CHORS,CS,CYSTL,DAPDC,DAPE,DHAD1,DHDPRy,DHDPS,DHQS,DHQTi,ECOAH1,ECOAH1_reverse,ECOAH2,ECOAH2_reverse,ECOAH3,ECOAH3_reverse,ECOAH4,ECOAH4_reverse,ECOAH5,ECOAH5_reverse,ECOAH6,ECOAH6_reverse,ECOAH7,ECOAH7_reverse,ECOAH8,ECOAH8_reverse,EDA,EDD,ENO,ENO_reverse,FBA,FBA_reverse,FBP,FUM,FUM_reverse,G6PDH2r,G6PDH2r_reverse,GAPD,GAPD_reverse,GHMT2r,GHMT2r_reverse,GLCptspp,GLNS,GLUPRT,GND,HACD1,HACD1_reverse,HACD2,HACD2_reverse,HACD3,HACD3_reverse,HACD4,HACD4_reverse,HACD5,HACD5_reverse,HACD6,HACD6_reverse,HACD7,HACD7_reverse,HACD8,HACD8_reverse,ICDHyr,ICDHyr_reverse,ICL,IPMD,IPPS,MALS,MDH,MDH_reverse,ME1,ME2,METS,MTHFC,MTHFC_reverse,MTHFD,MTHFD_reverse,MTHFR2,PDH,PFK,PGI,PGI_reverse,PGK,PGK_reverse,PGL,PGM,PGM_reverse,PPC,PPCK,PPS,PRAIS,PSERT,PSP_L,PTAr,PTAr_reverse,PYK,RPE,RPE_reverse,RPI,RPI_reverse,SERAT,SERAT_reverse,SUCDi,SUCOAS,SUCOAS_reverse,TALA,TALA_reverse,THRS,TKT1,TKT1_reverse,TKT2,TKT2_reverse,TPI,TPI_reverse
wildtype,-0.04707598124399392,0.1084652289093281,-0.11397698422852888,,-0.12403108322159795,,-0.9304521493076355,,-0.9314794083141119,,-0.7437458498054893,,-0.05692362522486231,,0.10846522891335149,0.10846522890932808,2.1664048339241515,,-2.406806384178121,2.067551318156629,,2.0675513181566294,,0.985948344756602,,-0.5942195939546506,0.43186568047057733,,2.3165089556466048,-3.524895895946077,1.7787702323507442,0.1497361673870557,-1.8486756565253555,0.21733032996966453,0.10846522890933424,1.3470699344692052,1.8945315121312412,-3.7887956470844806,-3.8658679715270976,-0.11397698422852895,,-0.11397698422852898,,-0.1240310832215979,,-3.507510098070613,,-0.9314794083141893,,-0.7437458498054894,,-0.028964030731652046,,0.12168798528079872,0.10846522891419971,-0.5159034634205488,-0.5159034634305549,-0.059640474188316424,,0.32938651928972945,,,2.0062811826999507,,-3.104429166635244,,-0.8433970732840046,,-2.5290134775193236,,0.3214246151580566,0.32505130164942214,-0.10846522715109244,-3.6953396731412136,-0.11397698422852898,,-0.11397698422852852,,-0.12403108322159792,,-3.507510098070613,,-0.9314794083141893,,-0.7437458498054893,,-0.028964030731652025,,0.15430334996209194,0.10846522890932808,1.7745484288190099,,-0.9944806703328847,0.10846522890932724,0.10846522890932211,-1.1485144592429124,0.5217773757713785,0.10846522890932812,,-0.19896687127216875,-4.476435259630775,-2.5417467397355833,,-2.5417467397355833,,-4.477514785482806,-1.8861230145010008,0.32938651928974916,0.5839218980086256,,,-0.843397073284005,-3.104429166635244,,-0.059768051931969296,0.26279991965182053,-0.01238256114470185,,-0.1084652269794255,-2.579316708224966,-2.579316708224966,-2.406806384178121,,3.4592260061983424,-3.0008439644043032,3.378698486601907,,0.893525328111849,-0.10846522890930962,,0.7560006726371669,0.6125302923283434,3.5881359177015835,-1.0746446628752688,3.7201193556180727,2.755467595474883,-3.2726628867093455,3.7144422124235414,-1.989912791887286,3.278066175130386,-0.6962470844235785,
AlsR,-0.04707598124399088,0.1084652289093281,-0.11397698422852899,,-0.12403108322159848,,-0.14272773007924522,,-0.14951491187964025,,-0.16512379821735837,,0.10278969934039017,,0.1084652289108279,0.10846522890932808,0.34447126753739865,,0.42873651291977355,-2.5028224581996543,,-2.5028224581996543,,-2.9201106204667537,,-0.5942160272874214,0.43186568047057733,,0.10793519260928915,0.6358635733863496,-2.3913820277005358,0.1497361673870557,0.4756826250708517,0.21733032996966453,0.10846522890932901,1.3470699344692052,1.8945315121312412,0.6004430502511047,0.611238313622312,-0.11397698422852853,,-0.11397698422852907,,-0.12403108322159842,,-0.15682216392907908,,-0.14951491187964377,,-0.16512379821735843,,0.13753661402471007,,0.12168798528079872,0.10846522891061515,2.283032596276291,2.283032596277414,-1.5628798212888237,,-2.731160118963318,,,-2.4709118595662884,,0.5028463833908493,,-1.5398376655980532,,-0.01959050867031051,,0.1690926619500886,0.32505130164948215,-0.1084652086729933,0.3064818663328368,-0.11397698422852856,,-0.11397698422852905,,-0.12403108322159845,,-0.15682216392908072,,-0.14951491187964372,,-0.1651237982173584,,0.1375366140247101,,0.15430334996209194,0.10846522890932808,-2.5449156098721564,,0.7777707008560968,0.10846522890932724,0.10846522890932525,0.7898048854101618,-0.46480224876105064,0.10846522890932812,,-0.6463949382230413,-0.004265432482560381,0.18650337858174867,,0.18650337858174948,,-0.010876994498918373,0.5727034774397047,-2.731160118961523,-2.2857299617035216,,,-1.539837665598054,0.5028463833908493,,-1.5628427690612317,-0.026884393351957206,-0.3526758610953527,,-0.10846520867798119,-0.008419939655287279,-0.00841993965528725,0.4287365129197736,,0.1479310488086421,0.4544449351372197,0.38958123929040267,,-0.15794025659464211,-0.10846522890931612,,-3.6697279368828295,0.6125302923283434,-2.8381263614302408,-0.9325367982787619,0.3011494064534767,0.06447766628376142,0.4346221624244977,0.3468563301902131,0.6130110825884868,0.412518951758229,-1.3093650960642884,
AppY,-0.04707598124399847,0.1084652289093281,-0.11397698422852952,,-0.12403108322159848,,-0.14272773007924522,,-0.14951491187964075,,-0.16512379821735892,,0.10278969934039017,,0.1084652289108279,0.10846522890932808,0.34447126753740437,,0.42873651291977355,-0.8050967518354071,,-0.8050967518354076,,0.1582392989349256,,0.8594593267743038,0.43186568047057733,,0.1079351926080093,0.311648549802006,-0.8439914290681628,0.18275491199035443,0.4756826250708517,0.21733032996966453,0.10846522890940234,1.3470699344692052,-0.2492804621225317,0.2906144363215353,0.2952072817294138,-0.11397698422852959,,-0.1139769842285296,,-0.12403108322159842,,-0.156822163929083,,-0.14951491187964427,,-0.16512379821735895,,0.13753661402471007,,0.12168798528079872,0.10846522891061515,-0.5976796268998225,-0.5976796269101537,-0.00566461810009367,,0.3114374328411586,,,-0.79799510091487,,1.4230043489211257,,0.02579815539141762,,0.08160347005918374,,0.3618470792069193,0.325051301649258,-0.10846527838100407,0.22287889190626609,-0.1139769842285296,,-0.11397698422852957,,-0.12403108322159845,,-0.1568221639290829,,-0.14951491187964422,,-0.16512379821735892,,0.1375366140247101,,0.15430334996209194,0.10846522890932808,-1.0037878716546622,,0.7777707008560968,0.10846522890932256,0.10846522890933148,0.7898048854102702,-0.15229752535297644,0.10846522890932812,,0.07643902164814664,0.2298795846456106,0.18650337858138405,,0.18650337858138427,,0.14502659331901327,-1.896742957392844,0.31143743284118874,0.3731657786331099,,,0.025798155391416583,1.4230043489211253,,-0.005635765760984471,0.22871180359396467,0.3775641991403897,,-0.10846527845665392,0.0901621594164291,0.09016215941642981,0.4287365129197735,,0.04342807872268161,0.33669930078220117,-2.113232536101352,,1.611267707176853,-0.10846522890926964,,0.6265363995575244,0.6125302923283434,0.10680663343598416,0.9841829777392924,-2.3530036889056056,0.06447766628375956,0.3303655003229552,-2.267407212957073,0.482353334792759,-2.041802047856566,0.07458031344741405,
ArcA,-0.04707598124399847,0.1084652289093281,-0.11397698422852952,,-0.12403108322159848,,-0.14272773007924522,,-0.14951491187964117,,-0.165123798217359,,0.10278969934039017,,0.1084652289108279,0.10846522890932808,0.34447126753739876,,0.41635553234639905,0.7740748564714683,,0.7740748564714682,,0.5395200669788908,,0.8594593267743026,2.0721378548761704,,0.10793519260934323,-0.3908173346307393,0.6707188225091666,-0.3785637462657244,0.4756826250708517,0.21733032996966453,0.10846522890931068,1.3470699344692052,-0.2492804621225317,-0.587233303145579,-0.6002139753004653,-0.11397698422852906,,-0.11397698422852907,,-0.12403108322159842,,-0.156822163929083,,-0.1495149118796447,,-0.16512379821735906,,0.13753661402471007,,0.12168798528079872,0.10846522891061515,-0.3267054933872525,-0.32670549339650723,1.2648625943610616,,0.39404815470719035,,,0.7424658514014847,,0.040686889847775375,,1.2506729812733515,,-0.024781724891108553,,0.3214246151580566,0.3250513016494685,-0.10846521227675258,-0.07119654311611995,-0.11397698422852907,,-0.11397698422852905,,-0.12403108322159845,,-0.1568221639290829,,-0.14951491187964464,,-0.16512379821735904,,0.1375366140247101,,0.15430334996209194,0.10846522890932808,0.42972118098208106,,0.7777707008560968,0.10846522890933036,0.10846522890932837,0.0418039251428069,0.3935724808741218,0.10846522890932812,,0.19994812671161719,-0.004265432482560381,-0.03486784062546929,,-0.03486784062546904,,0.06707479941004749,-1.8306242280578955,0.3940481547071724,0.7939002035663176,,,1.250672981273353,0.04068688984777533,,1.2647433831945694,0.24223018212088823,0.4981098336664807,,-0.10846521221107853,-0.011674436613001517,-0.011674436613001488,0.416355532346399,,0.6198808072879808,0.012606806907299949,0.38958123929040267,,-1.4925947541142732,-0.1084652289093226,,0.3013372141629479,0.6125302923283434,0.5692213515734422,-1.2117609064390422,0.3011494064534767,0.06447766628376142,0.00031433615424085985,0.3468563301902131,0.19037008438163425,0.412518951758229,1.0997809444518962,
ArcB,-0.047075981244001495,0.1084652289093281,-0.11397698422852992,,-0.12403108322159848,,-0.14272773007924563,,-0.14951491187964117,,-0.165123798217359,,0.10278969934039017,,0.1084652289108279,0.10846522890932808,0.34447126753739693,,0.42873651291977355,-0.8892182151980353,,-0.8892182151980351,,0.3177844229818522,,0.8594593267743031,2.0721378548761704,,0.10793519261067264,-0.12063814831045254,-0.9206638627025047,-0.21347002324923045,0.4756826250708517,0.21733032996966453,0.10846522890933949,1.3470699344692052,-0.2492804621225317,-0.12249038225122415,-0.1261674274611173,-0.11397698422853,,-0.11397698422853002,,-0.12403108322159884,,-0.156822163929083,,-0.14951491187964427,,-0.16512379821735906,,0.13753661402471007,,0.12168798528079872,0.10846522891061515,-0.3134915438947807,-0.31349154390398204,-0.5265487560316192,,0.2878905588646925,,,-0.8815518551788496,,0.9044552217965043,,-0.49043485352437954,,0.07932406022881752,,0.3214246151580566,-3.2619961620953606,-0.10846514578386038,0.22287889190626609,-0.11397698422853002,,-0.11397698422852998,,-0.12403108322159886,,-0.1568221639290829,,-0.14951491187964422,,-0.16512379821735904,,0.1375366140247101,,0.15430334996209194,0.10846522890932808,-1.0801499836740573,,0.7777707008560968,0.10846522890933036,0.10846522890932837,0.7898048854103216,-0.15614701549751037,0.10846522890932812,,-0.17254964587141922,-0.25402011741927694,0.1819139647438134,,0.18191396474381297,,-0.10441914718967751,0.5633038279291925,0.2878905588647363,0.3574846807208055,,,-0.49043485352437866,0.9044552217965043,,-0.5265171608527042,0.10318952792194397,-0.6490313208647748,,-0.10846514585951023,0.08796074047179253,0.08796074047179188,0.4287365129197735,,0.08191182070997505,0.33669930078220117,-2.117462309837629,,1.4771699968003476,-0.1084652289093086,,-0.1511740716625512,-1.67273692179746,0.2938132767295642,0.9841829777392924,-2.3581497958932265,0.06447766628376142,0.3303655003229552,-2.2724759785495308,0.482353334792759,-2.0460672195600553,-0.3196429984361929,
ArgR,-0.047075981244000746,0.1084652289093281,-0.11397698422853045,,-0.12403108322159868,,-0.1427277300792454,,-0.14951491187964136,,-0.16512379821735987,,2.387255588864562,,0.1084652289108279,0.10846522890932808,-0.014957474092501099,,0.42873651291977366,-1.4224124871716952,,-1.422412487171695,,0.3177844229818522,,-0.5942098244306151,0.43186568047057733,,0.10793519260841714,0.4197202243301205,-1.4066433119172868,0.18275491199035443,0.4756826250708517,0.21733032996966453,0.10846522890923999,-0.46305528997378925,-0.2492804621225317,0.7037192548942944,0.7165819909199446,-0.11397698422853052,,-0.11397698422853055,,-0.12403108322159925,,-0.15682216392908388,,-0.14951491187964489,,-0.16512379821735843,,2.519085207825674,,0.12168798528079872,0.1084652289081091,2.2191809342736444,2.2191809342745135,-3.6250631687007404,,0.09458329533157186,,,-0.12927081976731317,,-0.01583977053606427,,-3.5964252707436826,,-0.28182372215224477,,-3.3109734651194525,-3.2910150259228352,-0.10846525615782172,0.4417638267862857,-0.11397698422853055,,-0.1139769842285305,,-0.12403108322159864,,-0.15682216392908377,,-0.14951491187964483,,-0.16512379821735923,,2.519085207825674,,0.15430334996209194,0.10846522890932808,-0.3818971645301071,,-1.307993621816578,0.10846522890932724,0.10846522890933148,-1.4906477457797762,-0.2444467069154651,0.10846522890932812,,-0.30385030913112887,-1.0110890061337043,-0.516913622739813,,-0.5169136227398128,,-1.0164551359245857,-1.7879737654111485,0.09458329533172745,-2.185995129934706,,,-3.596425270743684,-0.015839770536064352,,-3.625015257554329,0.14996661001336314,0.05853780229520756,,-0.10846525623347159,-0.26529343256823446,-0.2652934325682344,0.4287365129197736,,0.6032269195131347,0.5763817630836694,0.38958123929040267,,0.40899212170061333,-0.10846522890938405,,0.07599931422955335,0.6125302923283434,0.2938132767295642,1.1242069328237883,0.3011494064534767,0.06447766628376142,0.5754128637260312,0.3468563301902131,0.6968929284870835,0.412518951758229,-3.795765153366752,
AscG,-0.047075981243994675,0.1084652289093281,-0.11397698422852962,,-0.12403108322159795,,-0.14272773007924472,,-0.14951491187964025,,-0.16512379821735773,,0.10278969934039035,,0.1084652289108279,0.10846522890932808,0.34447126753740254,,0.4287365129197736,-2.003423761780253,,-2.0034237617802524,,0.3177844229818522,,-0.6045256637341043,0.43186568047057733,,0.1079351926099426,0.09550520074577679,-1.9362055260361097,-0.0153575556294379,0.4756826250708517,0.21733032996966453,0.10846522890932901,-0.46305528997378925,-0.2492804621225317,-0.12249038225122415,-0.1261674274611173,-0.11397698422852853,,-0.11397698422852856,,-0.12403108322159842,,-0.15682216392908083,,-0.14951491187964377,,-0.16512379821735843,,0.13753661402471007,,0.12168798528079872,0.10846522891061515,-0.5991561549675749,-0.5991561549043323,-0.2600858038993917,,-2.7409413388866586,,,-1.984202337372431,,0.5295605587891786,,-0.22526576618341268,,0.08160347005956164,,0.2869853247820452,0.3250513016495694,-0.10846518104417198,0.6851128790325821,-0.11397698422852907,,-0.11397698422852905,,-0.12403108322159792,,-0.15682216392908072,,-0.14951491187964372,,-0.1651237982173584,,0.1375366140247101,,0.15430334996209194,0.10846522890932808,-2.091581375374519,,0.7777707008560968,0.10846522890932724,0.10846522890932525,0.7898048854101618,-0.5854044084841198,0.10846522890932812,,3.848261393807386,0.16744091341143175,0.18650337858189422,,0.1865033785818971,,0.16061695210080643,0.7219972316846678,-2.7409413388848582,0.10681340580448442,,,-0.22526576618341387,0.5295605587891786,,-0.25991295734007663,0.17513848034677026,-0.434886863265878,,-0.10846518111982184,0.09016215941678907,0.09016215941678911,0.4287365129197736,,0.24582440348721635,0.9110316667213766,0.38958123929040267,,1.1594748219817899,-0.1084652289093191,,-2.4220985137983746,0.6125302923283436,0.2938132767295642,-0.8845676962649095,0.3011494064534767,0.0644776662837639,0.8745938150841761,0.3468563301902131,1.0740560191055992,0.412518951758229,-0.13637612456415443,
BasR,-0.04707598124399088,0.1084652289093281,-0.11397698422852846,,-0.12403108322159795,,-0.14272773007924472,,-0.14951491187964025,,-0.16512379821735837,,0.26449875363594655,,0.10846522890980292,0.10846522890932808,-0.4410450651082075,,0.4287365129197738,-0.20198380010787473,,-0.20198380010787462,,0.2938671508272601,,0.8594593267743026,-1.3255687921068493,,0.10327033935771489,0.20357687527389143,-0.2942846608204256,0.1497361673870557,-2.3135473128445967,-2.7030459789977024,0.10846522890938139,-2.7257118205275335,-2.929045429939749,0.2906144363215353,0.2952072817294138,-0.11397698422852853,,-0.11397698422852856,,-0.1240310832215979,,-0.15682216392907908,,-0.14951491187964377,,-0.16512379821735843,,0.3061178008257608,,0.12168798528079872,0.10846522891061515,1.9344912951374695,1.9344912951372066,-0.4545905155971403,,0.32558268923933886,,,-0.2108384645423607,,0.608113029804592,,-0.46480435158029154,,-0.1259755063556177,,0.32142461515805604,0.32505130164937374,-0.10846524237874204,0.22287889190626609,-0.11397698422852856,,-0.11397698422852852,,-0.12403108322159792,,-0.15682216392908072,,-0.14951491187964372,,-0.1651237982173584,,0.30611780082576084,,0.15430334996209194,0.10846522890932808,-0.4563059694243911,,0.7777707008560968,0.10846522890932724,0.10846522890932525,0.7898048854101618,0.26157366515180885,0.10846522890932812,,-0.5375332634158764,0.07378290656016336,-0.03486751477039018,,-0.03486751477038946,,0.06707479941004749,0.5693778691238829,0.32558268923936046,0.3647633962567931,,,-0.46480435158029065,0.608113029804592,,-0.4547027428857108,0.11201717010297478,-0.006610461579095825,,-0.10846524256038483,-0.11025641278019135,-0.11025641278019208,0.4287365129197737,,0.1435433097912959,0.33669930078220117,-2.100065764624585,,1.3162113164770095,-0.10846522890928463,,0.10780059340969851,0.6125302923283434,0.2589876587575925,0.9841829777392924,-2.336984524707369,0.0644776662837639,0.3303655003229552,-2.2516288024997535,0.482353334792759,-2.028525090792,-0.32457803169865806,
BolA,-0.047075981243994675,0.1084652289093281,-0.11397698422852899,,-0.12403108322159795,,-0.14272773007924472,,-0.14951491187964025,,-0.16512379821735773,,-2.262222913379723,,0.1084652289108279,0.10846522890932808,0.78906732993135,,0.42873651291977366,2.2974015731259403,,2.2974015731259403,,0.3177844229818522,,-0.5942153543333526,0.43186568047057733,,0.10793519260992908,0.6358635733863496,1.9837779345700552,-0.0153575556294379,0.4756826250708517,0.21733032996966453,0.10846522890929759,-0.46305528997378925,-0.2492804621225317,0.6004430502511047,0.611238313622312,-0.11397698422852853,,-0.11397698422852856,,-0.1240310832215979,,-0.15682216392908083,,-0.14951491187964377,,-0.1651237982173578,,-2.3279816885133213,,0.12168798528079872,0.10846522891061515,-0.46058267504615863,-0.46058267505594486,1.3961859650253905,,-2.7527110952820033,,,2.2441869037678734,,0.3063588160536354,,-0.5434139624989982,,-3.2700079689465538,,0.32142461515805654,0.3250513016495675,-0.10846518146814364,0.49587648138414414,-0.11397698422852907,,-0.11397698422852905,,-0.12403108322159792,,-0.15682216392908072,,-0.14951491187964372,,-0.16512379821735776,,-2.3279816885133213,,0.15430334996209194,0.10846522890932808,1.812536466515786,,0.7777707008560968,0.10846522890932724,0.10846522890932525,0.7898048854101618,0.7234791108967145,0.10846522890932812,,-0.6046755755573859,0.8542662969873959,-3.8768014982653227,,-3.8768014982653227,,0.8465927384997014,0.5172469089167492,-2.752711095280196,0.4279425267805393,,,-0.5434139624989973,0.3063588160536354,,1.3960600554275702,0.14181804577945648,6.2268680875025755,,-0.1084651815437935,-3.8368433977065797,-3.83684339770658,0.4287365129197736,,-0.3206296529852914,0.3366993007821987,0.38958123929040267,,1.2107933026577757,-0.10846522890934708,,0.8472296352820669,0.6125302923283434,0.2938132767295642,0.9841829777392924,0.3011494064534767,0.06447766628376142,0.33036550032295237,0.3468563301902131,0.482353334792759,0.412518951758229,-0.38591342432770376,
ChpB,-0.04707598124399543,0.1084652289093281,-0.1139769842285291,,-0.12403108322159859,,-0.1427277300792443,,-0.14951491187964086,,-0.16512379821735837,,0.10278969934039017,,0.1084652289108279,0.10846522890932808,0.3444712675373984,,0.4287365129197736,-0.43924779314775536,,-0.43924779314775525,,0.3177844229818522,,3.552991858258093,-1.3841499411927636,,0.10793519260873484,-0.12063814831045254,-0.5105387181440483,-0.0153575556294379,0.4756826250708517,0.21733032996966453,0.1084652289093133,-0.46305528997378925,-0.2492804621225317,-0.12249038225122415,-0.1261674274611173,-0.11397698422852917,,-0.11397698422852919,,-0.12403108322159853,,-0.1568221639290817,,-0.14951491187964439,,-0.16512379821735843,,0.13753661402471007,,0.12168798528079872,0.10846522891061515,2.074060507561313,2.074060507561605,-0.38803818550549213,,0.27188712798425896,,,-0.44765386699733223,,0.360945192957211,,-0.3759763893737329,,-0.02478155375934855,,0.3214246151580566,0.32505130164937945,-0.10846524093017214,0.27180018324384597,-0.11397698422852919,,-0.11397698422852916,,-0.12403108322159855,,-0.15682216392908158,,-0.14951491187964433,,-0.1651237982173584,,0.1375366140247101,,0.15430334996209194,0.10846522890932808,-0.38189716453009753,,-0.9971446251809302,0.10846522890932724,0.10846522890932525,-1.1513229773815208,-0.07744858179370259,0.10846522890932812,,0.15360414359603394,-0.012070266386832763,-0.03486742531994801,,-0.03486742531994801,,-0.01867217388981497,0.564937442875275,0.2718871279843119,0.40546570434802226,,,-0.3759763893737363,0.360945192957211,,-0.38815906744172846,0.24093695192786643,0.04518867798123032,,-0.10846524082916713,-0.011674331193392512,-0.011674331193392838,0.4287365129197736,,0.03012807711018948,0.39154432200241096,0.38958123929040267,,-0.22784949503830101,-0.10846522890933459,,-1.9618406564008222,0.6125302923283434,0.2938132767295642,-1.0620214986484804,0.3011494064534767,0.06447766628376142,0.38575062025225987,0.3468563301902131,0.5321382113486777,0.412518951758229,-0.2678365896907274,
