,PGI,PFK,FBA,TPI,GAPD,PGK,PGM,ENO,GLCptspp,PYK,FBA_reverse,PGK_reverse,ENO_reverse,GAPD_reverse,TPI_reverse,PGI_reverse,PGM_reverse,G6PDH2r,PGL,GND,RPE,RPI,TKT1,TKT2,TALA,G6PDH2r_reverse,RPE_reverse,RPI_reverse,TKT1_reverse,TKT2_reverse,TALA_reverse,EDA,EDD,PDH,CS,ACONTa,ACONTb,ICDHyr,AKGDH,SUCOAS,SUCDi,FUM,MDH,ACONTa_reverse,ACONTb_reverse,ICDHyr_reverse,SUCOAS_reverse,FUM_reverse,MDH_reverse,FBP,PPCK,ME1,ME2,PPC,CHORS,DHQS,DHQTi,DHAD1,IPMD,IPPS,PSERT,PSP_L,SERAT,SERAT_reverse,DAPDC,DAPE,DHDPS,DHDPRy,ACCOAC,ACACT1r,ACACT2r,ACACT3r,ACACT4r,ACACT5r,ACACT6r,ACACT7r,ACACT8r,ACACT1r_reverse,ACACT2r_reverse,ACACT3r_reverse,ACACT4r_reverse,ACACT5r_reverse,ACACT6r_reverse,ACACT7r_reverse,ACACT8r_reverse,ECOAH1,ECOAH2,ECOAH3,ECOAH4,ECOAH5,ECOAH6,ECOAH7,ECOAH8,ECOAH1_reverse,ECOAH2_reverse,ECOAH3_reverse,ECOAH4_reverse,ECOAH5_reverse,ECOAH6_reverse,ECOAH7_reverse,ECOAH8_reverse,HACD1,HACD2,HACD3,HACD4,HACD5,HACD6,HACD7,HACD8,HACD1_reverse,HACD2_reverse,HACD3_reverse,HACD4_reverse,HACD5_reverse,HACD6_reverse,HACD7_reverse,HACD8_reverse,ACKr,ACKr_reverse,ALATA_L,ALATA_L_reverse,ANS,ASPTA,ASPTA_reverse,CYSTL,GHMT2r,GHMT2r_reverse,GLNS,GLUPRT,ICL,MALS,METS,MTHFC,MTHFC_reverse,MTHFD,MTHFD_reverse,MTHFR2,PPS,PRAIS,PTAr,PTAr_reverse,THRS
wildtype,0.3060943371150195,0.14997834687055153,0.14997834687055145,0.12261373904865677,0.15063544678000684,0.17042388386078694,0.17042388386078694,0.16955615094117682,0.170423883860787,2.529947257169306,0.17042388386078694,0.15063544678000682,0.17042388386078694,0.17042388386078694,0.17042388386078694,0.17042388386078694,0.16955224399019353,-2.6196032026702896,-2.6196032026702896,-2.5697367872868124,-2.4243945458706935,0.17042388386078694,-2.303875098481203,-2.2389862162507095,-2.303875098481203,0.17042388386078694,2.936045675055889,0.3537925444519787,2.7703073254639086,2.799690251071565,2.7703073254639086,-2.275548031520776,-2.275548031520776,-2.8064204586202988,0.48662277268416154,0.48591245863049215,0.48591245863049215,0.5130259477547784,0.7226754426279249,0.17042388386078694,0.6593002329739163,0.4889144506830732,0.36765906171498414,0.17042388386078694,0.17042388386078694,0.17042388386078694,2.9545242102111215,0.17042388386078694,0.17042388386078694,0.17042388386078694,-2.009662588681972,0.17042388386078694,-2.003455855631882,0.15754800369521132,0.17042388386078544,0.17042388386078525,0.17042388386078525,0.170423883860787,0.17042388386078694,0.1704238838607869,-0.017517921196393053,-0.017517921196393053,0.17042388386078708,0.17042388386078694,0.17042388386078683,0.17042388386078694,0.17042388386078705,0.17042388386078705,0.6593672295281907,0.17042388386078675,0.17042388386078675,0.17042388386078686,-0.014946135384172905,-0.014946135384172905,0.038649503948797626,0.038649503948797764,0.17042388386131807,0.17042388386078694,0.17042388386078694,0.17042388386078694,0.17042388386078694,0.17042388386078694,0.17042388386078694,0.17042388386078694,0.17042388386078694,0.17042388386078675,0.17042388386078675,0.17042388386078686,-0.014946135384172905,-0.014946135384172905,0.038649503948797626,0.038649503948797626,0.17042388386078694,0.17042388386078694,0.17042388386078694,0.17042388386078694,0.17042388386078694,0.17042388386078694,0.17042388386078694,0.17042388386078694,0.17042388386154136,0.17042388386078675,0.17042388386078686,0.17042388386078686,-0.014946135384172905,-0.014946135384172905,0.038649503948797626,0.038649503948797626,0.17042388386078694,0.17042388386078694,0.17042388386078694,0.17042388386078694,0.17042388386078694,0.17042388386078694,0.17042388386078694,0.17042388386078694,0.17042388386078694,0.17042388386078694,-2.661654909725036,0.17042388386078694,0.05164028916451879,0.17042388386078694,0.17042388386078694,0.19405972467902455,0.1704238838607872,-0.10293865489312276,0.17042388386078694,0.17042388386078594,0.17042388386078486,-1.8830876745739906,-1.88376956375074,0.17042388386077287,-0.14949912758165795,0.17042388386078694,-0.14949912758165795,0.17042388386078694,0.17042388386077287,0.17042388386078694,0.17042388386078502,-2.661654909725036,0.17042388386078694,0.2749974037475872
AlsR,-4.204132541426476,-4.15178611385304,-4.15178611385304,0.13798333137547383,0.21645200752725777,0.27228153617519973,0.27228153617519973,0.21281544169712832,0.08242252858225411,0.27228153617519973,0.27228153617519973,0.21645200752725774,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.21281544169712832,0.5215468808600557,0.5215468808600557,0.36295542273722065,0.4142520045149345,0.27228153617519973,0.3833169308735577,0.4697618494340859,-3.3001502235439477,0.27228153617519973,0.27228153617519973,0.3262031280944726,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.7297488056555204,0.7297488056555201,0.27228153617519973,-0.2606664481419924,-0.2606664481419924,-0.2606664481419925,-0.2606664481419924,-3.878117248212346,0.27228153617519973,-3.904084251207627,-0.2688668113160868,-0.07661177239978148,0.27228153617519973,0.27228153617519973,0.27228153617519973,-3.83264382712419,0.27228153617519973,0.27228153617519973,0.27228153617519973,-3.2931344801625686,0.27228153617519973,-3.4718184466462376,0.03670312118532785,0.27228153617520023,0.27228153617520023,0.27228153617520023,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.2615176747189508,0.2615176747189508,0.27228153617519946,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519985,0.27228153617519985,0.27228153617519896,0.27228153617519957,0.2722815361751994,0.2722815361751994,0.2722815361751994,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519957,0.2722815361751994,0.2722815361751994,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519957,0.2722815361751994,0.2722815361751994,0.27228153617519957,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.27228153617519973,0.2722815361751997,0.27228153617519973,0.08806503476207973,0.27228153617519973,0.27228153617519973,0.27228153617520373,0.27228153617520007,0.25584827908964164,0.27228153617519973,0.272281536175208,0.27228153617521605,0.27228153617519973,0.27228153617519973,0.27228153617519935,0.27228153617521444,0.27228153617519973,0.2722815361752146,0.27228153617519973,0.27228153617519935,0.27228153617519973,0.2722815361752161,0.2722815361751998,0.27228153617519973,0.27228153617519973
AppY,0.08556647294964098,0.17026743313338047,0.17026743313338025,0.23566745528435878,0.23479167984375857,0.23402896734546205,0.23402896734546205,0.23485129194675072,0.2899269567113958,0.10589585098526692,0.23402896734546205,0.23479167984375848,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.23485129194675067,1.8057496470654146,1.805749647065414,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.23402896734546205,-3.7505708780756684,0.7240936162409813,-3.2388600393381024,-3.640908680246981,-3.2388600393381024,-4.112563707392493,-4.112563707392493,-4.910364663908201,0.06401998186027288,0.06401998186027288,0.06401998186027269,0.06401998186027283,0.007124104353498346,0.23402896734546205,0.9150839357673352,0.06273497771223545,0.07704512762069302,0.23402896734546205,0.23402896734546205,0.23402896734546205,-0.03791668753974567,0.23402896734546205,0.23402896734546205,0.23402896734546205,-3.282804560968982,0.23402896734546205,-3.2520352796555634,0.18372330681057153,0.2340289673454624,0.2340289673454624,0.2340289673454624,0.23402896734546322,0.23402896734546194,0.23402896734546225,0.23402896734543813,0.23402896734543818,0.23402896734546563,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.23402896734546225,0.23402896734546383,0.2340289673454615,0.2340289673454615,0.2340289673454617,0.2340289673454617,0.23402896734546186,0.23402896734546186,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.2340289673454615,0.2340289673454615,0.2340289673454617,0.2340289673454617,0.23402896734546186,0.23402896734546186,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.2340289673454615,0.2340289673454615,0.2340289673454617,0.2340289673454617,0.23402896734546186,0.23402896734546186,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.23402896734546205,0.23402896734546189,0.23402896734546205,0.23402896734546225,0.23402896734546205,0.23402896734546205,0.23402896734544296,0.23402896734546255,0.23402896734542442,0.23402896734546205,0.23402896734543055,0.2340289673453983,0.23402896734546205,0.2340289673456598,0.23402896734546288,0.23402896734540485,0.23402896734546205,0.23402896734540488,0.23402896734546205,0.23402896734546247,0.23402896734546205,0.2340289673453983,0.23402896734546197,0.23402896734546205,0.23402896734546194
ArcA,0.9393874798237616,0.2863322548231101,0.2863322548231101,0.34067846394296913,0.2648566925115748,0.20528554891444917,0.20528554891444917,0.27143768943391516,0.20528554891444928,0.8971985205735155,0.20528554891444917,0.2648566925115748,0.20528554891444917,0.20528554891444917,0.20528554891444917,0.20528554891444917,0.2714304379677737,-0.24183913729387943,-0.24183913729387957,-0.21784599947238611,-0.31313037218550893,0.20528554891444917,-0.26104627072993764,-0.3801818749165164,-5.224500440287541,0.20528554891444917,0.20528554891444917,-0.11125962878033548,0.20528554891444917,0.20528554891444917,0.20528554891444917,-4.445978739874741,-4.445978739874743,-5.781180502300759,0.49512136766218295,0.4705827162759087,0.4705827162759086,0.47058271627590864,0.5823527251057168,0.20528554891444917,0.53859895230857,0.47294123695151136,0.49820561120219325,0.20528554891444917,0.20528554891444917,0.20528554891444917,0.6841633529766005,0.20528554891444917,0.20528554891444917,0.20528554891444917,-3.913138598942513,0.20528554891444917,-3.826516733982895,0.15848321322042785,0.20528554891444892,0.20528554891444872,0.20528554891444872,0.2052855489144488,0.20528554891444928,0.20528554891444928,0.19053425660206272,0.19053425660206272,0.20528554891444817,0.20528554891444917,0.20528554891444917,0.20528554891444917,0.20528554891444917,0.20528554891444936,0.20528554891444817,0.20528554891444847,0.20528554891444847,0.20528554891444872,0.20528554891444872,0.20528554891444872,0.20528554891444886,0.20528554891444917,0.20528554891444917,0.20528554891444917,0.20528554891444917,0.20528554891444917,0.20528554891444917,0.20528554891444917,0.20528554891444917,0.20528554891444917,0.20528554891444917,0.20528554891444872,0.20528554891444872,0.20528554891444872,0.20528554891444872,0.20528554891444872,0.20528554891444886,0.20528554891444917,0.20528554891444917,0.20528554891444917,0.20528554891444917,0.20528554891444917,0.20528554891444917,0.20528554891444917,0.20528554891444917,0.20528554891444917,0.20528554891444917,0.20528554891444872,0.20528554891444872,0.20528554891444872,0.20528554891444872,0.20528554891444872,0.20528554891444886,0.20528554891444917,0.20528554891444917,0.20528554891444917,0.20528554891444917,0.20528554891444917,0.20528554891444917,0.20528554891444917,0.20528554891444917,0.20528554891444917,0.20528554891444917,0.20528554891444917,0.1798434204721568,0.20528554891444917,0.20528554891444917,0.20528554891445053,0.20528554891444917,0.2052855489144557,0.20528554891444806,0.18236598615323457,0.20528554891444917,0.20528554891445722,0.20528554891446574,0.20528554891444917,-1.4256900113826556,0.20528554891444867,0.15187688153826392,0.20528554891444917,0.15187688153826395,0.20528554891444917,0.20528554891444917,0.20528554891444917,0.20528554891446593,0.1798434204721568,0.20528554891444917,0.20528554891444917
ArcB,0.07377526241613516,0.15448916510483265,0.15448916510483246,0.21851026577684543,0.24130834877397797,0.26256238783867136,0.26256238783867136,0.23959094937152098,0.2625623878386715,0.17616488085957682,0.26256238783867136,0.24130834877397797,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.23959094937152098,1.1610854751485353,1.1610854751485353,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867136,-3.997501073786729,0.7508166461677566,-3.451337138910074,-3.880455452707015,-3.451337138910074,-3.865564548988711,-3.865564548988711,0.24166248556295533,0.058826038498162786,0.058826038498162786,0.058826038498162786,0.058826038498162786,0.26256238783867136,-3.8415139976673665,-0.03738912099161708,0.056859356507604646,0.09198360361740437,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867136,-4.1498404426447175,0.26256238783867136,-3.703831424277497,0.09823401870516914,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867153,0.2625623878386715,0.2625623878386715,0.2622777425770061,0.262277742577006,0.26256238783867175,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867153,0.2625623878386696,0.2625623878386706,0.2625623878386706,0.262562387838671,0.26256238783867075,0.262562387838671,0.2625623878386711,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.2625623878386706,0.2625623878386706,0.26256238783867075,0.262562387838671,0.26256238783867114,0.2625623878386711,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.2625623878386706,0.2625623878386706,0.26256238783867075,0.262562387838671,0.26256238783867114,0.2625623878386711,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867136,0.26256238783867125,0.26256238783867136,0.2625623878386715,0.2625623878386726,0.26256238783867136,0.26256238783870334,0.26256238783867086,0.2621240362187708,0.26256238783867136,-0.433364315391709,0.2625623878387695,0.26256238783867136,0.2625623878389825,0.2625623878386695,0.2615740102939569,0.26256238783867136,0.26157401029395677,0.26256238783867136,0.26256238783867036,0.26256238783867136,0.2625623878387695,0.26256238783867125,0.26256238783867136,0.26256238783867136
ArgR,-4.272123009444791,-0.22646488974751258,-0.22646488974751228,-0.236253429460149,0.01825191157564103,0.1516452715823112,0.1516452715823112,0.008890543019361591,-4.4913028856807635,0.6676497373928828,0.1516452715823112,0.01825191157564098,0.1516452715823112,0.1516452715823112,0.1516452715823112,0.1516452715823112,0.008890543019361591,-0.2675444825993604,-0.26754448259936053,0.3951102929794773,0.44802579451933594,0.1516452715823112,0.4192956486295177,0.48419476806205813,0.4192956486295178,0.1516452715823112,0.1516452715823112,0.33437976523005275,0.1516452715823112,0.1516452715823112,0.1516452715823112,0.5213524971209854,0.5213524971209854,-4.394027705906042,-0.14709911687523325,-0.14709911687523325,-0.1470991168752333,0.15164527158231023,0.1516452715823112,0.1516452715823112,0.1516452715823112,0.15186695268832212,-0.05618066014597955,0.1516452715823112,0.1516452715823112,0.1516452715823112,0.1516452715823112,0.1516452715823112,0.1516452715823112,0.1516452715823112,-3.2763659911082885,0.1516452715823112,-3.395509815666639,0.045038896578086546,0.15164527158231156,0.1516452715823118,0.1516452715823118,0.1516452715823099,0.1516452715823112,0.15164527158231134,0.111842291427586,0.111842291427586,0.1516452715823057,0.1516452715823112,0.1516452715823112,0.1516452715823112,0.1516452715823112,0.1516452715823112,-0.001771252185612544,0.15164527158231053,0.1516452715823103,0.15164527158231075,0.15164527158231075,0.15164527158231075,0.15164527158231067,3.149481072720536,0.1516452715823112,0.1516452715823112,0.1516452715823112,0.1516452715823112,0.1516452715823112,0.1516452715823112,0.1516452715823112,0.1516452715823112,0.1516452715823112,0.1516452715823103,0.1516452715823103,0.15164527158231053,0.15164527158231075,0.15164527158231075,0.1516452715823112,3.149481072720248,0.1516452715823112,0.1516452715823112,0.1516452715823112,0.1516452715823112,0.1516452715823112,0.1516452715823112,0.1516452715823112,0.1516452715823112,0.15164527158147229,0.1516452715823103,0.1516452715823103,0.15164527158231075,0.15164527158231075,0.15164527158231075,0.15164527158231086,3.149481072720248,0.1516452715823112,0.1516452715823112,0.1516452715823112,0.1516452715823112,0.1516452715823112,0.1516452715823112,0.1516452715823112,0.1516452715823112,0.1516452715823112,0.1516452715823112,0.15164527158231134,0.1516452715823112,-0.03727861788963132,0.1516452715823112,0.1516452715823112,0.15164527158230048,0.15164527158231164,0.09111862712694542,0.1516452715823112,-0.45591832686292394,0.15164527158227636,-3.692239832565409,-3.6922398325654093,0.15164527158230584,0.020453230143269375,0.1516452715823112,0.020453230143269427,0.1516452715823112,0.15164527158230584,0.1516452715823112,0.15164527158227636,0.15164527158231134,0.1516452715823112,0.1516452715823112
AscG,-0.45438802145919555,-5.0214370269814586,-5.0214370269814586,0.19433062810038668,0.2071301860695252,0.21701617900549916,0.21701617900549916,0.20628027907281304,0.16635213356815912,0.34470657495136947,0.21701617900549916,0.20713018606952513,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.20628678925910804,0.5512342149708984,0.5512342149708984,0.8087519885894922,1.034392339435227,0.21701617900549916,0.9011549955863738,1.272611979239928,-3.894122763860955,0.21701617900549916,0.21701617900549916,0.6214813827711466,0.21701617900549916,0.21701617900549916,0.21701617900549916,-4.409666708542227,-4.409666708410327,0.547879395885188,-0.2802008297233495,-0.2802008297233495,-0.2802008297233495,-0.2802008297233495,0.21701617900549916,0.21701617900549933,-3.0705711284525017,-0.28890615372187456,-0.2892711773488751,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,-4.043954510323875,0.21701617900549916,0.21701617900549916,0.11643457749801692,0.21701617900549933,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.2170161790055201,0.2170161790055201,0.21701617900549858,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900550013,0.21701617900549874,0.21701617900549847,0.21701617900549897,0.21701617900549897,0.21701617900549916,0.21701617900549944,0.21701617900549944,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549897,0.21701617900549897,0.21701617900549874,0.21701617900549897,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549874,0.21701617900549874,0.21701617900549897,0.21701617900549897,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,0.21701617900549916,-0.001963190672642683,0.21701617900549916,0.21701617900549916,0.2170161790055167,0.21701617900549916,0.21701617900553155,0.21701617900549916,0.2170161790055258,0.21701617900555292,0.21701617900549916,0.21701617900549916,0.21701617900549966,0.2170161790055478,0.21701617900549916,0.2170161790055484,0.21701617900549916,0.21701617900549966,0.21701617900549916,0.21701617900555292,0.21701617900549924,0.21701617900549916,0.21701617900549933
BasR,-0.01348007649527212,0.14720912649245715,0.14720912649245765,0.14645748147136153,0.1765396787402116,0.20132432261728286,0.20132432261728286,0.17713181531637037,0.2013243226172819,0.19426442078962233,0.20132432261728286,0.1765396787402116,0.20132432261728286,0.20132432261728286,0.20132432261728286,0.20132432261728286,0.17712374032967076,0.7586877868820034,0.7586877868820033,0.20132432261728286,0.20132432261728286,0.20132432261728286,0.20132432261728286,0.20132432261728286,0.20132432261728286,0.20132432261728286,-5.000061515341607,0.7502657305607698,-4.328557710336014,-4.85615469334283,-4.328557710336014,0.09667748260236483,0.09667748260236475,0.19223292194740557,0.17463071595380203,0.17463071595380336,0.1746307159538033,0.1746307159538033,0.15668711360194476,0.20132432261728286,0.25294994432237633,0.17418251091407463,0.3952494881427959,0.20132432261728286,0.20132432261728286,0.20132432261728286,0.1348660513869231,0.20132432261728286,0.20132432261728286,0.20132432261728286,-4.716842034291812,0.20132432261728286,-5.118013441195986,0.008849609270738924,0.20132432261728322,0.20132432261728334,0.20132432261728334,0.20132432261728397,0.20132432261728286,0.20132432261728286,0.16946281452018744,0.16946281452018733,0.20132432261728594,0.20132432261728286,0.20132432261728253,0.20132432261728261,0.20132432261728261,0.20132432261728261,-0.27468195500613385,0.20132432261728264,0.20132432261728264,0.20132432261728264,0.20132432261728264,0.20132432261728286,0.20132432261728286,0.5025941416804283,0.20132432261679578,0.20132432261728286,0.20132432261728286,0.20132432261728286,0.20132432261728286,0.20132432261728286,0.20132432261728286,0.20132432261728286,0.20132432261728286,0.20132432261728264,0.20132432261728264,0.20132432261728264,0.20132432261728286,0.20132432261728286,0.20132432261728286,0.5025941416804283,0.20132432261728286,0.20132432261728286,0.20132432261728286,0.20132432261728286,0.20132432261728286,0.20132432261728286,0.20132432261728286,0.20132432261728286,0.20132432261728286,0.20132432261728264,0.20132432261728264,0.20132432261728264,0.20132432261728264,0.20132432261728286,0.20132432261728286,0.5025941416804283,0.20132432261728286,0.20132432261728286,0.20132432261728286,0.20132432261728286,0.20132432261728286,0.20132432261728286,0.20132432261728286,0.20132432261728286,0.20132432261728286,0.20132432261728286,0.20132432261728334,0.20132432261728286,0.20132432261728286,0.20132432261728125,0.20132432261728286,0.2012115954504578,0.2013243226172834,0.15224363141189157,0.20132432261728286,0.2013243226172691,0.2013243226172547,0.20132432261728286,0.20132432261728286,0.20132432261728286,0.14270871487665512,0.20132432261728286,0.14270871487665532,0.20132432261728286,0.20132432261728286,0.20132432261728286,0.2013243226172545,0.20132432261728334,0.20132432261728286,0.2013243226172831
BolA,0.1762300429821134,-4.889866404406109,-4.889866404406109,0.17696984796482262,0.20435345812986025,0.2271650076565215,0.2271650076565215,0.29027106830040494,0.2271650076565215,-0.3675872656956119,0.2271650076565215,0.20435345812986025,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.29026452326242597,0.2271650076565215,0.2271650076565215,0.5672519959659934,0.22716500765651806,0.2271650076565215,0.22716500765651806,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.6336764849292694,0.2271650076565215,0.2271650076565215,0.2271650076565215,-4.0334098138485395,-4.0334098138485395,0.10756669043176716,0.848202405012523,0.8482024050125231,0.848202405012523,0.848202405012523,0.2271650076565215,0.2271650076565215,1.2148470916259015,0.8576760618921647,0.7322650756479376,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.2271650076565215,-4.0334098138485395,0.100801748857649,0.2271650076565221,0.2271650076565221,0.2271650076565221,0.227165007656521,0.2271650076565215,0.2271650076565215,-0.26533047969550594,-0.265330479695506,0.2271650076565185,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.4397024490133271,0.22716500765652112,0.22716500765652112,0.2271650076565213,0.2271650076565213,0.2271650076565215,0.22716500765652176,-3.2487338090293814,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.2271650076565213,0.2271650076565213,0.2271650076565213,0.2271650076565213,0.2271650076565215,0.22716500765652176,-3.2487338090293814,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.22716500765652112,0.22716500765652112,0.2271650076565213,0.2271650076565213,0.2271650076565215,0.22716500765652176,-3.2487338090293814,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.2271650076565215,0.22716500765652167,0.2271650076565215,0.015573111434661023,0.2271650076565215,0.2271650076565215,0.22716500765653835,0.2271650076565215,-0.3979981028138409,0.2271650076565215,0.2271650076565471,0.2271650076565733,0.2271650076565215,0.2271650076565215,0.22716500765652578,-0.621594278916394,0.2271650076565215,-0.621594278916394,0.2271650076565215,0.22716500765652578,0.2271650076565215,0.2271650076565733,0.22716500765652167,0.2271650076565215,0.2271650076565215
ChpB,0.08129207084014173,0.029607865305995802,0.029607865305995802,0.15753718154883714,0.18604957845964848,0.20757470497940556,0.20757470497940556,0.18569635540308785,0.20757470497940567,0.004750661443617578,0.20757470497940556,0.18604957845964823,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.18568721451549472,0.3154631017419721,0.315463101741972,0.29023977870642087,0.31060241642371295,0.20757470497940556,0.2994744629595333,0.32480766135846156,-5.734224772166994,0.20757470497940556,0.20757470497940556,0.2677114832744758,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.42584049667724416,0.4258404966772443,0.18485700623225118,0.09633289527126003,0.09633289527126003,0.09633289527125996,0.20757470497940778,0.20757470497940556,0.20757470497940556,-3.332366900401755,0.093232702014603,0.06453193926123331,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,-5.011392165054116,0.20757470497940556,-4.587426774591161,0.1511114993989342,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.2075747049794052,0.20757470497940556,0.20757470497940556,0.19025114653417935,0.19025114653417927,0.207574704979403,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940414,0.207574704979405,0.207574704979405,0.207574704979405,0.20757470497940556,0.2075747049794052,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.207574704979405,0.207574704979405,0.207574704979405,0.2075747049794052,0.2075747049794052,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.207574704979405,0.207574704979405,0.207574704979405,0.2075747049794052,0.2075747049794052,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.20757470497940556,0.7393730368528263,0.20757470497940372,0.20757470497940556,0.2075747049793975,0.20757470497940556,0.18065854407983592,0.20757470497940556,0.20757470497939226,0.20757470497937777,-4.761622640994579,-4.7630036860845095,0.20757470497940492,0.14485291944514603,0.20757470497940556,0.14485291944514603,0.20757470497940556,0.20757470497940492,0.20757470497940556,0.20757470497937805,0.20757470497940567,0.20757470497940556,0.20757470497940556
