Reaction_ID,Gene_Name,Pathway,Measured_Flux,Template_Flux,CI_95,Absolute_Error,Relative_Error
GLCptspp,pts,Glycolysis,8.1300,8.1600,0.3400,0.0300,0.0037
G6PDH2r,zwf,PP pathway,2.3900,3.7907,0.3000,1.4007,0.5861
GND,gnd,PP pathway,1.6500,3.0131,0.4400,1.3631,0.8261
PGI,pgi,Glycolysis,5.7100,4.3693,0.3900,1.3407,0.2348
EDA,edd/eda,ED pathway,0.7400,0.7776,0.6500,0.0376,0.0508
FBA,pfk/fba,Glycolysis,6.4600,5.1810,0.6200,1.2790,0.1980
TKT1,tktA,PP pathway,0.5300,0.8859,0.1500,0.3559,0.6716
TKT2,tktB,PP pathway,0.2700,0.6571,0.1500,0.3871,1.4339
TALA,tal,PP pathway,0.5300,0.8859,0.1500,0.3559,0.6716
GAPD,gap/pgk,Glycolysis,13.8700,13.0938,0.8400,0.7762,0.0560
ENO,eno,Glycolysis,12.9400,11.2023,0.8400,1.7377,0.1343
PYK,pyk,Glycolysis,9.9900,0.0000,0.9800,9.9900,1.0000
PDH,pdh,Glycolysis,9.1400,8.9591,0.6400,0.1809,0.0198
CS,gltA,TCA cycle,2.2000,1.0877,0.4500,1.1123,0.5056
ICDHyr,icd,TCA cycle,2.2000,0.9600,0.4500,1.2400,0.5636
AKGDH,sucAB,TCA cycle,1.2900,0.3149,0.4400,0.9751,0.7559
SUCDi,sdh/fum,TCA cycle,1.2900,0.4426,0.4400,0.8474,0.6569
MDH,mdh,TCA cycle,0.8100,1.8666,0.5000,1.0566,1.3044
ME2,maeB,Anaplerosis,0.4800,0.2222,0.7300,0.2578,0.5371
PPCK,pck,Anaplerosis,0.2300,0.2286,0.2600,0.0014,0.0060
PPC,ppc,Anaplerosis,2.6400,2.0988,0.7800,0.5412,0.2050
PTAr,pta/ackA,Acetate,5.4800,4.6005,0.5700,0.8795,0.1605
ICL,aceA/B,Glyoxylate,0.0000,0.1276,0.0000,0.1276,
