,kcat,data_type,MW,kcat_MW
PHETA1_num1,139.099,Database,77404,6469.386595008009
TYRTA_num1,1033.36211111,Other_species,84704,43918.86569696826
DHQS,16.0,Database,38855,1482.4346930896925
DHQTi,29.53,Database,196500,541.0076335877862
SHK3Dr,225.08335,Brenda_SA,62198,13027.751053088523
SHKK_1,89.185,Database,20698,15511.933520146875
PSCVT,24.6285905,Brenda_SA,47047,1884.5606691181163
CHORS,38764.16,Brenda_SA,157152,888000.0
ANS,3.7,Database,114294.0,116.54155073757153
ANSN,4952.740000000001,Database,114294.0,156000.00000000003
ANPRT_reverse,4.4,Database,72010,219.9694486876823
PRAIi,39.45,Database,23881,5946.987144591935
IGPS,6.7,Database,32952,731.9737800436999
TRPS3,2.4499999999999997,Database,146186.0,60.33409492017018
TRPS1,292865.7838222222,Database,146186.0,7212160.0
TRPS2,2.5062499999999996,Database,146186.0,61.719316487214904
GLUSx_reverse,48.2,Other_species,169071.0,1026.3143886296289
GLUN_1,69.0495833375,Database,144164,1724.275824859188
GLUDy_1,27.2,Brenda_SA,283878,344.9369095174688
GLU5K,668664.0,Brenda_SA,40160,59940000.0
P5CR_1_reverse,212.8,Other_species,27883,27474.805437004627
ACGS,67718.78666666667,Brenda_SA,86640,2813800.0
ACGK,262595.81700000004,Brenda_SA,31526,29986200.000000004
OCBT_1,410.0,Brenda_SA,33616,43907.66301761066
ARGSL,230.47744444444444,Other_species,50948,16285.60100494622
CBPS,4.923333333333334,Database,160848.0,110.19098776484631
CBMKr,67.5,Other_species,32935,7378.169120995901
AG0023_2,4.682857142857143,Database,160848.0,104.80879907916615
NAR_syn_reverse,585.0,Other_species,79632,26446.654611211572
GLMS_syn_reverse,3.67,Other_species,169499,77.94736252131281
ORNTA_1,14.560825000000001,Other_species,93134,562.833873773273
AG0029,13.10336927976194,Other_species,51404,917.6742939682318
AG0030,13.10336927976194,Other_species,51404,917.6742939682318
GUDBUTNAH_num1,553.35,Other_species,257784,7727.632436458431
UREA_1,3623.9334,Other_species,241100.0,54110.99228535877
HPROb,480418.2810416667,Brenda_SA,27883,62027250.0
EHGLAT_num1,139.099,Database,84704,5911.838874197204
ARGDC_num1,5.141363636363637,Database,78239,236.56883511943008
THRS_num1,5.6666665,Other_species,40414,504.77555797495916
HSK_2,12.205333333333334,Database,32427,1355.018965676751
HSDy_reverse,7.0125,Other_species,45486,555.0059358923625
ASAD_reverse,645.0,Database,73282,31685.81643514096
H4THDPS,65.64444444444445,Database,127284,1856.635555136545
H4THDPR_reverse,335.8666666666667,Database,29091,41563.370114468395
LDAPAT_reverse,8.352,Other_species,90176,333.4279630943932
DAPE,102.66666666666667,Database,60192,6140.350877192983
DAPDC,55.0,Database,101696,1946.979232221523
ASNN_1_num1,55.13333333333333,Database,34895,5687.920905573865
LTHRK,0.22535,Other_species,55213,14.693278756814518
MALACPD_num1,0.029,Database,88008,1.186255794927734
OGMEACPD,26.613966666666666,Brenda_SA,17942,5340.0
EGMEACPR,1668.6104000000003,Brenda_SA,110504,54360.00000000001
BT0006_num1,0.029,Database,88008,1.186255794927734
OPMEACPD,26.613966666666666,Brenda_SA,17942,5340.0
EPMEACPR,1668.6104000000003,Brenda_SA,110504,54360.00000000001
AOXSr2,0.044,Database,85838,1.8453365642256343
DBTS,9.6880416675,Database,51610,675.7789188723116
BT0014,6.9500071000000005,Database,78700,317.9164620076239
GLUTRS,1.78116,Database,54008,118.72641090208857
GLUTRR,0.14333333333333334,Database,95052,5.428607499053149
G1SAT,0.51,Other_species,91784,20.003486446439467
PPBNGS,1.375,Database,289304,17.110029588253187
HMBS_1,0.105,Database,34894,10.832807932595863
UPPDC1,333.147,Other_species,78304,15316.321005312628
CPPPGO,48671.25,Database,77874,2250000.0
CPPPGO2_num1,300.014,Other_species,53161,20316.5929911025
PPPGO2_1_num1,0.6790757579090909,Other_species,33802,72.32331603078893
MPML,0.0064,Other_species,113128.0,0.2036631072767131
