Strain,Method,Glycolysis(Serine through glycolysis)_true,Glycolysis(Serine through glycolysis)_pred,Glycolysis(Serine through glycolysis)_abs_error,Glycolysis(Serine through glycolysis)_ratio,Glycolysis(Serine through glycolysis)_rel_error,ED pathway(PYR through ED) _true,ED pathway(PYR through ED) _pred,ED pathway(PYR through ED) _abs_error,ED pathway(PYR through ED) _ratio,ED pathway(PYR through ED) _rel_error,"PP pathway(PEP through PP pathway, upper bound)  _true","PP pathway(PEP through PP pathway, upper bound)  _pred","PP pathway(PEP through PP pathway, upper bound)  _abs_error","PP pathway(PEP through PP pathway, upper bound)  _ratio","PP pathway(PEP through PP pathway, upper bound)  _rel_error",Gluco-neogenesis(PEP from oxaloacetate)_true,Gluco-neogenesis(PEP from oxaloacetate)_pred,Gluco-neogenesis(PEP from oxaloacetate)_abs_error,Gluco-neogenesis(PEP from oxaloacetate)_ratio,Gluco-neogenesis(PEP from oxaloacetate)_rel_error,"Gluco-neogenesis(PYR from MAL, upper bound)_true","Gluco-neogenesis(PYR from MAL, upper bound)_pred","Gluco-neogenesis(PYR from MAL, upper bound)_abs_error","Gluco-neogenesis(PYR from MAL, upper bound)_ratio","Gluco-neogenesis(PYR from MAL, upper bound)_rel_error","Gluco-neogenesis(PYR from MAL, lower bound)_true","Gluco-neogenesis(PYR from MAL, lower bound)_pred","Gluco-neogenesis(PYR from MAL, lower bound)_abs_error","Gluco-neogenesis(PYR from MAL, lower bound)_ratio","Gluco-neogenesis(PYR from MAL, lower bound)_rel_error",TCA cycle(Oxaloacetate through TCA cycle)_true,TCA cycle(Oxaloacetate through TCA cycle)_pred,TCA cycle(Oxaloacetate through TCA cycle)_abs_error,TCA cycle(Oxaloacetate through TCA cycle)_ratio,TCA cycle(Oxaloacetate through TCA cycle)_rel_error,cumulative_ratio,cumulative_diff,mean_absolute_error,mean_relative_error,rmse,n_pathways
AlsR,Eki2vivo,0.78,0.2352717188176083,0.5447282811823917,0.30163040874052344,0.6983695912594765,0.06,0.0,0.06,0.0,1.0,0.2,0.1335303282010107,0.0664696717989893,0.6676516410050535,0.33234835899494647,0.03,0.0,0.03,0.0,1.0,0.06,0.0,0.06,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.33,0.32121594086233357,0.008784059137666445,0.9733816389767683,0.02661836102323165,0.2775233841031922,0.11285457315986393,0.11285457315986393,0.7224766158968078,0.21034810511690993,7
AppY,Eki2vivo,0.75,0.24881718721856416,0.5011828127814358,0.3317562496247522,0.6682437503752477,0.1,0.0,0.1,0.0,1.0,0.16,0.01626860711161523,0.14373139288838477,0.10167879444759517,0.8983212055524048,0.01,0.0,0.01,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.3,0.3304373505169043,0.030437350516904327,1.1014578350563478,0.10145783505634776,0.2192704113040993,0.11933593659810357,0.11933593659810357,0.8097175415691428,0.2016253092941161,7
ArcA,Eki2vivo,0.82,0.231755571621865,0.588244428378135,0.28262874588032316,0.7173712541196768,0.04,6.696901003397384e-17,0.03999999999999993,1.6742252508493459e-15,0.9999999999999982,0.16,0.16504875532095448,0.005048755320954473,1.0315547207559654,0.03155472075596546,0.01,0.012831408638436933,0.0028314086384369323,1.2831408638436932,0.28314086384369325,0.04,0.0,0.04,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.44,0.3333333333333333,0.10666666666666669,0.7575757575757576,0.24242424242424246,0.47927144115082015,0.11325589414345615,0.11325589414345615,0.610641583020511,0.22701252076887274,7
ArcB,Eki2vivo,0.78,0.23324947716430877,0.5467505228356913,0.29903779123629326,0.7009622087637067,0.03,0.0,0.03,0.0,1.0,0.18,0.15376451167972302,0.026235488320276973,0.8542472871095723,0.14575271289042763,0.05,0.0,0.05,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.37,0.2755689893333784,0.09443101066662157,0.7447810522523741,0.2552189477476259,0.2711523043711771,0.11105957454608428,0.11105957454608428,0.7288476956288229,0.21126883714629185,7
ArgR,Eki2vivo,0.74,0.2353484565571551,0.5046515434428449,0.31803845480696635,0.6819615451930336,0.11,0.0,0.11,0.0,1.0,0.21,0.13296488587063904,0.07703511412936095,0.6331661231935193,0.3668338768064808,0.02,0.0,0.02,0.0,1.0,0.03,0.0,0.03,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.32,0.29487547718535406,0.025124522814645944,0.9214858662042315,0.07851413379576858,0.2675272063149596,0.11097302576955026,0.11097302576955026,0.7324727936850405,0.19811210057325512,7
AscG,Eki2vivo,0.72,0.2339949070169463,0.48600509298305367,0.32499292641242544,0.6750070735875746,0.11,0.0,0.11,0.0,1.0,0.22,0.14579667471075,0.07420332528925,0.6627121577761363,0.33728784222386365,0.04,0.0,0.04,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.28,0.2836034526054938,0.0036034526054937732,1.0128694735910493,0.012869473591049188,0.40011491155592227,0.10197312441111393,0.10197312441111393,0.6050328778804974,0.19101984517700507,7
BasR,Eki2vivo,0.76,0.18867507394725835,0.5713249260527417,0.24825667624639255,0.7517433237536074,0.1,0.0,0.1,0.0,1.0,0.22,0.1538436959144089,0.06615630408559109,0.6992895268836768,0.30071047311632315,0.02,0.0,0.02,0.0,1.0,0.05,0.0,0.05,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.34,0.2721950345303328,0.06780496546966724,0.800573630971567,0.19942636902843305,0.24973140487166234,0.12789802794400001,0.12789802794400001,0.7502685951283377,0.2231867702946118,7
BolA,Eki2vivo,0.79,0.23367860562064352,0.5563213943793566,0.2957957033172703,0.7042042966827298,0.07,0.0,0.07,0.0,1.0,0.2,0.1494603373574567,0.05053966264254331,0.7473016867872835,0.2526983132127165,0.0,0.0,0.0,,,0.07,0.0,0.07,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.26,0.32253276821340926,0.06253276821340925,1.240510646974651,0.24051064697465097,0.3806013395132008,0.11848483217647274,0.11848483217647274,0.6995688761450163,0.21585646634632194,7
ChpB,Eki2vivo,0.77,0.20875292032702192,0.561247079672978,0.27110768873639207,0.7288923112636079,0.06,0.1068726903978354,0.0468726903978354,1.78121150663059,0.78121150663059,0.2,0.044122392886156596,0.1558776071138434,0.22061196443078296,0.779388035569217,0.02,0.0,0.02,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.32,0.23624833621689073,0.08375166378310928,0.7382760506777836,0.2617239493222165,0.4301724586393641,0.13110700585253804,0.13110700585253804,0.7930308289693759,0.2238007733717501,7
CpxR,Eki2vivo,0.77,0.23421374103196335,0.5357862589680367,0.30417368965190045,0.6958263103480995,0.07,0.0,0.07,0.0,1.0,0.23,0.1430460250891701,0.0869539749108299,0.6219392395181309,0.3780607604818691,0.02,0.0,0.02,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.35,0.2708867420108275,0.07911325798917246,0.7739621200309358,0.2260378799690642,0.24286786417156675,0.12026478455257703,0.12026478455257703,0.7571321358284333,0.20972322462897164,7
