Strain,Method,Glycolysis(Serine through glycolysis)_true,Glycolysis(Serine through glycolysis)_pred,Glycolysis(Serine through glycolysis)_abs_error,Glycolysis(Serine through glycolysis)_ratio,Glycolysis(Serine through glycolysis)_rel_error,ED pathway(PYR through ED) _true,ED pathway(PYR through ED) _pred,ED pathway(PYR through ED) _abs_error,ED pathway(PYR through ED) _ratio,ED pathway(PYR through ED) _rel_error,"PP pathway(PEP through PP pathway, upper bound)  _true","PP pathway(PEP through PP pathway, upper bound)  _pred","PP pathway(PEP through PP pathway, upper bound)  _abs_error","PP pathway(PEP through PP pathway, upper bound)  _ratio","PP pathway(PEP through PP pathway, upper bound)  _rel_error",Gluco-neogenesis(PEP from oxaloacetate)_true,Gluco-neogenesis(PEP from oxaloacetate)_pred,Gluco-neogenesis(PEP from oxaloacetate)_abs_error,Gluco-neogenesis(PEP from oxaloacetate)_ratio,Gluco-neogenesis(PEP from oxaloacetate)_rel_error,"Gluco-neogenesis(PYR from MAL, upper bound)_true","Gluco-neogenesis(PYR from MAL, upper bound)_pred","Gluco-neogenesis(PYR from MAL, upper bound)_abs_error","Gluco-neogenesis(PYR from MAL, upper bound)_ratio","Gluco-neogenesis(PYR from MAL, upper bound)_rel_error","Gluco-neogenesis(PYR from MAL, lower bound)_true","Gluco-neogenesis(PYR from MAL, lower bound)_pred","Gluco-neogenesis(PYR from MAL, lower bound)_abs_error","Gluco-neogenesis(PYR from MAL, lower bound)_ratio","Gluco-neogenesis(PYR from MAL, lower bound)_rel_error",TCA cycle(Oxaloacetate through TCA cycle)_true,TCA cycle(Oxaloacetate through TCA cycle)_pred,TCA cycle(Oxaloacetate through TCA cycle)_abs_error,TCA cycle(Oxaloacetate through TCA cycle)_ratio,TCA cycle(Oxaloacetate through TCA cycle)_rel_error,cumulative_ratio,cumulative_diff,mean_absolute_error,mean_relative_error,rmse,n_pathways
AlsR,EkiLLm,0.78,0.2002050617774413,0.5797949382225587,0.25667315612492475,0.7433268438750752,0.06,1.0588485295849669e-16,0.059999999999999894,1.7647475493082782e-15,0.9999999999999982,0.2,0.5253790467647081,0.32537904676470814,2.6268952338235407,1.6268952338235405,0.03,0.0,0.03,0.0,1.0,0.06,0.06080872745734128,0.000808727457341285,1.0134787909556882,0.013478790955688085,0.02,0.06080872745734128,0.04080872745734128,3.040436372867064,2.040436372867064,0.33,0.0,0.33,0.0,1.0,0.9910690791101742,0.19525591998599276,0.19525591998599276,1.0605910345030523,0.2821093255000871,7
AppY,EkiLLm,0.75,0.2265804645288604,0.5234195354711396,0.3021072860384805,0.6978927139615195,0.1,1.1601374819915164e-16,0.0999999999999999,1.1601374819915164e-15,0.9999999999999989,0.16,0.21293958850684783,0.05293958850684782,1.3308724281677988,0.3308724281677989,0.01,0.0,0.01,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.3,0.17105724203937384,0.12894275796062615,0.5701908067979128,0.4298091932020872,0.31473864585774186,0.12361455456265909,0.12361455456265909,0.779796333618772,0.20880505090175466,7
ArcA,EkiLLm,0.82,0.24973830058154106,0.5702616994184588,0.3045589031482208,0.6954410968517791,0.04,6.188271653087471e-16,0.03999999999999938,1.5470679132718678e-14,0.9999999999999846,0.16,0.008844830030655663,0.15115516996934433,0.0552801876915979,0.9447198123084021,0.01,0.0,0.01,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.44,0.2078748322300176,0.2321251677699824,0.47244280052276727,0.5275571994772328,0.11889741305180022,0.150506005308255,0.150506005308255,0.8811025869481998,0.2406326140893542,7
ArcB,EkiLLm,0.78,0.24968709067810518,0.5303129093218948,0.32011165471551944,0.6798883452844805,0.03,0.0,0.03,0.0,1.0,0.18,0.009661546478294265,0.17033845352170573,0.05367525821274592,0.9463247417872541,0.05,0.0,0.05,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.37,0.26733013199384204,0.10266986800615796,0.7225138702536271,0.2774861297463729,0.15661439759741322,0.1304744615499655,0.1304744615499655,0.8433856024025869,0.2153694740068864,7
ArgR,EkiLLm,0.74,0.2506952192661702,0.48930478073382977,0.33877732333266247,0.6612226766673376,0.11,0.0,0.11,0.0,1.0,0.21,0.0,0.21,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.03,0.0,0.03,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.32,0.28321242516252554,0.03678757483747447,0.8850388286328923,0.1149611713671077,0.17483087885222212,0.1294417650816149,0.1294417650816149,0.825169121147778,0.2064573612538794,7
AscG,EkiLLm,0.72,0.1862442821809893,0.5337557178190107,0.25867261414026294,0.741327385859737,0.11,0.2240398628535153,0.11403986285351529,2.0367260259410482,1.036726025941048,0.22,0.024598257891964445,0.19540174210803557,0.11181026314529294,0.8881897368547071,0.04,0.0,0.04,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.28,0.2605288266161699,0.019471173383830143,0.9304600950577495,0.0695399049422505,0.6675337996568708,0.12895264230919884,0.12895264230919884,0.7471566107195485,0.2197600067723016,7
BasR,EkiLLm,0.76,0.22027233191091214,0.5397276680890879,0.2898320156722528,0.7101679843277472,0.1,0.0,0.1,0.0,1.0,0.22,0.26405619249923806,0.04405619249923806,1.200255420451082,0.2002554204510821,0.02,0.0,0.02,0.0,1.0,0.05,0.0,0.05,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.34,0.2947597604611378,0.04524023953886225,0.8669404719445228,0.1330595280554772,0.3367182725811225,0.11700344287531261,0.11700344287531261,0.7204975618334722,0.2099638006459849,7
BolA,EkiLLm,0.79,0.20557597500599029,0.5844240249940098,0.2602227531721396,0.7397772468278605,0.07,0.0,0.07,0.0,1.0,0.2,0.39973173314829824,0.19973173314829823,1.998658665741491,0.9986586657414911,0.0,0.0,0.0,,,0.07,0.0,0.07,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.26,0.25391630286966044,0.0060836971303395715,0.9766011648833094,0.02339883511669066,0.5392470972994899,0.13574849361037825,0.13574849361037825,0.7936391246143404,0.2365469502135723,7
ChpB,EkiLLm,0.77,0.2316482895865646,0.5383517104134354,0.300841934528006,0.6991580654719941,0.06,0.0,0.06,0.0,1.0,0.2,0.16675152991982517,0.03324847008017484,0.8337576495991258,0.1662423504008742,0.02,0.0,0.02,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.32,0.19796193056213646,0.12203806943786355,0.6186310330066764,0.38136896699332357,0.25046151673340117,0.11766260713306771,0.11766260713306771,0.7495384832665988,0.2109574484039933,7
CpxR,EkiLLm,0.77,0.234426994688152,0.535573005311848,0.3044506424521455,0.6955493575478546,0.07,0.0,0.07,0.0,1.0,0.23,0.14118235345004124,0.08881764654995877,0.6138363193480053,0.38616368065199463,0.02,0.0,0.02,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.35,0.2231766624280291,0.12682333757197087,0.6376476069372261,0.36235239306277395,0.2222763669624824,0.12731628420482538,0.12731628420482538,0.7777236330375176,0.21307650447343765,7
