Strain,Method,Glycolysis(Serine through glycolysis)_true,Glycolysis(Serine through glycolysis)_pred,Glycolysis(Serine through glycolysis)_abs_error,Glycolysis(Serine through glycolysis)_ratio,Glycolysis(Serine through glycolysis)_rel_error,ED pathway(PYR through ED) _true,ED pathway(PYR through ED) _pred,ED pathway(PYR through ED) _abs_error,ED pathway(PYR through ED) _ratio,ED pathway(PYR through ED) _rel_error,"PP pathway(PEP through PP pathway, upper bound)  _true","PP pathway(PEP through PP pathway, upper bound)  _pred","PP pathway(PEP through PP pathway, upper bound)  _abs_error","PP pathway(PEP through PP pathway, upper bound)  _ratio","PP pathway(PEP through PP pathway, upper bound)  _rel_error",Gluco-neogenesis(PEP from oxaloacetate)_true,Gluco-neogenesis(PEP from oxaloacetate)_pred,Gluco-neogenesis(PEP from oxaloacetate)_abs_error,Gluco-neogenesis(PEP from oxaloacetate)_ratio,Gluco-neogenesis(PEP from oxaloacetate)_rel_error,"Gluco-neogenesis(PYR from MAL, upper bound)_true","Gluco-neogenesis(PYR from MAL, upper bound)_pred","Gluco-neogenesis(PYR from MAL, upper bound)_abs_error","Gluco-neogenesis(PYR from MAL, upper bound)_ratio","Gluco-neogenesis(PYR from MAL, upper bound)_rel_error","Gluco-neogenesis(PYR from MAL, lower bound)_true","Gluco-neogenesis(PYR from MAL, lower bound)_pred","Gluco-neogenesis(PYR from MAL, lower bound)_abs_error","Gluco-neogenesis(PYR from MAL, lower bound)_ratio","Gluco-neogenesis(PYR from MAL, lower bound)_rel_error",TCA cycle(Oxaloacetate through TCA cycle)_true,TCA cycle(Oxaloacetate through TCA cycle)_pred,TCA cycle(Oxaloacetate through TCA cycle)_abs_error,TCA cycle(Oxaloacetate through TCA cycle)_ratio,TCA cycle(Oxaloacetate through TCA cycle)_rel_error,cumulative_ratio,cumulative_diff,mean_absolute_error,mean_relative_error,rmse,n_pathways
AlsR,FluxGen,0.78,0.23527171881760833,0.5447282811823917,0.3016304087405235,0.6983695912594765,0.06,0.0,0.06,0.0,1.0,0.2,0.13353032820101016,0.06646967179898985,0.6676516410050507,0.33234835899494924,0.03,0.0,0.03,0.0,1.0,0.06,0.0,0.06,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.33,0.3212159408770514,0.008784059122948606,0.9733816390213679,0.02661836097863214,0.2775233841095632,0.11285457315776148,0.11285457315776148,0.7224766158904368,0.21034810511682217,7
AppY,FluxGen,0.75,0.24881718721856416,0.5011828127814358,0.3317562496247522,0.6682437503752477,0.1,0.0,0.1,0.0,1.0,0.16,0.016268607111615242,0.14373139288838477,0.10167879444759526,0.8983212055524048,0.01,0.0,0.01,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.3,0.3304373505120056,0.030437350512005634,1.1014578350400188,0.10145783504001879,0.21927041130176658,0.11933593659740376,0.11933593659740376,0.8097175415668101,0.20162530929401049,7
ArcA,FluxGen,0.82,0.23175557161454774,0.5882444283854522,0.2826287458713997,0.7173712541286003,0.04,6.690312712583764e-17,0.03999999999999993,1.672578178145941e-15,0.9999999999999982,0.16,0.16504875543365147,0.005048755433651464,1.0315547214603216,0.03155472146032165,0.01,0.012831408613072562,0.002831408613072562,1.2831408613072561,0.2831408613072562,0.04,0.0,0.04,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.44,0.33333333333333337,0.10666666666666663,0.7575757575757577,0.24242424242424235,0.47927144088781953,0.11325589415697755,0.11325589415697755,0.6106415827600598,0.22701252077189427,7
ArcB,FluxGen,0.78,0.23324947715713834,0.5467505228428617,0.29903779122710045,0.7009622087728996,0.03,0.0,0.03,0.0,1.0,0.18,0.15376451178387968,0.026235488216120317,0.8542472876882204,0.14575271231177955,0.05,0.0,0.05,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.37,0.27556898932832413,0.09443101067167586,0.7447810522387138,0.2552189477612861,0.2711523044505764,0.11105957453295114,0.11105957453295114,0.7288476955494236,0.2112688371474178,7
ArgR,FluxGen,0.74,0.23534845656461598,0.504651543435384,0.3180384548170486,0.6819615451829514,0.11,0.0,0.11,0.0,1.0,0.21,0.13296488576892757,0.07703511423107243,0.6331661227091789,0.3668338772908211,0.02,0.0,0.02,0.0,1.0,0.03,0.0,0.03,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.32,0.29487547720486906,0.025124522795130944,0.9214858662652158,0.07851413373478419,0.26752720625592047,0.11097302578022676,0.11097302578022676,0.7324727937440796,0.19811210057583659,7
AscG,FluxGen,0.72,0.23399490701694617,0.48600509298305383,0.3249929264124252,0.6750070735875748,0.11,0.0,0.11,0.0,1.0,0.22,0.14579667471075125,0.07420332528924875,0.662712157776142,0.33728784222385794,0.04,0.0,0.04,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.28,0.28360345260548697,0.0036034526054869453,1.0128694735910249,0.012869473591024803,0.40011491155591844,0.10197312441111281,0.10197312441111281,0.6050328778804915,0.19101984517700504,7
BasR,FluxGen,0.76,0.18867507394725366,0.5713249260527463,0.2482566762463864,0.7517433237536135,0.1,0.0,0.1,0.0,1.0,0.22,0.153843695914408,0.066156304085592,0.6992895268836727,0.3007104731163273,0.02,0.0,0.02,0.0,1.0,0.05,0.0,0.05,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.34,0.27219503453034144,0.06780496546965858,0.8005736309715924,0.19942636902840757,0.2497314048716645,0.12789802794399957,0.12789802794399957,0.7502685951283354,0.22318677029461317,7
BolA,FluxGen,0.79,0.23367860561327325,0.5563213943867268,0.2957957033079408,0.7042042966920592,0.07,0.0,0.07,0.0,1.0,0.2,0.14946033739533565,0.05053966260466436,0.7473016869766782,0.2526983130233218,0.0,0.0,0.0,,,0.07,0.0,0.07,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.26,0.322532768203969,0.06253276820396897,1.2405106469383422,0.24051064693834218,0.3806013395371602,0.11848483217076573,0.11848483217076573,0.6995688761089539,0.21585646634737785,7
ChpB,FluxGen,0.77,0.20875292032702236,0.5612470796729776,0.2711076887363927,0.7288923112636072,0.06,0.10687269039782873,0.04687269039782874,1.781211506630479,0.781211506630479,0.2,0.04412239288617711,0.1558776071138229,0.22061196443088552,0.7793880355691144,0.02,0.0,0.02,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.32,0.2362483362168835,0.08375166378311652,0.7382760506777609,0.26172394932223914,0.43017245863935977,0.13110700585253512,0.13110700585253512,0.7930308289693485,0.22380077337174809,7
CpxR,FluxGen,0.77,0.23421374103196332,0.5357862589680367,0.3041736896519004,0.6958263103480995,0.07,0.0,0.07,0.0,1.0,0.23,0.1430460250891699,0.08695397491083012,0.6219392395181299,0.3780607604818701,0.02,0.0,0.02,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.35,0.27088674201083257,0.07911325798916741,0.7739621200309502,0.22603787996904975,0.24286786417156866,0.12026478455257632,0.12026478455257632,0.7571321358284313,0.2097232246289714,7
