Strain,Method,Glycolysis(Serine through glycolysis)_true,Glycolysis(Serine through glycolysis)_pred,Glycolysis(Serine through glycolysis)_abs_error,Glycolysis(Serine through glycolysis)_ratio,Glycolysis(Serine through glycolysis)_rel_error,ED pathway(PYR through ED) _true,ED pathway(PYR through ED) _pred,ED pathway(PYR through ED) _abs_error,ED pathway(PYR through ED) _ratio,ED pathway(PYR through ED) _rel_error,"PP pathway(PEP through PP pathway, upper bound)  _true","PP pathway(PEP through PP pathway, upper bound)  _pred","PP pathway(PEP through PP pathway, upper bound)  _abs_error","PP pathway(PEP through PP pathway, upper bound)  _ratio","PP pathway(PEP through PP pathway, upper bound)  _rel_error",Gluco-neogenesis(PEP from oxaloacetate)_true,Gluco-neogenesis(PEP from oxaloacetate)_pred,Gluco-neogenesis(PEP from oxaloacetate)_abs_error,Gluco-neogenesis(PEP from oxaloacetate)_ratio,Gluco-neogenesis(PEP from oxaloacetate)_rel_error,"Gluco-neogenesis(PYR from MAL, upper bound)_true","Gluco-neogenesis(PYR from MAL, upper bound)_pred","Gluco-neogenesis(PYR from MAL, upper bound)_abs_error","Gluco-neogenesis(PYR from MAL, upper bound)_ratio","Gluco-neogenesis(PYR from MAL, upper bound)_rel_error","Gluco-neogenesis(PYR from MAL, lower bound)_true","Gluco-neogenesis(PYR from MAL, lower bound)_pred","Gluco-neogenesis(PYR from MAL, lower bound)_abs_error","Gluco-neogenesis(PYR from MAL, lower bound)_ratio","Gluco-neogenesis(PYR from MAL, lower bound)_rel_error",TCA cycle(Oxaloacetate through TCA cycle)_true,TCA cycle(Oxaloacetate through TCA cycle)_pred,TCA cycle(Oxaloacetate through TCA cycle)_abs_error,TCA cycle(Oxaloacetate through TCA cycle)_ratio,TCA cycle(Oxaloacetate through TCA cycle)_rel_error,cumulative_ratio,cumulative_diff,mean_absolute_error,mean_relative_error,rmse,n_pathways
AlsR,KinLLM,0.78,0.20020506178554676,0.5797949382144533,0.2566731561353163,0.7433268438646836,0.06,1.061402248945913e-16,0.059999999999999894,1.7690037482431885e-15,0.9999999999999982,0.2,0.5253790466985333,0.3253790466985333,2.6268952334926663,1.6268952334926663,0.03,0.0,0.03,0.0,1.0,0.06,0.06080872742894297,0.0008087274289429736,1.013478790482383,0.013478790482382893,0.02,0.06080872742894297,0.04080872742894297,3.0404363714471483,2.0404363714471483,0.33,0.0,0.33,0.0,1.0,0.9910690787939308,0.19525591996726752,0.19525591996726752,1.0605910341838398,0.2821093254862053,7
AppY,KinLLM,0.75,0.22658046453588795,0.523419535464112,0.3021072860478506,0.6978927139521494,0.1,1.1592734381529713e-16,0.0999999999999999,1.1592734381529711e-15,0.9999999999999989,0.16,0.21293958844511024,0.052939588445110236,1.330872427781939,0.330872427781939,0.01,0.0,0.01,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.3,0.17105724203937123,0.12894275796062876,0.5701908067979041,0.4298091932020959,0.3147386458039564,0.12361455455283586,0.12361455455283586,0.7797963335623119,0.2088050508970022,7
ArcA,KinLLM,0.82,0.24973830058154106,0.5702616994184588,0.3045589031482208,0.6954410968517791,0.04,6.204928075284654e-16,0.03999999999999938,1.5512320188211635e-14,0.9999999999999846,0.16,0.008844830030655752,0.15115516996934425,0.05528018769159845,0.9447198123084015,0.01,0.0,0.01,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.44,0.20787483219118266,0.23212516780881734,0.47244280043450604,0.527557199565494,0.11889741303919155,0.15050600531380284,0.15050600531380284,0.8811025869608085,0.2406326140947059,7
ArcB,KinLLM,0.78,0.24968709067810518,0.5303129093218948,0.32011165471551944,0.6798883452844805,0.03,0.0,0.03,0.0,1.0,0.18,0.009661546478294149,0.17033845352170585,0.053675258212745276,0.9463247417872548,0.05,0.0,0.05,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.37,0.2673301319938424,0.10266986800615757,0.7225138702536282,0.2774861297463718,0.15661439759741327,0.13047446154996548,0.13047446154996548,0.8433856024025868,0.21536947400688639,7
ArgR,KinLLM,0.74,0.2506952192661702,0.48930478073382977,0.33877732333266247,0.6612226766673376,0.11,0.0,0.11,0.0,1.0,0.21,0.0,0.21,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.03,0.0,0.03,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.32,0.28321242516252587,0.036787574837474135,0.8850388286328933,0.11496117136710667,0.17483087885222223,0.12944176508161484,0.12944176508161484,0.8251691211477777,0.2064573612538794,7
AscG,KinLLM,0.72,0.18624428217567743,0.5337557178243225,0.25867261413288534,0.7413273858671147,0.11,0.22403986286771282,0.11403986286771282,2.0367260260701165,1.0367260260701165,0.22,0.024598257892790555,0.19540174210720945,0.11181026314904798,0.888189736850952,0.04,0.0,0.04,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.28,0.260528826611972,0.019471173388028007,0.9304600950427572,0.06953990495724288,0.6675337996789614,0.12895264231246756,0.12895264231246756,0.7471566107490852,0.21976000677514537,7
BasR,KinLLM,0.76,0.22027233191091145,0.5397276680890886,0.2898320156722519,0.7101679843277481,0.1,0.0,0.1,0.0,1.0,0.22,0.26405619249924334,0.044056192499243335,1.200255420451106,0.20025542045110606,0.02,0.0,0.02,0.0,1.0,0.05,0.0,0.05,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.34,0.2947597604611395,0.04524023953886053,0.8669404719445278,0.13305952805547214,0.3367182725811265,0.11700344287531321,0.11700344287531321,0.7204975618334751,0.20996380064598524,7
BolA,KinLLM,0.79,0.20557597500599056,0.5844240249940095,0.26022275317213994,0.7397772468278601,0.07,0.0,0.07,0.0,1.0,0.2,0.39973173314829336,0.19973173314829334,1.9986586657414667,0.9986586657414667,0.0,0.0,0.0,,,0.07,0.0,0.07,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.26,0.25391630286967126,0.006083697130328747,0.976601164883351,0.023398835116649027,0.5392470972994929,0.13574849361037594,0.13574849361037594,0.7936391246143293,0.23654695021357156,7
ChpB,KinLLM,0.77,0.23164828958656317,0.5383517104134369,0.3008419345280041,0.6991580654719959,0.06,0.0,0.06,0.0,1.0,0.2,0.16675152991983755,0.03324847008016246,0.8337576495991877,0.1662423504008123,0.02,0.0,0.02,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.32,0.19796193056217362,0.12203806943782639,0.6186310330067926,0.38136896699320744,0.25046151673342637,0.11766260713306083,0.11766260713306083,0.7495384832665737,0.2109574484039905,7
CpxR,KinLLM,0.77,0.23442699468815298,0.535573005311847,0.3044506424521467,0.6955493575478533,0.07,0.0,0.07,0.0,1.0,0.23,0.14118235350693165,0.08881764649306836,0.613836319595355,0.38616368040464505,0.02,0.0,0.02,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.35,0.22317666242803388,0.1268233375719661,0.6376476069372398,0.3623523930627603,0.22227636699782022,0.12731628419669735,0.12731628419669735,0.7777236330021798,0.21307650447004922,7
