Strain,Method,Glycolysis(Serine through glycolysis)_true,Glycolysis(Serine through glycolysis)_pred,Glycolysis(Serine through glycolysis)_abs_error,Glycolysis(Serine through glycolysis)_ratio,Glycolysis(Serine through glycolysis)_rel_error,ED pathway(PYR through ED) _true,ED pathway(PYR through ED) _pred,ED pathway(PYR through ED) _abs_error,ED pathway(PYR through ED) _ratio,ED pathway(PYR through ED) _rel_error,"PP pathway(PEP through PP pathway, upper bound)  _true","PP pathway(PEP through PP pathway, upper bound)  _pred","PP pathway(PEP through PP pathway, upper bound)  _abs_error","PP pathway(PEP through PP pathway, upper bound)  _ratio","PP pathway(PEP through PP pathway, upper bound)  _rel_error",Gluco-neogenesis(PEP from oxaloacetate)_true,Gluco-neogenesis(PEP from oxaloacetate)_pred,Gluco-neogenesis(PEP from oxaloacetate)_abs_error,Gluco-neogenesis(PEP from oxaloacetate)_ratio,Gluco-neogenesis(PEP from oxaloacetate)_rel_error,"Gluco-neogenesis(PYR from MAL, upper bound)_true","Gluco-neogenesis(PYR from MAL, upper bound)_pred","Gluco-neogenesis(PYR from MAL, upper bound)_abs_error","Gluco-neogenesis(PYR from MAL, upper bound)_ratio","Gluco-neogenesis(PYR from MAL, upper bound)_rel_error","Gluco-neogenesis(PYR from MAL, lower bound)_true","Gluco-neogenesis(PYR from MAL, lower bound)_pred","Gluco-neogenesis(PYR from MAL, lower bound)_abs_error","Gluco-neogenesis(PYR from MAL, lower bound)_ratio","Gluco-neogenesis(PYR from MAL, lower bound)_rel_error",TCA cycle(Oxaloacetate through TCA cycle)_true,TCA cycle(Oxaloacetate through TCA cycle)_pred,TCA cycle(Oxaloacetate through TCA cycle)_abs_error,TCA cycle(Oxaloacetate through TCA cycle)_ratio,TCA cycle(Oxaloacetate through TCA cycle)_rel_error,cumulative_ratio,cumulative_diff,mean_absolute_error,mean_relative_error,rmse,n_pathways
AlsR,fba,0.78,0.0,0.78,0.0,1.0,0.06,0.10553207459806127,0.04553207459806127,1.7588679099676878,0.7588679099676879,0.2,0.4401707739636878,0.2401707739636878,2.200853869818439,1.200853869818439,0.03,0.0,0.03,0.0,1.0,0.06,0.0,0.06,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.33,0.1711671748009237,0.15883282519907632,0.5186884084876475,0.4813115915123525,0.6397728840391107,0.19064795339440366,0.19064795339440366,0.9201476244712115,0.3158397054665186,7
AppY,fba,0.75,0.22133923433110247,0.5286607656688975,0.2951189791081366,0.7048810208918633,0.1,0.0,0.1,0.0,1.0,0.16,0.14601160200361887,0.01398839799638113,0.912572512522618,0.08742748747738206,0.01,0.0,0.01,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.3,0.258908443737985,0.041091556262014994,0.8630281457932834,0.13697185420671665,0.29581709106057685,0.10624867427532768,0.10624867427532768,0.7041829089394233,0.20464826844130274,7
ArcA,fba,0.82,0.23159960396964943,0.5884003960303505,0.28243854142640173,0.7175614585735983,0.04,0.0,0.04,0.0,1.0,0.16,0.09694693567418121,0.0630530643258188,0.6059183479636325,0.39408165203636747,0.01,0.0,0.01,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.44,0.2782124556267248,0.1617875443732752,0.6323010355152836,0.36769896448471634,0.2172368464150454,0.13046300067563493,0.13046300067563493,0.7827631535849545,0.23292117749631333,7
ArcB,fba,0.78,0.22377677397582,0.5562232260241801,0.286893299969,0.7131067000310001,0.03,0.0,0.03,0.0,1.0,0.18,0.13529560752706446,0.044704392472935534,0.751642264039247,0.24835773596075297,0.05,0.0,0.05,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.37,0.2420747377694124,0.1279252622305876,0.6542560480254389,0.34574395197456104,0.24182737314766942,0.11983612581824334,0.11983612581824334,0.7581726268523307,0.2176654157816812,7
ArgR,fba,0.74,0.13229550121352077,0.6077044987864793,0.17877770434259563,0.8212222956574045,0.11,0.23714498254729502,0.127144982547295,2.155863477702682,1.155863477702682,0.21,0.3890637926384804,0.1790637926384804,1.8526847268499067,0.8526847268499067,0.02,0.0,0.02,0.0,1.0,0.03,0.0,0.03,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.32,0.17098482340482526,0.14901517659517474,0.534327573140079,0.46567242685992105,0.6745219260050376,0.16041835008106137,0.16041835008106137,0.8993489895814164,0.25103783696658893,7
AscG,fba,0.72,0.0,0.72,0.0,1.0,0.11,0.0,0.11,0.0,1.0,0.22,0.6178993149673601,0.3978993149673601,2.8086332498516366,1.8086332498516366,0.04,0.0,0.04,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.28,0.17122165107454881,0.10877834892545121,0.6115058966948171,0.38849410330518286,0.6840278293092907,0.19666823769897304,0.19666823769897304,1.039425470631364,0.3167370685253987,7
BasR,fba,0.76,0.22829205725151785,0.5317079427484821,0.30038428585726035,0.6996157141427396,0.1,0.03270300014740681,0.06729699985259319,0.3270300014740681,0.6729699985259319,0.22,0.11129718053810984,0.10870281946189016,0.5058962751732266,0.49410372482677345,0.02,0.0,0.02,0.0,1.0,0.05,0.0,0.05,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.34,0.24085814000123187,0.09914185999876815,0.7084062941212702,0.29159370587872985,0.2631024080894036,0.12812137458024767,0.12812137458024767,0.7368975919105963,0.21118293827659831,7
BolA,fba,0.79,0.0,0.79,0.0,1.0,0.07,0.0,0.07,0.0,1.0,0.2,0.4824337925062859,0.28243379250628586,2.412168962531429,1.4121689625314293,0.0,0.0,0.0,,,0.07,0.0,0.07,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.26,0.2811775922594799,0.021177592259479905,1.0814522779210765,0.08145227792107655,0.5822702067420843,0.17908734068082371,0.17908734068082371,0.9156035400754177,0.3194900708413314,7
ChpB,fba,0.77,0.20012119932259959,0.5698788006774005,0.25989766145792154,0.7401023385420785,0.06,0.03571649408190669,0.024283505918093307,0.5952749013651115,0.4047250986348885,0.2,0.1811356147454945,0.01886438525450551,0.9056780737274724,0.09432192627252756,0.02,0.0,0.02,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.32,0.17114934198555118,0.14885065801444883,0.5348416937048475,0.4651583062951526,0.3279560471793362,0.11883962140920688,0.11883962140920688,0.6720439528206638,0.22359527197389203,7
CpxR,fba,0.77,0.20022330322842796,0.569776696771572,0.2600302639330233,0.7399697360669767,0.07,0.1320057565725952,0.06200575657259519,1.8857965224656454,0.8857965224656454,0.23,0.010757562877464743,0.21924243712253527,0.04677201251071627,0.9532279874892837,0.02,0.0,0.02,0.0,1.0,0.04,0.0,0.04,0.0,1.0,0.01,0.0,0.01,0.0,1.0,0.35,0.0,0.35,0.0,1.0,0.31322839984419787,0.18157498435238612,0.18157498435238612,0.9398563208602723,0.26757040308980706,7
Cra,fba,0.78,0.21709353525725,0.56290646474275,0.27832504520160256,0.7216749547983974,0.07,0.0,0.07,0.0,1.0,0.2,0.1643230595025158,0.03567694049748421,0.821615297512579,0.17838470248742105,0.02,0.0,0.02,0.0,1.0,0.06,0.0,0.06,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.24,0.32536928398444137,0.08536928398444138,1.3557053499351723,0.35570534993517244,0.3508065275213363,0.1219932413178108,0.1219932413178108,0.7508235724601416,0.2186727649056782,7
CreB,fba,0.78,0.0,0.78,0.0,1.0,0.06,0.0,0.06,0.0,1.0,0.19,0.632768497495954,0.442768497495954,3.3303605131366,2.3303605131366,0.02,0.0,0.02,0.0,1.0,0.06,0.0,0.06,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.32,0.2140629705415566,0.10593702945844341,0.6689467829423643,0.33105321705763563,0.5713296137255663,0.21267221813634252,0.21267221813634252,1.0944876757420336,0.3430257375985706,7
Crl,fba,0.74,0.2215131666012319,0.5184868333987681,0.2993421170286918,0.7006578829713083,0.1,0.0,0.1,0.0,1.0,0.23,0.1454447017278594,0.08455529827214062,0.6323682683819973,0.36763173161800267,0.01,0.0,0.01,0.0,1.0,0.07,0.0,0.07,0.0,1.0,0.02,0.0,0.02,0.0,1.0,0.36,0.24765815607790917,0.11234184392209082,0.6879393224386366,0.3120606775613634,0.23137852969276082,0.1307691393704285,0.1307691393704285,0.7686214703072392,0.20839484664919414,7
