n,raw_r2,raw_rmse,log1p_r2,log1p_rmse,log10eps_r2,log10eps_rmse,zero_true_fraction,zero_pred_fraction,lt_0p1_fraction,lt_0p5_fraction,scope,Method,threshold
378,0.5879087148411695,1.0655039563334083,0.7710677261958968,0.2561087911639936,0.5815871084282138,1.7479918837645478,0.35978835978835977,0.4523809523809524,0.5343915343915344,0.746031746031746,all_classic,FluxAnchor,0.0
236,0.5386417801228981,1.345926834994826,0.7106485001144306,0.3196051236486675,-7.437413137993621,2.0499701487885713,0.0,0.1440677966101695,0.2542372881355932,0.5932203389830508,all_classic,FluxAnchor,0.01
213,0.522630048392865,1.416665289360797,0.6871519394065045,0.3361770003505195,-8.536775282033485,1.9692576457333555,0.0,0.11737089201877934,0.17370892018779344,0.5492957746478874,all_classic,FluxAnchor,0.05
176,0.48658487665245176,1.5582632712047042,0.6309169818255005,0.369067785924437,-12.317215976211626,2.0698751045514214,0.0,0.125,0.0,0.45454545454545453,all_classic,FluxAnchor,0.1
131,0.40562280776136994,1.8055805577502344,0.47705308768250054,0.4259096037185124,-23.018178817909586,2.220244549325564,0.0,0.13740458015267176,0.0,0.26717557251908397,all_classic,FluxAnchor,0.2
96,0.27755426857080856,2.10504267657681,0.18652864721087759,0.4855611733208945,-34.83222842548411,2.0797922072301582,0.0,0.11458333333333333,0.0,0.0,all_classic,FluxAnchor,0.5
72,0.13040596695865259,2.40348994192115,-0.13885668761501369,0.5242550974711432,-26.865076552239753,1.5301446427766208,0.0,0.05555555555555555,0.0,0.0,all_classic,FluxAnchor,1.0
126,0.5649226529082536,1.542055446770173,0.8634740655367458,0.2269222301820465,0.6709968222957806,1.5581333837246822,0.35714285714285715,0.4523809523809524,0.49206349206349204,0.753968253968254,classic_Zwf,FluxAnchor,0.0
80,0.5227565474721361,1.9352642263643738,0.8305514392990534,0.2847851376467401,-5.724173872880681,1.937859898761388,0.0,0.1375,0.2,0.6125,classic_Zwf,FluxAnchor,0.01
72,0.5088196858835329,2.0398786301350857,0.8188892900028639,0.29979058747708653,-6.417700724628325,1.7970298691207607,0.0,0.09722222222222222,0.1111111111111111,0.5694444444444444,classic_Zwf,FluxAnchor,0.05
64,0.49115724103485614,2.163496523808982,0.8042241529677636,0.3173065104296266,-8.440027471832614,1.90357730580853,0.0,0.109375,0.0,0.515625,classic_Zwf,FluxAnchor,0.1
44,0.4121121451237699,2.6089777750253673,0.731771010565843,0.3810270639997642,-12.969043093366913,2.017150959331985,0.0,0.11363636363636363,0.0,0.29545454545454547,classic_Zwf,FluxAnchor,0.2
31,0.2821568802125991,3.1070652210123915,0.5888624739603338,0.44851257321291355,-24.15644461793308,2.1891301887543464,0.0,0.12903225806451613,0.0,0.0,classic_Zwf,FluxAnchor,0.5
21,0.02183853004770908,3.7623824972470774,0.35099657707507514,0.4970362792919613,-13.805285292337192,1.335901795263191,0.0,0.047619047619047616,0.0,0.0,classic_Zwf,FluxAnchor,1.0
126,0.790214019112017,0.5201610633871986,0.8732708817246884,0.16668093278190743,0.634946751216178,1.6207489183544452,0.36507936507936506,0.4365079365079365,0.5555555555555556,0.753968253968254,classic_Pgi,FluxAnchor,0.0
78,0.7543485161605672,0.6609363088717648,0.8331599668450762,0.2113436021883453,-6.365847661346035,1.8068651713406394,0.0,0.11538461538461539,0.28205128205128205,0.6025641025641025,classic_Pgi,FluxAnchor,0.01
71,0.7437416245859796,0.6927339632549471,0.8200299942027305,0.22146272802364197,-6.657973061115559,1.6718298238793716,0.0,0.08450704225352113,0.2112676056338028,0.5633802816901409,classic_Pgi,FluxAnchor,0.05
56,0.710119038643567,0.7797415437100786,0.7775750010577026,0.24864332175875417,-9.932319623470992,1.770673525153258,0.0,0.08928571428571429,0.0,0.44642857142857145,classic_Pgi,FluxAnchor,0.1
42,0.6430099138613088,0.8983786611054534,0.6784259164211282,0.28299834355142756,-23.920872849621464,2.0410312309462717,0.0,0.11904761904761904,0.0,0.2619047619047619,classic_Pgi,FluxAnchor,0.2
