TF,Rule_index,Regulation_type,Target_genes,Target_reactions,TF_category,Base_effect,Evidence,Evidence_modifier,Importance,Importance_modifier,Directness,Direct_modifier,Effect_strength,Notes,Reference
Cra,1,activation,ppsA,PPS,metabolic,0.2,strong,1.0,central,0.8,direct,1.0,0.16,Cra activates ppsA expression for gluconeogenesis,"Ramseier TM et al. FruR-mediated transcriptional activation at the ppsA promoter of Escherichia coli. J Mol Biol. 1998. PMID: 9512708. | Saier MH Jr, Ramseier TM. The catabolite repressor/activator (Cra) protein of enteric bacteria. J Bacteriol. 1996. PMID: 8655535."
Cra,2,activation,pckA,PPCK,metabolic,0.2,strong,1.0,central,0.8,direct,1.0,0.16,Cra activates pckA expression for gluconeogenesis,"Ramseier TM et al. FruR-mediated transcriptional activation at the ppsA promoter of Escherichia coli. J Mol Biol. 1998. PMID: 9512708. | Saier MH Jr, Ramseier TM. The catabolite repressor/activator (Cra) protein of enteric bacteria. J Bacteriol. 1996. PMID: 8655535."
Cra,3,activation,fbp,FBP,metabolic,0.2,strong,1.0,central,0.8,direct,1.0,0.16,Cra activates fbp expression for gluconeogenesis,"Ramseier TM et al. FruR-mediated transcriptional activation at the ppsA promoter of Escherichia coli. J Mol Biol. 1998. PMID: 9512708. | Saier MH Jr, Ramseier TM. The catabolite repressor/activator (Cra) protein of enteric bacteria. J Bacteriol. 1996. PMID: 8655535."
Cra,4,activation,aceB; aceA,ICL; MALS,metabolic,0.2,strong,1.0,central,0.8,direct,1.0,0.16,Cra activates the glyoxylate shunt,"Ramseier TM et al. FruR-mediated transcriptional activation at the ppsA promoter of Escherichia coli. J Mol Biol. 1998. PMID: 9512708. | Saier MH Jr, Ramseier TM. The catabolite repressor/activator (Cra) protein of enteric bacteria. J Bacteriol. 1996. PMID: 8655535."
Cra,5,activation,icd,ICDHyr,metabolic,0.2,moderate,1.2,central,0.8,direct,1.0,0.192,Cra activates icd expression,"Ramseier TM et al. FruR-mediated transcriptional activation at the ppsA promoter of Escherichia coli. J Mol Biol. 1998. PMID: 9512708. | Saier MH Jr, Ramseier TM. The catabolite repressor/activator (Cra) protein of enteric bacteria. J Bacteriol. 1996. PMID: 8655535."
Cra,6,repression,pykF; pykA,PYK,metabolic,0.2,strong,1.0,central,0.8,direct,1.0,1.0,Cra represses pyruvate kinase,"Ramseier TM et al. FruR-mediated transcriptional activation at the ppsA promoter of Escherichia coli. J Mol Biol. 1998. PMID: 9512708. | Saier MH Jr, Ramseier TM. The catabolite repressor/activator (Cra) protein of enteric bacteria. J Bacteriol. 1996. PMID: 8655535."
Cra,7,repression,pfkA; pfkB,PFK,metabolic,0.2,strong,1.0,central,0.8,direct,1.0,1.0,Cra represses phosphofructokinase,"Ramseier TM et al. FruR-mediated transcriptional activation at the ppsA promoter of Escherichia coli. J Mol Biol. 1998. PMID: 9512708. | Saier MH Jr, Ramseier TM. The catabolite repressor/activator (Cra) protein of enteric bacteria. J Bacteriol. 1996. PMID: 8655535."
Cra,8,repression,edd; eda,EDD; EDA,metabolic,0.2,strong,1.0,central,0.8,direct,1.0,1.0,Cra represses the ED pathway,"Ramseier TM et al. FruR-mediated transcriptional activation at the ppsA promoter of Escherichia coli. J Mol Biol. 1998. PMID: 9512708. | Saier MH Jr, Ramseier TM. The catabolite repressor/activator (Cra) protein of enteric bacteria. J Bacteriol. 1996. PMID: 8655535."
Crp,1,activation,aceB; aceA; aceK,ICL; MALS,global,0.15,strong,1.0,central,0.8,direct,1.0,0.12,Crp activates the glyoxylate shunt,Kumari S et al. Regulation of acetyl coenzyme A synthetase in Escherichia coli. J Bacteriol. 2000. PMID: 10894724. | Beatty CM et al. Cyclic AMP receptor protein-dependent activation of the Escherichia coli acsP2 promoter by a synergistic class III mechanism. J Bacteriol. 2003. PMID: 12923087.
Crp,2,activation,sdhC; sdhD; sdhA; sdhB,SUCDi,global,0.15,moderate,1.2,central,0.8,direct,1.0,0.144,Crp activates the SDH complex,Kumari S et al. Regulation of acetyl coenzyme A synthetase in Escherichia coli. J Bacteriol. 2000. PMID: 10894724. | Beatty CM et al. Cyclic AMP receptor protein-dependent activation of the Escherichia coli acsP2 promoter by a synergistic class III mechanism. J Bacteriol. 2003. PMID: 12923087.
