organisms.gene	proteome
511145.b3495	45935
511145.b3986	12183
511145.b3339	10296
511145.b1779	8675
511145.b3980	8595
511145.b0440	8148
511145.b1823	7607
511145.b1237	7523
511145.b1094	7063
511145.b4015	6737
511145.b3236	6597
511145.b1677	6011
511145.b2779	5839
511145.b3065	5808
511145.b3510	5773
511145.b2926	5619
511145.b0957	5583
511145.b3908	5547
511145.b3341	5543
511145.b2096	5508
511145.b3315	5469
511145.b4000	5456
511145.b3303	5130
511145.b4143	5112
511145.b3298	4873
511145.b0605	4833
511145.b2185	4803
511145.b0014	4741
511145.b3296	4591
511145.b4142	4556
511145.b3314	4539
511145.b0755	4480
511145.b3460	4471
511145.b0023	4401
511145.b4203	4337
511145.b3637	4182
511145.b3317	4159
511145.b1136	4117
511145.b2417	4115
511145.b3305	4110
511145.b3985	4071
511145.b2609	4070
511145.b2093	4058
511145.b3294	4028
511145.b2414	4010
511145.b3308	4001
511145.b4202	3890
511145.b3307	3871
511145.b3321	3843
511145.b4243	3826
511145.b3984	3815
511145.b3304	3768
511145.b2551	3754
511145.b3340	3698
511145.b0903	3655
511145.b0170	3538
511145.b4200	3534
511145.b1716	3505
511145.b2095	3504
511145.b3312	3482
511145.b3301	3470
511145.b3310	3455
511145.b3309	3445
511145.b2606	3419
511145.b0169	3405
511145.b3231	3383
511145.b3732	3329
511145.b3320	3328
511145.b0911	3309
511145.b2579	3276
511145.b3319	3240
511145.b3230	3209
511145.b0623	3201
511145.b3983	3190
511145.b3165	3140
511145.b1324	3133
511145.b2665	3075
511145.b1415	3070
511145.b1482	2951
511145.b2007	2888
511145.b4226	2812
511145.b3302	2808
511145.b3313	2804
511145.b3928	2785
511145.b2925	2783
511145.b1480	2723
511145.b3306	2692
511145.b3734	2663
511145.b1712	2653
511145.b4245	2647
511145.b3316	2580
511145.b1241	2569
511145.b0436	2559
511145.b3636	2527
511145.b3342	2492
511145.b0114	2473
511145.b0812	2436
511145.b3708	2417
511145.b4177	2371
511145.b1243	2357
511145.b3544	2354
511145.b3919	2342
511145.b3297	2323
511145.b0197	2301
511145.b3703	2288
511145.b0008	2267
511145.b3186	2248
511145.b2415	2247
511145.b0116	2230
511145.b0811	2207
511145.b3185	2186
511145.b1923	2177
511145.b0474	2164
511145.b2150	2164
511145.b1089	2144
511145.b3774	2107
511145.b3609	2107
511145.b2518	2106
511145.b0329	2038
511145.b3831	2037
511145.b4244	2023
511145.b1004	2017
511145.b2029	2016
511145.b3829	2005
511145.b2310	2003
511145.b0912	1996
511145.b2094	1972
511145.b4014	1972
511145.b1288	1968
511145.b2323	1955
511145.b0728	1948
511145.b1676	1935
511145.b0729	1908
511145.b3781	1907
511145.b3295	1905
511145.b3098	1896
511145.b3203	1891
511145.b2913	1881
511145.b3751	1880
511145.b3311	1834
511145.b0118	1786
511145.b0172	1766
511145.b1920	1755
511145.b3433	1717
511145.b3517	1699
511145.b4034	1676
511145.b0178	1668
511145.b0607	1656
511145.b3783	1630
511145.b0753	1622
511145.b0115	1607
511145.b0928	1602
511145.b2498	1592
511145.b0720	1557
511145.b0407	1556
511145.b0525	1552
511145.b3649	1514
511145.b2614	1476
511145.b2942	1467
511145.b0166	1464
511145.b0415	1457
511145.b4401	1436
511145.b4045	1434
511145.b2476	1431
511145.b3764	1427
511145.b0907	1421
511145.b4069	1420
511145.b2416	1416
511145.b3988	1414
511145.b4139	1414
511145.b3870	1413
511145.b3509	1401
511145.b0954	1398
511145.b1718	1394
511145.b3936	1393
511145.b0727	1392
511145.b1817	1381
511145.b0426	1371
511145.b2914	1370
511145.b1739	1369
511145.b2508	1369
511145.b4255	1353
511145.b3987	1352
511145.b3349	1323
511145.b1093	1298
511145.b3164	1296
511145.b1656	1289
511145.b0889	1270
511145.b2687	1256
511145.b4025	1250
511145.b1092	1238
511145.b0631	1234
511145.b1376	1230
511145.b3942	1220
511145.b3403	1219
511145.b2309	1211
511145.b1641	1206
511145.b1251	1199
511145.b2592	1196
511145.b2215	1194
511145.b2597	1174
511145.b1857	1164
511145.b1283	1161
511145.b2935	1148
511145.b1215	1137
511145.b3357	1133
511145.b1850	1131
511145.b0953	1124
511145.b2530	1116
511145.b1304	1115
511145.b1905	1108
511145.b2809	1104
511145.b0655	1095
511145.b4411	1091
511145.b1493	1086
511145.b2153	1083
511145.b0163	1060
511145.b1003	1054
511145.b4376	1043
511145.b1654	1042
511145.b3318	1038
511145.b3926	1038
511145.b1761	1035
511145.b3736	1035
511145.b0897	1033
511145.b4172	1027
511145.b1550	1015
511145.b3336	1015
511145.b1175	1013
511145.b0930	1011
511145.b0437	1011
511145.b2464	1011
511145.b2266	1010
511145.b2669	1009
511145.b0074	1004
511145.b1261	1004
511145.b0471	1000
511145.b1260	995
511145.b2480	992
511145.b2962	990
511145.b4384	988
511145.b3731	986
511145.b0237	983
511145.b3733	982
511145.b2696	982
511145.b2097	981
511145.b3229	972
511145.b0814	963
511145.b1207	958
511145.b0325	947
511145.b3982	934
511145.b0884	931
511145.b2296	927
511145.b3024	925
511145.b2091	916
511145.b1103	908
511145.b0134	906
511145.b3414	903
511145.b0929	898
511145.b2890	890
511145.b0004	889
511145.b3169	888
511145.b0724	887
511145.b3912	883
511145.b0222	883
511145.b3735	882
511145.b0565	880
511145.b2297	877
511145.b1967	876
511145.b2529	876
511145.b0095	868
511145.b0863	858
511145.b0071	855
511145.b3251	850
511145.b0073	845
511145.b3588	834
511145.b4147	833
511145.b3713	828
511145.b1667	824
511145.b1440	820
511145.b1174	817
511145.b3556	813
511145.b1854	810
511145.b1123	809
511145.b0684	804
511145.b3610	803
511145.b3916	802
511145.b4383	801
511145.b3956	797
511145.b4207	796
511145.b0723	796
511145.b0754	791
511145.b3619	790
511145.b2080	772
511145.b1219	769
511145.b0893	769
511145.b1452	768
511145.b0473	766
511145.b1809	759
511145.b1051	757
511145.b3559	756
511145.b0161	753
511145.b0578	752
511145.b0194	748
511145.b1333	747
511145.b3181	742
511145.b3168	741
511145.b2465	738
511145.b0733	738
511145.b0740	733
511145.b1539	732
511145.b4051	731
511145.b1604	729
511145.b3347	729
511145.b0185	724
511145.b1091	724
511145.b3363	723
511145.b2507	721
511145.b1131	719
511145.b0767	718
511145.b1064	718
511145.b0145	711
511145.b1836	705
511145.b3858	705
511145.b3299	700
511145.b3233	700
511145.b1444	697
511145.b0726	692
511145.b2699	692
511145.b1635	691
511145.b2922	686
511145.b2294	686
511145.b0072	684
511145.b1719	683
511145.b2217	680
511145.b3180	676
511145.b4006	675
511145.b3426	674
511145.b3029	672
511145.b0126	668
511145.b0453	663
511145.b1866	660
511145.b0523	660
511145.b1973	656
511145.b0880	650
511145.b0782	648
511145.b2400	642
511145.b0854	642
511145.b0838	640
511145.b0180	637
511145.b3737	636
511145.b3384	631
511145.b2042	629
511145.b2463	628
511145.b3192	628
511145.b3031	625
511145.b1611	623
511145.b1062	620
511145.b0741	619
511145.b4381	614
511145.b1431	613
511145.b3255	609
511145.b4391	608
511145.b1740	603
511145.b3506	602
511145.b1852	599
511145.b1308	597
511145.b3067	596
511145.b1426	595
511145.b3386	591
511145.b0763	591
511145.b1714	588
511145.b2425	588
511145.b2499	586
511145.b0053	586
511145.b3871	585
511145.b1516	585
511145.b0391	584
511145.b2531	582
511145.b3167	580
511145.b1732	579
511145.b2523	579
511145.b0642	578
511145.b1702	573
511145.b0734	573
511145.b0683	572
511145.b4037	571
511145.b3172	571
511145.b0819	571
511145.b0595	568
511145.b2155	567
511145.b2697	563
511145.b0033	563
511145.b1602	563
511145.b0032	557
511145.b1130	553
511145.b2898	553
511145.b1236	552
511145.b1002	552
511145.b0756	550
511145.b4059	546
511145.b1713	544
511145.b4144	544
511145.b0492	539
511145.b1886	538
511145.b4227	537
511145.b3938	536
511145.b1101	535
511145.b2019	534
511145.b1882	533
511145.b2521	531
511145.b1710	528
511145.b0888	527
511145.b3612	526
511145.b1619	523
511145.b0382	523
511145.b1831	521
511145.b2330	520
511145.b0688	519
511145.b0220	518
511145.b3012	517
511145.b0680	515
511145.b3176	512
511145.b0026	511
511145.b3728	510
511145.b0133	508
511145.b1717	508
511145.b2904	504
511145.b0606	503
511145.b0438	499
511145.b0002	498
511145.b3405	497
511145.b2316	496
511145.b1881	496
511145.b3458	495
511145.b1783	492
511145.b1541	485
511145.b1048	484
511145.b2478	482
511145.b3209	477
511145.b2239	475
511145.b0463	473
511145.b3178	471
511145.b0439	471
511145.b2000	470
511145.b1108	469
511145.b1276	468
511145.b0965	468
511145.b3729	467
511145.b2600	466
511145.b1864	466
511145.b3611	465
511145.b0871	464
511145.b3256	459
511145.b2514	459
511145.b4234	458
511145.b2231	456
511145.b2114	451
511145.b3553	450
511145.b2557	449
511145.b2143	449
511145.b3929	446
511145.b3744	443
511145.b1642	442
511145.b4108	440
511145.b3560	439
511145.b1637	439
511145.b2989	435
511145.b0337	433
511145.b4005	432
511145.b0643	432
511145.b3453	430
511145.b2599	428
511145.b1084	428
511145.b1765	427
511145.b0860	425
511145.b1743	425
511145.b2525	425
511145.b0154	423
511145.b0917	423
511145.b2513	418
511145.b2477	418
511145.b3498	417
511145.b0674	416
511145.b0932	413
511145.b0758	412
511145.b0078	412
511145.b4258	411
511145.b3847	410
511145.b3931	409
511145.b1178	406
511145.b4129	406
511145.b2171	404
511145.b1819	403
511145.b0181	403
511145.b1406	403
511145.b0710	403
511145.b1221	401
511145.b2780	401
511145.b2959	401
511145.b3253	401
511145.b2891	401
511145.b1614	401
511145.b1259	400
511145.b2976	398
511145.b3234	395
511145.b2234	394
511145.b2908	393
511145.b3860	392
511145.b1095	390
511145.b1067	388
511145.b2516	388
511145.b3213	388
511145.b0434	388
511145.b4219	387
511145.b3261	387
511145.b0584	385
511145.b3035	385
511145.b2924	384
511145.b1109	383
511145.b3600	383
511145.b4174	383
511145.b4153	383
511145.b4252	382
511145.b0839	382
511145.b1778	381
511145.b1849	380
511145.b3156	379
511145.b1273	378
511145.b1258	378
511145.b0441	375
511145.b3042	371
511145.b3742	371
511145.b2020	370
511145.b2617	369
511145.b2581	369
511145.b2036	365
511145.b1263	365
511145.b1613	365
511145.b4214	362
511145.b1919	359
511145.b0168	356
511145.b0759	354
511145.b3671	353
511145.b3001	352
511145.b0171	349
511145.b2343	349
511145.b0469	349
511145.b1847	346
511145.b3212	345
511145.b2039	342
511145.b1492	342
511145.b2661	340
511145.b1446	340
511145.b1000	340
511145.b3092	340
511145.b0722	340
511145.b4054	339
511145.b1232	337
511145.b2937	335
511145.b3699	335
511145.b2021	335
511145.b1603	333
511145.b2286	333
511145.b1200	331
511145.b1818	330
511145.b0104	330
511145.b3359	329
511145.b1662	328
511145.b1479	328
511145.b0098	328
511145.b3830	327
511145.b0296	327
511145.b2553	327
511145.b0678	326
511145.b3006	325
511145.b3962	325
511145.b3775	324
511145.b1203	324
511145.b0865	323
511145.b2905	323
511145.b3941	322
511145.b0809	321
511145.b1380	321
511145.b4232	320
511145.b1764	317
511145.b3472	315
511145.b1612	315
511145.b2569	315
511145.b4057	315
511145.b4175	313
511145.b4160	313
511145.b4216	313
511145.b3836	313
511145.b3554	312
511145.b4517	310
511145.b1647	310
511145.b4260	310
511145.b0125	309
511145.b3362	309
511145.b2763	307
511145.b0177	305
511145.b0866	304
511145.b2283	304
511145.b3602	303
511145.b3429	303
511145.b3113	301
511145.b1651	300
511145.b0410	300
511145.b3008	299
511145.b2262	299
511145.b1197	299
511145.b1262	299
511145.b2903	298
511145.b0660	296
511145.b3430	296
511145.b3183	296
511145.b2796	295
511145.b3995	295
511145.b1638	295
511145.b2662	294
511145.b3464	294
511145.b3644	293
511145.b1257	291
511145.b2133	289
511145.b0416	289
511145.b0386	289
511145.b1658	288
511145.b3005	287
511145.b0632	287
511145.b2131	286
511145.b0757	286
511145.b3866	285
511145.b1685	285
511145.b3640	284
511145.b0156	283
511145.b1901	282
511145.b0432	282
511145.b3846	282
511145.b1264	281
511145.b2027	280
511145.b0422	280
511145.b2495	280
511145.b2585	279
511145.b0742	279
511145.b3770	278
511145.b2022	276
511145.b3401	276
511145.b2608	275
511145.b2103	275
511145.b2512	274
511145.b1888	272
511145.b3448	272
511145.b1414	272
511145.b1930	271
511145.b0800	270
511145.b1538	270
511145.b1887	270
511145.b3204	269
511145.b1267	269
511145.b4235	268
511145.b3011	267
511145.b0891	267
511145.b2938	267
511145.b0159	265
511145.b3748	265
511145.b1449	263
511145.b2900	263
511145.b1908	262
511145.b4154	262
511145.b1827	262
511145.b2977	261
511145.b0031	261
511145.b3175	261
511145.b3833	260
511145.b2764	260
511145.b0801	257
511145.b2388	256
511145.b3201	256
511145.b3052	255
511145.b0435	255
511145.b0238	255
511145.b1127	255
511145.b4393	253
511145.b3287	252
511145.b4002	252
511145.b0882	252
511145.b2901	252
511145.b2287	249
511145.b3863	248
511145.b2235	248
511145.b2842	247
511145.b0598	246
511145.b3300	244
511145.b0450	244
511145.b0963	244
511145.b0015	243
511145.b0945	243
511145.b0526	243
511145.b0028	243
511145.b4135	242
511145.b1412	242
511145.b1780	242
511145.b4518	241
511145.b4107	240
511145.b2610	240
511145.b0243	239
511145.b2320	239
511145.b4506	239
511145.b2281	239
511145.b2672	239
511145.b2893	238
511145.b0966	237
511145.b3346	237
511145.b1042	236
511145.b1071	235
511145.b3698	234
