Reaction,Value,FluxGen,KinLLM,FBA
ACACT1r,0.2135280000000001,0.21352800000000005,0.0,0.2135279999999999
ACACT1r_reverse,0.0,0.0,0.0,0.0
ACACT2r,0.2135280000000001,0.21352800000000013,0.0,0.21352799999999988
ACACT2r_reverse,0.0,0.0,0.0,0.0
ACACT3r,0.213528,0.21352800000000008,0.0,0.21352799999999994
ACACT3r_reverse,0.0,0.0,0.0,0.0
ACACT4r,0.213528,0.21352800000000005,0.0,0.21352799999999997
ACACT4r_reverse,0.0,0.0,0.0,0.0
ACACT5r,0.213528,0.21352800000000005,0.0,0.213528
ACACT5r_reverse,0.0,0.0,0.0,0.0
ACACT6r,0.1668336,0.16683360000000005,0.0,0.09025680000000003
ACACT6r_reverse,0.0,0.0,0.0,0.0
ACACT7r,0.1668335999999999,0.16683360000000003,0.0,0.0
ACACT7r_reverse,0.0,0.0,0.0,0.0
ACACT8r,0.0,0.0,0.0,0.0
ACACT8r_reverse,0.0,0.0,0.0,0.0
ACCOAC,0.046698,0.04669799999999998,1.4480052000000005,0.2901084000000001
ACKr,0.0,0.0,0.0,0.0
ACKr_reverse,4.6004544,4.600454399999998,4.6004544,0.0
ACONTa,1.0876768255847078,0.6451151999999998,2.604724199999869,4.699851775000769
ACONTa_reverse,0.0,0.0,0.0,0.0
ACONTb,1.0876768255847078,0.6451151999999999,2.604724199999869,4.699851775000769
ACONTb_reverse,0.0,0.0,0.0,0.0
AKGDH,0.314916,0.0,0.314916,4.054736575000768
ALATA_L,0.0,0.0,0.0,0.0
ALATA_L_reverse,0.6027108,0.0,0.0,0.34881359999999995
ANS,0.0341057999999999,0.0341058,0.034105800000000006,0.03410579999999999
ASPTA,0.0,0.0,0.0,0.0
ASPTA_reverse,1.75660739999994,1.7566074000000806,1.7566074000000602,2.079195980000469
CHORS,0.2286713999999995,0.2286714000000001,0.22867140000000014,0.22867140000000002
CS,1.0876768255847078,0.6451151999999998,2.6047241999998696,4.802830309999957
CYSTL,0.0923465999999999,0.0923466,0.09234659999999999,0.09234659999999999
DAPDC,0.2058966,0.20589659999999999,0.20589659999999996,0.20589659999999996
DAPE,0.2225694,0.22256939999999992,0.22256939999999997,0.2225694
DHAD1,0.5245614,0.5245614000000016,0.5245613999999997,0.5245613999999995
DHDPRy,0.2225693999999999,0.22256939999999992,0.22256939999999992,0.22256940000000003
DHDPS,0.2225693999999999,0.22256939999999995,0.22256939999999992,0.2225694
DHQS,0.2286713999999997,0.22867140000000008,0.22867140000000008,0.22867140000000005
DHQTi,0.2286713999999997,0.22867140000000005,0.2286714000000001,0.22867140000000005
ECOAH1,0.2135280000000001,0.2135280000000001,0.0,0.2135279999999999
ECOAH1_reverse,0.0,0.0,0.0,0.0
ECOAH2,0.2135280000000001,0.2135280000000001,0.0,0.2135279999999999
ECOAH2_reverse,0.0,0.0,0.0,0.0
ECOAH3,0.213528,0.21352800000000008,0.0,0.21352799999999994
ECOAH3_reverse,0.0,0.0,0.0,0.0
ECOAH4,0.213528,0.21352800000000008,0.0,0.21352799999999997
ECOAH4_reverse,0.0,0.0,0.0,0.0
ECOAH5,0.213528,0.21352800000000002,0.0,0.21352800000000005
ECOAH5_reverse,0.0,0.0,0.0,0.0
ECOAH6,0.1668336,0.16683360000000005,0.0,0.09025680000000003
ECOAH6_reverse,0.0,0.0,0.0,0.0
ECOAH7,0.1668336,0.16683360000000005,0.0,0.0
ECOAH7_reverse,0.0,0.0,0.0,0.0
ECOAH8,0.0,0.0,0.0,0.0
ECOAH8_reverse,0.0,0.0,0.0,0.0
EDA,0.7776195835440961,0.0,1.8333040355555707e-16,3.770760388560065e-15
EDD,0.7776195835440962,0.0,0.0,3.770760388560066e-15
ENO,11.202276042040626,12.626264099999865,13.496942999999893,11.417183290000505
ENO_reverse,0.0,0.0,0.0,0.0
FBA,5.180950740602686,4.226916600000107,7.290480599999969,0.0
FBA_reverse,0.0,0.0,0.0,0.0
FBP,0.0,0.0,0.0,0.0
FUM,1.06826802558463,0.6257064000000767,2.585315399999935,4.68044297500068
FUM_reverse,0.0,0.0,0.0,0.0
G6PDH2r,3.790681079837147,3.6536685000000375,1.0416318000000298,0.0
G6PDH2r_reverse,0.0,0.0,0.0,0.0
GAPD,13.093819584358284,13.657903499999922,14.528582399999939,12.092534809999902
GAPD_reverse,0.0,0.0,0.0,0.0
GHMT2r,1.529928342317657,0.6700242000000581,0.6700242000000451,0.3139370199993972
GHMT2r_reverse,0.0,0.0,0.0,0.0
GLCptspp,8.160000000000002,8.16,8.16,8.160000000000002
GLNS,1.0863689999999415,1.0863690000000765,1.0863690000000603,1.086368999999911
GLUPRT,0.268942799999971,0.26894280000003823,0.26894280000002996,0.26894279999995563
GND,3.0130614962930515,3.6536685000000375,1.0416318000000298,0.0
HACD1,0.2135280000000001,0.2135280000000001,0.0,0.21352799999999988
HACD1_reverse,0.0,0.0,0.0,0.0
HACD2,0.213528,0.2135280000000001,0.0,0.2135279999999999
HACD2_reverse,0.0,0.0,0.0,0.0
HACD3,0.213528,0.21352800000000005,0.0,0.21352799999999994
HACD3_reverse,0.0,0.0,0.0,0.0
HACD4,0.213528,0.21352800000000005,0.0,0.21352799999999997
HACD4_reverse,0.0,0.0,0.0,0.0
HACD5,0.213528,0.21352800000000002,0.0,0.21352800000000005
HACD5_reverse,0.0,0.0,0.0,0.0
HACD6,0.1668336,0.16683360000000003,0.0,0.09025680000000003
HACD6_reverse,0.0,0.0,0.0,0.0
HACD7,0.1668336,0.16683360000000003,0.0,0.0
HACD7_reverse,0.0,0.0,0.0,0.0
HACD8,0.0,0.0,0.0,0.0
HACD8_reverse,0.0,0.0,0.0,0.0
ICDHyr,0.9600311999999972,0.6451151999999999,2.604724199999869,4.699851775000769
ICDHyr_reverse,0.0,0.0,0.0,0.0
ICL,0.1276456255846899,0.0,0.0,0.0
IPMD,0.2703186,0.27031859999999996,0.27031859999999996,0.2703186
IPPS,0.2703186000000001,0.27031859999999996,0.2703186,0.2703186
MALS,0.1280470255847102,0.0,0.0004014000000001287,0.0
MDH,1.8665651696172811,0.6247308000000792,2.5858505999999353,4.67810057500068
MDH_reverse,0.0,0.0,0.0,0.0
ME1,0.0,0.0,0.0,0.0
ME2,0.2221770238697418,0.0,0.0,0.0
METS,0.0926154,0.09261539999999999,0.09261540000000028,0.09261540000000021
MTHFC,1.4211339423176572,0.5947284000000765,0.5947284000000602,0.2051426199993974
MTHFC_reverse,0.0,0.0,0.0,0.0
MTHFD,1.421133942317657,0.5947284000000765,0.5947284000000601,0.20514261999939737
MTHFD_reverse,0.0,0.0,0.0,0.0
MTHFR2,0.0926154,0.09261539999999999,0.09261540000000028,0.09261540000000021
PDH,8.959070993487082,8.585423099999854,5.047764337500579,0.0
PFK,5.180950740602684,4.226916600000107,7.2904805999999684,0.0
PGI,4.369318920162851,4.506331499999963,7.11836819999997,8.160000000000002
PGI_reverse,0.0,0.0,0.0,0.0
PGK,0.0,0.0,0.0,0.0
PGK_reverse,13.093819584358284,13.657903499999923,14.528582399999939,12.092534809999902
PGL,3.790681079837148,3.6536685000000375,1.0416318000000298,0.0
PGM,0.0,0.0,0.0,0.0
PGM_reverse,11.202276042040626,12.626264099999865,13.496942999999893,11.417183290000505
PPC,2.098764076694052,1.7760162000000037,1.7756147999999943,2.0986047800005574
PPCK,0.2286178784089923,0.0,0.0,0.0
PPS,0.0,0.0,0.0,0.0
PRAIS,0.2689427999999709,0.26894280000003834,0.26894280000002996,0.26894279999995563
PSERT,1.8915435423176568,1.03163940000006,1.031639400000045,0.6755522199993967
PSP_L,1.8915435423176568,1.0316394000000597,1.031639400000045,0.6755522199993967
PTAr,4.600454399999999,4.600454399999998,4.6004544,0.0
PTAr_reverse,0.0,0.0,0.0,0.0
PYK,0.0,0.0,3.063965399999901,0.0
RPE,1.5430916641953996,1.9701630000000008,0.22880519999999727,0.0
RPE_reverse,0.0,0.0,0.0,3.24887419000014
RPI,0.0,0.0,0.0,0.0
RPI_reverse,1.4460874320976662,1.659623100000037,0.788944200000032,3.2249917900001406
SERAT,0.1487231999999999,0.1487232000000017,0.1487231999999998,0.14872319999999958
SERAT_reverse,0.0,0.0,0.0,0.0
SUCDi,0.4425616255846878,4.202228475144301e-17,2.1598541999998764,4.253614975000768
SUCOAS,0.0,0.3149159999999999,0.0,0.0
SUCOAS_reverse,0.0,0.0,0.0,3.7398205750007683
TALA,0.8859484320976997,1.0994841000000004,0.22880519999999724,0.0
TALA_reverse,0.0,0.0,0.0,5.703251794999976
THRS,0.3265296,0.32652960000000025,0.32652960000000003,0.6491181800005583
TKT1,0.8859484320976997,1.0994841000000004,0.22880519999999727,0.0
TKT1_reverse,0.0,0.0,0.0,1.51003449500007
TKT2,0.6571432320977,0.8706789000000004,0.0,0.0
TKT2_reverse,0.0,0.0,0.0,1.7388396950000697
TPI,5.770934184358238,6.335018099999962,7.205696999999969,4.7696494099998645
TPI_reverse,0.0,0.0,0.0,0.0
