Gene,NQ381 (400),NQ381 (500),NQ381 (800),NCM3722,uniprot,reaction,kcat,kcat_MW,proteomics_vivo,kcat_vivo,kcat_vitro,kcat_vivo_log10,kcat_vitro_log10
pfkA,0.06%,0.06%,0.06%,0.06%,P0A796,"['PFK_2', 'PFK_num1', 'PFK_3']","[31.0185, 75.8619411764706, 20.76233333333333]","[3204.9423110039606, 7838.326968466052, 2145.238505252282]",6.308812964826603e-09,0.506255928724969,75.8619411764706,-0.295629877757597,1.880023951357063
fbaA,0.32%,0.35%,0.35%,0.39%,P0AB71,"['FBA3', 'FBA_num3', 'FBA_reverse_num3', 'FBA3_reverse']","[16.6515, 12.35, 12.35, 16.6515]","[1531.289754004138, 1135.7192122001686, 1135.7192122001686, 1531.289754004138]",6.628681047720377e-09,0.14589193490385383,16.6515,-0.8359687158074764,1.221453361709029
tpiA,0.12%,0.15%,0.13%,0.18%,P0A858,"['TPI', 'TPI_reverse']","[439.1, 439.1]","[58607.444757526326, 58607.444757526326]",8.276860113968582e-08,41.4249036631244,439.1,1.6172615071065313,2.642563437104388
gapA,1.19%,1.29%,1.33%,1.47%,P0A9B2,"['E4PD_num2', 'E4PD_reverse_num2', 'GAPD_reverse', 'GAPD']","[65.0, 65.0, 999.0, 999.0]","[6585.612968591692, 6585.612968591692, 101215.80547112462, 101215.80547112462]",4.792899249857926e-08,22.36851449527695,999.0,1.3496371433310577,2.9995654882259823
pgk,0.30%,0.31%,0.32%,0.36%,P0A799,"['PGK_reverse', 'PGK']","[1480.0, 1480.0]","[129578.28688165768, 129578.28688165768]",7.487630370655705e-08,34.534056459606255,1480.0,1.5382475946990692,3.1702617153949575
eno,0.63%,0.70%,0.75%,0.83%,P0A6P9,"['ENO_reverse', 'ENO']","[159.03158333333334, 159.03158333333334]","[12540.0, 12540.0]",7.670490718345322e-07,32.94672156466872,159.03158333333334,1.5178122056611127,2.2014833828441374
aceE,0.30%,0.32%,0.34%,0.41%,P0AFG8,['PDH'],[37.9],[630.3476059357271],1.7054049470275799e-06,4.346938639344037,37.9,0.638183509806118,1.5786392099680724
aceF,0.21%,0.24%,0.24%,0.25%,P06959,['PDH'],[37.9],[630.3476059357271],1.7054049470275799e-06,6.689470600558684,37.9,0.8253917494040709,1.5786392099680724
lpd,0.63%,0.61%,0.56%,0.52%,P0A9P0,"['GLYCL', 'AKGDH', 'PDH']","[69.674, 18.85, 37.9]","[1200.0000000000002, 339.7059486085873, 630.3476059357271]",5.6846831567586e-07,4.820618500043858,69.674,0.6831027631192547,1.8430707441941183
gltA,0.88%,0.80%,0.61%,0.48%,P0ABH7,['CS'],[78.0],[5848.172446110591],3.9195294176874054e-08,1.4721955004649567,78.0,0.16796548604456318,1.8920946026904804
acnB,0.92%,0.84%,0.66%,0.57%,P36683,"['MICITDr_reverse', 'ACONTa_num1', 'ACONTb_reverse_num1', 'MICITDr', 'ACONTa_reverse_num1', 'ACONTb_num1']","[3.0, 5.3, 202.78, 3.0, 5.3, 202.78]","[115.51049220304178, 204.0685362253738, 7807.739202977604, 115.51049220304178, 204.0685362253738, 7807.739202977604]",1.9210205882903822e-07,1.283431351749125,202.78,0.10837264406015577,2.3070251187186726
icd,1.55%,1.55%,1.31%,1.39%,P08200,"['ICDHyr', 'ICDHyr_reverse']","[130.31428571428572, 130.31428571428572]","[10252.67016131802, 10252.67016131802]",1.1178592299165828e-08,0.5567666733601985,130.31428571428572,-0.25432676838480267,2.1149920278906627
sucC,0.52%,0.49%,0.38%,0.30%,P0A836,"['SUCOAS', 'SUCOAS_reverse']","[44.73, 44.73]","[2262.582548826753, 2262.582548826753]",2.4727229900694738e-08,0.5744086124654928,44.73,-0.2407790570697284,1.650598898172657
sucD,0.36%,0.35%,0.28%,0.22%,P0AGE9,"['SUCOAS', 'SUCOAS_reverse']","[44.73, 44.73]","[2262.582548826753, 2262.582548826753]",2.4727229900694738e-08,0.5864507217414989,44.73,-0.231768474895208,1.650598898172657
sdhA,0.33%,0.30%,0.29%,0.24%,P0AC41,['SUCDi'],[5134.895327273855],[156182.6576617399],9.131904969112748e-13,0.001791765311043314,5134.895327273855,-2.746718875697148,3.7105315951094027
sdhB,0.16%,0.15%,0.13%,0.11%,P07014,['SUCDi'],[5134.895327273855],[156182.6576617399],9.131904969112748e-13,0.0016079427143071907,5134.895327273855,-2.7937294277912055,3.7105315951094027
sdhC,0.00%,0.00%,0.00%,0.00%,P69054,['SUCDi'],[5134.895327273855],[156182.6576617399],9.131904969112748e-13,0.0068241396535429575,5134.895327273855,-2.165952094070533,3.7105315951094027
sdhD,0.00%,0.00%,0.00%,0.00%,P0AC44,['SUCDi'],[5134.895327273855],[156182.6576617399],9.131904969112748e-13,0.004194838787030818,5134.895327273855,-2.377284725001734,3.7105315951094027
fumC,0.00%,0.00%,0.00%,0.00%,P05042,"['FUM_num2', 'FUM_reverse_num2']","[711.94, 711.94]","[50763.21574996534, 50763.21574996534]",2.1898110028173633e-09,3.5685986641305223,711.94,0.5524977085737087,2.852443394245127
