,UniProtID,proteinNames,txt_subunit,geneNames
0,P22256,"['4-aminobutyrate aminotransferase GabT', '5-aminovalerate transaminase', 'GABA aminotransferase', 'GABA-AT', 'Gamma-amino-N-butyrate transaminase', 'GABA transaminase', 'Glutamate:succinic semialdehyde transaminase', 'L-AIBAT']",Homotetramer.,"['gabT', 'b2662', 'JW2637']"
1,P50457,"['4-aminobutyrate aminotransferase PuuE', 'GABA aminotransferase', 'GABA-AT', 'Gamma-amino-N-butyrate transaminase', 'GABA transaminase', 'Glutamate:succinic semialdehyde transaminase']",Homotetramer.,"['puuE', 'goaG', 'b1302', 'JW1295']"
2,P77674,"['Gamma-aminobutyraldehyde dehydrogenase', 'ABALDH', '1-pyrroline dehydrogenase', '4-aminobutanal dehydrogenase', '5-aminopentanal dehydrogenase']",Homotetramer.,"['patD', 'prr', 'ydcW', 'b1444', 'JW1439']"
3,P25527,"['Gamma-aminobutyric acid permease', 'GABA permease', '4-aminobutyrate carrier', '4-aminobutyrate permease', 'Gamma-aminobutyrate permease']",Monomer.,"['gabP', 'b2663', 'JW2638']"
4,P76459,"['Acetate CoA-transferase subunit beta', 'Acetoacetyl-CoA transferase subunit beta', 'AA-CoA transferase subunit beta', 'Acetyl-CoA:acetoacetate CoA-transferase subunit beta']",Heterotetramer composed of two alpha subunits (AtoD) and two beta subunits (AtoA).,"['atoA', 'b2222', 'JW2216']"
5,P77747,"['Outer membrane porin N', 'Outer membrane protein N', 'Porin OmpN']",Homotrimer.,"['ompN', 'ynaG', 'b1377', 'JW1371']"
6,P25539,['Riboflavin biosynthesis protein RibD'],Homodimer.,"['ribD', 'ribG', 'ybaE', 'b0414', 'JW0404']"
7,P76458,"['Acetate CoA-transferase subunit alpha', 'Acetoacetyl-CoA transferase subunit alpha', 'AA-CoA transferase subunit alpha', 'Acetyl-CoA:acetoacetyl-CoA transferase subunit alpha']",Heterotetramer composed of two alpha subunits (AtoD) and two beta subunits (AtoA).,"['atoD', 'b2221', 'JW2215']"
8,P21151,"['3-ketoacyl-CoA thiolase FadA', 'Acetyl-CoA acyltransferase', 'Beta-ketothiolase', 'Fatty acid oxidation complex subunit beta']",Heterotetramer of two alpha chains (FadB) and two beta chains (FadA).,"['fadA', 'oldA', 'b3845', 'JW5578']"
9,P08202,['L-arabinose isomerase'],Homohexamer.,"['araA', 'b0062', 'JW0061']"
10,P07822,"['Iron(3+)-hydroxamate-binding protein FhuD', 'Ferric hydroxamate uptake protein D', 'Ferrichrome-binding periplasmic protein', 'Iron(III)-hydroxamate-binding protein FhuD']","The complex is composed of two ATP-binding proteins (FhuC), a transmembrane protein (FhuB) and a solute-binding protein (FhuD) (PubMed:34887516). FhuD interacts with FhuB (PubMed:34887516, PubMed:8522527, PubMed:9426146). Substrate-loaded FhuD binds FhuB more strongly than FhuD alone (PubMed:34887516).","['fhuD', 'b0152', 'JW0148']"
11,P07821,"['Iron(3+)-hydroxamate import ATP-binding protein FhuC', 'Ferric hydroxamate uptake protein C', 'Ferrichrome transport ATP-binding protein FhuC', 'Iron(III)-hydroxamate import ATP-binding protein FhuC']","The complex is composed of two ATP-binding proteins (FhuC), a transmembrane protein (FhuB) and a solute-binding protein (FhuD) (PubMed:34887516). FhuC interacts with FhuB (PubMed:1551849).","['fhuC', 'b0151', 'JW0147']"
