,kcat,data_type,MW,kcat_MW
12PPDRtex_num1,1976.6601861297006,fill,38922,182826.59344501625
12PPDStex_num1,1976.6601861297006,fill,38922,182826.59344501625
14GLUCANabcpp,1976.6601861297006,fill,173616.0,40986.871429286024
23CAMPtex_num1,1976.6601861297006,fill,38922,182826.59344501625
23CCMPtex_num1,1976.6601861297006,fill,38922,182826.59344501625
23CGMPtex_num1,1976.6601861297006,fill,38922,182826.59344501625
23CUMPtex_num1,1976.6601861297006,fill,38922,182826.59344501625
23DAPPAtex_num1,1976.6601861297006,fill,38922,182826.59344501625
26DAHtex_num1,1976.6601861297006,fill,38922,182826.59344501625
2AGPA120tipp,1976.6601861297006,fill,41656,170827.17183759654
2AGPA140tipp,1976.6601861297006,fill,41656,170827.17183759654
2AGPA141tipp,1976.6601861297006,fill,41656,170827.17183759654
2AGPA160tipp,1976.6601861297006,fill,41656,170827.17183759654
2AGPA161tipp,1976.6601861297006,fill,41656,170827.17183759654
2AGPA180tipp,1976.6601861297006,fill,41656,170827.17183759654
2AGPA181tipp,1976.6601861297006,fill,41656,170827.17183759654
2AGPE120tipp,1976.6601861297006,fill,41656,170827.17183759654
2AGPE140tipp,1976.6601861297006,fill,41656,170827.17183759654
2AGPE141tipp,1976.6601861297006,fill,41656,170827.17183759654
2AGPE160tipp,1976.6601861297006,fill,41656,170827.17183759654
2AGPE161tipp,1976.6601861297006,fill,41656,170827.17183759654
2AGPE180tipp,1976.6601861297006,fill,41656,170827.17183759654
2AGPE181tipp,1976.6601861297006,fill,41656,170827.17183759654
2AGPEAT120,1976.6601861297006,fill,80700,88178.14956712419
2AGPEAT140,1976.6601861297006,fill,80700,88178.14956712419
2AGPEAT141,1976.6601861297006,fill,80700,88178.14956712419
3OAR100,155.54,Other_species,25560,21907.042253521126
2AGPEAT161,1976.6601861297006,fill,80700,88178.14956712419
2AGPEAT181,1976.6601861297006,fill,80700,88178.14956712419
3OAR120,155.54,Other_species,25560,21907.042253521126
3OAR121,157.519,Other_species,25560,22185.774647887323
3OAR140,155.54,Other_species,25560,21907.042253521126
3OAR141,157.519,Other_species,25560,22185.774647887323
2AGPG120tipp,1976.6601861297006,fill,41656,170827.17183759654
3OAR160,155.54,Other_species,25560,21907.042253521126
2AGPG140tipp,1976.6601861297006,fill,41656,170827.17183759654
2AGPG141tipp,1976.6601861297006,fill,41656,170827.17183759654
2AGPG160tipp,1976.6601861297006,fill,41656,170827.17183759654
2AGPG161tipp,1976.6601861297006,fill,41656,170827.17183759654
3OAR161,157.519,Other_species,25560,22185.774647887323
3OAR180,157.519,Other_species,25560,22185.774647887323
3OAR181,157.519,Other_species,25560,22185.774647887323
3OAR40,157.519,Other_species,25560,22185.774647887323
3OAR60,155.54,Other_species,25560,21907.042253521126
3OAR80,155.54,Other_species,25560,21907.042253521126
2AGPG180tipp,1976.6601861297006,fill,41656,170827.17183759654
2AGPG181tipp,1976.6601861297006,fill,41656,170827.17183759654
2AGPGAT120,1976.6601861297006,fill,80700,88178.14956712419
2AGPGAT140,1976.6601861297006,fill,80700,88178.14956712419
2AGPGAT141,1976.6601861297006,fill,80700,88178.14956712419
2AGPGAT160,1976.6601861297006,fill,80700,88178.14956712419
