reaction,gene,name,our_name,GLC_BATCH_mu=0.6_H,kcat_vivo,kcat_vitro,kcat_vitro_log10,kcat_vivo_log10,kcat_Density,absolute_error,square_error,error
3OAR140,b1093,fabG,ECDH1ME8569_1028,5.6852260662193185e-06,8.935849723675112,156.54,2.1946253294838645,0.9511358565346523,0.10068509278453763,1.243489472949212,1.5462660693355093,1.243489472949212
3OAR160,b1093,fabG,ECDH1ME8569_1028,5.6852260662193185e-06,5.92979687972474,156.54,2.1946253294838645,0.7730398172216758,0.08091241083463796,1.4215855122621885,2.020905368673749,1.4215855122621885
5DOAN,b0159,mtn,ECDH1ME8569_0153,4.935111524898892e-06,1.029768705309073,1977.6601861297008,3.296151670493206,0.01273968947403054,0.0587863971127245,3.2834119810191753,10.780794237100265,3.2834119810191753
ACACT2r_num2,b3845,fadA,ECDH1ME8569_3722,6.849622687291783e-07,115.09529443667262,5.1,0.7075701760979364,2.061057568269565,0.0612584473457584,1.3534873921716288,1.8319281207675566,-1.3534873921716288
ACACT3r_num2,b3845,fadA,ECDH1ME8569_3722,6.849622687291783e-07,115.09529443667259,5.775,0.7615519885641819,2.061057568269565,0.06443070815631634,1.2995055797053832,1.688714751685424,-1.2995055797053832
ACACT4r_num2,b3845,fadA,ECDH1ME8569_3722,6.849622687291783e-07,115.09529443667259,5.1,0.7075701760979364,2.061057568269565,0.0612584473457584,1.3534873921716288,1.8319281207675566,-1.3534873921716288
ACACT5r_num2,b3845,fadA,ECDH1ME8569_3722,6.849622687291783e-07,115.09529443667262,5.775,0.7615519885641819,2.061057568269565,0.06443070815631634,1.2995055797053832,1.688714751685424,-1.2995055797053832
ACACT6r_num2,b3845,fadA,ECDH1ME8569_3722,6.849622687291783e-07,49.22728715162365,5.1,0.7075701760979364,1.6922059030580836,0.08662776207019685,0.9846357269601472,0.9695075148063376,-0.9846357269601472
ACACT7r_num2,b3845,fadA,ECDH1ME8569_3722,6.849622687291783e-07,49.22728715162361,5.1,0.7075701760979364,1.6922059030580834,0.08662776207019686,0.984635726960147,0.9695075148063371,-0.984635726960147
ACGK,b3959,argB,ECDH1ME8569_3827,5.571251626104815e-06,12.65908451718605,64.46666666666667,1.8093352150273205,1.1024022994008857,0.12137341786483076,0.7069329156264348,0.49975414719609196,0.7069329156264348
ACGS,b2818,argA,ECDH1ME8569_2725,1.1443580394640656e-06,57.76168763203413,1.22,0.08635983067474823,1.7616398735950445,0.029268401617071765,1.6752800429202963,2.80656322220703,-1.6752800429202963
ACKr_reverse_num3,b1849,purT,ECDH1ME8569_1795,2.7978462795299677e-06,539.8873886357895,586.3636363636364,2.7681670294770426,2.7323031827965707,0.06269364137329685,0.035863846680471934,0.0012862154987203977,0.035863846680471934
ACOAD1f_reverse,b0221,fadE,ECDH1ME8569_0209,6.338197718011059e-07,124.30156805709555,14.805043225806452,1.1704096797227386,2.0944766072759853,0.0782928661785052,0.9240669275532467,0.8538996865976973,-0.9240669275532467
ACOAD3f_reverse,b0221,fadE,ECDH1ME8569_0209,6.338197718011059e-07,124.3015680570956,36.166874054054055,1.5583109737950167,2.0944766072759853,0.09170568395556647,0.5361656334809686,0.2874735865260483,-0.5361656334809686
ACOAD5f_reverse,b0221,fadE,ECDH1ME8569_0209,6.338197718011059e-07,124.3015680570956,36.166874054054055,1.5583109737950167,2.0944766072759853,0.09170568395556647,0.5361656334809686,0.2874735865260483,-0.5361656334809686
ACOAD6f_reverse,b0221,fadE,ECDH1ME8569_0209,6.338197718011059e-07,53.11871495923571,36.166874054054055,1.5583109737950167,1.725247560093706,0.1206955232920277,0.16693658629868935,0.027867823845059758,-0.16693658629868935
ACODA,b3957,argE,ECDH1ME8569_3825,5.215679626866349e-06,13.453927047335258,1226.5384615384614,3.088681171272141,1.1288490684318409,0.07228932982524656,1.9598321028403003,3.8409418713234333,1.9598321028403003
ACONTa_num1,b0118,acnB,ECDH1ME8569_0112,9.722313180128597e-06,53.4930174178133,6.3,0.7993405494535817,1.7282970961366613,0.09078376165743847,0.9289565466830796,0.8629602656253527,-0.9289565466830796
ACONTb_num1,b0118,acnB,ECDH1ME8569_0112,9.722313180128597e-06,53.493017417813284,203.78,2.309161557904644,1.728297096136661,0.10815812439069122,0.5808644617679828,0.33740352294500836,0.5808644617679828
ACOTA_reverse_num1,b1748,astC,ECDH1ME8569_1692,3.6967035750773016e-07,176.71247533394123,2.55,0.4065401804339551,2.24726721038645,0.028937709455246544,1.840727029952495,3.388275998797733,-1.840727029952495
ADK1,b0474,adk,ECDH1ME8569_0458,6.815504389127241e-06,55.53348748358522,455.9123571428572,2.658881363568984,1.7445549478705096,0.08392551210451624,0.9143264156984743,0.8359927944440192,0.9143264156984743
ADPT,b0469,apt,ECDH1ME8569_0453,2.554500722912776e-06,1.0958516598660453,16.142607692307692,1.2079736923997892,0.0397517697854308,0.06376274114778327,1.1682219226143584,1.364742460476788,1.1682219226143584
ADSK,b2750,cysC,ECDH1ME8569_2660,1.729888629938562e-06,32.46538998919716,63.8,1.8048206787211623,1.5114206241851817,0.13080403568860607,0.2934000545359805,0.08608359200171634,0.2934000545359805
ADSL1r,b1131,purB,ECDH1ME8569_1066,4.182066742253502e-06,16.702249128223023,2.5233333333333334,0.40197462478041035,1.2227749572677291,0.09437869455335865,0.8208003324873188,0.673713185811293,-0.8208003324873188
ADSL2r,b1131,purB,ECDH1ME8569_1066,4.182066742253502e-06,24.525044689358136,36.741,1.5651509725623762,1.3896098074209549,0.13135085744087652,0.17554116514142137,0.03081470065920777,0.17554116514142137
ADSS,b4177,purA,ECDH1ME8569_4034,1.0315747924796947e-05,7.365786982819585,2.426625,0.38500266754992635,0.8672191549854011,0.12031803987140478,0.4822164874354748,0.23253274075460742,-0.4822164874354748
AHCYSNS,b0159,mtn,ECDH1ME8569_0153,4.935111524898892e-06,1.0198458035394078,2.554294,0.40727088322858923,0.008534513198926608,0.12693173418676948,0.3987363700296626,0.15899069278443204,0.3987363700296626
AICART,b4006,purH,ECDH1ME8569_3866,6.116183714588418e-06,20.48726588698512,6.0,0.7781512503836436,1.31148400381729,0.12341925275206951,0.5333327534336463,0.2844438258851145,-0.5333327534336463
AIRC2,b0522,purK,ECDH1ME8569_0507,9.070035925458143e-07,109.47069164218608,16.365,1.2139160096440231,2.0392978619907325,0.08510993928364252,0.8253818523467094,0.6812552021832852,-0.8253818523467094
AIRC3_reverse,b0523,purE,ECDH1ME8569_0508,4.243876726888729e-06,24.18241394290423,14.9,1.173186268412274,1.3834996509398179,0.12977240966494646,0.21031338252754384,0.04423171887017698,-0.21031338252754384
ALAR_num1,b1190,dadX,ECDH1ME8569_1129,1.5227866036697024e-07,61.10911062657956,151.58307692307693,2.180650718385928,1.7861059631048772,0.11244692469576383,0.3945447552810508,0.15566556391978428,0.3945447552810508
ANPRT,b1263,trpD,ECDH1ME8569_1203,2.8658452114775736e-06,5.3556709282541615,2.066761904761905,0.3152904478880581,0.7288138845397744,0.11542863555098765,0.41352343665171626,0.17100163266024598,-0.41352343665171626
APRAUR,b0414,ribD,ECDH1ME8569_0399,4.165626823733886e-07,1.2351176855546064,1.3125,0.11809931207799448,0.09170834039076582,0.11994896718241432,0.026390971687228662,0.0006964833865961049,0.026390971687228662
ARGSL,b3960,argH,ECDH1ME8569_3828,3.887233407818452e-06,17.710006001857234,231.47744444444444,2.3645086790232765,1.248218708370935,0.11333722633577431,1.1162899706523415,1.2461032985790055,1.1162899706523415
ASAD_reverse,b3433,asd,ECDH1ME8569_3311,1.687558391659218e-05,28.716666257182805,225.3636363636364,2.3528838416095965,1.4581340208715845,0.11508605878611884,0.894749820738012,0.8005772417107047,0.894749820738012
ASNS2,b3744,asnA,ECDH1ME8569_3632,1.3177986920249617e-06,41.16963379020906,3.87,0.5877109650189114,1.6145770039030296,0.08126129475278199,1.0268660388841182,1.0544538618135593,-1.0268660388841182
ASPCT_num2,b4245,pyrB,ECDH1ME8569_4101,1.8453210745514797e-05,4.936568340548964,104.268333,2.0181524302716234,0.6934251536498348,0.07584692838892435,1.3247272766217886,1.7549023574257807,1.3247272766217886
ASPK_num3,b4024,lysC,ECDH1ME8569_3880,5.942276404296898e-06,79.71308829946805,9.608235294117646,0.9826436298742096,1.9015296351923618,0.08845177295401113,0.9188860053181522,0.8443514907695513,-0.9188860053181522
ASPO3,b2574,nadB,ECDH1ME8569_2501,2.1588781713485128e-07,3.317161932605665,1977.6601861297008,3.296151670493206,0.5207666728220158,0.05479355227981653,2.77538499767119,7.702761885298311,2.77538499767119
ASPTA_reverse,b0928,aspC,ECDH1ME8569_0879,9.160982781701999e-06,96.61002850278648,509.64454545454544,2.7072673804725396,1.9850222102391393,0.072971419084614,0.7222451702334003,0.5216380859254733,0.7222451702334003
ATPPRT,b2019,hisG,ECDH1ME8569_1955,3.647102411509863e-06,6.70436168416452,1.8356666666666666,0.2637938217616201,0.8263574353954588,0.10589066260560259,0.5625636136338388,0.31647781938476305,-0.5625636136338388
BMOCOS,b0827,moeA,ECDH1ME8569_0780,1.2728767258595469e-06,1.0210476825811465,1977.6601861297008,3.296151670493206,0.00904602396578629,0.0585795737079872,3.2871056465274195,10.805063531432445,3.2871056465274195
