reactions,data_type,kcat,MW,kcat_MW
ALLTN,ours,640098.4994851322,49601.06460000006,46457764.90342654
AMPTASECG_num4,ours,367656.6022415771,46179.62230000008,28661208.172542267
GTHOr_reverse,ours,156550.97286654788,48771.94720000004,11555484.959591113
UGMDDS,ours,102093.2319271063,47446.580300000096,7746304.003654019
ACMANAptspp,ours,86703.22399867981,63561.09830000026,1876714.824962186
AMPTASEPG_num3,ours,85168.12642985115,46179.62230000008,6639405.865116043
GTHOr,ours,70174.37465235584,48771.94720000004,5179775.736911337
CHTBSptspp,ours,70011.9568709127,63561.09830000026,3965366.4187121936
ACGAptspp_num1,ours,67267.33014401101,50675.92520000003,1710100.3932331922
ACGAptspp_num2,ours,67126.29546763058,9119.2594,1713541.7404200616
ACMUMptspp,ours,54286.739347308336,9119.2594,1388678.5755295544
MANGLYCptspp,ours,37398.704609401946,69667.07320000029,945822.0337564693
FRUpts2pp,ours,33647.987382769476,30955.114399999984,728319.8229439033
FRUptspp,ours,33647.987382769476,63561.09830000026,713190.9304555606
SUCptspp,ours,30003.589971341375,49801.345900000015,767504.9760423866
GLCptspp_num3,ours,29744.689290982653,27635.475899999983,643831.8759303702
GLCptspp_num2,ours,29744.689290982653,9119.2594,756182.9010339774
GLCptspp_num1,ours,29744.686561067625,9119.2594,725689.0070290233
MALTptspp,ours,29664.317443102616,56626.32900000003,723728.2203422284
MANptspp,ours,28450.692033659932,35047.13200000002,615822.9539517027
TREptspp,ours,28351.145303352983,18250.83530000001,718704.042720297
SHK3Dr_reverse_num2,ours,27678.316057556687,29413.27850000001,3387651.5264085243
SBTptspp,ours,26954.165895970043,20580.0914,693622.5579255803
GALTptspp,ours,26954.165895970043,63561.09830000026,703396.590749398
MNLptspp,ours,26795.96086281334,67971.47530000024,685845.73018773
HCO3E_reverse_num1,ours,26491.75457257631,25096.479300000028,3800147.236639468
ASCBptspp,ours,22372.99823701243,10895.50259999999,531459.7120104047
GAMptspp,ours,20457.48165317107,63561.09830000026,442807.74496323994
ALATA_D2_num1,ours,15007.12197077733,45316.05480000002,1192196.437515085
ALATA_L2_num2,ours,14551.360694246157,45316.05480000002,1155989.8303257888
ARBTptspp_num1,ours,14517.612452598192,63561.09830000026,375556.6389892507
ARBTptspp_num2,ours,14320.970916025619,51025.378900000105,416759.1311015408
SHK3Dr_num2,ours,12045.709378850672,29413.27850000001,1474318.946249477
ICHORT,ours,11938.989871412841,32553.98120000002,1320279.792294228
SARCOX,ours,9047.091103666162,40901.496100000055,796291.8494122796
FALDH2_reverse,ours,8715.084092944167,39358.55440000008,797140.6270601986
DHAPT,ours,8102.639171582593,51448.023900000095,157694.58246135592
