reaction,gene,name,our_name,GLC_BATCH_mu=0.6_H,kcat_vivo,kcat_vitro,kcat_vitro_log10,kcat_vivo_log10,kcat_Density,absolute_error,square_error,error
5DOAN,b0159,mtn,ECDH1ME8569_0153,4.935111524898892e-06,1.0124424548679036,5.170177699790612,0.7135054701175869,0.005370348189372941,0.18252989773336542,0.7081351219282139,0.5014553509082864,0.7081351219282139
ACACT2r_num1,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,453.659352758887,55.75284455626381,1.746267030349317,2.65672986883328,0.09964162556014024,0.9104628384839628,0.8289425802602746,-0.9104628384839628
ACACT3r_num1,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,453.659352758887,54.73346015892681,1.7382529043900372,2.65672986883328,0.09961132905066632,0.9184769644432427,0.8435999342128737,-0.9184769644432427
ACACT4r_num1,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,453.6593527588871,54.73346262470797,1.7382529239553108,2.65672986883328,0.09961132916842862,0.918476944877969,0.8435998982723678,-0.918476944877969
ACACT5r_num1,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,453.659352758887,56.9013807942841,1.7551228053065338,2.65672986883328,0.09963319296623718,0.9016070635267461,0.812895297001322,-0.9016070635267461
ACACT6r_num1,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,354.6715999514585,54.73346262470797,1.7382529239553108,2.5498264140761964,0.11552868006323212,0.8115734901208855,0.658651529866995,-0.8115734901208855
ACACT7r_num1,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,354.67159995145846,54.73346262470797,1.7382529239553108,2.5498264140761964,0.11552868006323212,0.8115734901208855,0.658651529866995,-0.8115734901208855
ACGK,b3959,argB,ECDH1ME8569_3827,5.571251626104815e-06,15.489525964576996,125.50542232225926,2.0986624894327184,1.1900381269833118,0.08583651542550604,0.9086243624494066,0.8255982320365906,0.9086243624494066
ACGS,b2818,argA,ECDH1ME8569_2725,1.1443580394640656e-06,71.54155457276569,12.693491388542908,1.103581092719507,1.854558372981507,0.17921618549066812,0.7509772802619998,0.5639668754697102,-0.7509772802619998
ACKr_num2,b2296,ackA,ECDH1ME8569_2233,4.202366719357332e-06,38.83373070913382,2909.465143907754,3.4638131586082404,1.5892091146913303,0.021026096297454604,1.87460404391691,3.5141403214696325,1.87460404391691
ACOAD1f_reverse,b0221,fadE,ECDH1ME8569_0209,6.338197718011059e-07,154.23512486789446,21.17179580166063,1.3257576966436369,2.1881832894034585,0.14433276607525405,0.8624255927598217,0.7437779030471298,-0.8624255927598217
ACOAD3f_reverse,b0221,fadE,ECDH1ME8569_0209,6.338197718011059e-07,154.2351248678944,16.79684201945453,1.2252276375327509,2.1881832894034585,0.13450527280397043,0.9629556518707076,0.9272835874697395,-0.9629556518707076
ACOAD5f_reverse,b0221,fadE,ECDH1ME8569_0209,6.338197718011059e-07,154.23512486789434,16.32699377439106,1.2129062271504907,2.188183289403458,0.1331049138722538,0.9752770622529674,0.9511653481567784,-0.9752770622529674
ACOAD6f_reverse,b0221,fadE,ECDH1ME8569_0209,6.338197718011059e-07,120.72559817991238,13.823346045251084,1.1406131800207622,2.081799365951378,0.14375045787795088,0.9411861859306156,0.8858314365866194,-0.9411861859306156
ACOAD7f_reverse,b0221,fadE,ECDH1ME8569_0209,6.338197718011059e-07,55.95417701652137,13.209129372479174,1.1208741937546798,1.7478325124463912,0.19782083405576292,0.6269583186917114,0.39307673337673754,-0.6269583186917114
ACODA,b3957,argE,ECDH1ME8569_3825,5.215679626866349e-06,16.477330063721354,623.425997440684,2.7947849088000067,1.2168868413094087,0.03524901012503177,1.577898067490598,2.489762311390564,1.577898067490598
ACONTb_num1,b0118,acnB,ECDH1ME8569_0112,9.722313180128597e-06,139.7329580857001,8.776776151993062,0.9433350219986194,2.1452988529759844,0.1037425717672814,1.201963830977365,1.4447170509777838,-1.201963830977365
ACOTA_reverse_num1,b1748,astC,ECDH1ME8569_1692,3.6967035750773016e-07,219.36967301320473,8.866029189126516,0.9477291567688323,2.341176587899657,0.07055115490563478,1.3934474311308245,1.9416957433250939,-1.3934474311308245
ACt4pp,b4067,actP,ECDH1ME8569_3925,1.5062990327149895e-07,10.430398911856537,16.79939945825744,1.2252937569266593,1.0183009183886713,0.2145606569104397,0.206992838537988,0.04284603520601357,0.206992838537988
ADNK1,b0474,adk,ECDH1ME8569_0458,6.815504389127241e-06,1.0269486857330887,107.4221391807638,2.031093796570026,0.011548743441746652,0.05455825038547042,2.0195450531282795,4.078562221614905,2.0195450531282795
ADSK,b2750,cysC,ECDH1ME8569_2660,1.729888629938562e-06,40.10478065439772,14.448406163558174,1.1598199417258468,1.603196145390093,0.21955162199685693,0.4433762036642461,0.19658245797571905,-0.4433762036642461
ADSS,b4177,purA,ECDH1ME8569_4034,1.0315747924796947e-05,8.911243162857447,2.973669850121582,0.4732927495828527,0.9499382945091599,0.12982746825154665,0.4766455449263072,0.2271909754980963,-0.4766455449263072
AGPAT160,b3018,plsC,ECDH1ME8569_2914,2.613011973515104e-07,67.64922374862553,2.969319735679532,0.4726569648459077,1.8302628175837132,0.07028177809114619,1.3576058527378057,1.8430936513879443,-1.3576058527378057
AGPR_reverse,b3958,argC,ECDH1ME8569_3826,3.0702971826759706e-06,27.29217638837177,22.558001611628228,1.3533006233483575,1.4360381694468318,0.22460807731482196,0.08273754609847428,0.006845501534397156,-0.08273754609847428
AHCYSNS,b0159,mtn,ECDH1ME8569_0153,4.935111524898892e-06,1.0247743101369844,5.458593160873879,0.7370807267346523,0.01062822963125007,0.18249289343445685,0.7264524971034022,0.5277332305477686,0.7264524971034022
AICART,b4006,purH,ECDH1ME8569_3866,6.116183714588418e-06,25.218221002989836,15.32952218387063,1.185528618250176,1.40171444639901,0.2354019254741984,0.21618582814883402,0.0467363122923972,-0.21618582814883402
AIRC2,b0522,purK,ECDH1ME8569_0507,9.070035925458143e-07,135.80440225754464,82.93916185646164,1.918759642277662,2.132913848333079,0.11030755797913963,0.21415420605541713,0.04586202397122606,-0.21415420605541713
AMALT4,b3416,malQ,ECDH1ME8569_3295,2.54947498462416e-07,1.000000000000383,62.10738669899917,1.7931432557617086,1.6634648798041017e-13,0.0662493212392728,1.7931432557615423,3.215362735683104,1.7931432557615423
AMAOTr,b0774,bioA,ECDH1ME8569_0727,5.978299808573923e-07,1.0009130043194416,173.08248287793435,2.2382531165500974,0.000396331839065364,0.04975539972915806,2.237856784711032,5.008002988877198,2.237856784711032
ANPRT,b1263,trpD,ECDH1ME8569_1203,2.8658452114775736e-06,6.413084270472717,15.851048622481262,1.200057998155857,0.8070669467566013,0.18565037477514645,0.3929910513992557,0.15444196647989245,0.3929910513992557
AOXSr2,b0776,bioF,ECDH1ME8569_0729,1.4365728715841214e-07,1.0037994686215435,1.264787522508132,0.10201757250559182,0.0016469614448700255,0.1038759245781985,0.10037061106072179,0.010074259564702686,0.10037061106072179
APRAUR,b0414,ribD,ECDH1ME8569_0399,4.165626823733886e-07,1.2921965103309836,717.764356909931,2.8559818881269576,0.11132856386245073,0.05201169164519921,2.744653324264507,7.533121870396208,2.744653324264507
ARGSS,b3172,argG,ECDH1ME8569_3062,1.1015395182054114e-05,8.328361239654068,17.35070475365637,1.2393171197267754,0.9205595542769701,0.19962139787913116,0.31875756544980527,0.10160638553148689,0.31875756544980527
ASAD_reverse,b3433,asd,ECDH1ME8569_3311,1.687558391659218e-05,18.289016889835892,6.6741128519547335,0.8243935458259435,1.2621903609824539,0.19633255827636814,0.43779681515651037,0.1916660513611837,-0.43779681515651037
ASNS2,b3744,asnA,ECDH1ME8569_3632,1.3177986920249617e-06,50.92149691794669,5.888819940285497,0.7700282753018497,1.7069011619425096,0.14816348719383865,0.9368728866406599,0.8777308057224028,-0.9368728866406599
