reaction,gene,name,our_name,GLC_BATCH_mu=0.6_H,real_prot,pred_prot,kcat_Density,absolute_error,square_error,root_square_error,error
3OAR140,b1093,fabG,ECDH1ME8569_1028,5.6852260662193185e-06,5.685226066219318,11.134250602433609,0.0003096863509203472,5.44902453621429,29.691868396265363,5.44902453621429,-5.44902453621429
5DOAN,b0159,mtn,ECDH1ME8569_0153,4.935111524898892e-06,4.935111524898892,0.0039894286253750735,0.0003532247703862137,4.931122096273517,24.31596512835693,4.931122096273517,4.931122096273517
ACACT4r_num1,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,0.21456190241896195,2.29198712718527,0.0008638901058040923,2.077425224766308,4.315695564495345,2.077425224766308,-2.077425224766308
ACACT5r_num1,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,0.21456190241896195,2.29198712718527,0.0008638901058040923,2.077425224766308,4.315695564495345,2.077425224766308,-2.077425224766308
ACACT6r_num1,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,0.21456190241896195,1.719877205911568,0.0008655276451434375,1.505315303492606,2.265974162929036,1.505315303492606,-1.505315303492606
ACGK,b3959,argB,ECDH1ME8569_3827,5.571251626104815e-06,5.571251626104815,13.382054539182414,0.00032868420322093274,7.810802913077599,61.00864214694151,7.810802913077599,-7.810802913077599
ACGS,b2818,argA,ECDH1ME8569_2725,1.1443580394640656e-06,1.1443580394640656,13.382054539182414,0.0009080252151847859,12.237696499718348,149.76121561921872,12.237696499718348,-12.237696499718348
ACODA,b3957,argE,ECDH1ME8569_3825,5.215679626866349e-06,5.215679626866349,6.112531678981911,0.0003453429462305799,0.8968520521155625,0.8043436033838957,0.8968520521155625,-0.8968520521155625
ADNK1,b0474,adk,ECDH1ME8569_0458,6.815504389127241e-06,6.815504389127241,0.013907545413144562,0.00018035451446585693,6.801596843714097,46.261719624421566,6.801596843714097,6.801596843714097
ADSK,b2750,cysC,ECDH1ME8569_2660,1.729888629938562e-06,1.7298886299385619,29.962026628346702,0.0008440090492206986,28.23213799840814,797.0536159611609,28.23213799840814,-28.23213799840814
ADSS,b4177,purA,ECDH1ME8569_4034,1.0315747924796947e-05,10.315747924796947,17.696728026992613,7.793038462625425e-05,7.380980102195666,54.47886726900835,7.380980102195666,-7.380980102195666
AGPAT160,b3018,plsC,ECDH1ME8569_2914,2.613011973515104e-07,0.2613011973515104,0.6972915616382263,0.0008736273981153484,0.43599036428671584,0.19008759775086317,0.43599036428671584,-0.43599036428671584
AGPAT161,b3018,plsC,ECDH1ME8569_2914,2.613011973515104e-07,0.2613011973515104,5.558149992474267,0.0008585677249729578,5.296848795122757,28.0566071583934,5.296848795122757,-5.296848795122757
AHCYSNS,b0159,mtn,ECDH1ME8569_0153,4.935111524898892e-06,4.935111524898892,0.07577756771876393,0.00035355009908621883,4.859333957180128,23.613126507403887,4.859333957180128,4.859333957180128
AICART,b4006,purH,ECDH1ME8569_3866,6.116183714588418e-06,6.116183714588417,4.952271982748119,0.0002491902806943553,1.1639117318402983,1.3546905195154824,1.1639117318402983,1.1639117318402983
AIRC2,b0522,purK,ECDH1ME8569_0507,9.070035925458143e-07,0.9070035925458143,41.9029585758749,0.0006429360324058973,40.995954983329085,1680.6683249951448,40.995954983329085,-40.995954983329085
AMAOTr,b0774,bioA,ECDH1ME8569_0727,5.978299808573923e-07,0.5978299808573923,0.00011835811640025106,0.0009029367749945745,0.597711622740992,0.35725918395966993,0.597711622740992,0.597711622740992
ANPRT,b1263,trpD,ECDH1ME8569_1203,2.8658452114775736e-06,2.8658452114775734,1.6380687692452258,0.0006924145920916236,1.2277764422323476,1.5074349921007213,1.2277764422323476,1.2277764422323476
AOXSr2,b0776,bioF,ECDH1ME8569_0729,1.4365728715841214e-07,0.14365728715841214,0.00014594547222407636,0.0008608336284686807,0.14351134168618807,0.02059550519256982,0.14351134168618807,0.14351134168618807
APRAUR,b0414,ribD,ECDH1ME8569_0399,4.165626823733886e-07,0.4165626823733886,0.013589035778333943,0.0008901867771231796,0.4029736465950547,0.16238775985011603,0.4029736465950547,0.4029736465950547
ARGSS,b3172,argG,ECDH1ME8569_3062,1.1015395182054114e-05,11.015395182054114,27.511354266043668,7.272049392553187e-05,16.495959083989554,272.1166661006575,16.495959083989554,-16.495959083989554
ASNS2,b3744,asnA,ECDH1ME8569_3632,1.3177986920249617e-06,1.3177986920249616,17.680036302152963,0.00089870094022241,16.362237610128002,267.72281961028733,16.362237610128002,-16.362237610128002
ASPO6,b2574,nadB,ECDH1ME8569_2501,2.1588781713485128e-07,0.21588781713485128,0.13821518570133492,0.0008694840555635781,0.07767263143351635,0.006033037673806873,0.07767263143351635,0.07767263143351635
ATPPRT,b2019,hisG,ECDH1ME8569_1955,3.647102411509863e-06,3.6471024115098634,7.060238995659397,0.0005834041715075778,3.4131365841495334,11.649501342059944,3.4131365841495334,-3.4131365841495334
BMOCOS,b0827,moeA,ECDH1ME8569_0780,1.2728767258595469e-06,1.2728767258595468,0.010172750039110095,0.0009021478501730462,1.2627039758204368,1.5944213305527382,1.2627039758204368,1.2627039758204368
BMOGDS2_num1,b3857,mobA,ECDH1ME8569_3729,3.5956893146688003e-07,0.35956893146688,0.001283994617523542,0.0008850607332963488,0.3582849368493565,0.12836809597314736,0.3582849368493565,0.3582849368493565
BPNT,b4214,cysQ,ECDH1ME8569_4071,1.9061972641819487e-06,1.9061972641819487,64.2323250316029,0.0005108270664607171,62.32612776742095,3884.5462024808808,62.32612776742095,-62.32612776742095
BTS5,b0775,bioB,ECDH1ME8569_0728,6.904205995472418e-07,0.6904205995472418,4.035766485508744e-05,0.0009073047796775615,0.6903802418823867,0.47662487838158274,0.6903802418823867,0.6903802418823867
CDPMEK,b1208,ispE,ECDH1ME8569_1147,2.6749018149766234e-07,0.26749018149766235,0.14220419166680776,0.0008753908849900958,0.1252859898308546,0.015696579247897,0.1252859898308546,0.1252859898308546
CS,b0720,gltA,ECDH1ME8569_0679,1.2312363871569814e-05,12.312363871569815,91.75942409180888,3.9163039168005845e-05,79.44706022023907,6311.835377638293,79.44706022023907,-79.44706022023907
CTPS2,b2780,pyrG,ECDH1ME8569_2690,3.4733219241236484e-06,3.473321924123648,2.1815470853485386,0.0005850683333439081,1.2917748387751096,1.6686822340924603,1.2917748387751096,1.2917748387751096
DALAt2pp,b4208,cycA,ECDH1ME8569_4065,5.910857392659474e-07,0.5910857392659473,0.34565658635386476,0.0009025435142052432,0.24542915291208256,0.0602354690991424,0.24542915291208256,0.24542915291208256
DAPDC,b2838,lysA,ECDH1ME8569_2745,2.190401187067305e-06,2.190401187067305,115.54341523797724,0.00011706560963331683,113.35301405090993,12848.905794425786,113.35301405090993,-113.35301405090993
DBTS,b0778,bioD,ECDH1ME8569_0731,2.209843896863731e-06,2.209843896863731,0.0001510726986953662,0.000795426173470632,2.2096928241650358,4.882742377166451,2.2096928241650358,2.2096928241650358
DHDPRy,b0031,dapB,ECDH1ME8569_0028,9.421888277258007e-07,0.9421888277258007,33.54294967578329,0.000743197173668235,32.60076084805749,1062.809607872238,32.60076084805749,-32.60076084805749
DHDPS,b2478,dapA,ECDH1ME8569_2404,5.166700084031225e-06,5.166700084031225,15.468950441225314,0.0003834723720534224,10.302250357194088,106.13636242230572,10.302250357194088,-10.302250357194088
DHFS,b2315,folC,ECDH1ME8569_2253,6.390658917833849e-07,0.6390658917833849,0.03339143298477035,0.0009050706746835482,0.6056744587986146,0.36684155004099467,0.6056744587986146,0.6056744587986146
