reactions,data_type,kcat,MW,kcat_MW
APG3PAT140,ours,59.957184,22193.16890000001,9725.779286976898
I2FE2SR,ours,52.408802,45088.99430000002,3201.2199974968707
ACMANAptspp,ours,44.12209,63561.09830000026,955.0346180042468
ACACT6r_num1,ours,44.122017,46529.971200000095,3413.697818923208
ACACT5r_num1,ours,42.375217,46529.971200000095,3278.5487991017644
ACACT4r_num1,ours,42.375217,46529.971200000095,3278.5487991017644
AACPS2,ours,42.375217,80699.04430000036,1707.5599896612432
S2FE2SR,ours,41.506172,44433.24750000001,788.9978847656826
RFAMPtpp,ours,41.506172,53740.044600000125,714.9996139193378
PTRCabcpp_num1,ours,41.506172,30540.227700000018,1004.1902573078874
MPTS,ours,39.862854,8757.826599999995,5575.513183637548
MNLptspp,ours,39.117104,67971.47530000024,1001.2068196793388
PGSA180,ours,37.568375,20700.3721,6533.512989363125
AACPS6,ours,35.04438,8639.416499999992,1412.155155464683
TAUDO,ours,32.10111,32409.08780000003,3565.789839971981
OXCOAHDH,ours,31.069124,73001.7750000003,1532.1387240241697
TAURabcpp,ours,30.830158,29811.538600000003,1201.5183481882173
PAPA161,ours,30.320139,29020.883700000028,3761.1708012874847
PAPA181,ours,30.320139,29020.883700000028,3761.1708012874847
DINSt2pp,ours,29.910128,46388.71720000007,2321.177805710045
AGM4Pt2pp,ours,29.910128,53244.53680000006,2022.3006391145818
AICART,ours,29.910128,57328.55670000012,1878.2342866831632
CYNTt2pp,ours,29.910128,41360.2142,2603.3825714567984
CYSDDS,ours,29.910128,35152.88869999999,3063.0899701850117
CFAS160E,ours,29.91008,43908.510600000045,2452.287416007226
ASCBptspp,ours,29.160742,9119.2594,692.699269948148
DKGLCNR2x,ours,28.793467,35395.09920000004,2928.5546175273857
DXPRIi,ours,28.793419,43387.53750000009,2389.0802376143097
DKGLCNR2y,ours,28.793364,35395.09920000004,2928.5441415008067
GRTT,ours,28.006308,32159.26200000001,3135.106421285413
GRXR_num1,ours,28.006308,24349.92030000001,4140.576542256689
G3PD5_num1,ours,28.006254,58957.58900000012,679.2969053774091
GPDDA5,ours,28.006254,27409.26720000002,3678.4097022484398
GLNabcpp,ours,28.006254,27189.7636,1287.899997909929
GPDDA4pp,ours,28.006254,40842.87450000001,2468.545998152015
GPDDA5pp,ours,28.006254,40842.87450000001,2468.545998152015
GSNK,ours,28.006254,48448.21730000007,2081.03662051565
HACD2_num1,ours,28.006254,79592.95340000032,1266.726639647469
HACD3_num1,ours,28.006254,79592.95340000032,1266.726639647469
HACD4_num1,ours,28.006254,79592.95340000032,1266.726639647469
PSSA141,ours,27.14836,141708.5374000001,689.6838947968702
2AGPGAT160,ours,26.846865,80699.04430000036,1197.643848676899
SELR,ours,26.150543,30523.318500000027,403.97358793821604
TKT2,ours,26.150543,73041.82930000033,1288.8772871957572
TMDK1,ours,26.1505,23456.312000000016,4013.4953866575415
TMAOR1,ours,26.1505,22751.54820000001,403.9729236742166
SSALx,ours,26.1505,49717.307200000105,1893.5418127392024
SSALy_num1,ours,26.1505,51719.44750000004,1820.2398623844529
I2FE2SS,ours,26.137339,13848.438099999985,1322.1321017814153
ASR,ours,25.931786,24349.92030000001,2323.404970377843
BMOGDS2_num1,ours,25.930874,77951.0022000005,1197.5618499488567
PLIPA2E160pp,ours,25.585669,33162.71369999999,2777.4689741388693
DASYN141,ours,24.976002,31453.38050000001,2858.630957012712
AGPAT160,ours,24.975954,27452.833700000017,3275.196847894064
CYANSTpp,ours,24.975954,11475.176599999995,7835.472824008654
VALabcpp,ours,24.881996,39075.92450000002,517.587040162787
MSO3abcpp,ours,24.51069,28925.081700000024,967.3135570652189
MTAN,ours,24.51069,24353.6853,3623.2086812750263
MLTG2,ours,24.51069,69040.17260000018,1278.0744989041318
ADOCBLtonex,ours,24.257004,15526.81839999999,640.61782364913
ATHRDHr,ours,24.256964,27248.61870000001,3204.7521880439376
FDH5pp_num1,ours,24.15465,25368.19790000002,509.80498799001714
ACPPAT120,ours,23.852533,8639.416499999992,1832.7192273610124
AGM4PH,ours,23.103117,37594.31700000004,2212.3349441353043
BSORx,ours,23.103117,85849.65890000053,968.800834687993
CYSSADS,ours,23.103117,43233.66090000008,1923.7607796475047
CYSS_num1,ours,23.103035,34489.22420000003,2411.5046925294396
CDAPPA161,ours,23.103035,28450.435500000025,2923.3621397465045
CDAPPA180,ours,23.103035,28450.435500000025,2923.3621397465045
CYSTL_num1,ours,23.103035,43641.356400000026,1905.7823326499527
2AGPGAT140,ours,22.610003,80699.04430000036,1008.6366140521892
GALCTNt2pp,ours,22.594648,47076.14710000002,1727.8545040488236
FA161ACPHi,ours,22.594648,22960.8319,3542.5864861629857
G3PAT120,ours,22.594648,8639.416499999992,813.2464564654579
FA80ACPHi,ours,22.594648,22960.8319,3542.5864861629857
GALCTNLt2pp,ours,22.594648,49439.95240000006,1645.2429432355177
FA160ACPHi,ours,22.594568,22960.8319,3542.5739430634476
GLCRt2rpp_num1,ours,22.523247,49008.6523,1654.4770238458486
PAPA141pp,ours,22.416445,29020.883700000028,2780.7286240563353
AGPAT140,ours,22.343128,27452.833700000017,2929.943833084158
FACOAE100,ours,21.79425,31965.918600000045,2454.4672399935316
FEOXAMabcpp,ours,21.79425,28886.09530000001,593.0127864991733
G3PAT140,ours,21.79425,91380.36490000038,784.4378272156443
FACOAE120,ours,21.794216,31965.918600000045,2454.4634109153953
HCYSMT,ours,21.217962,33422.42890000004,2285.431242251813
GSPMDS,ours,21.217928,70531.09490000029,1082.9909972090861
GSNt2pp,ours,21.217928,46388.71720000007,1646.6189498337728
GSPMDA,ours,21.217888,70531.09490000029,1082.9889555563907
SUCMALtpp_num1,ours,21.161934,45750.16070000011,1665.1955148214333
THRabcpp,ours,21.161934,46268.74680000007,440.2035424802836
ILEt2rpp,ours,20.994183,46208.158800000085,1635.6215171248039
ILEabcpp,ours,20.994183,26309.936100000006,436.71404173547415
COLIPAPabctex,ours,20.928873,20126.6397,507.00934218448754
AGMH,ours,20.928873,37594.31700000004,2004.131177592611
COLIPAabcpp,ours,20.928873,64459.97920000018,1168.8483883345682
COLIPAabctex,ours,20.928833,40357.1724,507.0083731703563
PGPP161_num1,ours,20.62922,29020.883700000028,2559.0258645363006
TTRCYCtpp,ours,20.552843,42196.17500000005,354.05035207642766
TREptspp,ours,20.55281,9119.2594,521.0155525715286
PNTOt4pp,ours,20.471344,51716.4075,1425.0185185426885
HBZOPT,ours,20.466305,32511.3528,2266.24522372997
HACD7_num1,ours,20.466305,79592.95340000032,925.6937310734305
GTHRDabc2pp,ours,20.466305,62919.38320000014,575.7283757041088
