reac_id,pred_kcats_inverse_10
2AGPEAT120,16.689098
2AGPEAT140,16.396837
2AGPEAT160,16.155933
2AGPEAT160,16.319431
2AGPEAT161,10.852108
2AGPEAT180,15.953911
2AGPEAT180,16.005898
2AGPEAT181,12.006216
2AGPGAT140,10.904943
2AGPGAT160,11.100662
2AGPGAT160,16.319431
2AGPGAT161,10.852108
2AGPGAT180,11.270513
2AGPGAT180,16.005928
2AGPGAT181,12.006216
2DGULRGx,1.3054307
2DGULRGy,1.3054307
2DGULRx,1.3054307
2DGULRy,1.3054307
2MAHMP_num1,1.1298167
3OXCOAT,3.4291806
3AMACHYD,11.707049
42A12BOOXpp,1.0582222
4HTHRS,6.133659
5DGLCNR,1.1025451
5DGLCNt2rpp,1.1025451
5DOAN,5.0842404
3HCINNMH,2.824341
3HPPPNH,1.9075375
AACPS3,16.319431
AACPS3,16.319431
3KGK,2.1149683
AACPS4,10.852108
AACPS4,10.852108
AACPS5,12.006216
AACPS5,12.006216
AACPS6,16.00587
AACPS6,16.005928
AACPS9,19.312939
AACPS9,19.312939
AADDGT,3.592322
AADDGT,22.610003
ACLS_num1,1.8862798
ACLS_num1,1.8862798
ACM6PH,7.432855
ACMAMUT,3.119841
ACMAMUT,26.846865
ACMANAptspp,3.2574792
ACMANAptspp,3.2574792
ACMANAptspp,3.2574732
ACMANAptspp,3.2574732
ACMANAptspp,3.2574792
ACMANAptspp,0.83744127
ACMANAptspp,0.83744127
ACMANAptspp,0.83744127
ACMANAptspp,0.8374398
ACMANAptspp,0.83744127
AB6PGH,3.6576269
ABTA_num1,15.79894
ABTA_num1,3.6486173
ABUTD,3.2592916
ABUTt2pp,15.798909
ACACCT,6.8937507
ACACCT,6.8937507
ACACCT,3.2707582
ACACCT,3.2707582
ACMUMptspp,9.4711685
ACMUMptspp,9.471152
ACMUMptspp,9.471152
ACMUMptspp,9.471152
ACMUMptspp,0.83744127
ACMUMptspp,0.83744127
ACMUMptspp,0.83744127
ACMUMptspp,0.8374398
ACNAMt2pp,3.5088212
ACOAD1f,4.0902114
ACOAD3f,4.710552
ACACT2r_num1,3.270764
ACACT2r_num1,4.0902042
ACACT3r_num1,3.2707582
ACACT4r_num1,3.270764
ACACT4r_num1,4.710552
ACACT5r_num1,3.270764
ACACT5r_num1,5.2094035
ACACT6r_num1,3.270764
ACACT6r_num1,5.264088
ACACT7r_num1,3.2707582
ACACT7r_num1,5.5189915
ACACT8r_num1,5.672883
ACOAD4f,5.2094035
ACOAD5f,5.264088
ACOAD6f,5.5190015
ACOAD7f,5.760444
ACOAD8f,5.9892836
ACACt2pp,6.8937507
ACODA,15.391904
ADNK1,3.9769008
ACOLIPAabctex,4.531322
ACOLIPAabctex,4.531322
ACOLIPAabctex,4.531314
ACOLIPAabctex,4.531322
ACOLIPAabctex,4.531314
ACONMT,3.2262795
ACONMT,3.5222447
ACALD_num1,42.375217
ACANTHAT,3.2707582
ACANTHAT,1.147847
ADNUC,3.9769008
ACCOAC,3.2707582
ACCOAC,3.270764
ACCOAC,3.2707582
ACCOAC,3.2707582
ACCOAC,14.588416
ACCOAC,14.588416
ACCOAC,14.588416
ACCOAC,14.588416
ACONTb_num1,3.2262795
ACOTA_num1,15.391904
ACOTA_num1,3.6486173
ACGAMK,6.497339
ACGAMT,3.5001104
ACGAMT,35.04438
ACS,5.007708
ACGAptspp_num1,6.497339
ACGAptspp_num1,6.497339
ACGAptspp_num1,6.497339
ACGAptspp_num1,6.497339
ACGAptspp_num1,0.83744127
ACGAptspp_num1,0.83744127
ACGAptspp_num1,0.83744127
ACGAptspp_num1,0.83744127
ACt4pp,5.007708
ACGK,8.287416
ACGS,3.2707582
ACGS,5.7843137
ACHBS_num1,8.499674
ACHBS_num1,8.499674
ACHBS_num1,1.8862798
ACHBS_num1,1.8862798
ACKr_num1,5.007708
ADA,3.976908
ADCS,2.2615142
ADCS,2.2615142
ADCS,10.074542
ADCS,10.074558
ADMDC,3.5222447
ADD,44.12209
ADEt2rpp_num1,44.12209
ADOCBIK,5.589015
ADOCBLS,1.6253779
ALATA_D2_num1,6.535607
ALATA_D2_num1,0.96264017
ANPRT,1.147847
ANPRT,1.7237886
ANS,2.2615142
ANS,2.2615142
ANS,10.074558
ANS,10.074542
ALATA_L_num1,3.6486173
ALATA_L_num1,6.535607
ALATA_L2_num1,6.535607
ALATA_L2_num1,0.96264017
ALAabcpp,6.535607
ALAabcpp,6.535607
ALAabcpp,6.535607
ALAabcpp,6.535607
ALAabcpp,6.535607
AOXSr2,6.535607
AOXSr2,3.5863576
AP4AH,3.6161847
AP5AH,3.546491
APCS,5.5661473
APCS,2.6272223
ALAt4pp,6.535607
ALCD19,5.352967
APG3PAT120,2.9248395
ALCD2x_num1,2.960208
ADPRDP_num1,3.14847
ALDD19xr,1.68091
ALDD2x,42.375217
APG3PAT140,2.9248395
ALDD2y,42.375217
ALDD3y,40.644573
ADPT,44.122017
ADPT,1.7237886
ALLK,1.96614
APG3PAT180,2.9248395
ALLTAMH,4.6595674
ALLTN,2.163074
ALLTNt2rpp,2.163074
ALLabcpp,1.96614
ALLabcpp,1.96614
ALLabcpp,1.9661366
APPLDHr,3.3609893
ADSK,4.365529
ALPATE160pp,16.66121
ALPATE160pp,16.661268
ALPATG160pp,13.206442
ALPATG160pp,13.20642
APRAUR,2.6364837
ALR2_num1,5.20134
ALR4x,4.7161617
ARBTNabcpp,7.4493475
ARBTNabcpp,7.4493475
ARBTNabcpp,7.4493732
AM4PCP,5.7332206
AMALT1,1.8471826
AMALT1,1.7965859
AMALT2,1.8471826
AMALT2,1.7709662
ARBTptspp_num1,4.4843125
ARBTptspp_num1,4.4843125
ARBTptspp_num1,4.4843125
ARBTptspp_num1,0.83744127
ARBTptspp_num1,0.83744127
ARBTptspp_num1,0.83744127
AMALT3,1.8471826
AMALT3,1.7554837
AMALT4,1.8471826
AMALT4,1.7451248
AMANK,3.2574792
AMAOTr,7.364776
AMAOTr,3.5222447
AMMQLT8,23.852533
AMMQLT8,3.5222447
ARBabcpp,2.0099688
ARBabcpp,2.0099723
ARBabcpp,2.0099723
ARBt2rpp,2.0099723
ARBt3ipp,2.0099723
ARGAGMt7pp,6.455247
ARGAGMt7pp,6.417619
AMPMS2,1.5087821
ARGDC,6.417619
ADSS,4.172705
ARGDCpp,6.417619
AMPTASECG_num1,4.5398088
AMPTASEPG_num1,7.388669
ARGORNt7pp,6.417619
ARGORNt7pp,4.750073
AGDC,4.9756784
ARGSS,4.172705
ARGSS,10.610204
ARGTRS,6.417619
ARGTRS,3.0392869
ARGabcpp_num1,6.417608
ARGabcpp_num1,6.417619
ARGabcpp_num1,6.417619
ARGabcpp_num1,6.417619
ARGt3pp,6.4176297
ASAD,14.923909
ASCBPL,4.0881023
ASCBptspp,6.032317
ASCBptspp,6.032317
ASCBptspp,6.032317
ASCBptspp,6.032317
ASCBptspp,5.4025536
ASCBptspp,0.78184867
ASCBptspp,0.78184867
ASCBptspp,0.78184867
ASCBptspp,0.78184867
ASCBptspp,0.78184867
ASNN_num1,6.728782
ASNNpp,6.728782
ASNS1,3.7398992
ASNS1,9.022793
ASNS2,3.7398992
ASNTRS,6.728782
BSORy,3.91643
AGM3PH,5.048459
ASNt2rpp,6.728782
BTS5,3.1598415
BTS5,5.5424457
ASO3t8pp,13.305642
BUTCT,2.9342356
BUTCT,2.9342356
AGM3Pt2pp,5.048468
BUTSO3abcpp_num1,9.470336
BUTSO3abcpp_num1,9.470336
BUTSO3abcpp_num1,9.470336
ASP1DC,3.7398992
ASPCT_num1,3.7398992
ASPCT_num1,3.7398925
ASPCT_num1,4.2202053
ASPCT_num1,4.2202053
ASPK_num1,3.7398992
ASPO3,3.7398992
ASPO4,3.7398992
ASPO4,24.257004
ASPO5,3.7398992
ASPO5,8.376653
ASPO6,3.7398992
BWCOS,4.5759306
ASPTA,3.2729697
ASPTA,3.7398992
ASPTRS,3.7398992
ASPTRS,2.178156
ASPabcpp,3.7398992
ASPabcpp,3.7398992
ASPabcpp,3.7398992
ASPabcpp,3.7398992
