reactions,data_type,kcat,km,MW,kcat_MW,catalytic_efficiency
HCO3E_reverse_num1,predict,131651.0968913065,0.0082635600375642,25096.479300000028,18884877.960101075,4861811.26650587
TPI_reverse,predict,22476.440097949737,0.0003249355209782,26971.50249999998,3000025.095102474,11516639.923385408
TPI,predict,15310.680741285107,0.0002280074399971,26971.50249999998,2043581.0229195212,11179977.595387012
PTAr_num1,predict,14279.639663548236,0.0002252137242941,77171.18800000039,666138.5436851562,10556448.833935536
HCO3E_reverse_num2,predict,6494.702564090198,0.0018798953872966,23763.997000000003,983880.3308519485,1054305.2882572913
ACKr_num2,predict,4069.9224984662555,0.000690583555162,43289.950100000045,338455.4835621884,1798501.0987401216
PTAr_reverse_num1,predict,3535.389415252084,0.0002175569949742,77171.18800000039,164924.27063462386,4959124.441930871
ACKr_num1,predict,3201.314319347665,0.0007330233150184,43383.618700000006,265647.07820584805,1332758.0961311036
PFK_num2,predict,3119.4245334360903,0.0001129613511046,32455.60750000003,346008.87752200954,8427240.840773182
PGI,predict,2988.0621023845138,0.0005933639426755,61529.00370000017,174828.50236016777,1536771.395305599
PGM_num1,predict,2890.485392786143,0.0005270627408528,56193.24160000009,185177.91673420917,1673590.7367065917
PGM_reverse_num1,predict,2427.559499642232,0.0004295783004955,56193.24160000009,155520.73434240214,1724520.448229835
PGI_reverse,predict,2300.4104902364575,0.0002971362949388,61529.00370000017,134594.69952137748,2362601.286825965
MDH,predict,4025.9772324554087,6.552567375780258e-05,32336.896699999983,448203.73987338995,10229520.344019547
MDH_reverse,predict,2112.211725632684,9.416465517409488e-05,32336.896699999983,235148.17401379356,6845266.005137167
PTA2,predict,2003.1627150003753,9.53671331494512e-05,77171.18800000039,93446.60826008426,6410004.009348566
R5Ptex_num2,predict,1648.0326601977415,0.0001775968205037,39332.7982,150838.93972008,2831857.712392676
MAN6PI,predict,1464.6294220340567,0.0003718861575234,42849.41950000005,123051.04668506882,1201872.8965034548
ACKr_reverse_num1,predict,1456.1016558291935,0.0001039595281763,43383.618700000006,120828.23236193287,4274331.45291745
GLYALDtpp_reverse,predict,1442.0237131714757,0.0003080539050614,29779.630900000004,174323.3616578274,1428520.5231394148
GLYALDtpp,predict,1442.0237131714757,0.0003080539050614,29779.630900000004,174323.3616578274,1428520.5231394148
SUCDi,predict,1414.5924250064334,0.0001832293346828,14298.97849999999,43026.84976475135,2356009.9704730664
THMabcpp,predict,1387.2442234263563,7.956857441966557e-05,36162.95850000006,41377.92715377078,5320496.33587687
ACKr_reverse_num2,predict,1375.634233702782,0.000124080151846,43289.950100000045,114397.98913813048,3383307.4049516674
MAN6PI_reverse,predict,1363.0823678475656,0.0001945508687797,42849.41950000005,114519.55665936692,2138108.430982054
PACALDtex_reverse_num3,predict,2418.1591586639274,2.985460632175213e-05,41219.34330000004,211196.3043135171,13485559.95622749
MGSA,predict,1186.0201023277423,0.0001345450195692,16918.38119999999,252368.84769920388,2690080.1785491053
MALDtex_num3,predict,1156.732130418707,0.0001996009269318,38921.51909999999,106990.5740011917,1768524.3583241166
G6PDH2r,predict,1135.9276758719811,0.000102659585762,55703.77830000008,73412.24882655985,3376696.081695733
LYXtex_reverse_num3,predict,1130.314220799812,0.000429352435239,41219.34330000004,98718.9719463415,803389.3339994887
