reactions,data_type,kcat,km,MW,kcat_MW,catalytic_efficiency
HCO3E_reverse_num1,predict,40175.957515018985,0.0082635600375642,25096.479300000028,5763097.0992041975,4861821.942648028
HCO3E_reverse_num2,predict,16264.2340686439,0.0052914405740523,23763.997000000003,2463863.4084627274,3073687.3713368373
TPI_reverse,predict,3742.1530672210974,0.0003249355209782,26971.50249999998,499480.9259141555,11516601.989082502
TPI,predict,2549.118070749126,0.0002280074399971,26971.50249999998,340241.52175789466,11179977.595387012
PTAr_num1,predict,2377.457157210731,0.0002252140952073,77171.18800000039,110907.26976962684,10556431.448139971
PTAr_num2,predict,2347.84855674019,0.0001497504274093,36066.3228,234353.10694509404,15678409.720481245
ACKr_num2,predict,1242.0152827307163,0.000690583555162,43289.950100000045,103286.21325508469,1798501.0987401216
PTAr_reverse_num1,predict,1078.8922112895868,0.0002175569949742,77171.18800000039,50329.81947410856,4959124.441930871
PTAr_reverse_num2,predict,1065.4581412327873,0.0001446590319016,36066.3228,106349.88572880055,7365306.730087433
ACKr_num1,predict,976.942757743633,0.0007330233150184,43383.618700000006,81067.32525466065,1332758.0961311036
PGI,predict,911.8647341094598,0.0005933629654432,61529.00370000017,53352.28665166972,1536773.926273544
PGM_num1,predict,882.087320754433,0.0005270627408528,56193.24160000009,56510.60989362738,1673590.7367065917
PGM_reverse_num1,predict,740.8153432429597,0.0004295783004955,56193.24160000009,47460.07099321087,1724517.6080552978
PGI_reverse,predict,702.0145927851083,0.0002971362949388,61529.00370000017,41074.16636142254,2362601.286825965
MDH,predict,670.2962127610294,6.552567375780258e-05,32336.896699999983,74622.69457476134,10229520.344019547
MDH_reverse,predict,644.5821129486953,9.416465517409488e-05,32336.896699999983,71759.99688972332,6845266.005137167
PTA2,predict,611.3037058480608,9.53670284403893e-05,77171.18800000039,28517.03333960607,6410011.04726846
ACKr_reverse_num2,predict,564.9234504513039,9.794086511837078e-05,43289.950100000045,46979.13527104509,5768005.518110756
MAN6PI,predict,446.9598933121888,0.0003718857492082,42849.41950000005,37551.398238286005,1201874.216110278
ACKr_reverse_num1,predict,444.3567492861546,0.0001039595281763,43383.618700000006,36873.00288369343,4274324.413367779
GLYALDtpp_reverse,predict,440.0613256134507,0.0003080539050614,29779.630900000004,53198.13323167892,1428520.5231394148
GLYALDtpp,predict,440.0613256134507,0.0003080539050614,29779.630900000004,53198.13323167892,1428520.5231394148
SUCDi,predict,431.6901393958232,0.0001832290329158,64421.13070000015,13130.472385092957,2356013.8506772537
THMabcpp,predict,423.3450058728404,7.956857441966557e-05,59532.45990000008,12627.292669962217,5320505.098407414
MAN6PI_reverse,predict,415.9708527927599,0.0001945510823885,42849.41950000005,34947.84964482271,2138106.083430087
MGSA,predict,361.9368902656064,0.0001345450195692,16918.38119999999,77015.21732801385,2690080.1785491053
MALDtex_reverse_num3,predict,352.99910122296046,0.0001996007077784,38921.51909999999,32650.23549408836,1768526.30009141
MALDtex_num3,predict,352.99910122296046,0.0001996007077784,38921.51909999999,32650.23549408836,1768526.30009141
G6PDH2r,predict,346.6513628152206,0.0001026597548361,55703.77830000008,22403.23626547954,3376701.642904388
MALDtex_num2,predict,343.1299008388476,0.0002022360676278,41219.34330000004,29968.1543694038,1696680.0475489465
MALDtex_reverse_num2,predict,343.1293357259153,0.0002022360676278,41219.34330000004,29968.105013776243,1696677.253225763
MALtex_reverse_num1,predict,329.3233092706396,0.0002291282157569,38921.51909999999,30460.37104379882,1437288.3242806045
MALtex_num1,predict,329.3220437318517,0.0002291275868248,38921.51909999999,30460.253989281373,1437286.7461990265
GAL1PPpp,predict,320.4758000499754,0.0001035847881955,45682.38450000005,25255.09324452865,3093850.029843453
MALtex_num3,predict,320.1149857125764,0.0002321529221953,41219.34330000004,27958.08609025739,1378897.0764851188
MALtex_reverse_num3,predict,320.1142827676445,0.0002321526673012,41219.34330000004,27958.024696708813,1378895.5625149943
GLYALDtex_num1,predict,319.3887890729041,0.0002885038893927,38921.51909999999,29541.489316187948,1107051.9352276905
GLYALDtex_reverse_num1,predict,319.3882630600598,0.0002885038893927,38921.51909999999,29541.44066325036,1107050.1119841791
MALDtex_num1,predict,314.01344405033456,0.0001973628628408,40367.58979999997,28003.86161725229,1591046.2562738012
MALDtex_reverse_num1,predict,314.01344405033456,0.0001973628628408,40367.58979999997,28003.86161725229,1591046.2562738012
GLYALDtex_reverse_num3,predict,310.45722547958724,0.0002923124101761,41219.34330000004,27114.60014275659,1062073.3662746516
GLYALDtex_num3,predict,310.45722547958724,0.0002923124101761,41219.34330000004,27114.60014275659,1062073.3662746516
CYNTtex_num1,predict,41.351415829841855,0.0017504867076503,38921.51909999999,3824.7504318871956,177010.08033870286
CYNTtex_reverse_num1,predict,41.35134772671301,0.0017504867076503,38921.51909999999,3824.7441327686215,177009.78881445716
G1PPpp,predict,308.69043473108707,8.610409067902179e-05,45682.38450000005,24326.34761068377,3585084.4285879643
CYNTtex_reverse_num3,predict,40.19510831483271,0.0017735986616987,41219.34330000004,3510.545737719155,169818.2196343706
CYNTtex_num3,predict,40.19510831483271,0.0017735986616987,41219.34330000004,3510.545737719155,169818.2196343706
