reactions,data_type,kcat,km,MW,kcat_MW,catalytic_efficiency
HCO3E_reverse_num1,predict,281231.7026051329,0.0082635600375642,25096.479300000028,40341679.69442938,4861821.942648028
HCO3E_reverse_num2,predict,113849.6384805073,0.0052914405740523,23763.997000000003,17247043.859239094,3073687.3713368373
TPI_reverse,predict,26195.071470547682,0.0003249355209782,26971.50249999998,3496366.4813990886,11516601.989082502
TPI,predict,17843.826495243884,0.0002280074399971,26971.50249999998,2381690.6523052626,11179977.595387012
PTAr_num1,predict,16642.20010047512,0.0002252140952073,77171.18800000039,776350.8883873879,10556431.448139971
PTAr_num2,predict,16434.939897181328,0.0001497504274093,36066.3228,1640471.7486156584,15678409.720481245
ACKr_num2,predict,8694.106979115015,0.000690583555162,43289.950100000045,723003.4927855928,1798501.0987401216
PTAr_reverse_num1,predict,7552.245479027108,0.0002175569949742,77171.18800000039,352308.7363187599,4959124.441930871
PTAr_reverse_num2,predict,7458.206988629511,0.0001446590319016,36066.3228,744449.2001016039,7365306.730087433
ACKr_num1,predict,6838.5993042054315,0.0007330233150184,43383.618700000006,567471.2767826245,1332758.0961311036
PGI,predict,6383.053138766219,0.0005933629654432,61529.00370000017,373466.00656168803,1536773.926273544
PGM_num1,predict,6174.611245281031,0.0005270627408528,56193.24160000009,395574.2692553917,1673590.7367065917
PGM_reverse_num1,predict,5185.7074027007175,0.0004295783004955,56193.24160000009,332220.4969524761,1724517.6080552978
PGI_reverse,predict,4914.102149495759,0.0002971362949388,61529.00370000017,287519.1645299578,2362601.286825965
MDH,predict,4692.073489327206,6.552567375780258e-05,32336.896699999983,522358.86202332936,10229520.344019547
MDH_reverse,predict,4512.074790640867,9.416465517409488e-05,32336.896699999983,502319.9782280632,6845266.005137167
PTA2,predict,4279.125940936426,9.53670284403893e-05,77171.18800000039,199619.2333772425,6410011.04726846
ACKr_reverse_num2,predict,3954.4641531591274,9.794086511837078e-05,43289.950100000045,328853.9468973156,5768005.518110756
MAN6PI,predict,3128.7192531853216,0.0003718857492082,42849.41950000005,262859.787668002,1201874.216110278
ACKr_reverse_num1,predict,3110.497245003082,0.0001039595281763,43383.618700000006,258111.020185854,4274324.413367779
GLYALDtpp_reverse,predict,3080.429279294155,0.0003080539050614,29779.630900000004,372386.93262175244,1428520.5231394148
GLYALDtpp,predict,3080.429279294155,0.0003080539050614,29779.630900000004,372386.93262175244,1428520.5231394148
SUCDi,predict,3021.8309757707625,0.0001832290329158,64421.13070000015,91913.3066956507,2356013.8506772537
THMabcpp,predict,2963.4150411098826,7.956857441966557e-05,59532.45990000008,88391.04868973551,5320505.098407414
MAN6PI_reverse,predict,2911.795969549319,0.0001945510823885,42849.41950000005,244634.94751375896,2138106.083430087
MGSA,predict,2533.5582318592446,0.0001345450195692,16918.38119999999,539106.521296097,2690080.1785491053
MALDtex_reverse_num3,predict,2470.9937085607235,0.0001996007077784,38921.51909999999,228551.64845861853,1768526.30009141
MALDtex_num3,predict,2470.9937085607235,0.0001996007077784,38921.51909999999,228551.64845861853,1768526.30009141
G6PDH2r,predict,2426.559539706544,0.0001026597548361,55703.77830000008,156822.6538583568,3376701.642904388
MALDtex_num2,predict,2401.909305871933,0.0002022360676278,41219.34330000004,209777.0805858266,1696680.0475489465
MALDtex_reverse_num2,predict,2401.905350081407,0.0002022360676278,41219.34330000004,209776.7350964337,1696677.253225763
MALtex_reverse_num1,predict,2305.263164894477,0.0002291282157569,38921.51909999999,213222.59730659175,1437288.3242806045
MALtex_num1,predict,2305.2543061229617,0.0002291275868248,38921.51909999999,213221.77792496962,1437286.7461990265
GAL1PPpp,predict,2243.330600349828,0.0001035847881955,45682.38450000005,176785.65271170053,3093850.029843453
MALtex_num3,predict,2240.804899988035,0.0002321529221953,41219.34330000004,195706.60263180174,1378897.0764851188
MALtex_reverse_num3,predict,2240.7999793735116,0.0002321526673012,41219.34330000004,195706.1728769617,1378895.5625149943
GLYALDtex_num1,predict,2235.7215235103286,0.0002885038893927,38921.51909999999,206790.42521331564,1107051.9352276905
GLYALDtex_reverse_num1,predict,2235.7178414204186,0.0002885038893927,38921.51909999999,206790.0846427525,1107050.1119841791
MALDtex_num1,predict,2198.094108352342,0.0001973628628408,40367.58979999997,196027.03132076602,1591046.2562738012
MALDtex_reverse_num1,predict,2198.094108352342,0.0001973628628408,40367.58979999997,196027.03132076602,1591046.2562738012
GLYALDtex_reverse_num3,predict,2173.2005783571108,0.0002923124101761,41219.34330000004,189802.20099929612,1062073.3662746516
GLYALDtex_num3,predict,2173.2005783571108,0.0002923124101761,41219.34330000004,189802.20099929612,1062073.3662746516
CYNTtex_num1,predict,2168.9765492710776,0.0017504867076503,38921.51909999999,200616.92754885,177010.08033870286
CYNTtex_reverse_num1,predict,2168.9729771058583,0.0017504867076503,38921.51909999999,200616.59714564148,177009.78881445716
G1PPpp,predict,2160.8330431176096,8.610409067902179e-05,45682.38450000005,170284.4332747864,3585084.4285879643
CYNTtex_reverse_num3,predict,2108.325569529029,0.0017735986616987,41219.34330000004,184136.17109480972,169818.2196343706
CYNTtex_num3,predict,2108.325569529029,0.0017735986616987,41219.34330000004,184136.17109480972,169818.2196343706
PGK,predict,2056.4142816477906,0.000172847186743,41117.70940000005,180046.29931870764,1699613.8285063787
L_LACt2rpp_num1,predict,2055.3251542657345,0.0001769643169111,59167.439600000165,125054.77007926203,1659192.5666478933
L_LACt2rpp_reverse_num1,predict,2055.3251542657345,0.0001769643169111,59167.439600000165,125054.77007926203,1659192.5666478933
MALtex_num4,predict,2050.6591704331836,0.0002265584493353,40367.58979999997,182878.71656780128,1293049.5901670118
MALtex_reverse_num4,predict,2050.6591704331836,0.0002265582005837,40367.58979999997,182878.71656780128,1293051.009882359
PFK_num2,predict,2006.048748744993,7.061283186599676e-05,32455.60750000003,222512.4116219968,4058446.391467504
MALDtex_reverse_num4,predict,2001.5056196573546,0.0001831184185242,39332.7982,183191.14226575612,1561445.192357742
MALDtex_num4,predict,2001.5056196573546,0.000183118720109,39332.7982,183191.14226575612,1561442.6207575484
GLYALDtex_num4,predict,1988.8023988644125,0.0002852686703859,40367.58979999997,177362.30157372166,995954.543570673
GLYALDtex_reverse_num4,predict,1988.798031625673,0.000285268357173,40367.58979999997,177361.91210138652,995953.4500549368
L_LACt2rpp_reverse_num2,predict,1943.9116462338404,0.0001716559874834,58919.41700000013,118773.78091575159,1617780.234869737
L_LACt2rpp_num2,predict,1943.9084447360763,0.0001716559874834,58919.41700000013,118773.5853029547,1617777.5704894834
GLCUR1Ptex_num1,predict,1941.517332516031,0.0002434646909753,38921.51909999999,179578.35559038376,1139219.0704113245
GLCUR1Ptex_reverse_num1,predict,1941.517332516031,0.0002434646909753,38921.51909999999,179578.35559038376,1139219.0704113245
CYNTtex_num4,predict,1929.4320975362316,0.0017308609364761,40367.58979999997,172067.6311254639,159246.27506589764
CYNTtex_reverse_num4,predict,1929.422564599302,0.0017308561854505,40367.58979999997,172066.78097381708,159245.92537479775
PGM_num3,predict,1919.5706457594388,0.0005281567360524,28556.028300000035,241996.3396917481,519210.2253873886
FRUURtex_num1,predict,1899.6357421040416,0.000430021416669,38921.51909999999,175704.5672858784,631076.7884269775
FRUURtex_reverse_num1,predict,1899.6294849528126,0.0004300221248878,38921.51909999999,175703.988538056,631073.6704032406
GLCUR1Ptex_num3,predict,1887.2298913051713,0.0002466789231189,41219.34330000004,164826.1972358645,1092935.9783871886
GLCUR1Ptex_reverse_num3,predict,1887.2298913051713,0.0002466789231189,41219.34330000004,164826.1972358645,1092935.9783871886
MALtex_reverse_num2,predict,1867.2669065526488,0.0002102071923511,39332.7982,170904.7200102213,1268997.5649180545
MALtex_num2,predict,1867.2638312838535,0.0002102074231499,39332.7982,170904.43854111235,1268994.0816574832
FRUURtex_num3,predict,1846.5132844123063,0.0004356992969276,41219.34330000004,161270.10504517902,605435.0188743462
FRUURtex_reverse_num3,predict,1846.5132844123063,0.0004356992969276,41219.34330000004,161270.10504517902,605435.0188743462
GLYALDtex_num2,predict,1810.9350816199617,0.0002646801584469,39332.7982,165748.85571786913,977425.0294318747
GLYALDtex_reverse_num2,predict,1810.9320991260677,0.0002646801584469,39332.7982,165748.58274013785,977423.4196755608
PHYTSpp,predict,1808.4057044523283,0.0003126928153885,47056.27350000005,138350.53334659777,826189.9837501656
CYNTtex_num2,predict,1756.8754911007204,0.0016059406253636,39332.7982,160800.9614724689,156283.61911422716
CYNTtex_reverse_num2,predict,1756.868739698628,0.0016059406253636,39332.7982,160800.3435391246,156283.01854033422
G3PAT180,predict,1751.856726915952,0.0003186728120212,91380.36490000038,63054.369131998574,785336.0477003283
FRUtex_reverse_num1,predict,1750.2225440580194,0.0005251386357191,38921.51909999999,161884.76977017248,476125.30292292585
FRUtex_num1,predict,1750.2225440580194,0.0005251392122997,38921.51909999999,161884.76977017248,476124.7801575211
TKT1,predict,1747.9478041750174,0.000216051385856,73041.82930000033,86150.80092237002,1155775.1790321367
GLCUR1Ptex_num4,predict,1727.0937579008278,0.0002407345316094,40367.58979999997,154023.00606123835,1024895.257238967
GLCUR1Ptex_reverse_num4,predict,1727.0937579008278,0.0002407345316094,40367.58979999997,154023.00606123835,1024895.257238967
GLYCLTt2rpp_num1,predict,1716.255605455879,0.0001132668073487,59167.439600000165,104424.3290128976,2164618.0195860947
GLYCLTt2rpp_reverse_num1,predict,1716.255605455879,0.000113266931711,59167.439600000165,104424.3290128976,2164615.642927069
D_LACt2pp_num1,predict,1706.1999945149487,0.0001637861850978,59167.439600000165,103812.50264974788,1488177.1390776006
D_LACt2pp_reverse_num1,predict,1706.1999945149487,0.0001637861850978,59167.439600000165,103812.50264974788,1488177.1390776006
