reactions,data_type,kcat,km,MW,kcat_MW,catalytic_efficiency
HCO3E_reverse_num1,predict,49651.63131955216,0.0082635600375642,25096.479300000028,7122348.541948176,4861821.942648028
HCO3E_reverse_num2,predict,162.642340686439,0.0052914405740523,23763.997000000003,24638.634084627276,3073687.3713368373
TPI_reverse,predict,21515.961098507225,0.0003249355209782,26971.50249999998,2871825.9190279096,11516601.989082502
TPI,predict,1616.2910015039356,0.0002280074399971,26971.50249999998,215733.1652329777,11179977.595387012
PTAr_num1,predict,10390.537709756383,0.0002252140952073,77171.18800000039,484713.7477671433,10556431.448139971
PTAr_num2,predict,7624.594526402913,0.0001497504274093,36066.3228,761057.3566720943,15678409.720481245
ACKr_num2,predict,6450.841404925674,0.000690583555162,43289.950100000045,536453.1260508985,1798501.0987401216
PTAr_reverse_num1,predict,11.258141835212987,0.0002175569949742,77171.18800000039,525.1870763835663,4959124.441930871
PTAr_reverse_num2,predict,1462.3005744046154,0.0001446590319016,36066.3228,145961.1532079066,7365306.730087433
ACKr_num1,predict,7375.428761574405,0.0007330233150184,43383.618700000006,612017.7232165249,1332758.0961311036
PGI,predict,5569.098807880981,0.0005933629654432,61529.00370000017,325842.3589324506,1536773.926273544
PGM_num1,predict,8.82087320754433,0.0005270627408528,56193.24160000009,565.1060989362738,1673590.7367065917
PGM_reverse_num1,predict,7.408153432429597,0.0004295783004955,56193.24160000009,474.6007099321087,1724517.6080552978
PGI_reverse,predict,18.84824576834116,0.0002971362949388,61529.00370000017,1102.791865391898,2362601.286825965
MDH,predict,1645.0386070493698,6.552567375780258e-05,32336.896699999983,183138.75447973137,10229520.344019547
MDH_reverse,predict,4915.45006639764,9.416465517409488e-05,32336.896699999983,547226.9155324206,6845266.005137167
PTA2,predict,1176.2943533042028,9.53670284403893e-05,77171.18800000039,54873.58406216461,6410011.04726846
ACKr_reverse_num2,predict,3957.7066726553926,9.794086511837078e-05,43289.950100000045,329123.5953990947,5768005.518110756
MAN6PI,predict,979.4134787350329,0.0003718857492082,42849.41950000005,82285.56103183882,1201874.216110278
ACKr_reverse_num1,predict,714.5349035638445,0.0001039595281763,43383.618700000006,59292.55626686208,4274324.413367779
GLYALDtpp_reverse,predict,10.223042680115139,0.0003080539050614,29779.630900000004,1235.8431765658486,1428520.5231394148
GLYALDtpp,predict,1167.03740252749,0.0003080539050614,29779.630900000004,141080.81672358685,1428520.5231394148
SUCDi,predict,1114.9943097317762,0.0001832290329158,64421.13070000015,33914.145025316095,2356013.8506772537
THMabcpp,predict,1195.4796357294476,7.956857441966557e-05,59532.45990000008,35658.08272666815,5320505.098407414
MAN6PI_reverse,predict,143.62884709547782,0.0001945510823885,42849.41950000005,12066.997769799884,2138106.083430087
MGSA,predict,974.5661954051172,0.0001345450195692,16918.38119999999,207374.34994421477,2690080.1785491053
MALDtex_reverse_num3,predict,388.35565954633,0.0001996007077784,38921.51909999999,35920.49865203715,1768526.30009141
MALDtex_num3,predict,709.2821103169802,0.0001996007077784,38921.51909999999,65604.21217323784,1768526.30009141
G6PDH2r,predict,1554.4927613318098,0.0001026597548361,55703.77830000008,100463.09445394491,3376701.642904388
MALDtex_num2,predict,2384.6533626347186,0.0002022360676278,41219.34330000004,208269.98729708,1696680.0475489465
MALDtex_reverse_num2,predict,3.4312933572591535,0.0002022360676278,41219.34330000004,299.68105013776244,1696677.253225763
MALtex_reverse_num1,predict,971.1655231946949,0.0002291282157569,38921.51909999999,89826.8095476495,1437288.3242806045
MALtex_num1,predict,248.39033979856077,0.0002291275868248,38921.51909999999,22974.57149545889,1437286.7461990265
GAL1PPpp,predict,125.67824902596324,0.0001035847881955,45682.38450000005,9904.073560202778,3093850.029843453
MALtex_num3,predict,3.8606824108718314,0.0002321529221953,41219.34330000004,337.1828749910866,1378897.0764851188
MALtex_reverse_num3,predict,807.1944886165631,0.0002321526673012,41219.34330000004,70498.45840265059,1378895.5625149943
GLYALDtex_num1,predict,407.0547511790152,0.0002885038893927,38921.51909999999,37650.049076436364,1107051.9352276905
GLYALDtex_reverse_num1,predict,435.1639112056546,0.0002885038893927,38921.51909999999,40249.97267746307,1107050.1119841791
MALDtex_num1,predict,24.9537810236201,0.0001973628628408,40367.58979999997,2225.3895298210846,1591046.2562738012
