reactions,data_type,kcat,km,MW,kcat_MW,catalytic_efficiency
HCO3E_reverse_num1,predict,62406.01204867566,0.0085030218975198,25096.479300000028,8951918.74085829,4844698.258814925
HCO3E_reverse_num2,predict,13975.947045281933,0.0054447762061463,23763.997000000003,2117211.5685343235,3062861.6250694315
PTAr_num1,predict,1806.0897383611768,0.0002260942573631,77171.18800000039,84253.2456297058,10258212.280225825
PTAr_num2,predict,2651.8197325282263,0.0001503358340788,36066.3228,264694.3268943851,15235503.040283928
ACKr_num2,predict,1041.9705544567942,0.0006997072013784,43289.950100000045,86650.45784020098,1756505.080372261
PTAr_reverse_num1,predict,1854.025854169054,0.0002137249398999,77171.18800000039,86489.44311973739,4728614.146726116
PTAr_reverse_num2,predict,1077.4004699058041,0.0001421111596466,36066.3228,107541.92250674624,7022917.438355458
ACKr_num1,predict,1038.5578625041173,0.0007427068387577,43383.618700000006,86180.18544900272,1301643.157008786
MDH,predict,1227.4418431797187,6.728208727788068e-05,32336.896699999983,136648.56824207839,10139459.944915622
MDH_reverse,predict,666.0950534567628,9.589822521289795e-05,32336.896699999983,74154.98817622618,6610398.222756503
PTA2,predict,263.5380122019663,9.573453036313109e-05,77171.18800000039,12293.925602480991,6274023.604603588
ACKr_reverse_num2,predict,1120.4723035492684,9.898952864369917e-05,43289.950100000045,93178.67734796401,5634469.880488243
ACKr_reverse_num1,predict,360.4706899317581,0.0001050726918662,43383.618700000006,29912.084852302305,4175366.835132524
SUCDi,predict,408.8935885688682,0.0001862879464719,12867.371899999996,12437.08272016424,2341892.293284515
THMabcpp,predict,116.26928815656993,8.13839328964811e-05,24998.8635,3468.0138178414495,5273000.583218373
G6PDH2r,predict,398.2762095542216,0.000103677691815,55703.77830000008,25739.624818146232,3292191.897703893
GAL1PPpp,predict,293.1677892010941,0.0001043204462733,45682.38450000005,23103.085635206662,3129102.147782868
G1PPpp,predict,285.67705494709173,8.563814576711414e-05,45682.38450000005,22512.7783732377,3617283.1981948856
L_LACt2rpp_num1,predict,137.52594045363443,0.0003748160735153,59167.439600000165,8367.666219463765,805744.425393564
L_LACt2rpp_reverse_num1,predict,295.6233801753857,0.0001827978135654,59167.439600000165,17986.990409356597,1614575.4968106118
PGK,predict,759.989606881823,0.0001731803797957,41117.70940000005,66539.76169145646,1660487.4065150926
L_LACt2rpp_reverse_num2,predict,302.8132374682996,0.0001773144016773,58919.41700000013,18502.010209739106,1574280.2341047912
L_LACt2rpp_num2,predict,245.5185339749814,0.0001773144016773,58919.41700000013,15001.280856358966,1574275.048631975
MLTG5,predict,159.2763587100921,0.0012276292305681,69040.17260000018,8305.235484830322,219373.4873652275
PFK_num2,predict,298.5811409446311,6.980029986278456e-05,32455.60750000003,33118.841093967225,3848154.70527638
MLTG4,predict,396.6702434205242,0.0014259818832624,69040.17260000018,20683.796441057613,186018.5625028518
