biomass	O_2	CO_2	acetate	NADH16pp	AKGDH	GLCptspp	PFK	G6PDH2r	NADTRHD	FADRx	ASPK	GLNS	glucose
0.929977641	20.84143397	17.82591884	0	33.41255952	6.472881789	1	0.190440824	0	0	2.032828825	0.994216776	1.683831466	1
1.932394261	37.55478677	36.67833448	0	61.7831716	12.66820914	11	3.609786111	0.434293869	0	4.224001291	2.065876327	3.498822034	11
2.927939227	54.56487334	55.81282042	0	91.93356589	16.1988954	21	9.621887967	4.731880063	0	6.400153077	3.130189557	5.301370684	21
3.923484193	71.5749599	74.94730636	0	122.0839602	19.72958167	31	15.39741125	9.029466257	0	8.576304864	4.194502788	7.103919333	31
4.91902916	88.58504647	94.0817923	0	152.2343545	23.26026793	41	21.17293454	13.32705245	0	10.75245665	5.258816018	8.906467982	41
5.910887109	105.7543469	113.3676243	0	183.3407535	23.23061087	0	0	19.69671485	0	12.92054902	0	0	51
6.5571466	124.1956439	133.185785	0	226.7394388	0	0	0	73.13727284	25.17950154	0	0	0	61
6.570681955	123.7314695	128.6054795	3.827921613	217.4763766	0	0	0	66.84895101	6.788113525	0	0	0	71
6.581848745	126.2876136	126.0083432	3.834427115	212.1975807	0	0	0	64.60764615	1.62903639	0	0	0	81
6.593015536	128.8437577	123.411207	3.840932619	206.9187849	0	0	0	62.36634129	0	0	0	0	91
