glucose,AKGDH,G6PDH2r,PFK,GLCptspp,ASPK,GLNS
1,0.0033513042209253594,0.0,4.187859456848704e-05,0.00041329489873726953,0.0006023197209267063,0.0015280478204364686
11,0.006558905931913539,1.7897925852129096e-05,0.0007938044262060353,0.004546243886109965,0.0012515560819180232,0.0031751202487320614
21,0.008386902201829843,0.00019500813747094816,0.002115886377142524,0.00867919287348266,0.0018963418702360845,0.004810901852461279
31,0.0102148984769236,0.0003721183490897672,0.0033859438832453863,0.012812141860855355,0.002541127659159969,0.0064466834552830135
41,0.012042894746839904,0.0005492285606673747,0.004656001390887574,0.01694509084822805,0.00318591344747803,0.008082465058104749
51,0.012027539942967671,0.0008117322556902824,0.0,0.0,0.0,0.0
61,0.0,0.0030141007731270897,0.0,0.0,0.0,0.0
71,0.0,0.002754949249512869,0.0,0.0,0.0,0.0
81,0.0,0.0026625815900553126,0.0,0.0,0.0,0.0
91,0.0,0.002570213930597757,0.0,0.0,0.0,0.0
