reaction,gene,name,our_name,GLC_BATCH_mu=0.6_H,real_prot,pred_prot,kcat_Density,absolute_error,square_error,root_square_error,error
5DOAN,b0159,mtn,ECDH1ME8569_0153,4.935111524898892e-06,4.935111524898892,0.0008165717248242991,0.015567030492109814,4.934294953174068,24.347266684919077,4.934294953174068,4.934294953174068
A5PISO_num1,b3197,kdsD,ECDH1ME8569_3086,1.1636454974256668e-06,1.163645497425667,0.015514334023015585,0.03782941431458591,1.1481311634026514,1.3182051683763258,1.1481311634026514,1.1481311634026514
ACACT1r_num2,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,0.21456190241896195,0.417139813028906,0.034570749452902526,0.20257791060994407,0.04103780986709049,0.20257791060994407,-0.20257791060994407
ACACT2r_num1,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,0.21456190241896195,2.527210174840997,0.005286816951036492,2.312648272422035,5.348342031936623,2.312648272422035,-2.312648272422035
ACACT3r_num1,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,0.21456190241896195,0.7001424625966141,0.03055278825916251,0.4855805601776521,0.2357884804224424,0.4855805601776521,-0.4855805601776521
ACACT4r_num1,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,0.21456190241896195,3.080704403617064,0.0034699016807622552,2.866142501198102,8.214772837174113,2.866142501198102,-2.866142501198102
ACACT5r_num1,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,0.21456190241896195,0.6156310756932935,0.03193981805140654,0.4010691732743315,0.16085648175095574,0.4010691732743315,-0.4010691732743315
ACACT6r_num1,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,0.21456190241896195,1.699680043231704,0.012435094423681866,1.485118140812742,2.2055758921710957,1.485118140812742,-1.485118140812742
ACACT7r_num1,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,0.21456190241896195,2.4488353063084896,0.005667154364106767,2.2342734038895276,4.991977643328096,2.2342734038895276,-2.2342734038895276
ACGK,b3959,argB,ECDH1ME8569_3827,5.571251626104815e-06,5.571251626104815,0.6156988160451021,0.01576880610224368,4.9555528100597135,24.557503653290723,4.9555528100597135,4.9555528100597135
ACGS,b2818,argA,ECDH1ME8569_2725,1.1443580394640656e-06,1.1443580394640656,0.2448022750794138,0.038862850324107766,0.8995557643846518,0.8092005732376552,0.8995557643846518,0.8995557643846518
ACOAD1f_reverse,b0221,fadE,ECDH1ME8569_0209,6.338197718011059e-07,0.6338197718011058,0.7563795521076826,0.032143510089577006,0.12255978030657677,0.015020899748796362,0.12255978030657677,-0.12255978030657677
ACOAD3f_reverse,b0221,fadE,ECDH1ME8569_0209,6.338197718011059e-07,0.6338197718011058,1.0883829599011856,0.02562153118389385,0.4545631881000798,0.20662769197570852,0.4545631881000798,-0.4545631881000798
ACOAD5f_reverse,b0221,fadE,ECDH1ME8569_0209,6.338197718011059e-07,0.6338197718011058,1.3867330698236089,0.019566926866800227,0.7529132980225031,0.5668784343391225,0.7529132980225031,-0.7529132980225031
