reaction,gene,name,our_name,GLC_BATCH_mu=0.6_H,real_prot,pred_prot,kcat_Density,absolute_error,square_error,root_square_error,error
5DOAN,b0159,mtn,ECDH1ME8569_0153,4.935111524898892e-06,4.935111524898892,0.004798775730262094,0.0025259798439979824,4.93031274916863,24.307983804614736,4.93031274916863,4.93031274916863
A5PISO_num1,b3197,kdsD,ECDH1ME8569_3086,1.1636454974256668e-06,1.163645497425667,0.0911736315592435,0.007396635516340143,1.0724718658664234,1.1501959030750077,1.0724718658664234,1.0724718658664234
ACACT2r_num2,b3845,fadA,ECDH1ME8569_3722,6.849622687291783e-07,0.6849622687291783,4.262873444225267,0.006433241253375821,3.577911175496089,12.801448379739806,3.577911175496089,-3.577911175496089
ACACT3r_num1,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,0.21456190241896195,4.114551796362402,0.00598763367999775,3.8999898939434403,15.209921172860966,3.8999898939434403,-3.8999898939434403
ACACT4r_num1,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,0.21456190241896195,18.104483751712188,0.0005323316699292827,17.889921849293227,320.0493037738192,17.889921849293227,-17.889921849293227
ACACT5r_num1,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,0.21456190241896195,3.617900761219464,0.00625794905699628,3.403338858800502,11.582715387821503,3.403338858800502,-3.403338858800502
ACACT6r_num1,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,0.21456190241896195,9.98856939655378,0.0023937521144358044,9.774007494134818,95.53122249540358,9.774007494134818,-9.774007494134818
ACACT7r_num2,b3845,fadA,ECDH1ME8569_3722,6.849622687291783e-07,0.6849622687291783,4.130656741617573,0.006506671009495894,3.4456944728883947,11.872810400493632,3.4456944728883947,-3.4456944728883947
ACACT8r_num1,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,0.21456190241896195,5.33360878577618e-16,0.007112274586100425,0.21456190241896142,0.046036809969643926,0.21456190241896142,0.21456190241896142
ACGK,b3959,argB,ECDH1ME8569_3827,5.571251626104815e-06,5.571251626104815,3.6183058056265467,0.0023740002175334837,1.9529458204782686,3.813997377723538,1.9529458204782686,1.9529458204782686
ACGS,b2818,argA,ECDH1ME8569_2725,1.1443580394640656e-06,1.1443580394640656,1.4386381265121637,0.007555967393906689,0.29428008704809816,0.08660076963303623,0.29428008704809816,-0.29428008704809816
ACOAD1f_reverse,b0221,fadE,ECDH1ME8569_0209,6.338197718011059e-07,0.6338197718011058,4.445049595842759,0.006280512093095604,3.8112298240416536,14.525472771664573,3.8112298240416536,-3.8112298240416536
ACOAD3f_reverse,b0221,fadE,ECDH1ME8569_0209,6.338197718011059e-07,0.6338197718011058,6.396148894493323,0.0050096489500171286,5.7623291226922175,33.20443691822686,5.7623291226922175,-5.7623291226922175
ACOAD5f_reverse,b0221,fadE,ECDH1ME8569_0209,6.338197718011059e-07,0.6338197718011058,8.14946292838299,0.003818170115013321,7.515643156581884,56.48489205707611,7.515643156581884,-7.515643156581884
ACOAD6f_reverse,b0221,fadE,ECDH1ME8569_0209,6.338197718011059e-07,0.6338197718011058,3.255687544126735,0.006894367267185251,2.621867772325629,6.874190615559757,2.621867772325629,-2.621867772325629
ACOAD7f_reverse,b0221,fadE,ECDH1ME8569_0209,6.338197718011059e-07,0.6338197718011058,2.922510710682408,0.007031562235639219,2.2886909388813024,5.238106213717377,2.2886909388813024,-2.2886909388813024
ACOAD8f,b0221,fadE,ECDH1ME8569_0209,6.338197718011059e-07,0.6338197718011058,2.3924291082876428e-32,0.007365383715531004,0.6338197718011058,0.40172750312600586,0.6338197718011058,0.6338197718011058
ACODA,b3957,argE,ECDH1ME8569_3825,5.215679626866349e-06,5.215679626866349,2.1139370454379094,0.002628800748662565,3.1017425814284394,9.620807041446358,3.1017425814284394,3.1017425814284394
ACONTa_num2,b1276,acnA,ECDH1ME8569_1217,1.1726331562846556e-06,1.1726331562846555,46.65075624834277,9.316225373883576e-05,45.47812309205812,2068.25967997639,45.47812309205812,-45.47812309205812
ACONTb_num1,b0118,acnB,ECDH1ME8569_0112,9.722313180128597e-06,9.722313180128598,40.20084791874534,8.232668152480818e-05,30.47853473861674,928.9410798130674,30.47853473861674,-30.47853473861674
ACOTA_reverse_num1,b1748,astC,ECDH1ME8569_1692,3.6967035750773016e-07,0.36967035750773014,4.155551918150673,0.006160427448531495,3.7858815606429426,14.332899191216242,3.7858815606429426,-3.7858815606429426
ACS,b4069,acs,ECDH1ME8569_3927,1.8088901081048712e-06,1.8088901081048712,2.5016614864930644,0.007254188405527682,0.6927713783881932,0.4799321827138772,0.6927713783881932,-0.6927713783881932
ADCL,b1096,pabC,ECDH1ME8569_1031,6.662319869907531e-08,0.06662319869907532,0.046123612363749386,0.0069759335370132335,0.020499586335325934,0.00042023303991948173,0.020499586335325934,0.020499586335325934
ADPT,b0469,apt,ECDH1ME8569_0453,2.554500722912776e-06,2.554500722912776,0.02849976801064,0.006013682921205177,2.526000954902136,6.380680824166502,2.526000954902136,2.526000954902136
ADSK,b2750,cysC,ECDH1ME8569_2660,1.729888629938562e-06,1.7298886299385619,7.638939965938627,0.004811843623592903,5.909051336000065,34.91688769148415,5.909051336000065,-5.909051336000065
ADSL1r,b1131,purB,ECDH1ME8569_1066,4.182066742253502e-06,4.182066742253502,8.784781740936975,0.003091225347151696,4.602714998683473,21.1849853591058,4.602714998683473,-4.602714998683473
ADSL2r,b1131,purB,ECDH1ME8569_1066,4.182066742253502e-06,4.182066742253502,9.691398343109839,0.002776740106383635,5.509331600856337,30.352734688194246,5.509331600856337,-5.509331600856337
ADSS,b4177,purA,ECDH1ME8569_4034,1.0315747924796947e-05,10.315747924796947,30.139626312523895,0.00011855214837018865,19.82387838772695,392.98615433138764,19.82387838772695,-19.82387838772695
AGPAT140,b3018,plsC,ECDH1ME8569_2914,2.613011973515104e-07,0.2613011973515104,2.973225300580176e-29,0.007151038125733021,0.2613011973515104,0.06827831573733299,0.2613011973515104,0.2613011973515104
AGPAT160,b3018,plsC,ECDH1ME8569_2914,2.613011973515104e-07,0.2613011973515104,12.54178851093514,0.001433047958412055,12.28048731358363,150.81036865908845,12.28048731358363,-12.28048731358363
AGPAT180,b3018,plsC,ECDH1ME8569_2914,2.613011973515104e-07,0.2613011973515104,7.95620917845848e-33,0.007151038125733021,0.2613011973515104,0.06827831573733299,0.2613011973515104,0.2613011973515104
AGPR_reverse,b3958,argC,ECDH1ME8569_3826,3.0702971826759706e-06,3.0702971826759704,5.062297941710676,0.005495424972223869,1.9920007590347053,3.968067023994842,1.9920007590347053,-1.9920007590347053
AHCYSNS,b0159,mtn,ECDH1ME8569_0153,4.935111524898892e-06,4.935111524898892,0.052526711969758735,0.00253846248042252,4.882584812929133,23.83963445544622,4.882584812929133,4.882584812929133
AICART,b4006,purH,ECDH1ME8569_3866,6.116183714588418e-06,6.116183714588417,28.03177159506812,0.0002081636859710673,21.915587880479702,480.29299214702877,21.915587880479702,-21.915587880479702
AIRC2,b0522,purK,ECDH1ME8569_0507,9.070035925458143e-07,0.9070035925458143,36.07046666837701,0.0001560414366432405,35.163463075831196,1236.469135485344,35.163463075831196,-35.163463075831196
AIRC3_reverse,b0523,purE,ECDH1ME8569_0508,4.243876726888729e-06,4.243876726888729,40.502136189708885,0.00012417885968244835,36.258259462820156,1314.6613792731873,36.258259462820156,-36.258259462820156
ALAR_num1,b1190,dadX,ECDH1ME8569_1129,1.5227866036697024e-07,0.15227866036697024,0.1941190924078134,0.0070695229547369605,0.041840432040843145,0.0017506217533644138,0.041840432040843145,-0.041840432040843145
ALCD2x_num1,b1478,adhP,ECDH1ME8569_1421,6.798862030282214e-08,0.06798862030282214,1.9402047693760347e-16,0.006974344452072887,0.06798862030282195,0.0046224524906812925,0.06798862030282195,0.06798862030282195
AMAOTr,b0774,bioA,ECDH1ME8569_0727,5.978299808573923e-07,0.5978299808573923,0.004405959641940603,0.007352918415617789,0.5934240212154517,0.3521520689555169,0.5934240212154517,0.5934240212154517
AMMQLT8,b3833,ubiE,ECDH1ME8569_3712,1.8772753840570054e-06,1.8772753840570053,1.642109999928605e-17,0.006872657651562845,1.8772753840570053,3.524162867586377,1.8772753840570053,1.8772753840570053
ANPRT,b1263,trpD,ECDH1ME8569_1203,2.8658452114775736e-06,2.8658452114775734,4.9492547918041545,0.005755231031613996,2.083409580326581,4.340595479396581,2.083409580326581,-2.083409580326581
