reactions,data_type,kcat,km,MW,kcat_MW,catalytic_efficiency
HCO3E_reverse_num1,predict,40175.869292077296,0.0082635600375642,25096.479300000028,5763084.443939438,4861811.26650587
TPI_reverse,predict,3742.165393423575,0.0003249355209782,26971.50249999998,499482.5711442987,11516639.923385408
TPI,predict,2549.118070749126,0.0002280074399971,26971.50249999998,340241.52175789466,11179977.595387012
PTAr_num1,predict,2377.457157210731,0.0002252137242941,77171.18800000039,110907.26976962683,10556448.833935536
HCO3E_reverse_num2,predict,1981.983648197294,0.0018798953872966,23763.997000000003,300250.04352215066,1054305.2882572913
ACKr_num2,predict,1242.0152827307163,0.000690583555162,43289.950100000045,103286.21325508467,1798501.0987401216
PTAr_reverse_num1,predict,1078.8922112895868,0.0002175569949742,77171.18800000039,50329.81947410856,4959124.4419308705
ACKr_num1,predict,976.942757743633,0.0007330233150184,43383.618700000006,81067.32525466065,1332758.0961311036
PFK_num2,predict,951.952511457604,0.0001129613511046,32455.60750000003,105591.27698495156,8427240.840773182
PGI,predict,911.8647341094598,0.0005933639426755,61529.00370000017,53352.28665166972,1536771.3953055993
PGM_num1,predict,882.087320754433,0.0005270627408528,56193.24160000009,56510.60989362738,1673590.7367065917
PGM_reverse_num1,predict,740.8165633203104,0.0004295783004955,56193.24160000009,47460.1491570316,1724520.448229835
PGI_reverse,predict,702.0145927851083,0.0002971362949388,61529.00370000017,41074.16636142254,2362601.286825965
MDH,predict,670.2962127610294,6.552567375780258e-05,32336.896699999983,74622.69457476134,10229520.344019549
MDH_reverse,predict,644.5821129486953,9.416465517409488e-05,32336.896699999983,71759.99688972332,6845266.005137167
PTA2,predict,611.3037058480608,9.53671331494512e-05,77171.18800000039,28517.03333960607,6410004.009348566
R5Ptex_num2,predict,502.9289258398205,0.0001775968205037,39332.7982,46031.409304191184,2831857.7123926757
MAN6PI,predict,446.9598933121888,0.0003718861575234,42849.41950000005,37551.398238286005,1201872.8965034548
ACKr_reverse_num1,predict,444.357481114417,0.0001039595281763,43383.618700000006,36873.063611263504,4274331.45291745
GLYALDtpp_reverse,predict,440.0613256134507,0.0003080539050614,29779.630900000004,53198.13323167892,1428520.5231394148
GLYALDtpp,predict,440.0613256134507,0.0003080539050614,29779.630900000004,53198.13323167892,1428520.5231394148
SUCDi,predict,431.6901393958232,0.0001832293346828,14298.97849999999,13130.472385092957,2356009.9704730664
THMabcpp,predict,423.3443086507767,7.956857441966557e-05,36162.95850000006,12627.27187362133,5320496.33587687
ACKr_reverse_num2,predict,419.8012965480991,0.000124080151846,43289.950100000045,34910.7509729644,3383307.4049516674
MAN6PI_reverse,predict,415.9708527927599,0.0001945508687797,42849.41950000005,34947.84964482271,2138108.430982054
PACALDtex_reverse_num3,predict,402.6060835215566,2.985460632175213e-05,41219.34330000004,35162.663561347974,13485559.95622749
MGSA,predict,361.9368902656064,0.0001345450195692,16918.38119999999,77015.21732801385,2690080.1785491053
MALDtex_num3,predict,352.99910122296046,0.0001996009269318,38921.51909999999,32650.23549408836,1768524.3583241166
G6PDH2r,predict,346.6502209910525,0.000102659585762,55703.77830000008,22403.16247215473,3376696.081695733
LYXtex_reverse_num3,predict,344.9371669977188,0.000429352435239,41219.34330000004,30125.996723285658,803389.3339994887
MALDtex_num2,predict,343.1293357259153,0.0002022358455812,41219.34330000004,29968.105013776243,1696679.116107263
R5Ptex_reverse_num2,predict,340.6911028867276,0.0001818975705382,39332.7982,31182.321790475096,1872983.2502912933
ETOHtex_reverse_num3,predict,337.3977746526675,0.0005022046919894,41219.34330000004,29467.524019229146,671833.1788500871
PACALDtex_reverse_num2,predict,335.4924010299107,2.7032439672555496e-05,39332.7982,30706.501926620578,12410733.366789574
MALtex_reverse_num1,predict,329.3233092706396,0.0002291282157569,38921.51909999999,30460.37104379882,1437288.3242806045
MALtex_num1,predict,329.3220437318517,0.0002291275868248,38921.51909999999,30460.253989281373,1437286.7461990265
GAL1PPpp,predict,320.4758000499754,0.0001035847881955,45682.38450000005,25255.09324452865,3093850.029843453
MALtex_num3,predict,320.1149857125764,0.0002321529221953,41219.34330000004,27958.08609025739,1378897.0764851188
GLYALDtex_num1,predict,319.3887890729041,0.0002885038893927,38921.51909999999,29541.489316187948,1107051.9352276905
GLYALDtex_reverse_num1,predict,319.3882630600598,0.0002885038893927,38921.51909999999,29541.44066325036,1107050.1119841791
LYXtex_reverse_num4,predict,315.6671804541715,0.0004190060345883,40367.58979999997,28151.34258114707,753371.4419276433
MALDtex_num1,predict,314.01344405033456,0.0001973628628408,40367.58979999997,28003.861617252292,1591046.2562738012
MALDtex_reverse_num1,predict,314.01344405033456,0.0001973628628408,40367.58979999997,28003.861617252292,1591046.2562738012
GLYALDtex_num3,predict,310.45722547958724,0.0002923124101761,41219.34330000004,27114.60014275659,1062073.3662746516
CYNTtex_num1,predict,309.853282443694,0.0017504867076503,38921.51909999999,28659.513877948786,177009.78881445716
CYNTtex_reverse_num1,predict,309.853282443694,0.0017504867076503,38921.51909999999,28659.513877948786,177009.78881445716
CYANtex_reverse_num3,predict,309.252721323436,0.0007539597896281,41219.34330000004,27009.401597243992,410171.37197194394
G1PPpp,predict,308.69043473108707,8.610418521776027e-05,45682.38450000005,24326.347610683766,3585080.492317522
CYNTtex_num3,predict,301.1893670755756,0.0017735986616987,41219.34330000004,26305.16729925853,169818.2196343706
FUCtex_reverse_num2,predict,300.198424823314,0.0003235623856136,39332.7982,27476.161850186654,927791.4806259731
PGK,predict,293.7734688068272,0.000172847186743,41117.70940000005,25720.899902672514,1699613.8285063787
L_LACt2rpp_num1,predict,293.6178791808192,0.0001769643169111,59167.439600000165,17864.96715418029,1659192.5666478933
L_LACt2rpp_reverse_num1,predict,293.6178791808192,0.0001769646083605,59167.439600000165,17864.96715418029,1659189.8340637768
MALtex_num4,predict,292.95131006188336,0.0002265584493353,40367.58979999997,26125.530938257325,1293049.5901670118
ACALDtex_reverse_num3,predict,288.9537295346471,0.0002399708138372,41219.34330000004,25236.535641865226,1204120.3049412412
PYRtex_num2,predict,288.92470178538844,0.0003255286493182,39332.7982,26444.315533782654,887555.3730540266
PACALDtex_reverse_num4,predict,288.03909451604693,2.7197997774069097e-05,40367.58979999997,25687.45732393886,10590452.16889704
LYXtex_reverse_num2,predict,287.43725861834616,0.0003887655954587,39332.7982,26308.174815440572,739358.7857979106
MALDtex_num4,predict,285.9284324228709,0.0001831184185242,39332.7982,26170.07697973381,1561440.049161871
GALBDtex_reverse_num3,predict,284.32417736439703,0.0007139158000009,41219.34330000004,24832.2014997223,398260.0992498535
GLYALDtex_num4,predict,284.11462840920177,0.0002852686703859,40367.58979999997,25337.471653388806,995954.543570673
CYANtex_reverse_num4,predict,283.0109292932719,0.0007357898907122,40367.58979999997,25239.043264747488,384635.5228111852
ETOHtex_reverse_num2,predict,281.1546585547699,0.0004547311022348,39332.7982,25733.149359233023,618287.7247081199
L_LACt2rpp_num2,predict,277.7016637476915,0.0001716559874834,58919.41700000013,16967.682987964512,1617780.234869737
GLCUR1Ptex_num1,predict,277.3596189308616,0.0002434646909753,38921.51909999999,25654.050798626253,1139219.0704113243
GLCUR1Ptex_reverse_num1,predict,277.3596189308616,0.0002434646909753,38921.51909999999,25654.050798626253,1139219.0704113243
CYNTtex_num4,predict,275.6331567908902,0.0017308609364761,40367.58979999997,24581.090160780554,159246.27506589764
FRUURtex_reverse_num3,predict,274.239733826741,0.0003890997478136,41219.34330000004,23951.45004108463,704805.7352073041
FRUURtex_num1,predict,271.37653458629165,0.000430021416669,38921.51909999999,25100.652469411198,631076.7884269775
FRUURtex_reverse_num1,predict,271.3756407075447,0.0004300221248878,38921.51909999999,25100.569791150858,631073.6704032406
GLCUR1Ptex_num3,predict,269.60427018645305,0.0002466789231189,41219.34330000004,23546.5996051235,1092935.9783871886
MALtex_num2,predict,266.75197589769334,0.0002102074231499,39332.7982,24414.919791587476,1268994.0816574832
GALtex_reverse_num3,predict,264.71982937515503,0.000633941466258,41219.34330000004,23120.0040916362,417577.715712037
FRUURtex_num3,predict,263.7876120589009,0.0004356992969276,41219.34330000004,23038.586435025576,605435.0188743462
GALBDtex_reverse_num4,predict,260.1985662736266,0.0006967124628995,40367.58979999997,23204.626365507127,373466.2147290452
HCINNMtex_reverse_num2,predict,259.30234148809217,0.00010781923525,39332.7982,23733.079569129965,2404972.924236097
GLYALDtex_num2,predict,258.7050116599945,0.0002646801584469,39332.7982,23678.40795969559,977425.0294318747
PHYTSpp,predict,258.34409754077217,0.0003126928153885,47056.27350000005,19764.394457346458,826191.3444343032
CYANtex_reverse_num2,predict,257.70058708279976,0.0006826877001491,39332.7982,23586.47632392651,377479.46392840764
CYNTtex_num2,predict,250.98124852837543,0.0016059406253636,39332.7982,22971.47764844637,156283.01854033422
FRUURtex_reverse_num4,predict,250.96981276244523,0.0003797237607511,40367.58979999997,22381.601934153707,660927.3337702721
G3PAT180,predict,250.26483453147404,0.0003186728120212,8639.416499999992,9007.752183642579,785334.7543022432
GLYC2Ptex_reverse_num2,predict,250.03892974559156,0.0002216408051984,38921.51909999999,23127.055878045874,1128126.7883942723
FRUtex_reverse_num1,predict,250.03179200828848,0.0005251392122997,38921.51909999999,23126.395681453214,476124.7801575211
FRUtex_num1,predict,250.03179200828848,0.0005251386357191,38921.51909999999,23126.395681453214,476125.30292292585
TKT1,predict,249.70682916785964,0.000216051385856,73041.82930000033,12307.25727462429,1155775.1790321367
MANtex_reverse_num3,predict,248.33211233152088,0.0006925497903254,41219.34330000004,21688.73962612292,358576.54684270435
GLCUR1Ptex_num4,predict,246.72767970011824,0.0002407347959259,40367.58979999997,22003.286580176908,1024894.1319478507
GLYCLTt2rpp_num1,predict,245.1793722079827,0.0001132668073487,59167.439600000165,14917.761287556801,2164618.0195860947
GLYCLTt2rpp_reverse_num1,predict,245.1793722079827,0.000113266931711,59167.439600000165,14917.761287556801,2164615.642927069
D_LACt2pp_num1,predict,243.74285635927836,0.0001637861850978,59167.439600000165,14830.357521392554,1488177.1390776006
D_LACt2pp_reverse_num1,predict,243.74285635927836,0.0001637861850978,59167.439600000165,14830.357521392554,1488177.1390776006
