reactions,data_type,kcat,km,MW,kcat_MW,catalytic_efficiency
HCO3E_reverse_num1,predict,44193.45622128503,0.0082635600375642,25096.479300000028,6339392.888333382,4861811.26650587
TPI_reverse,predict,4116.381932765933,0.0003249355209782,26971.50249999998,549430.8282587286,11516639.923385408
TPI,predict,2804.029877824039,0.0002280074399971,26971.50249999998,374265.6739336842,11179977.595387012
PTAr_num1,predict,2615.2028729318044,0.0002252137242941,77171.18800000039,121997.99674658953,10556448.833935536
HCO3E_reverse_num2,predict,2180.1820130170236,0.0018798953872966,23763.997000000003,330275.04787436576,1054305.2882572913
ACKr_num2,predict,1366.216811003788,0.000690583555162,43289.950100000045,113614.83458059316,1798501.0987401216
PTAr_reverse_num1,predict,1186.7814324185456,0.0002175569949742,77171.18800000039,55362.80142151942,4959124.441930871
ACKr_num1,predict,1074.6370335179963,0.0007330233150184,43383.618700000006,89174.05778012672,1332758.0961311036
PFK_num2,predict,1047.1477626033645,0.0001129613511046,32455.60750000003,116150.40468344673,8427240.840773182
PGI,predict,1003.0512075204059,0.0005933639426755,61529.00370000017,58687.515316836696,1536771.395305599
PGM_num1,predict,970.2960528298763,0.0005270627408528,56193.24160000009,62161.67088299012,1673590.7367065917
PGM_reverse_num1,predict,814.8982196523415,0.0004295783004955,56193.24160000009,52206.16407273476,1724520.448229835
PGI_reverse,predict,772.2160520636193,0.0002971362949388,61529.00370000017,45181.5829975648,2362601.286825965
MDH,predict,737.3258340371325,6.552567375780258e-05,32336.896699999983,82084.96403223748,10229520.344019547
MDH_reverse,predict,709.0403242435649,9.416465517409488e-05,32336.896699999983,78935.99657869566,6845266.005137167
PTA2,predict,672.4340764328668,9.53671331494512e-05,77171.18800000039,31368.73667356668,6410004.009348566
R5Ptex_num2,predict,553.2218184238026,0.0001775968205037,39332.7982,50634.55023461031,2831857.712392676
MAN6PI,predict,491.6558826434077,0.0003718861575234,42849.41950000005,41306.53806211461,1201872.8965034548
ACKr_reverse_num1,predict,488.79322922585874,0.0001039595281763,43383.618700000006,40560.36997238986,4274331.45291745
GLYALDtpp_reverse,predict,484.06745817479583,0.0003080539050614,29779.630900000004,58517.946554846814,1428520.5231394148
GLYALDtpp,predict,484.06745817479583,0.0003080539050614,29779.630900000004,58517.946554846814,1428520.5231394148
SUCDi,predict,474.8591533354056,0.0001832293346828,14298.97849999999,14443.519623602253,2356009.9704730664
THMabcpp,predict,465.67873951585443,7.956857441966557e-05,36162.95850000006,13889.999060983464,5320496.33587687
ACKr_reverse_num2,predict,461.7814262029091,0.000124080151846,43289.950100000045,38401.826070260846,3383307.4049516674
MAN6PI_reverse,predict,457.56793807203593,0.0001945508687797,42849.41950000005,38442.63460930498,2138108.430982054
PACALDtex_reverse_num3,predict,442.86669187371234,2.985460632175213e-05,41219.34330000004,38678.929917482776,13485559.95622749
MGSA,predict,398.13057929216706,0.0001345450195692,16918.38119999999,84716.73906081525,2690080.1785491053
MALDtex_num3,predict,388.29901134525653,0.0001996009269318,38921.51909999999,35915.2590434972,1768524.3583241166
G6PDH2r,predict,381.31524309015776,0.000102659585762,55703.77830000008,24643.478719370207,3376696.081695733
LYXtex_reverse_num3,predict,379.43088369749074,0.000429352435239,41219.34330000004,33138.59639561422,803389.3339994887
MALDtex_num2,predict,377.4422692985069,0.0002022358455812,41219.34330000004,32964.91551515387,1696679.116107263
R5Ptex_reverse_num2,predict,374.7602131754004,0.0001818975705382,39332.7982,34300.55396952261,1872983.2502912933
ETOHtex_reverse_num3,predict,371.1375521179343,0.0005022046919894,41219.34330000004,32414.276421152063,671833.1788500871
PACALDtex_reverse_num2,predict,369.0416411329018,2.7032439672555496e-05,39332.7982,33777.15211928263,12410733.366789574
MALtex_reverse_num1,predict,362.2556401977036,0.0002291282157569,38921.51909999999,33506.40814817871,1437288.3242806045
MALtex_num1,predict,362.2542481050369,0.0002291275868248,38921.51909999999,33506.279388209514,1437286.7461990265
GAL1PPpp,predict,352.523380054973,0.0001035847881955,45682.38450000005,27780.602568981518,3093850.029843453
MALtex_num3,predict,352.1264842838341,0.0002321529221953,41219.34330000004,30753.894699283133,1378897.0764851188
GLYALDtex_num1,predict,351.3276679801945,0.0002885038893927,38921.51909999999,32495.638247806746,1107051.9352276905
GLYALDtex_reverse_num1,predict,351.32708936606576,0.0002885038893927,38921.51909999999,32495.5847295754,1107050.1119841791
LYXtex_reverse_num4,predict,347.2338984995887,0.0004190060345883,40367.58979999997,30966.47683926178,753371.4419276433
MALDtex_num1,predict,345.414788455368,0.0001973628628408,40367.58979999997,30804.24777897752,1591046.2562738012
MALDtex_reverse_num1,predict,345.414788455368,0.0001973628628408,40367.58979999997,30804.24777897752,1591046.2562738012
GLYALDtex_num3,predict,341.502948027546,0.0002923124101761,41219.34330000004,29826.06015703225,1062073.3662746516
CYNTtex_num1,predict,340.83861068806345,0.0017504867076503,38921.51909999999,31525.465265743664,177009.78881445716
CYNTtex_reverse_num1,predict,340.83861068806345,0.0017504867076503,38921.51909999999,31525.465265743664,177009.78881445716
CYANtex_reverse_num3,predict,340.17799345577964,0.0007539597896281,41219.34330000004,29710.341756968395,410171.371971944
G1PPpp,predict,339.5594782041958,8.610418521776027e-05,45682.38450000005,26758.98237175215,3585080.492317522
CYNTtex_num3,predict,331.30830378313317,0.0017735986616987,41219.34330000004,28935.684029184384,169818.2196343706
FUCtex_reverse_num2,predict,330.2182673056454,0.0003235623856136,39332.7982,30223.77803520532,927791.4806259732
PGK,predict,323.15081568751,0.000172847186743,41117.70940000005,28292.98989293977,1699613.8285063787
L_LACt2rpp_num1,predict,322.9796670989012,0.0001769643169111,59167.439600000165,19651.46386959832,1659192.5666478933
L_LACt2rpp_reverse_num1,predict,322.9796670989012,0.0001769646083605,59167.439600000165,19651.46386959832,1659189.8340637768
MALtex_num4,predict,322.2464410680717,0.0002265584493353,40367.58979999997,28738.08403208306,1293049.5901670118
ACALDtex_reverse_num3,predict,317.84910248811184,0.0002399708138372,41219.34330000004,27760.189206051746,1204120.3049412412
PYRtex_num2,predict,317.8171719639273,0.0003255286493182,39332.7982,29088.747087160922,887555.3730540266
PACALDtex_reverse_num4,predict,316.84300396765167,2.7197997774069097e-05,40367.58979999997,28256.203056332746,10590452.16889704
LYXtex_reverse_num2,predict,316.1809844801808,0.0003887655954587,39332.7982,28938.992296984627,739358.7857979106
MALDtex_num4,predict,314.52127566515804,0.0001831184185242,39332.7982,28787.084677707193,1561440.049161871
GALBDtex_reverse_num3,predict,312.75659510083676,0.0007139158000009,41219.34330000004,27315.421649694534,398260.0992498535
GLYALDtex_num4,predict,312.52609125012197,0.0002852686703859,40367.58979999997,27871.21881872769,995954.543570673
CYANtex_reverse_num4,predict,311.3120222225991,0.0007357898907122,40367.58979999997,27762.94759122224,384635.5228111852
ETOHtex_reverse_num2,predict,309.2701244102469,0.0004547311022348,39332.7982,28306.464295156326,618287.7247081199
L_LACt2rpp_num2,predict,305.4718301224607,0.0001716559874834,58919.41700000013,18664.451286760966,1617780.234869737
GLCUR1Ptex_num1,predict,305.0955808239478,0.0002434646909753,38921.51909999999,28219.45587848888,1139219.0704113245
GLCUR1Ptex_reverse_num1,predict,305.0955808239478,0.0002434646909753,38921.51909999999,28219.45587848888,1139219.0704113245
CYNTtex_num4,predict,303.19647246997926,0.0017308609364761,40367.58979999997,27039.199176858616,159246.27506589764
FRUURtex_reverse_num3,predict,301.6637072094151,0.0003890997478136,41219.34330000004,26346.595045193095,704805.7352073041
FRUURtex_num1,predict,298.51418804492084,0.000430021416669,38921.51909999999,27610.717716352323,631076.7884269775
FRUURtex_reverse_num1,predict,298.51320477829915,0.0004300221248878,38921.51909999999,27610.626770265946,631073.6704032406
GLCUR1Ptex_num3,predict,296.56469720509835,0.0002466789231189,41219.34330000004,25901.259565635854,1092935.9783871886
MALtex_num2,predict,293.4271734874627,0.0002102074231499,39332.7982,26856.41177074623,1268994.0816574832
GALtex_reverse_num3,predict,291.19181231267055,0.000633941466258,41219.34330000004,25432.004500799823,417577.715712037
FRUURtex_num3,predict,290.166373264791,0.0004356992969276,41219.34330000004,25342.445078528137,605435.0188743462
GALBDtex_reverse_num4,predict,286.2184229009893,0.0006967124628995,40367.58979999997,25525.08900205784,373466.2147290452
HCINNMtex_reverse_num2,predict,285.2325756369014,0.00010781923525,39332.7982,26106.387526042963,2404972.924236097
GLYALDtex_num2,predict,284.575512825994,0.0002646801584469,39332.7982,26046.24875566515,977425.0294318747
PHYTSpp,predict,284.1785072948494,0.0003126928153885,47056.27350000005,21740.833903081104,826191.3444343032
CYANtex_reverse_num2,predict,283.47064579107973,0.0006826877001491,39332.7982,25945.123956319163,377479.4639284077
CYNTtex_num2,predict,276.079373381213,0.0016059406253636,39332.7982,25268.625413291007,156283.01854033422
FRUURtex_reverse_num4,predict,276.06679403868975,0.0003797237607511,40367.58979999997,24619.76212756908,660927.3337702721
G3PAT180,predict,275.29131798462146,0.0003186728120212,8639.416499999992,9908.52740200684,785334.7543022432
GLYC2Ptex_reverse_num2,predict,275.04282272015075,0.0002216408051984,38921.51909999999,25439.761465850468,1128126.7883942723
FRUtex_reverse_num1,predict,275.0349712091174,0.0005251392122997,38921.51909999999,25439.03524959853,476124.7801575211
FRUtex_num1,predict,275.0349712091174,0.0005251386357191,38921.51909999999,25439.03524959853,476125.30292292585
TKT1,predict,274.6775120846456,0.000216051385856,73041.82930000033,13537.98300208672,1155775.1790321367
MANtex_reverse_num3,predict,273.165323564673,0.0006925497903254,41219.34330000004,23857.613588735214,358576.54684270435
GLCUR1Ptex_num4,predict,271.40044767013006,0.0002407347959259,40367.58979999997,24203.6152381946,1024894.1319478508
GLYCLTt2rpp_num1,predict,269.697309428781,0.0001132668073487,59167.439600000165,16409.53741631248,2164618.0195860947
