reaction,gene,name,our_name,GLC_BATCH_mu=0.6_H,kcat_vivo,kcat_vitro,kcat_vitro_log10,kcat_vivo_log10,kcat_Density,absolute_error,square_error,error
5DOAN,b0159,mtn,ECDH1ME8569_0153,4.935111524898892e-06,1.0124424548679036,13.79595169021816,1.1397516649133577,0.005370348189372941,0.15065682454538293,1.1343813167239847,1.2868209717324413,1.1343813167239847
A5PISO_num1,b3197,kdsD,ECDH1ME8569_3086,1.1636454974256668e-06,10.126061418845666,117.47556533238928,2.069947543672826,1.0054405572385432,0.04034190225059407,1.0645069864342827,1.133175124167398,1.0645069864342827
ACACT2r_num2,b3845,fadA,ECDH1ME8569_3722,6.849622687291783e-07,142.7938714432799,23.783564453983832,1.3762769430786752,2.1547095683961697,0.1694646862710301,0.7784326253174945,0.6059573521586867,-0.7784326253174945
ACACT3r_num1,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,453.6593527588854,24.60486796193632,1.391021038804917,2.6567298688332786,0.07548229020567086,1.2657088300283617,1.602018842411764,-1.2657088300283617
ACACT4r_num1,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,453.6593527588854,6.364607641269926,0.8037716358791342,2.6567298688332786,0.042889145074421646,1.8529582329541443,3.4334542130725447,-1.8529582329541443
ACACT5r_num1,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,453.6593527588854,27.84525040508453,1.4447511277405012,2.6567298688332786,0.07736417574999152,1.2119787410927774,1.4688924688608336,-1.2119787410927774
ACACT6r_num1,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,354.6715999514574,8.59712910873144,0.9343534488725581,2.549826414076195,0.06551469420990846,1.615472965203637,2.6097529013038314,-1.615472965203637
ACACT7r_num2,b3845,fadA,ECDH1ME8569_3722,6.849622687291783e-07,111.78632324950163,19.371037843107302,1.2871528895606177,2.0483886720601334,0.1869749570952663,0.7612357824995157,0.5794799165576501,-0.7612357824995157
ACGK,b3959,argB,ECDH1ME8569_3827,5.571251626104815e-06,15.48952596457694,23.31010849500569,1.3675442949136538,1.1900381269833102,0.2796457869830598,0.17750616793034357,0.03150843965331533,0.17750616793034357
ACGS,b2818,argA,ECDH1ME8569_2725,1.1443580394640656e-06,71.5415545727654,57.11195310619672,1.7567270123577314,1.8545583729815052,0.18259328624517637,0.09783136062377373,0.009570975121498865,-0.09783136062377373
ACOAD1f_reverse,b0221,fadE,ECDH1ME8569_0209,6.338197718011059e-07,154.23512486789386,22.84980162347734,1.358882433981225,2.1881832894034567,0.16111318331207236,0.8293008554222316,0.6877399088040451,-0.8293008554222316
ACOAD3f_reverse,b0221,fadE,ECDH1ME8569_0209,6.338197718011059e-07,154.23512486789386,16.184676510470155,1.2091040234097834,2.1881832894034567,0.13875129525225086,0.9790792659936733,0.9585962090987101,-0.9790792659936733
