reactions,data_type,kcat,MW,kcat_MW
PSSA161,ours,52.39253336357761,141708.5374000001,1330.9933442928846
NNDPR,ours,50.68916636670139,32761.66130000005,5569.955602957311
NNDMBRT,ours,50.68916636670139,36986.591600000014,4933.706811744311
NO3R2bpp,ours,50.68916636670139,23100.314100000003,2785.9741151371823
MPTG2_num1,ours,50.68916636670139,55266.79120000004,1225.5121947065354
RNTR3c2_num1,ours,50.68916636670139,80021.63100000033,1258.88325363586
RNDR4b_num1,ours,40.06616532590313,9684.737199999998,1139.2719900013217
MANGLYCptspp,ours,40.06616532590313,9119.2594,1013.2827425215631
ME1,ours,40.06616532590313,63196.58750000014,2282.3731609440297
RNDR4_num1,ours,40.06616532590313,43516.750900000094,1022.2591006470656
RNDR3b_num1,ours,39.90433439092296,36442.79270000005,1134.6703654176126
RNTR1c2_num1,ours,39.14438434467783,17445.723699999995,972.1645364791871
MDH2,ours,39.14438434467783,60228.898700000136,2339.7370146640233
LIPATPT,ours,36.2082380371544,37925.43480000006,3436.9983527191002
S4FE4SR,ours,33.5750931601135,27582.02920000002,935.8991060388743
EDTXS1,ours,29.743866033750905,35406.449200000025,3024.248975565253
GTHRDabc2pp,ours,29.53487938877255,62919.38320000014,830.8323430689998
5DOAN,ours,29.377234975646303,24353.6853,4342.589000783659
ASNTRS,ours,27.490379667771297,52569.79370000008,1882.5519340772403
CFAS180E,ours,27.26178762351937,43908.510600000045,2235.157469556019
G2PPpp,ours,26.24647503462257,26103.21480000001,3619.7575987706014
MOAT3C,ours,25.906015089758213,32919.69940000006,2833.004432693252
ALAALAabcpp_num1,ours,25.906015089758213,37344.54980000002,471.7914698212275
RFAMPtpp,ours,25.34836670911037,113046.0180000008,436.6596951050969
GLUDy,ours,25.34836670911037,48580.831000000064,1878.3976781458762
HYD3pp_num1,ours,25.184278905519395,66252.6147000002,673.9242936230117
THMabcpp,ours,24.97722191378416,59532.45990000008,745.006287573122
ACCOAC,ours,23.91283007782114,33321.56119999999,639.7134465160267
ACPPAT160,ours,23.91283007782114,38213.97900000004,1837.3521782462071
ACPPAT140,ours,23.91283007782114,8639.416499999992,1837.3521782462071
ACPPAT141,ours,23.91283007782114,38213.97900000004,1837.3521782462071
G1PPpp,ours,23.357643457649854,45682.38450000005,1840.698933908307
O16AP3pp,ours,22.869404490090783,44743.76280000008,1015.6927789628967
G3PIabcpp,ours,22.61139364362209,33263.45020000002,532.9587346131676
O16A4Lpp,ours,22.290496284805624,46877.0785,1711.8342096617698
HACD2_num1,ours,21.987455099184963,79592.95340000032,994.4955548924955
GSPMDA,ours,21.987455099184963,70531.09490000029,1122.268674111644
HISTRS,ours,21.987455099184963,47028.8824000001,1683.111192901018
HCYSMT2,ours,21.987455099184963,33422.42890000004,2368.3149598102896
HISabcpp,ours,21.98625938695349,24648.9665,728.4631190324295
PYDAMK,ours,21.94153179846883,30847.016200000027,2560.6857390144505
IG3PS,ours,21.94153179846883,21652.616999999987,1576.4252049545044
PE180abcpp,ours,21.56539620426343,64459.97920000018,1204.3973221658769
PAPA180,ours,21.56539620426343,29020.883700000028,2675.1572122301795
PEAMNOpp,ours,21.56539620426343,84377.62450000031,920.0949516580436
PAPSR_num1,ours,21.56539620426343,15554.60489999999,1783.4895079439848
PA141abcpp,ours,21.56539620426343,64459.97920000018,1204.3973221658769
PLIPA1G180pp,ours,21.55495283528523,33162.71369999999,2339.9119537984866
ACM6PH,ours,21.55495283528523,31219.584300000024,2485.5497581698028
XAND,ours,21.51123747377913,31556.43520000001,596.6232729891032
LPLIPAL1A140pp,ours,21.48553730602136,23621.8715,3274.420246578553
ACODA,ours,21.207667239012576,42346.84509999999,1802.911217592578
ACGAptspp_num1,ours,21.07698292571409,9119.2594,535.8285621306469
SBTptspp,ours,21.07698292571409,13303.888799999984,542.3826085626848
MSO3abcpp,ours,21.06215425919132,28925.081700000024,831.2172099567457
2AGPEAT161,ours,20.786758185009287,80699.04430000036,927.3013096393398
