reaction,gene,name,our_name,GLC_BATCH_mu=0.6_H,real_prot,pred_prot,kcat_Density,absolute_error,square_error,root_square_error,error
5DOAN,b0159,mtn,ECDH1ME8569_0153,4.935111524898892e-06,4.935111524898892,0.0021705015881479696,0.0019503873899740405,4.932941023310744,24.33390713946205,4.932941023310744,4.932941023310744
ACACT2r_num1,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,0.21456190241896195,4.55845532229941,0.003850432291794486,4.343893419880448,18.869410043280656,4.343893419880448,-4.343893419880448
ACACT3r_num1,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,0.21456190241896195,3.435666452390391,0.004017426306932741,3.221104549971429,10.375514521846641,3.221104549971429,-3.221104549971429
ACACT4r_num1,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,0.21456190241896195,2.827887879761648,0.004085515186244707,2.613325977342686,6.829472663854105,2.613325977342686,-2.613325977342686
ACACT5r_num2,b3845,fadA,ECDH1ME8569_3722,6.849622687291783e-07,0.6849622687291783,2.5284641609702834,0.004363463222421378,1.843501892241105,3.398499226696535,1.843501892241105,-1.843501892241105
ACACT6r_num1,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,0.21456190241896195,2.901138466472739,0.004078192389246789,2.686576564053777,7.217693634522998,2.686576564053777,-2.686576564053777
ACACT7r_num1,b2342,fadI,ECDH1ME8569_2280,2.1456190241896195e-07,0.21456190241896195,3.294295366490336,0.004034732362812872,3.079733464071374,9.484758209721065,3.079733464071374,-3.079733464071374
ACGK,b3959,argB,ECDH1ME8569_3827,5.571251626104815e-06,5.571251626104815,3.3056015433326005,0.0018932026317349882,2.265650082772215,5.133170297565743,2.265650082772215,2.265650082772215
ACGS,b2818,argA,ECDH1ME8569_2725,1.1443580394640656e-06,1.1443580394640656,9.281565624542194,0.003350592091467469,8.137207585078128,66.21414728265303,8.137207585078128,-8.137207585078128
ACOAD1f_reverse,b0221,fadE,ECDH1ME8569_0209,6.338197718011059e-07,0.6338197718011058,15.575928754508961,0.0014204850696473291,14.942108982707856,223.2666208511188,14.942108982707856,-14.942108982707856
ACOAD3f_reverse,b0221,fadE,ECDH1ME8569_0209,6.338197718011059e-07,0.6338197718011058,14.486122203128723,0.0016669865251299333,13.852302431327617,191.88628264896502,13.852302431327617,-13.852302431327617
ACOAD5f_reverse,b0221,fadE,ECDH1ME8569_0209,6.338197718011059e-07,0.6338197718011058,15.05809494412097,0.0015347767965463773,14.424275172319865,208.05971424680325,14.424275172319865,-14.424275172319865
ACOAD6f_reverse,b0221,fadE,ECDH1ME8569_0209,6.338197718011059e-07,0.6338197718011058,12.58317968114695,0.002146340852773812,11.949359909345844,142.78720224308174,11.949359909345844,-11.949359909345844
ACOAD7f_reverse,b0221,fadE,ECDH1ME8569_0209,6.338197718011059e-07,0.6338197718011058,6.169294857776018,0.003831189900440094,5.5354750859749124,30.641484427448965,5.5354750859749124,-5.5354750859749124
