reactions,data_type,kcat,MW,kcat_MW
TKT1_reverse,ours,2038.9918233096985,73041.82930000033,100495.43712502395
TKT2_reverse,ours,1813.378861138439,73041.82930000033,89375.69010334673
PPNDH,ours,1793.3211048878882,43110.836000000025,149752.5118185227
PHYTSpp,ours,1644.6151662085076,47056.27350000005,125819.87815823582
TKT2,ours,567.179556686358,73041.82930000033,27954.480653606515
ACKr_reverse_num2,ours,525.973908873127,43289.950100000045,43740.08442073153
PUNP6_num1,ours,404.772707393805,29834.296999999995,48842.50319750112
ACKr_num2,ours,404.6444093359246,43289.950100000045,33650.30151904304
PUNP6_num2,ours,395.91869462299707,25949.64089999999,54925.896899127794
TKT1,ours,326.7025713279955,73041.82930000033,16102.133093492748
GLCDpp_num1,ours,278.7754815422398,86746.30460000041,11569.273621277216
PUNP4_num1,ours,184.82029832188064,29834.296999999995,22301.617294980017
ACKr_num1,ours,179.2635908977117,43383.618700000006,14875.40566162504
CSND,ours,175.11844503545933,47590.40320000001,13246.922903306133
ALLTN,ours,161.40273789871702,49601.06460000006,11714.463411645815
TREHpp,ours,161.3930928340474,63635.9564000002,9130.296251861924
HCO3E_reverse_num1,ours,125.00068856768064,25096.479300000028,17930.900723738163
FORt2pp_num1,ours,123.37469660269284,30990.39579999998,14331.82430569972
GLCabcpp,ours,109.98659691044098,35549.717199999955,3101.2116534128554
RIBabcpp_num2,ours,107.63318216349025,15292.332499999997,2875.8670841878516
LACZpp,ours,104.91623970832076,83459.06190000044,4525.553658900553
XYLK_num2,ours,103.09781362027108,52617.64420000009,7053.758006006951
XYLabcpp,ours,102.96733267361388,56469.7561,2782.1964338578227
GALabcpp_num1,ours,101.8000298925887,35549.717199999955,2870.381009040052
AMPTASECG_num3,ours,95.34895518618454,54879.20500000006,6254.759679376988
DXYLK,ours,85.43852552725728,52617.64420000009,5845.542813148705
PUNP4_num2,ours,83.20515233775,25949.64089999999,11543.071041722975
CYANSTpp,ours,83.13380791089602,11475.176599999995,26080.79325587249
NI2abcpp,ours,81.90704572809832,76838.95830000046,3837.4461489953874
FORt2pp_num2,ours,78.8342098959657,30564.30340000001,9285.44491629004
RIBabcpp_num1,ours,78.64715599210754,34977.23380000001,1766.9174517375297
CYSS_num2,ours,76.5214830967544,32663.80280000002,8433.719148840675
FHL_num2,ours,74.15250831658206,79372.9541000005,856.5969728730219
HEX1,ours,71.98424268659913,34722.67050000003,7463.2299284629225
SUCOAS,ours,71.85352173925546,41392.1542,3634.6109560599593
MANptspp,ours,70.85610158493523,35047.13200000002,1533.6995575331705
AMPTASECG_num1,ours,69.97523863631947,52914.774700000016,4760.6903840932355
GLCDpp_num2,ours,68.8519010625888,41053.96440000001,6037.58607598246
GALabcpp_num2,ours,68.52173547873714,35658.54090000001,1539.4358348173864
ASR,ours,67.67216905024813,24349.92030000001,6063.209604135872
TREH,ours,67.42918661454678,63695.9330000002,3810.9979770979667
GAPD,ours,67.19702063166841,35532.06830000002,6808.1956904829585
SELR,ours,66.66394419615264,22751.54820000001,1029.8246091116655
ACKr_reverse_num1,ours,62.88102881479504,43383.618700000006,5217.907369568093
SELtpp,ours,60.76824705412262,37614.08540000001,1546.0348410402278
PDH,ours,60.360950584059886,99667.2782000006,1003.9223637625068
SLNTtpp,ours,59.9170966081342,30291.46790000002,1524.3803042013913
OCBT_num2,ours,58.74371574977875,36826.74470000008,5742.494440438637
ACODA,ours,58.21224202450195,42346.84509999999,4948.752871514555
ASAD,ours,56.7933678841989,40017.42440000003,5109.177500766788
AMPTASEPG_num1,ours,56.23543287462231,54879.20500000006,3688.9666741462474
FRUpts2pp,ours,55.57679050403881,30955.114399999984,1202.974720574813
ACGAptspp_num2,ours,55.28351913648224,63561.09830000026,1411.2296371748125
RBK,ours,54.99429843575295,32290.10860000006,6131.273103513509
GLYK,ours,54.23250960196047,56230.10950000007,3472.1083829128493
ADD,ours,54.04924237393295,63738.62760000025,3052.737090093196
LCTSt3ipp_num3,ours,53.90773639762802,42537.696100000045,4562.255806596462
TSULabcpp_num1,ours,53.905664616877445,32537.19020000001,1371.4405082788712
MLTG1,ours,53.49287591140615,69040.17260000018,2789.308688389079
CMtpp,ours,52.84902910597696,113046.0180000008,910.3955769947991
GLCptspp_num1,ours,52.537076850944096,63561.09830000026,1281.7609980153936
GLCt2pp,ours,51.94872877761535,50981.91700000004,3668.269743552701
G3PCabcpp,ours,51.50631146953479,39523.22110000002,1214.0224091467212
TALA_num1,ours,51.4131450568896,35658.36250000007,5190.572679965386
OCBT_num1,ours,51.23247189048253,36906.69700000006,4997.382962927753
FRUptspp,ours,49.86854617171967,57518.474200000026,1056.996201291
GLCptspp_num3,ours,49.86854617171967,35047.13200000002,1079.4182221090489
XAND,ours,49.192409529785806,16921.571799999998,1364.372292187104
ALLTAMH,ours,48.7564421598125,45693.48650000005,3841.31755354945
PPTHpp,ours,48.66662330958966,49437.99920000007,3543.82957946491
GALTptspp,ours,48.65651105903274,63561.09830000026,1269.7415356414726
CYNTAH,ours,48.47807799835427,17048.62789999999,10236.66431209256
MDH_reverse,ours,48.39706837742206,32336.896699999983,5387.945781411966
PPAKr,ours,48.32688044789314,43383.618700000006,4010.1949727954634
FDH5pp_num2,ours,48.2739378603462,33100.047800000044,1018.2696100767494
ACCOAC,ours,48.10488004448119,49320.18909999997,1286.89655332921
FORCT_reverse,ours,48.005961529960814,45827.64540000004,3771.1180663857276
L_LACD3_num2,ours,47.85775805637272,26004.038100000016,1652.3602429292578
MDH,ours,47.82421024276848,32336.896699999983,5324.170667062391
ACt4pp,ours,47.76809043435252,59196.403900000085,2904.9927737868693
G1PPpp,ours,47.71325515075869,45682.38450000005,3760.0427478283473
MELIBt2pp,ours,47.68956158785825,52635.77030000003,3261.7062643479467
ACHBS_num1,ours,47.598026334162086,60439.91000000009,2395.0182260111806
GLCptspp_num2,ours,47.52915217998978,50675.92520000003,1208.3075344157583
SBTptspp,ours,47.17929833235822,20580.0914,1214.08414998726
MALTATr,ours,47.06286392627976,20095.759199999982,8430.948462728758
PUNP7_reverse,ours,46.78643482639959,29834.296999999995,5645.555025983637
GALt2pp,ours,46.769655954887405,50981.91700000004,3302.5584627897483
ACLS_num1,ours,46.25044729363509,60439.91000000009,2327.2112892194255
TUNGSabcpp,ours,46.08604702791276,27363.8671,1815.1196217623492
LDH_D_reverse_num2,ours,46.05542479946776,36534.37890000004,4538.178402646494
GUAD,ours,45.94954858341331,50243.629500000025,3292.325346445918
GLYCK,ours,45.86071536740845,38734.06629999998,4262.361045286653
