metname,inchikey
doxrbcn,AOJJSUZBOXZQNB-TZSSRYMLSA-O
flxso,NA
no3,NHNBFGGVMKEFGY-UHFFFAOYSA-N
tartr__D,FEWJPZIEWOKRBE-LWMBPPNESA-L
hisp,CWNDERHTHMWBSI-YFKPBYRVSA-M
trnalys,NA
cddec5eACP,NA
2dhphaccoa,NA
gam6p,XHMJOUIAFHJHBW-IVMDWMLBSA-M
dad_5,XGYIMTFOTBMPFP-KQYNXXCUSA-N
pgp141,NA
feroxBfe,NA
3hphaccoa,WOPRCGRQVLJGCX-CECATXLMSA-J
acgal6p,BRGMHAYQAZFZDJ-KEWYIRBNSA-L
2ohph,YGTMSXVYLRCOLD-MGDAWYEDSA-N
dann,KCEGBPIYGIWCDH-UHFFFAOYSA-O
opmeACP,NA
lac__D,JVTAAEKCZFNVCJ-UWTATZPHSA-M
23dappa,PECYZEOJVXMISF-REOHCLBHSA-N
2hdec9eg3p,NA
butso3,NA
3hdecACP,NA
b2coa,KFWWCMJSYSSPSK-PAXLJYGASA-J
2ombzl,CZFRMASEEPTBAQ-MYCGWMCTSA-N
ncam,DFPAKSUCGFBDDF-UHFFFAOYSA-N
k,NPYPAHLBTDXSSS-UHFFFAOYSA-N
mpt,HPEUEJRPDGMIMY-IFQPEPLCSA-K
dtbt,AUTOLBMXDDTRRT-UHFFFAOYSA-M
aacald,LYIIBVSRGJSHAV-UHFFFAOYSA-O
xu5p__L,FNZLKVNUWIIPSJ-WHFBIAKZSA-L
1agpe161,NA
cdpdhdec9eg,LBKBJHVQQNUXGQ-BQUKFSKHSA-L
pant__R,OTOIIPJYVQJATP-BYPYZUCNSA-M
man6pglyc,BOLXAGHGKNGVBE-MTXRGOKVSA-K
2dhguln,NA
ocdcap,NA
2aobut,SAUCHDKDCUROAO-VKHMYHEASA-N
urea,XSQUKJJJFZCRTK-UHFFFAOYSA-N
3ocddec5eACP,NA
athr__L,AYFVYJQAPQTCCC-HRFVKAFMSA-N
gln__L,ZDXPYRJPNDTMRX-VKHMYHEASA-N
cysi__L,LEVWYRKDKASIDU-IMJSIDKUSA-N
glyb,KWIUHFFTVRNATP-UHFFFAOYSA-N
stcoa,SIARJEKBADXQJG-LFZQUHGESA-J
2odec11eg3p,NA
cbasp,HLKXYZVTANABHZ-REOHCLBHSA-L
