reactions,metabolites,metabolitestotal,gpr,genes
12PPDRtex_num1,12ppd__R_e,12ppd__R,ECDH1ME8569_0229,ECDH1ME8569_0229
12PPDStex_num1,12ppd__S_e,12ppd__S,ECDH1ME8569_0229,ECDH1ME8569_0229
14GLUCANabcpp,14glucan_p,14glucan,ECDH1ME8569_3890 and ECDH1ME8569_3889 and ECDH1ME8569_3888 and ECDH1ME8569_3891,ECDH1ME8569_3888
14GLUCANabcpp,14glucan_p,14glucan,ECDH1ME8569_3890 and ECDH1ME8569_3889 and ECDH1ME8569_3888 and ECDH1ME8569_3891,ECDH1ME8569_3890
14GLUCANabcpp,14glucan_p,14glucan,ECDH1ME8569_3890 and ECDH1ME8569_3889 and ECDH1ME8569_3888 and ECDH1ME8569_3891,ECDH1ME8569_3889
14GLUCANabcpp,14glucan_p,14glucan,ECDH1ME8569_3890 and ECDH1ME8569_3889 and ECDH1ME8569_3888 and ECDH1ME8569_3891,ECDH1ME8569_3891
14GLUCANtexi,14glucan_e,14glucan,ECDH1ME8569_3892,ECDH1ME8569_3892
23CAMPtex_num1,23camp_e,23camp,ECDH1ME8569_0229,ECDH1ME8569_0229
23CCMPtex_num1,23ccmp_e,23ccmp,ECDH1ME8569_0229,ECDH1ME8569_0229
23CGMPtex_num1,23cgmp_e,23cgmp,ECDH1ME8569_0229,ECDH1ME8569_0229
23CUMPtex_num1,23cump_e,23cump,ECDH1ME8569_0229,ECDH1ME8569_0229
23DAPPAtex_num1,23dappa_e,23dappa,ECDH1ME8569_0229,ECDH1ME8569_0229
23PDE2pp,23cump_p,23cump,ECDH1ME8569_o0082,ECDH1ME8569_o0082
23PDE4pp,23ccmp_p,23ccmp,ECDH1ME8569_o0082,ECDH1ME8569_o0082
23PDE7pp,23camp_p,23camp,ECDH1ME8569_o0082,ECDH1ME8569_o0082
23PDE9pp,23cgmp_p,23cgmp,ECDH1ME8569_o0082,ECDH1ME8569_o0082
26DAHtex_num1,26dap__M_e,26dap__M,ECDH1ME8569_0229,ECDH1ME8569_0229
2AGPA120tipp,2ddecg3p_p,2ddecg3p,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPA140tipp,2tdecg3p_p,2tdecg3p,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPA141tipp,2tdec7eg3p_p,2tdec7eg3p,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPA160tipp,2hdecg3p_p,2hdecg3p,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPA161tipp,2hdec9eg3p_p,2hdec9eg3p,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPA180tipp,2odecg3p_p,2odecg3p,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPA181tipp,2odec11eg3p_p,2odec11eg3p,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPE120tipp,2agpe120_p,2agpe120,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPE140tipp,2agpe140_p,2agpe140,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPE141tipp,2agpe141_p,2agpe141,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPE160tipp,2agpe160_p,2agpe160,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPE161tipp,2agpe161_p,2agpe161,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPE180tipp,2agpe180_p,2agpe180,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPE181tipp,2agpe181_p,2agpe181,ECDH1ME8569_2742,ECDH1ME8569_2742
2AGPEAT120,2agpe120_c,2agpe120,ECDH1ME8569_2743,ECDH1ME8569_2743
2AGPEAT120,ddca_c,ddca,ECDH1ME8569_2743,ECDH1ME8569_2743
