reac,reaction,ec_number
EX_ala_B,ala_B_e --> ,NA
EX_ala__D,ala__D_e --> ,NA
EX_ala__L,ala__L_e --> ,NA
EX_akg,akg_e --> ,NA
EX_all__D,all__D_e --> ,NA
EX_alaala,alaala_e --> ,NA
EX_agm,agm_e --> ,NA
EX_anhgm,anhgm_e --> ,NA
EX_alltn,alltn_e --> ,NA
EX_amp,amp_e --> ,NA
DM_4crsol,4crsol_c --> ,NA
EX_arbt,arbt_e --> ,NA
EX_adocbl,adocbl_e --> ,NA
EX_ag,ag_e --> ,NA
EX_arab__L,arab__L_e --> ,NA
EX_arbtn,arbtn_e --> ,NA
EX_arbtn_fe3,arbtn_fe3_e --> ,NA
DM_5drib,5drib_c --> ,NA
EX_arg__L,arg__L_e --> ,NA
DM_aacald,aacald_c --> ,NA
EX_ascb__L,ascb__L_e --> ,NA
EX_asn__L,asn__L_e --> ,NA
DM_amob,amob_c --> ,NA
EX_aso3,aso3_e --> ,NA
EX_asp__L,asp__L_e --> ,NA
DM_mththf,mththf_c --> ,NA
EX_btn,btn_e --> ,NA
EX_but,but_e --> ,NA
EX_butso3,butso3_e --> ,NA
EX_g1p,g1p_e --> ,NA
DM_oxam,oxam_c --> ,NA
EX_g3pc,g3pc_e --> ,NA
EX_g3pe,g3pe_e --> ,NA
EX,ca2_e --> ,NA
EX,cbi_e --> ,NA
EX,cbl1_e --> ,NA
EX,cd2_e --> ,NA
EX,cgly_e --> ,NA
EX,chol_e --> ,NA
EX,chtbs_e --> ,NA
EX_g3pg,g3pg_e --> ,NA
EX_g3pi,g3pi_e --> ,NA
EX_g3ps,g3ps_e --> ,NA
EX_g6p,g6p_e --> ,NA
EX_gal,gal_e --> ,NA
EX_gal_bD,gal_bD_e --> ,NA
EX_gal1p,gal1p_e --> ,NA
EX_galct__D,galct__D_e --> ,NA
EX_galctn__D,galctn__D_e --> ,NA
EX_galctn__L,galctn__L_e --> ,NA
EX,cit_e --> ,NA
EX,cl_e --> ,NA
EX,cm_e --> ,NA
EX,cmp_e --> ,NA
EX,co2_e --> ,NA
EX_galt,galt_e --> ,NA
EX,cobalt2_e --> ,NA
EX_galur,galur_e --> ,NA
EX,colipa_e --> ,NA
