Strain,Status,Failure_Reason,Num_Conflicting_Constraints,Conflicting_Pathways
WILD TYPE,success,,0,
AlsR,success,,0,
AppY,success,,0,
ArcA,success,,0,
ArcB,success,,0,
ArgR,failed,gene_not_found,0,
AscG,success,,0,
BasR,success,,0,
BolA,success,,0,
ChpB,success,,0,
CpxR,success,,0,
Cra,success,,0,
CreB,success,,0,
Crl,success,,0,
Crp,failed,knockout_infeasible,0,
CsgD,failed,knockout_infeasible,0,
CspA,failed,gene_not_found,0,
CysB,failed,knockout_infeasible,0,
CytR,success,,0,
DcuR,failed,constraint_conflict,1,Glycolysis(Serine through glycolysis)
EvgA,failed,gene_not_found,0,
FadR,success,,0,
FhlA,failed,gene_not_found,0,
Fis,success,,0,
FlhD,success,,0,
FliZ,failed,gene_not_found,0,
Fnr,success,,0,
FrvR,success,,0,
Fur,success,,0,
GadE,success,,0,
GadW,success,,0,
GadX,failed,knockout_infeasible,0,
GcvA,success,,0,
GlcC,success,,0,
GlpR,failed,gene_not_found,0,
HdfR,success,,0,
Hns,failed,knockout_infeasible,0,
IclR,success,,0,
IdnR,failed,constraint_conflict,1,Glycolysis(Serine through glycolysis)
IHFA,success,,0,
IHFB,success,,0,
KdgR,failed,knockout_infeasible,0,
LldR,success,,0,
LrhA,failed,gene_not_found,0,
Lrp,failed,knockout_infeasible,0,
MarA,failed,gene_not_found,0,
MarR,success,,0,
Mlc,failed,constraint_conflict,1,Glycolysis(Serine through glycolysis)
ModE,failed,gene_not_found,0,
NagC,success,,0,
NarL,failed,knockout_infeasible,0,
NarP,success,,0,
NsrR,failed,gene_not_found,0,
NtrC,failed,gene_not_found,0,
OgrK,success,,0,
OmpR,failed,knockout_infeasible,0,
OxyR,success,,0,
PdhR,failed,knockout_infeasible,0,
PerR,failed,gene_not_found,0,
PhoB,failed,constraint_conflict,1,Glycolysis(Serine through glycolysis)
PrpR,success,,0,
PspC,failed,knockout_infeasible,0,
PurR,success,,0,
QseB,success,,0,
RcsA,success,,0,
RcsB,success,,0,
Rob,failed,gene_not_found,0,
RutR,success,,0,
SdiA,failed,gene_not_found,0,
SoxR,success,,0,
SoxS,success,,0,
SspA,success,,0,
TdcA,failed,knockout_infeasible,0,
TdcR,success,,0,
TorR,success,,0,
UspA,failed,constraint_conflict,1,Glycolysis(Serine through glycolysis)
UvrY,success,,0,
UxuR,failed,knockout_infeasible,0,
YbhD,failed,constraint_conflict,1,Glycolysis(Serine through glycolysis)
YdeO,success,,0,
YdjF,success,,0,
YfhA,failed,gene_not_found,0,
ElbB,failed,gene_not_found,0,
FecI,failed,gene_not_found,0,
FlgM,failed,gene_not_found,0,
FliA,failed,gene_not_found,0,
RpoD,failed,gene_not_found,0,
RpoN,failed,gene_not_found,0,
RpoS,failed,gene_not_found,0,
Rsd,failed,gene_not_found,0,
RseA,failed,gene_not_found,0,
RseB,failed,gene_not_found,0,
Pgi,success,,0,
Zwf,success,,0,
SdhC,success,,0,
