Id	Glycolysis(Serine through glycolysis)	ED pathway(PYR through ED) 	"PP pathway(PEP through PP pathway, upper bound)  "	Gluco-neogenesis(PEP from oxaloacetate)	"Gluco-neogenesis(PYR from MAL, upper bound)"	"Gluco-neogenesis(PYR from MAL, lower bound)"	TCA cycle(Oxaloacetate through TCA cycle)
WILD TYPE	0.77	0.07	0.2	0.02	0.04	0.02	0.32
AlsR	0.78	0.06	0.2	0.03	0.06	0.02	0.33
AppY	0.75	0.1	0.16	0.01	0.04	0.01	0.3
ArcA	0.82	0.04	0.16	0.01	0.04	0.01	0.44
ArcB	0.78	0.03	0.18	0.05	0.02	0.01	0.37
ArgR	0.74	0.11	0.21	0.02	0.03	0.01	0.32
AscG	0.72	0.11	0.22	0.04	0	0	0.28
BasR	0.76	0.1	0.22	0.02	0.05	0.02	0.34
BolA	0.79	0.07	0.2	0	0.07	0.02	0.26
ChpB	0.77	0.06	0.2	0.02	0.04	0.01	0.32
CpxR	0.77	0.07	0.23	0.02	0.04	0.01	0.35
Cra	0.78	0.07	0.2	0.02	0.06	0.02	0.24
CreB	0.78	0.06	0.19	0.02	0.06	0.02	0.32
Crl	0.74	0.1	0.23	0.01	0.07	0.02	0.36
Crp	0.74	0.07	0.27	0.03	0.05	0.01	0.27
CsgD	0.8	0.04	0.25	0.02	0.08	0.02	0.29
CspA	0.75	0.08	0.2	0.03	0.04	0.01	0.34
CysB	0.79	0.08	0.21	0.02	0.03	0.01	0.3
CytR	0.76	0.09	0.19	0.02	0.01	0	0.35
DcuR	0.76	0.07	0.2	0.04	0.02	0.01	0.28
EvgA	0.8	0.05	0.22	0.03	0.05	0.01	0.26
FadR	0.76	0.05	0.2	0.03	0.03	0.01	0.31
FhlA	0.8	0.06	0.18	0.02	0.04	0.01	0.28
Fis	0.79	0.04	0.2	0.01	0.09	0.03	0.25
FlhD	0.74	0.07	0.23	0.03	0.04	0.01	0.28
FliZ	0.77	0.07	0.2	0.02	0.05	0.02	0.29
Fnr	0.75	0.07	0.21	0.03	0.01	0.01	0.33
FrvR	0.74	0.1	0.2	0.02	0.05	0.03	0.32
Fur	0.81	0.04	0.17	0.01	0.04	0.01	0.25
GadE	0.76	0.06	0.2	0.02	0.05	0.01	0.31
GadW	0.79	0.05	0.22	0.02	0.06	0.01	0.29
GadX	0.79	0.04	0.24	0.03	0.04	0.02	0.3
GcvA	0.78	0.08	0.23	0.02	0.04	0.01	0.29
GlcC	0.77	0.06	0.19	0.01	0.05	0.02	0.27
GlpR	0.69	0.06	0.26	0.02	0.07	0.02	0.3
HdfR	0.77	0.05	0.19	0.03	0	0	0.3
Hns	0.81	0.05	0.18	0.02	0.05	0.02	0.31
IclR	0.79	0.05	0.2	0.03	0.03	0.01	0.38
IdnR	0.8	0.04	0.2	0.03	0.02	0.01	0.28
IHFA	0.83	0.07	0.16	0.02	0.03	0.01	0.45
IHFB	0.81	0.03	0.15	0.02	0.03	0.01	0.51
KdgR	0.75	0.07	0.21	0.02	0.01	0.01	0.31
LldR	0.75	0.11	0.19	0.04	0.02	0.01	0.33
LrhA	0.77	0.06	0.22	0.03	0.04	0.01	0.26
Lrp	0.76	0.01	0.34	0.05	0.05	0.01	0.29
MarA	0.79	0.05	0.19	0.03	0.06	0.02	0.28
MarR	0.83	0.04	0.2	0.03	0.05	0.01	0.29
Mlc	0.78	0.05	0.19	0.03	0.04	0.01	0.31
