Gene,MSE,Status
AlsR,11.12792021893183,Success
AppY,11.284983492273996,Success
ArcA,10.850973255442925,Success
ArcB,11.710187945476836,Success
AscG,10.635522722318248,Success
BasR,11.096637854889549,Success
BolA,10.72140568655931,Success
ChpB,11.303334568590417,Success
CpxR,13.660642982871606,Success
Cra,12.453883933827607,Success
CreB,11.58248655457282,Success
Crl,9.974044489274657,Success
Crp,11.964493659272676,Success
CsgD,28.80541436849253,Success
CysB,21.800733091896785,Success
CytR,9.998688780537593,Success
DcuR,11.972986684308795,Success
FadR,11.708253544605467,Success
Fis,12.5496308726909,Success
FlhD,10.57360423421239,Success
Fnr,10.74512436408766,Success
FrvR,10.248593806298517,Success
Fur,12.18930545075837,Success
GadE,15.40784950338502,Success
GadW,11.891584936891132,Success
GadX,31.51682493586842,Success
GcvA,11.36623508477077,Success
GlcC,14.611569021019912,Success
HdfR,15.264145705753805,Success
Hns,10.793335595768834,Success
IclR,11.930859263148848,Success
IdnR,11.834712163216958,Success
IHFA,10.19486408056664,Success
IHFB,11.359892304596903,Success
KdgR,10.127858575803547,Success
LldR,12.027392809316321,Success
Lrp,10.610172872997367,Success
MarR,12.75415215515787,Success
Mlc,10.863439380678447,Success
NagC,12.330790475586417,Success
NarL,12.71548477777184,Success
NarP,11.69835148431328,Success
OgrK,10.487081842611463,Success
OmpR,26.231495645088277,Success
OxyR,11.734280912511544,Success
PdhR,30.93878046778331,Success
PhoB,10.455483140640304,Success
PrpR,12.417534911543502,Success
PspC,22.969922950052812,Success
PurR,11.615996700797494,Success
QseB,13.37439229818406,Success
RcsA,13.44898374556453,Success
RcsB,10.505279952612941,Success
RutR,14.76357072448811,Success
SoxR,11.012326841423269,Success
SoxS,10.889203992393494,Success
SspA,12.273034867545638,Success
TdcA,26.53767720537196,Success
TdcR,11.958156673500545,Success
TorR,11.424742093256686,Success
UspA,10.714905805225943,Success
UvrY,10.837267012610283,Success
UxuR,23.212829545797494,Success
YbhD,11.5152959013307,Success
YdeO,18.984486087045436,Success
YdjF,11.379472365421146,Success
