,STARVED@8H_mu=-0.005_H,PERSIST@8H_mu=0.02_H,FUM_BATCH_mu=0.55_H,GLC_BATCH_mu=0.6_H,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.22_P,GLC+AA_CHEM_mu=0.22_replicate1_P,GLC+AA_CHEM_mu=0.22_replicate2_P,GLC+AA_CHEM_mu=0.25_P,GLC_CHEM_mu=0.26_P,GLC_CHEM_mu=0.31_P,GLC+AA_CHEM_mu=0.35_P,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.41_P,GLC+AA_CHEM_mu=0.42_P,GLC+AA_CHEM_mu=0.45_P,GLC_CHEM_mu=0.46_P,GLC_CHEM_mu=0.51_replicate1_P,GLC_CHEM_mu=0.51_replicate2_P,GLC+AA_CHEM_mu=0.53_P,GLC+AA_CHEM_mu=0.55_P,GLC+AA_CHEM_mu=0.63_P,GLC+AA_CHEM_mu=0.65_P,GLC+AA_CHEM_mu=0.73_P,GLC+AA_CHEM_mu=0.74_P,GLC+AA_CHEM_mu=0.78_P,GLC+AA_CHEM_mu=0.82_P,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.35_S,PYR_BATCH_mu=0.40_S,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.50_S,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S,GLC_BATCH_mu=0.67_S,GLC_BATCH_mu=1.03_S,GLYC+AA_BATCH_mu=1.27_S,LB_BATCH_mu=1.78_S,LB_BATCH_mu=1.9_S,LB_BATCH_mu=2.3_S,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.49_V
b0002,3863.272561,5415.352072,3032.337886,2319.704874,2678.864971,2699.98603,1472.647817,1655.330853,1736.186872,3132.110572,3488.881075,2379.878123,4021.705747,4547.327733,2772.452201,2861.061465,5126.894979,5470.072368,5651.213885,3246.680852,3178.695124,3393.667253,3412.558626,3448.297249,3387.929707,3628.832143,3476.808778,1606.65,1748.6625,770.7578947,983.0673077,938.1764706,916.7347826,1364.591667,4072.576,1347.566929,1478.868217,1990.316794,1772.511364,1662.234848,2951.01487,2300.096774,3334.523297,2008.190141,1802.924915,3257.168919,1514.11745,1458.426667,2132.310734,461.8328982,321.6312057,503.4755245,289.0366972,1283.92,1682.15,2003.18,3023.58,3016.75
b0003,763.5999702,878.2044631,596.6025014,425.2064648,483.0550422,516.458367,295.9107401,452.1838632,378.771589,554.7553147,605.6666574,417.3750422,776.6009197,808.6377696,553.2666581,531.8596291,847.8168275,1003.86628,890.6624106,657.6211874,593.6190889,703.7071009,644.4516813,705.632021,670.8395437,758.5278279,652.0182838,315.3125,199.90625,79.69473684,84.63461538,137.9728507,165.3695652,86.85,336.532,178.5866142,155.2286822,263.1908397,167.5,87.61363636,121.3791822,545.311828,420.09319,209.1866197,284.8293515,240.6148649,195.5671141,281.2766667,234.6694915,77.83550914,58.13711584,102.9277389,45.2706422,153.6,200.23,239.37,380.01,389.07
b0004,3888.661925,5887.486998,2971.677895,2156.207863,4480.056558,4463.802554,3198.951359,3763.230591,3487.484017,4856.254715,5271.373313,4028.305327,5820.563892,6219.871408,4814.709895,4556.35157,6908.68642,7689.878191,7523.288885,5182.449224,4974.289816,5380.08498,5238.685766,5407.442319,5176.734418,5723.264868,4681.254964,3114.8125,3345,1574.473684,1645.759615,2115.683258,2435.252174,2122.345833,7854.524,3491.15748,3921.317829,3440.064885,4208.011364,3462.867424,3259.873606,6280.37276,6084.103943,5143.855634,3257.139932,4900.864865,2501.822148,4558.78,4035.584746,902.7493473,888.6595745,816.1911422,324.3394495,3232.54,4049.7,3877.28,4934.6,5554.55
b0006,240.1919162,257.2848244,339.8866636,219.270989,177.4009533,,162.1210053,,240.8796205,219.4827637,,200.4654694,,,180.9051926,,,,208.561394,160.2582051,,169.9180226,,,,183.9141001,,66.90625,55.6625,96.22631579,139.4903846,175.040724,187.6130435,152.3125,227.956,204.3070866,208.4224806,284.980916,226.9507576,246.5265152,171.5650558,191.8207885,264.3799283,282.8943662,184.5085324,282.2331081,226.0067114,204.29,186.1525424,236.7467363,182.5390071,257.5477855,175.9793578,58.55,72.61,84.15,86.51,98.74
b0008,7435.105989,7908.56127,5138.076586,2542.354856,15678.37039,15145.26882,13765.04187,14517.37462,14355.93097,16126.04312,15830.90449,15864.4204,16072.65036,16228.38362,16534.85218,16399.36022,16283.68742,16650.60913,16855.6946,17354.62873,17757.44372,17387.67895,17533.80022,17311.73203,17027.33847,17102.46439,15791.27551,4109.1375,4764.7625,1986.484211,2345.653846,3494.027149,2922.63913,2896.629167,4488.616,3814.188976,3726.310078,3751.435115,4279.015152,3454.253788,3706.040892,4866.387097,4789.362007,3742.619718,4507.648464,4226.878378,6519.295302,3082.483333,2120.966102,4804.067885,3020.054374,3685.517483,2422.190367,6274.28,7069.1,7157.77,7460.43,7615.78
b0009,138.2568917,121.9609939,126.4061027,25.85126859,,95.5617442,111.6164646,,,90.27632224,,,,,,,,,72.72894276,58.28685556,94.73901759,,,,,,,7.13125,3.20625,10.76842105,11.78365385,6.040723982,20.93478261,11.225,19.372,26.78346457,6.965116279,24.35496183,16.52272727,8.571969697,12.55390335,3.64516129,2.598566308,16.61619718,4.385665529,6.307432432,4.399328859,51.57666667,54.66101695,34.04177546,91.30969267,42.24009324,91.13073394,193.55,170.53,166.25,129.76,120.33
b0014,9041.891132,16332.10822,6675.274977,3194.040716,12514.46507,12638.80346,13364.911,13294.36737,13680.89801,12273.76548,11915.58008,14443.10465,11865.93018,11611.96149,13895.77914,14996.41636,12156.97413,11793.08332,12189.80345,15492.50557,14995.06245,14920.95596,14657.28391,14611.99088,14624.77413,13881.13382,13603.26074,21294.78125,21072.5875,5055.768421,5048.326923,4991.099548,6162.752174,5526.479167,5295.48,6633.275591,7622.562016,6655.866412,6704.246212,6854.844697,5759.174721,7423.060932,6615.358423,6551.161972,11650.71331,6331.209459,15095.60067,6044.233333,6560.322034,10079.80679,10150.29551,13932.47786,8187.738532,8084.44,7122.46,6975.59,6736.46,6760.19
b0015,914.415041,1287.931821,557.1948318,283.661034,528.8076183,543.5836409,548.5066259,581.1460256,519.9524851,560.5939962,537.2478579,567.4688929,557.5725665,514.7709024,558.3225394,560.7961789,567.9097446,526.8876715,557.8499453,621.9054654,609.7361262,572.0634181,591.8593001,549.9281248,558.9365208,531.6721368,500.4076808,406.8375,296.8875,192.7473684,216.7451923,192.5339367,214.8565217,242.3625,235.588,297.8149606,231.620155,274.8740458,280.8825758,222.9810606,247.9330855,237.9103943,277.1469534,242.3943662,287.2559727,204.4493243,603.3892617,249.4333333,293.4435028,389.8955614,345.4184397,468.6550117,346.0825688,476.65,493.97,487.72,411.25,368.96
b0023,9828.881793,12904.61948,6730.19558,5286.595826,12378.26564,12700.62589,12883.70217,13665.5332,14371.38631,13526.42711,15223.1502,17385.80626,16281.86188,18028.96227,18338.07965,20106.70344,20196.53788,20864.55298,21033.5643,21719.63106,21688.32685,23844.51454,25964.42495,26345.59242,27047.72064,28361.97128,28179.44478,5584.65625,5469.36875,4232.510526,4466.975962,5012.339367,4724.226087,5038.195833,6371.488,7189.952756,7025.577519,7612.572519,7983.719697,6571.102273,7079.550186,9640.867384,7944.100358,10155.85211,8608.300341,9120.094595,10166.11409,10407.29,12532.70339,11605.99217,13531.29551,17400.01865,17982.48394,11040.77,12129.31,12714.71,15159.09,17037.64
b0025,299.1738852,394.6974246,239.4722808,121.9120092,,713.1979517,591.8357747,,,,,,,,,,647.9438079,,649.5567367,,,,,,,744.4110374,,45.14375,50.4,46.33157895,61.19230769,51.79638009,43.34347826,47.30833333,56.388,51.38976378,44.93410853,55.8129771,58.4280303,42.66287879,67.07434944,37.84229391,53.58064516,56.32746479,51.41296928,57.38851351,59.85234899,30.84,33.90960452,45.38381201,27.75177305,49.96270396,33.42201835,,,,,
b0026,1737.596023,2651.5884,1513.536499,810.7947062,1788.00911,1802.498675,1546.661115,1597.754398,1687.022847,1894.55117,1868.450948,1671.77229,1799.811883,1762.218405,1597.84365,1674.989505,1819.760242,1722.399269,1773.578482,1586.035471,1555.154646,1443.333565,1432.046041,1382.487291,1410.576629,1388.466247,1387.593254,579.3875,599.625,465.1052632,516.2548077,613.9004525,586.126087,567.9666667,768.28,652.4133858,607.9844961,618.8091603,687.1477273,615.6287879,612.2304833,747.7240143,879.4408602,762.7535211,690.8054608,682.9222973,989.7919463,659.8333333,632.6723164,613.5117493,569.2718676,672.8065268,611.0252294,1498.83,1641.44,1572.23,1465.79,1336.9
