Supplementary Table 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relative and absolute fluxes during aerobic batch growth on glucose in wild-type E. coli BW25113 and the 91 knockout mutants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHAKE FLASK,Physiology,,,,13C-Determined flux ratios,,,,,,,Absolute fluxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Determined by 13C-constrained flux analysis or (where indicated) by whole isotopologue modelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pts,zwf,gnd,pgi,"edd, eda","pfk, fba",tktA,tktB,tal,"gap, pgk",eno,pyk,pdh,"glta, can",icd,suc,"sdh, fum",mdh,mae,pck,pcc,"pta, acka","acea, aceb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Biomass yield,Specific glucose uptake rate,Specific growth rate,Specific acetate secretion rate,Glycolysis,ED pathway,PP pathway ,Gluco-neogenesis,,,TCA cycle,GLC>G6P,G6P>6PDG,6PDG>R5P,G6P>F6P,6PDG>PYR+G3P,F6P>2 T3P,2 P5P > S7P + T3P,P5P + E4P + F6P + T3P,S7P + T3P = E4P + F6P,T3P > PGA,PGA > PEP,PEP > PYR,PYR > AcCoA,OAA + AcCoA > ICT,ICT > OGA + CO2,OGA > SUC + CO2,SUC > MAL,MAL > OAA,MAL > PYR,OAA > PEP,PEP > OAA,AceCoA > Acetate,AceCoA + ICT > SUC + MAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(g/g),(mmol/g/h),(h-1),(mmol/g/h),(Serine through glycolysis),(PYR through ED) ,"(PEP through PP pathway, upper bound) ",(PEP from oxaloacetate),"(PYR from MAL, upper bound)","(PYR from MAL, lower bound)",(Oxaloacetate through TCA cycle),(mmol/g/h),(mmol/g/h),(mmol/g/h),(mmol/g/h),(mmol/g/h),(mmol/g/h),(mmol/g/h),(mmol/g/h),(mmol/g/h),(mmol/g/h),(mmol/g/h),(mmol/g/h),(mmol/g/h),(mmol/g/h),(mmol/g/h),(mmol/g/h),(mmol/g/h),(mmol/g/h),(mmol/g/h),(mmol/g/h),(mmol/g/h),(mmol/g/h),(mmol/g/h),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILD TYPE - 13C constrained flux analysis,0.4,8.26,0.61,4.89,0.77,0.07,0.2,0.02,0.04,0.01,0.32,8.13,2.39,1.65,5.71,0.74,6.46,0.53,0.27,0.53,13.87,12.94,9.99,9.14,2.2,2.2,1.29,1.29,0.81,0.48,0.23,2.64,5.48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95% confidence intervals,,,,,0.01,0.02,0.07,0,0.02,0,0.01,0.34,0.3,0.44,0.39,0.65,0.62,0.15,0.15,0.15,0.84,0.84,0.98,0.64,0.45,0.45,0.44,0.44,0.5,0.73,0.26,0.78,0.57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILD TYPE DUPLICATE - 13C constrained flux analysis,0.4,8.26,0.61,4.89,0.8,0.07,0.21,0.03,0.05,0.02,0.32,8.13,2.19,1.4,5.91,0.79,6.49,0.44,0.19,0.44,13.89,12.97,9.91,9.21,2.29,2.29,1.38,1.38,0.79,0.58,0.4,2.92,5.47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95% confidence intervals,,,,,0.01,0.03,0.07,0.01,0.05,0.03,0.02,0.43,0.19,0.23,0.36,0.35,0.45,0.08,0.08,0.08,0.84,0.84,0.94,0.85,0.32,0.32,0.3,0.3,0.33,0.56,0.14,0.59,0.86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
