Mutant_Gene,Category,In_Metabolic_Model,Model_Gene_ID,Model_Gene_Name,Uniprot_ID
AlsR,Transcription Factor,No,-,-,-
AppY,Transcription Factor,No,-,-,-
ArcA,Transcription Factor,No,-,-,-
ArcB,Transcription Factor,No,-,-,-
ArgR,Transcription Factor,No,-,-,-
AscG,Transcription Factor,No,-,-,-
BasR,Transcription Factor,No,-,-,-
BolA,Transcription Factor,No,-,-,-
ChpB,Transcription Factor,No,-,-,-
CpxR,Transcription Factor,No,-,-,-
Cra,Transcription Factor,No,-,-,-
CreB,Transcription Factor,No,-,-,-
Crl,Transcription Factor,No,-,-,-
Crp,Transcription Factor,No,-,-,-
CsgD,Transcription Factor,No,-,-,-
CspA,Transcription Factor,No,-,-,-
CysB,Transcription Factor,No,-,-,-
CytR,Transcription Factor,No,-,-,-
DcuR,Transcription Factor,No,-,-,-
EvgA,Transcription Factor,No,-,-,-
FadR,Transcription Factor,No,-,-,-
FhlA,Transcription Factor,No,-,-,-
Fis,Transcription Factor,No,-,-,-
FlhD,Transcription Factor,No,-,-,-
FliZ,Transcription Factor,No,-,-,-
Fnr,Transcription Factor,No,-,-,-
FrvR,Transcription Factor,No,-,-,-
Fur,Transcription Factor,No,-,-,-
GadE,Transcription Factor,No,-,-,-
GadW,Transcription Factor,No,-,-,-
GadX,Transcription Factor,No,-,-,-
GcvA,Transcription Factor,No,-,-,-
GlcC,Transcription Factor,No,-,-,-
GlpR,Transcription Factor,No,-,-,-
HdfR,Transcription Factor,No,-,-,-
Hns,Transcription Factor,No,-,-,-
IclR,Transcription Factor,No,-,-,-
IdnR,Transcription Factor,No,-,-,-
IHFA,Transcription Factor,No,-,-,-
IHFB,Transcription Factor,No,-,-,-
KdgR,Transcription Factor,No,-,-,-
LldR,Transcription Factor,No,-,-,-
LrhA,Transcription Factor,No,-,-,-
Lrp,Transcription Factor,No,-,-,-
MarA,Transcription Factor,No,-,-,-
MarR,Transcription Factor,No,-,-,-
Mlc,Transcription Factor,No,-,-,-
ModE,Transcription Factor,No,-,-,-
NagC,Transcription Factor,No,-,-,-
NarL,Transcription Factor,No,-,-,-
NarP,Transcription Factor,No,-,-,-
NsrR,Transcription Factor,No,-,-,-
NtrC,Transcription Factor,No,-,-,-
OgrK,Transcription Factor,No,-,-,-
OmpR,Transcription Factor,No,-,-,-
OxyR,Transcription Factor,No,-,-,-
PdhR,Transcription Factor,No,-,-,-
PerR,Transcription Factor,No,-,-,-
PhoB,Transcription Factor,No,-,-,-
PrpR,Transcription Factor,No,-,-,-
PspC,Transcription Factor,No,-,-,-
PurR,Transcription Factor,No,-,-,-
QseB,Transcription Factor,No,-,-,-
RcsA,Transcription Factor,No,-,-,-
RcsB,Transcription Factor,No,-,-,-
Rob,Transcription Factor,No,-,-,-
RutR,Transcription Factor,No,-,-,-
SdiA,Transcription Factor,No,-,-,-
SoxR,Transcription Factor,No,-,-,-
SoxS,Transcription Factor,No,-,-,-
SspA,Transcription Factor,No,-,-,-
TdcA,Transcription Factor,No,-,-,-
TdcR,Transcription Factor,No,-,-,-
TorR,Transcription Factor,No,-,-,-
UspA,Transcription Factor,No,-,-,-
UvrY,Transcription Factor,No,-,-,-
UxuR,Transcription Factor,No,-,-,-
YbhD,Transcription Factor,No,-,-,-
YdeO,Transcription Factor,No,-,-,-
YdjF,Transcription Factor,No,-,-,-
YfhA,Transcription Factor,No,-,-,-
ElbB,Sigma Factor,No,-,-,-
FecI,Sigma Factor,No,-,-,-
FlgM,Sigma Factor,No,-,-,-
FliA,Sigma Factor,No,-,-,-
RpoD,Sigma Factor,No,-,-,-
RpoN,Sigma Factor,No,-,-,-
RpoS,Sigma Factor,No,-,-,-
Rsd,Sigma Factor,No,-,-,-
RseA,Sigma Factor,No,-,-,-
RseB,Sigma Factor,No,-,-,-
Pgi,Enzyme (Control),Yes,ECDH1ME8569_3881,pgi,P0A6T1
Zwf,Enzyme (Control),Yes,ECDH1ME8569_1798,zwf,P0AC53
SdhC,Enzyme (Control),Yes,ECDH1ME8569_0680,sdhC,P69054
