Gene,NQ381 (400),NQ381 (500),NQ381 (800),NCM3722
lacY,0.22%,0.22%,0.31%,0.33%
lacZ,0.85%,0.88%,0.89%,0.78%
glk,0.02%,0.02%,0.02%,0.02%
pgm,0.03%,0.00%,0.00%,0.00%
galM,0.08%,0.07%,0.08%,0.08%
galK,0.18%,0.20%,0.22%,0.13%
galT,0.03%,0.03%,0.03%,0.06%
galE,0.15%,0.16%,0.29%,0.26%
pgi,0.09%,0.09%,0.10%,0.11%
pfkA,0.06%,0.06%,0.06%,0.06%
pfkB,0.00%,0.00%,0.00%,0.00%
fbaA,0.32%,0.35%,0.35%,0.39%
fbaB,0.00%,0.00%,0.00%,0.00%
tpiA,0.12%,0.15%,0.13%,0.18%
gapA,1.19%,1.29%,1.33%,1.47%
pgk,0.30%,0.31%,0.32%,0.36%
gpmA,0.15%,0.15%,0.15%,0.16%
gpmM,0.08%,0.08%,0.10%,0.11%
eno,0.63%,0.70%,0.75%,0.83%
pykF,0.15%,0.15%,0.18%,0.21%
pykA,0.18%,0.13%,0.06%,0.06%
aceE,0.30%,0.32%,0.34%,0.41%
aceF,0.21%,0.24%,0.24%,0.25%
lpd,0.63%,0.61%,0.56%,0.52%
pta,0.10%,0.10%,0.10%,0.10%
ackA,0.06%,0.07%,0.06%,0.00%
gltA,0.88%,0.80%,0.61%,0.48%
acnA,0.03%,0.00%,0.00%,0.00%
acnB,0.92%,0.84%,0.66%,0.57%
icd,1.55%,1.55%,1.31%,1.39%
sucA,0.33%,0.36%,0.29%,0.25%
sucB,0.38%,0.39%,0.35%,0.30%
lpd,0.63%,0.61%,0.56%,0.52%
sucC,0.52%,0.49%,0.38%,0.30%
sucD,0.36%,0.35%,0.28%,0.22%
sdhA,0.33%,0.30%,0.29%,0.24%
sdhB,0.16%,0.15%,0.13%,0.11%
sdhC,0.00%,0.00%,0.00%,0.00%
sdhD,0.00%,0.00%,0.00%,0.00%
fumA,0.24%,0.21%,0.17%,0.13%
fumB,0.00%,0.00%,0.00%,0.00%
fumC,0.00%,0.00%,0.00%,0.00%
mdh,0.45%,0.45%,0.41%,0.39%
ppc,0.16%,0.18%,0.18%,0.19%
nuoA,0.02%,0.02%,0.02%,0.01%
nuoB,0.04%,0.04%,0.03%,0.03%
nuoC,0.08%,0.07%,0.06%,0.06%
nuoE,0.03%,0.03%,0.03%,0.02%
nuoF,0.05%,0.05%,0.04%,0.04%
nuoG,0.12%,0.12%,0.10%,0.09%
nuoH,0.02%,0.02%,0.02%,0.02%
nuoI,0.02%,0.02%,0.02%,0.01%
nuoJ,0.01%,0.01%,0.01%,0.01%
nuoK,0.01%,0.01%,0.01%,0.00%
nuoL,0.03%,0.03%,0.03%,0.03%
nuoM,0.03%,0.03%,0.03%,0.02%
nuoN,0.04%,0.03%,0.03%,0.03%
ndh,0.00%,0.00%,0.03%,0.00%
cyoA,0.00%,0.03%,0.03%,0.03%
cyoB,0.00%,0.00%,0.00%,0.00%
cyoC,0.00%,0.00%,0.00%,0.00%
cyoD,0.00%,0.00%,0.00%,0.00%
cydA,0.00%,0.00%,0.00%,0.00%
cydB,0.00%,0.00%,0.00%,0.00%
cydX,0.00%,0.00%,0.00%,0.00%
cbdA,0.00%,0.00%,0.00%,0.00%
cbdB,0.00%,0.00%,0.00%,0.00%
atpA,0.51%,0.51%,0.47%,0.45%
atpC,0.05%,0.05%,0.05%,0.05%
atpD,0.40%,0.38%,0.37%,0.33%
atpG,0.10%,0.09%,0.08%,0.07%
atpH,0.04%,0.05%,0.05%,0.04%
atpB,0.08%,0.08%,0.08%,0.08%
atpE,0.15%,0.15%,0.15%,0.15%
atpF,0.06%,0.06%,0.06%,0.06%
