reaction_id,name,reversible,dG_reaction,source
R_EX_ala_B_e,Beta-Alanine exchange,False,0,calculated_from_formation_energies
R_EX_ala__D_e,D-Alanine exchange,False,0,calculated_from_formation_energies
R_EX_ala__L_e,L-Alanine exchange,False,0,calculated_from_formation_energies
R_EX_akg_e,2-Oxoglutarate exchange,False,0,calculated_from_formation_energies
R_EX_all__D_e,D-Allose exchange,False,0,calculated_from_formation_energies
R_EX_alaala_e,D-Alanyl-D-alanine exchange,False,0,calculated_from_formation_energies
R_EX_agm_e,Agmatine exchange,False,0,calculated_from_formation_energies
R_EX_anhgm_e,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid exchange,False,0,calculated_from_formation_energies
R_EX_alltn_e,Allantoin exchange,False,0,calculated_from_formation_energies
R_EX_amp_e,AMP exchange,False,0,calculated_from_formation_energies
R_DM_4crsol_c,Sink needed to allow p-Cresol to leave system,False,0,calculated_from_formation_energies
R_EX_arbt_e,Arbutin exchange,False,0,calculated_from_formation_energies
R_EX_adocbl_e,Adenosylcobalamin exchange,False,0,calculated_from_formation_energies
R_EX_ag_e,Silver exchange,False,0,calculated_from_formation_energies
R_EX_arab__L_e,L-Arabinose exchange,False,0,calculated_from_formation_energies
R_EX_arbtn_e,Aerobactin minus Fe3 exchange,False,0,calculated_from_formation_energies
R_EX_arbtn_fe3_e,Aerobactin exchange,False,0,calculated_from_formation_energies
R_DM_5drib_c,Sink needed to allow 5'-deoxyribose to leave system,False,0,calculated_from_formation_energies
R_EX_arg__L_e,L-Arginine exchange,False,0,calculated_from_formation_energies
R_DM_aacald_c,Sink needed to allow aminoacetaldehyde to leave system,False,0,calculated_from_formation_energies
R_EX_ascb__L_e,L-Ascorbate exchange,False,0,calculated_from_formation_energies
R_EX_asn__L_e,L-Asparagine exchange,False,0,calculated_from_formation_energies
R_DM_amob_c,Sink needed to allow S-Adenosyl-4-methylthio-2-oxobutanoate to leave system,False,0,calculated_from_formation_energies
R_EX_aso3_e,Arsenite exchange,False,0,calculated_from_formation_energies
R_EX_asp__L_e,L-Aspartate exchange,False,0,calculated_from_formation_energies
R_DM_mththf_c,"Sink needed to allow (2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran to leave system",False,0,calculated_from_formation_energies
R_EX_btn_e,Biotin exchange,False,0,calculated_from_formation_energies
R_EX_but_e,Butyrate (n-C4:0) exchange,False,0,calculated_from_formation_energies
R_EX_butso3_e,Butanesulfonate exchange,False,0,calculated_from_formation_energies
R_EX_g1p_e,D-Glucose 1-phosphate exchange,False,0,calculated_from_formation_energies
R_DM_oxam_c,Sink needed to allow oxamate to leave system,False,0,calculated_from_formation_energies
R_EX_g3pc_e,Sn-Glycero-3-phosphocholine exchange,False,0,calculated_from_formation_energies
R_EX_g3pe_e,Sn-Glycero-3-phosphoethanolamine exchange,False,0,calculated_from_formation_energies
R_EX_ca2_e,Calcium exchange,True,0,calculated_from_formation_energies
R_EX_cbi_e,Cobinamide exchange,False,0,calculated_from_formation_energies
R_EX_cbl1_e,Cob(I)alamin exchange,True,0,calculated_from_formation_energies
R_EX_cd2_e,Cadmium exchange,False,0,calculated_from_formation_energies
R_EX_cgly_e,Cys-Gly exchange,False,0,calculated_from_formation_energies
R_EX_chol_e,Choline exchange,False,0,calculated_from_formation_energies
R_EX_chtbs_e,Chitobiose exchange,False,0,calculated_from_formation_energies
R_EX_g3pg_e,Glycerophosphoglycerol exchange,False,0,calculated_from_formation_energies
R_EX_g3pi_e,Sn-Glycero-3-phospho-1-inositol exchange,False,0,calculated_from_formation_energies
R_EX_g3ps_e,Glycerophosphoserine exchange,False,0,calculated_from_formation_energies
R_EX_g6p_e,D-Glucose 6-phosphate exchange,False,0,calculated_from_formation_energies
R_EX_gal_e,D-Galactose exchange,False,0,calculated_from_formation_energies
R_EX_gal_bD_e,Beta D-Galactose exchange,False,0,calculated_from_formation_energies
R_EX_gal1p_e,Alpha-D-Galactose 1-phosphate exchange,False,0,calculated_from_formation_energies
R_EX_galct__D_e,D-Galactarate exchange,False,0,calculated_from_formation_energies
R_EX_galctn__D_e,D-Galactonate exchange,False,0,calculated_from_formation_energies
R_EX_galctn__L_e,L-Galactonate exchange,False,0,calculated_from_formation_energies
R_EX_cit_e,Citrate exchange,False,0,calculated_from_formation_energies
R_EX_cl_e,Chloride exchange,True,0,calculated_from_formation_energies
