Id,Specific glucose uptake rate(mmol/g/h),Specific acetate secretion rate(mmol/g/h),Specific growth rate(h-1)
WILD TYPE,8.16,4.95,0.6
AlsR,8.11,3.92,0.54
AppY,7.74,4.76,0.55
ArcA,7.3,3.19,0.56
ArcB,7.36,4.39,0.56
ArgR,6.87,4.64,0.46
AscG,7.28,4.72,0.53
BasR,7.15,4.89,0.52
BolA,7.12,3.69,0.53
ChpB,6.9,5.04,0.51
CpxR,7.86,5.96,0.54
Cra,8.06,5.12,0.54
CreB,7.37,4.33,0.54
Crl,6.33,4.03,0.46
Crp,5.27,2.61,0.32
CsgD,7.48,5.31,0.55
CspA,7.13,4.25,0.55
CysB,6.68,4.73,0.47
CytR,6.9,3.55,0.55
DcuR,7.49,5.19,0.57
EvgA,9.13,4.72,0.59
FadR,7.44,4.65,0.54
FhlA,8.2,4.08,0.58
Fis,8.8,4.01,0.66
FlhD,7.11,4.07,0.52
FliZ,7.05,4.55,0.51
Fnr,7.31,4.29,0.55
FrvR,7.21,4.25,0.55
Fur,6.51,4.96,0.47
GadE,8.95,4.91,0.56
GadW,7.77,4.4,0.54
GadX,7.99,4.56,0.54
GcvA,6.84,4.44,0.52
GlcC,8.26,4.52,0.54
GlpR,4.76,4,0.4
HdfR,8.13,4.51,0.49
Hns,5.11,3.7,0.44
IclR,8.14,4.08,0.5
IdnR,7.03,4.5,0.55
IHFA,6.45,3.64,0.44
IHFB,7.66,2.89,0.55
KdgR,6.39,3.8,0.55
LldR,8.32,4.64,0.57
LrhA,7.24,4.12,0.49
Lrp,5.52,4.34,0.45
MarA,7.72,4.09,0.56
MarR,8.1,4.29,0.55
Mlc,6.71,4.12,0.53
ModE,8.3,3.62,0.56
NagC,7.23,4.71,0.55
NarL,6.98,5.24,0.55
NarP,7.81,4.42,0.54
NsrR,7.41,3.45,0.5
NtrC,7.75,4.01,0.57
OgrK,7.42,4.4,0.49
OmpR,8.09,3.69,0.55
OxyR,7.54,5.62,0.53
PdhR,7.93,3.86,0.52
PerR,7.03,5.09,0.5
PhoB,6.38,4.06,0.5
PrpR,7.65,4.2,0.52
PspC,7.31,4.23,0.51
PurR,7.73,4.51,0.54
QseB,7.95,5.9,0.55
RcsA,8.85,5.22,0.59
RcsB,6.88,3.8,0.51
Rob,6.64,4.45,0.53
RutR,8.1,4.42,0.5
SdiA,7.21,4.82,0.53
SoxR,6.84,4.32,0.52
SoxS,7.42,4.73,0.54
SspA,7.69,5.16,0.5
TdcA,7.5,4.9,0.55
TdcR,8.26,4.78,0.55
TorR,7.74,4.38,0.58
UspA,7.02,4.18,0.56
UvrY,6.73,4,0.48
UxuR,7,4.94,0.51
YbhD,6.84,4.85,0.52
YdeO,7.96,5.64,0.53
YdjF,6.95,4.85,0.51
YfhA,6.93,3.77,0.55
ElbB,7.68,5.13,0.54
FecI,7.1,4.63,0.51
FlgM,8.78,4.75,0.5
FliA,7.43,5.04,0.54
RpoD,6.61,4.61,0.51
RpoN,4.12,2.36,0.35
RpoS,7.55,4.18,0.56
Rsd,7.6,4.44,0.52
RseA,6.29,5.31,0.53
RseB,6.22,4.51,0.54
Pgi,4.01,1.51,0.32
Zwf,6.35,4.62,0.44
SdhC,8.8,7.94,0.53
