Method,Reaction,True_Flux,Pred_Flux,Abs_Error,Rel_Error,Norm_Error,Bias_Ratio,Color
FluxAnchor,PGI,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
FluxAnchor,PGI_reverse,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
FluxAnchor,PFK,0.216658905,0.115950186,0.100708719,0.464826124,0.009619506137982617,0.9172251823529783,#8560a8
FluxAnchor,FBP,0.053667733,0.0,0.053667733,1.0,0.004402260083274902,0.9490657905531592,#845ea7
FluxAnchor,FBA,0.162991172,0.115950186,0.047040986,0.288610637,0.005217246054707714,0.9595517256428496,#845ea7
FluxAnchor,FBA_reverse,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
FluxAnchor,TPI,1.924675903,3.092938722,1.168262819,0.60699197,0.05959098844558025,1.3994503520207653,#a98dc0
FluxAnchor,G6PDH2r,2.064386548,1.709874445,0.354512103,0.171727579,0.04911419794533339,0.8843122114501595,#8d6bae
FluxAnchor,G6PDH2r_reverse,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
FluxAnchor,GND,2.287036055,1.709874445,0.577161611,0.25236227,0.0673777053162696,0.8244127535132862,#9474b2
FluxAnchor,RPE,1.199997288,0.873701844,0.326295444,0.271913484,0.03700237269523681,0.8516837062573688,#8d6aad
FluxAnchor,RPE_reverse,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
FluxAnchor,RPI,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
FluxAnchor,RPI_reverse,1.075995639,0.822517915,0.253477724,0.235575048,0.03042956443065367,0.8779006471699047,#8a66ab
FluxAnchor,TKT1,0.656781111,0.502260241,0.15452087,0.235269966,0.018559930335888944,0.9067342879671448,#8762a9
FluxAnchor,TKT1_reverse,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
FluxAnchor,TKT2,0.543216177,0.371441603,0.171774574,0.316217707,0.018442442359347864,0.8886905304907259,#8763aa
FluxAnchor,TKT2_reverse,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
FluxAnchor,TALA,0.37730582,0.502260241,0.124954421,0.331175439,0.004364885918804309,1.0907238023578525,#8661a9
FluxAnchor,TALA_reverse,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
FluxAnchor,EDD,0.550739128,0.0,0.550739128,1.0,0.045176062858701835,0.6448537874256823,#9473b2
FluxAnchor,EDA,0.550739128,0.0,0.550739128,1.0,0.045176062858701835,0.6448537874256823,#9473b2
FluxAnchor,GAPD,5.192174441,6.624321138,1.432146697,0.275827924,0.03986036860783959,1.2312833255338196,#b298c6
FluxAnchor,PGK_reverse,5.192174441,6.624321138,1.432146697,0.275827924,0.03986036860783959,1.2312833255338196,#b298c6
FluxAnchor,PGM_reverse,4.810850978,6.034905374,1.224054395,0.254436149,0.029697027448155833,1.2106497655221746,#ab8fc1
FluxAnchor,ENO,4.813148203,6.034905374,1.22175717,0.25383743,0.029508590535424706,1.2101713440523478,#ab8fc1
FluxAnchor,PYK,0.447999464,0.0,0.447999464,1.0,0.03674852741955304,0.6906079904460517,#906eb0
FluxAnchor,PDH,3.492426165,3.72479701,0.232370845,0.06653565,0.024581773016987774,1.0517250226192645,#8965ab
FluxAnchor,CS,1.377249484,1.127460861,0.249788623,0.181367737,0.033699910243520356,0.8949253645100382,#8a66ab
FluxAnchor,ACONTa,1.368690706,1.127460861,0.241229845,0.176248618,0.032997850278531485,0.8981589937474938,#8a66ab
FluxAnchor,ACONTb,1.368690706,1.127460861,0.241229845,0.176248618,0.032997850278531485,0.8981589937474938,#8a66ab
FluxAnchor,ICDHyr,1.007564472,1.127460861,0.119896389,0.118996245,0.003375365480047618,1.0597223106267444,#8661a9
FluxAnchor,AKGDH,0.699761702,0.758618318,0.058856616,0.084109512,0.004060685275647999,1.0346263925882946,#845ea7
FluxAnchor,SUCOAS,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
FluxAnchor,SUCOAS_reverse,0.875426346,0.578566106,0.29686024,0.339103616,0.03112981346500318,0.8417105312436514,#8b68ac
FluxAnchor,SUCDi,1.347179292,0.872326404,0.474852888,0.352479355,0.049172136037234734,0.7976921108589945,#916fb0
FluxAnchor,FUM,1.621946881,1.116363942,0.505582939,0.311713623,0.054552201648897805,0.8071726995448616,#9271b1
FluxAnchor,MDH,1.930037138,1.116035645,0.814001493,0.421754316,0.07984733105987642,0.7221873120845064,#9c7eb7
FluxAnchor,PPCK,0.676230013,0.0,0.676230013,1.0,0.055469836844838735,0.5965768374533931,#9878b5
FluxAnchor,PPC,1.360134342,1.015202059,0.344932283,0.253601628,0.04018904623208888,0.8538505724603366,#8d6aad
FluxAnchor,ME1,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
FluxAnchor,ME2,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
FluxAnchor,ICL,0.361126234,0.0,0.361126234,1.0,0.02962248479848388,0.7346857146829484,#8e6bae
FluxAnchor,MALS,0.352595731,0.000229499,0.352366232,0.999349115,0.028906607812884656,0.7394888776268066,#8d6bae
KinLLM,PGI,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
KinLLM,PGI_reverse,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
KinLLM,PFK,0.216658905,0.115950186,0.100708719,0.464826124,0.009619386557488629,0.9172251823529783,#8560a8
KinLLM,FBP,0.053667733,0.0,0.053667733,1.0,0.004402260083274902,0.9490657905531592,#845ea7
KinLLM,FBA,0.162991172,0.115950186,0.047040986,0.288610637,0.005217126474213726,0.9595517256428496,#845ea7
KinLLM,FBA_reverse,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
KinLLM,TPI,1.924675903,3.092938722,1.168262819,0.60699197,0.05959417822175064,1.3994503520207653,#a98dc0
KinLLM,G6PDH2r,2.064386548,1.709874445,0.354512103,0.171727579,0.04911243453608115,0.8843122114501595,#8d6bae
KinLLM,G6PDH2r_reverse,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
KinLLM,GND,2.287036055,1.709874445,0.577161611,0.25236227,0.06737594190701736,0.8244127535132862,#9474b2
KinLLM,RPE,1.199997288,0.873701844,0.326295444,0.271913484,0.03700147163848383,0.8516837062573688,#8d6aad
KinLLM,RPE_reverse,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
KinLLM,RPI,0.0,0.0,0.0,0.0,0.0,1.0,#825ca6
