Gene,NQ381 (400),NQ381 (500),NQ381 (800),NCM3722,uniprot,reaction,kcat,kcat_MW,proteomics_vivo,kcat_vivo,kcat_vitro,kcat_vivo_log10,kcat_vitro_log10
pfkA,0.06%,0.06%,0.06%,0.06%,P0A796,"['PFK_num1', 'PFK_2', 'PFK_3']","[12.870230059888122, 9.664907563932838, 28.27217629752087]","[1329.8109934317126, 998.622423158994, 2921.21047360746]",1.575066960849143e-06,71.72343570803217,28.27217629752087,1.855661085035455,1.4513592403121571
fbaA,0.32%,0.35%,0.35%,0.39%,P0AB71,"['FBA3_reverse', 'FBA_num3', 'FBA_reverse_num3', 'FBA3']","[61.08239662535937, 61.08239662535937, 61.08239662535937, 61.08239662535937]","[5617.2322286929175, 2000, 5617.2322286929175, 2000]",1.459177755292829e-07,4.194546188409138,61.08239662535937,0.6226849810095572,1.7859160686717004
tpiA,0.12%,0.15%,0.13%,0.18%,P0A858,"['TPI', 'TPI_reverse']","[61.08239662535937, 61.08239662535937]","[2000, 2000]",1.9111703048582674e-06,32.64167898989355,61.08239662535937,1.5137724894596516,1.7859160686717004
gapA,1.19%,1.29%,1.33%,1.47%,P0A9B2,"['E4PD_num2', 'E4PD_reverse_num2', 'GAPD', 'GAPD_reverse']","[61.08239662535937, 61.08239662535937, 64.1907352333189, 61.08239662535937]","[6188.680771259624, 6188.680771259624, 6503.608089708302, 6188.680771259624]",6.255822214927845e-07,18.759580569581843,64.1907352333189,1.2732231241095449,1.8074723500719496
pgk,0.30%,0.31%,0.32%,0.36%,P0A799,"['PGK', 'PGK_reverse']","[55.848092104632194, 61.08239662535937]","[4889.69678784382, 5347.978548904611]",1.5215034984990288e-06,28.962335191514946,61.08239662535937,1.4618335754775562,1.7859160686717004
eno,0.63%,0.70%,0.75%,0.83%,P0A6P9,"['ENO', 'ENO_reverse']","[61.08239662535937, 61.08239662535937]","[2000, 4816.547642516294]",3.646467177238355e-06,24.98007999478236,61.08239662535937,1.3975938248002038,1.7859160686717004
aceE,0.30%,0.32%,0.34%,0.41%,P0AFG8,['PDH'],[108.39276336407164],[1802.786704952017],4.4195172376876895e-06,32.21773925762083,108.39276336407164,1.5080950623902363,2.035000288328185
aceF,0.21%,0.24%,0.24%,0.25%,P06959,['PDH'],[108.39276336407164],[1802.786704952017],4.4195172376876895e-06,49.579632348535355,108.39276336407164,1.6953033019881891,2.035000288328185
lpd,0.63%,0.61%,0.56%,0.52%,P0A9P0,"['AKGDH', 'GLYCL', 'PDH']","[26954.165895970043, 1480.7401615756778, 108.39276336407164]","[485759.756108737, 25503.09038095224, 1802.786704952017]",1.4764807555285063e-06,35.728461517531976,26954.165895970043,1.553014315703373,4.430625897011162
gltA,0.88%,0.80%,0.61%,0.48%,P0ABH7,['CS'],[12.121120537937651],[908.810017084984],5.3429197187642065e-06,31.18624894601026,12.121120537937651,1.4939631413484808,1.0835427700735427
acnB,0.92%,0.84%,0.66%,0.57%,P36683,"['ACONTa_reverse_num1', 'ACONTb_reverse_num1', 'ACONTb_num1', 'MICITDr_reverse', 'MICITDr', 'ACONTa_num1']","[61.08239662535937, 61.08239662535937, 21.471827950680865, 61.08239662535937, 5.614697366399426, 61.08239662535937]","[2351.910677055222, 2000, 826.7491814840354, 2000, 216.1877629894152, 2000]",1.3835154371931351e-06,27.187564170737947,61.08239662535937,1.4343702993640735,1.7859160686717004
icd,1.55%,1.55%,1.31%,1.39%,P08200,"['ICDHyr', 'ICDHyr_reverse']","[1.898371892574842, 61.08239662535937]","[149.35989413657043, 4805.834056675491]",1.625502946746161e-05,11.794265146693704,61.08239662535937,1.0716708869191152,1.7859160686717004
sucA,0.33%,0.36%,0.29%,0.25%,P0AFG3,['AKGDH'],[26954.165895970043],[485759.756108737],7.821450739153324e-09,54.903843980745954,26954.165895970043,1.7396027517576447,4.430625897011162
sucB,0.38%,0.39%,0.35%,0.30%,P0AFG6,['AKGDH'],[26954.165895970043],[485759.756108737],7.821450739153324e-09,27.294152323761637,26954.165895970043,1.436069610939859,4.430625897011162
sucC,0.52%,0.49%,0.38%,0.30%,P0A836,"['SUCOAS', 'SUCOAS_reverse']","[35.08394514821181, 61.08239662535937]","[1774.6728111703917, 3089.7684987880116]",5.313800000610779e-07,16.85668567838491,61.08239662535937,1.2267721887297498,1.7859160686717004
sucD,0.36%,0.35%,0.28%,0.22%,P0AGE9,"['SUCOAS', 'SUCOAS_reverse']","[35.08394514821181, 61.08239662535937]","[1774.6728111703917, 3089.7684987880116]",5.313800000610779e-07,17.210075315248325,61.08239662535937,1.2357827709042704,1.7859160686717004
