reaction,gene,name,our_name,GLC_BATCH_mu=0.6_H,kcat_vivo,kcat_vitro,kcat_vitro_log10,kcat_vivo_log10,kcat_Density,absolute_error,square_error,error
3OAR140,b1093,fabG,ECDH1ME8569_1028,5.6852260662193185e-06,4.735823397549371,2.9075375,0.46352532475493013,0.6753954988458105,0.3285185373565284,0.21187017409088038,0.04488897066929996,-0.21187017409088038
5DOAN,b0159,mtn,ECDH1ME8569_0153,4.935111524898892e-06,1.0124424548679036,16.391904,1.2146294019333808,0.005370348189372941,0.22400100843595463,1.2092590537440078,1.462307459061853,1.2092590537440078
ACGK,b3959,argB,ECDH1ME8569_3827,5.571251626104815e-06,15.489525964576945,7.032317,0.8470984394615871,1.1900381269833102,0.31415360468892745,0.3429396875217231,0.11760762927749709,-0.3429396875217231
ACGS,b2818,argA,ECDH1ME8569_2725,1.1443580394640656e-06,71.54155457276543,7.032317,0.8470984394615871,1.8545583729815052,0.2493080422283914,1.0074599335199181,1.0149755176479578,-1.0074599335199181
ACODA,b3957,argE,ECDH1ME8569_3825,5.215679626866349e-06,16.477330063721297,14.206442,1.1524853225966871,1.2168868413094072,0.2921455943697614,0.06440151871272004,0.00414755561250483,-0.06440151871272004
ADNK1,b0474,adk,ECDH1ME8569_0458,6.815504389127241e-06,1.0269486857330872,14.20642,1.152484650050669,0.011548743441745994,0.2572031965198618,1.1409359066089229,1.3017347429895247,1.1409359066089229
ADSK,b2750,cysC,ECDH1ME8569_2660,1.729888629938562e-06,40.10478065439708,3.257755,0.5129184200127112,1.603196145390086,0.4361702557066833,1.090277725377375,1.1887055184540627,-1.090277725377375
ADSS,b4177,purA,ECDH1ME8569_4034,1.0315747924796947e-05,8.911243162858922,5.611609,0.749087403080096,0.9499382945092317,0.3867852687965673,0.2008508914291357,0.040341080587878456,-0.2008508914291357
AGPAT160,b3018,plsC,ECDH1ME8569_2914,2.613011973515104e-07,67.64922374862527,25.975954,1.4145715065401865,1.8302628175837115,0.08062856755629973,0.41569131104352497,0.17279926607708462,-0.41569131104352497
AGPAT161,b3018,plsC,ECDH1ME8569_2914,2.613011973515104e-07,79.55571998353186,4.693082,0.671458142500668,1.900671410481381,0.330721879252667,1.229213267980713,1.5109652581798243,-1.229213267980713
AHCYSNS,b0159,mtn,ECDH1ME8569_0153,4.935111524898892e-06,1.0247743101369824,2.6134588,0.41721565803097976,0.010628229631249224,0.5038480458316348,0.40658742839973055,0.16531333693270603,0.40658742839973055
AICART,b4006,purH,ECDH1ME8569_3866,6.116183714588418e-06,25.218221002992287,30.910128,1.4901008034967758,1.4017144463990523,0.07920941616384515,0.08838635709772347,0.0078121481210062915,0.08838635709772347
AIRC2,b0522,purK,ECDH1ME8569_0507,9.070035925458143e-07,135.80440225756126,3.9178865,0.5930518504597174,2.1329138483331325,0.19988003461348436,1.5398619978734152,2.3711749724947055,-1.5398619978734152
AMAOTr,b0774,bioA,ECDH1ME8569_0727,5.978299808573923e-07,1.0009130043194416,5.611609,0.749087403080096,0.000396331839065364,0.47498226314074254,0.7486910712410306,0.560538320156042,0.7486910712410306
ANPRT,b1263,trpD,ECDH1ME8569_1203,2.8658452114775736e-06,6.413084270472698,10.470336,1.0199606186993306,0.8070669467566001,0.30864910815000884,0.21289367194273057,0.04532371555325898,0.21289367194273057
AOXSr2,b0776,bioF,ECDH1ME8569_0729,1.4365728715841214e-07,1.0037994686215435,4.7398992,0.6757691059463935,0.0016469614448700255,0.5602524366689455,0.6741221445015235,0.45444066570733294,0.6741221445015235
APRAUR,b0414,ribD,ECDH1ME8569_0399,4.165626823733886e-07,1.292196510330974,9.957086,0.9981322581741787,0.11132856386244752,0.3191811096776683,0.8868036943117312,0.7864207922449344,0.8868036943117312
ARGSS,b3172,argG,ECDH1ME8569_3062,1.1015395182054114e-05,8.328361239654038,3.9342356,0.5948603638995832,0.9205595542769686,0.4319758796069249,0.3256991903773854,0.10607996261248433,-0.3256991903773854
ASNS2,b3744,asnA,ECDH1ME8569_3632,1.3177986920249617e-06,50.921496917946506,4.720947300000001,0.6740291524230064,1.706901161942508,0.3960184481966684,1.0328720095195016,1.0668245880488534,-1.0328720095195016
ASPO6,b2574,nadB,ECDH1ME8569_2501,2.1588781713485128e-07,3.879692478178126,5.49799,0.7402039455931593,0.5887973028304829,0.3724440909140111,0.15140664276267635,0.022923971472664693,0.15140664276267635
ATPPRT,b2019,hisG,ECDH1ME8569_1955,3.647102411509863e-06,8.089192690232611,4.662059,0.6685777653690914,0.9079051807380807,0.42308075996934336,0.23932741536898927,0.057277611747200724,-0.23932741536898927
BMOCOS,b0827,moeA,ECDH1ME8569_0780,1.2728767258595469e-06,1.0261573661983627,4.2729697,0.6307298132081496,0.011213967043763744,0.6026512578606014,0.6195158461643858,0.38379988364877493,0.6195158461643858
BPNT,b4214,cysQ,ECDH1ME8569_4071,1.9061972641819487e-06,36.48788821670767,2.05316,0.3124227946747884,1.5621487287422715,0.2727320325712416,1.2497259340674831,1.5618149102808432,-1.2497259340674831
BTS5,b0775,bioB,ECDH1ME8569_0728,6.904205995472418e-07,1.0007905635422414,14.524602,1.1621042407820266,0.000343201740465262,0.2504221237173882,1.1617610390415614,1.3496887118349283,1.1617610390415614
